"date","symbol","open","high","low","close","volume","timestamp"
"2010-11-15","LM8",6.96,6.96,6.5,6.5,810,1289779200
"2010-11-16","LM8",6.19,6.54,6.19,6.42,2240,1289865600
"2010-11-17","LM8",6.61,6.61,6.42,6.61,320,1289952000
"2010-11-18","LM8",6.31,6.61,6.31,6.5,2570,1290038400
"2010-11-19","LM8",6.19,6.34,6.19,6.34,1010,1290124800
"2010-11-22","LM8",6.65,6.65,6.04,6.04,40,1290384000
"2010-11-23","LM8",6.12,6.12,5.77,5.77,1650,1290470400
"2010-11-24","LM8",5.77,5.77,5.5,5.77,60,1290556800
"2010-11-25","LM8",5.77,5.77,5.5,5.77,4050,1290643200
"2010-11-26","LM8",5.54,5.7,5.5,5.5,4840,1290729600
"2010-11-29","LM8",5.7,5.7,5.24,5.24,2680,1290988800
"2010-11-30","LM8",5.47,5.47,5.35,5.43,5190,1291075200
"2010-12-01","LM8",5.54,5.54,5.43,5.43,2900,1291161600
"2010-12-02","LM8",5.47,5.47,5.31,5.47,2190,1291248000
"2010-12-03","LM8",5.5,5.73,5.24,5.73,7530,1291334400
"2010-12-06","LM8",5.73,5.81,5.5,5.81,3820,1291593600
"2010-12-07","LM8",5.89,5.92,5.54,5.54,740,1291680000
"2010-12-08","LM8",5.73,5.73,5.28,5.54,2580,1291766400
"2010-12-09","LM8",5.28,5.73,5.28,5.28,7310,1291852800
"2010-12-10","LM8",5.47,5.5,5.43,5.5,9840,1291939200
"2010-12-13","LM8",5.77,5.77,5.77,5.77,5950,1292198400
"2010-12-14","LM8",6.04,6.04,6,6,4010,1292284800
"2010-12-15","LM8",6.27,6.27,6.23,6.27,18100,1292371200
"2010-12-16","LM8",6.27,6.5,6.12,6.42,4110,1292457600
"2010-12-17","LM8",6.12,6.5,6.12,6.12,8000,1292544000
"2010-12-20","LM8",5.85,6.38,5.85,6.27,3080,1292803200
"2010-12-21","LM8",6.27,6.46,5.96,6.23,8820,1292889600
"2010-12-22","LM8",6.08,6.08,6.08,6.08,1060,1292976000
"2010-12-23","LM8",5.79,6.37,5.79,6.33,2460,1293062400
"2010-12-24","LM8",6.04,6.33,6.04,6.04,1030,1293148800
"2010-12-27","LM8",6.29,6.29,6.12,6.16,3150,1293408000
"2010-12-28","LM8",6.2,6.2,5.87,5.91,5570,1293494400
"2010-12-29","LM8",6.16,6.16,5.62,5.62,3130,1293580800
"2010-12-30","LM8",5.79,5.87,5.38,5.87,2090,1293667200
"2011-01-04","LM8",5.87,5.87,5.58,5.58,650,1294099200
"2011-01-05","LM8",5.79,5.79,5.58,5.79,1260,1294185600
"2011-01-06","LM8",5.91,6,5.5,5.95,5070,1294272000
"2011-01-07","LM8",6,6,5.71,5.71,2210,1294358400
"2011-01-10","LM8",5.87,5.87,5.46,5.83,2230,1294617600
"2011-01-11","LM8",5.95,5.95,5.54,5.83,220,1294704000
"2011-01-12","LM8",5.54,5.79,5.54,5.79,1710,1294790400
"2011-01-13","LM8",5.83,5.83,5.79,5.79,370,1294876800
"2011-01-14","LM8",5.79,5.95,5.79,5.95,1810,1294963200
"2011-01-17","LM8",6,6,5.67,5.67,1750,1295222400
"2011-01-18","LM8",5.79,5.79,5.79,5.79,50,1295308800
"2011-01-19","LM8",5.79,5.79,5.62,5.71,950,1295395200
"2011-01-20","LM8",5.5,5.62,5.46,5.62,4670,1295481600
"2011-01-21","LM8",5.42,5.79,5.38,5.79,7740,1295568000
"2011-01-24","LM8",5.87,5.87,5.5,5.71,1030,1295827200
