"date","symbol","open","high","low","close","volume","timestamp"
"2008-06-25","ONE",6.26,6.26,6.26,6.26,13600,1214352000
"2008-06-26","ONE",6.51,6.51,6.26,6.51,2700,1214438400
"2008-07-02","ONE",6.21,6.21,6.21,6.21,100,1214956800
"2008-07-03","ONE",5.99,5.99,5.99,5.99,100,1215043200
"2008-07-04","ONE",5.76,6.21,5.76,5.76,9600,1215129600
"2008-07-07","ONE",5.99,5.99,5.54,5.54,3100,1215388800
"2008-07-08","ONE",5.46,5.46,5.46,5.46,100,1215475200
"2008-07-10","ONE",5.26,5.26,5.26,5.26,100,1215648000
"2008-07-11","ONE",5.06,5.06,5.06,5.06,2600,1215734400
"2008-07-14","ONE",4.86,4.86,4.86,4.86,4100,1215993600
"2008-07-15","ONE",4.69,5.04,4.69,5.04,90200,1216080000
"2008-07-16","ONE",5.01,5.01,5.01,5.01,40000,1216166400
"2008-07-17","ONE",5.21,5.21,5.21,5.21,36800,1216252800
"2008-07-18","ONE",5.41,5.41,5.01,5.01,3200,1216339200
"2008-07-21","ONE",5.04,5.04,5.04,5.04,2200,1216598400
"2008-07-24","ONE",4.84,4.84,4.84,4.84,3200,1216857600
"2008-07-25","ONE",4.66,4.66,4.66,4.66,200,1216944000
"2008-07-28","ONE",4.49,4.49,4.49,4.49,1600,1217203200
"2008-07-29","ONE",4.31,4.36,4.31,4.31,18100,1217289600
"2008-07-30","ONE",4.16,4.16,4.16,4.16,3000,1217376000
"2008-07-31","ONE",4.01,4.01,4.01,4.01,200,1217462400
"2008-08-01","ONE",3.86,4.16,3.86,3.91,34500,1217548800
"2008-08-04","ONE",3.88,4.03,3.88,4.03,16100,1217808000
"2008-08-05","ONE",4.11,4.11,4.11,4.11,800,1217894400
"2008-08-06","ONE",4.26,4.26,4.26,4.26,5200,1217980800
"2008-08-07","ONE",4.41,4.41,4.41,4.41,1200,1218067200
"2008-08-08","ONE",4.59,4.59,4.59,4.59,3100,1218153600
"2008-08-11","ONE",4.76,4.76,4.76,4.76,26400,1218412800
"2008-08-12","ONE",4.94,4.94,4.76,4.94,93400,1218499200
"2008-08-13","ONE",4.33,4.33,4.33,4.33,2300,1218585600
"2008-08-14","ONE",4.49,4.49,4.46,4.49,15200,1218672000
"2008-08-15","ONE",4.66,4.66,4.66,4.66,29700,1218758400
"2008-08-18","ONE",4.99,4.99,4.33,4.38,58200,1219017600
"2008-08-19","ONE",4.26,4.26,4.08,4.26,11100,1219104000
"2008-08-20","ONE",3.88,3.93,3.88,3.88,20400,1219190400
"2008-08-21","ONE",3.76,4.13,3.76,4.13,8500,1219276800
"2008-08-22","ONE",4.29,4.29,4.01,4.29,35800,1219363200
"2008-08-25","ONE",4.38,4.49,4.38,4.49,32600,1219622400
"2008-08-26","ONE",4.74,4.79,4.74,4.79,36900,1219708800
"2008-08-27","ONE",5.11,5.11,4.79,4.79,60100,1219795200
"2008-08-28","ONE",4.71,4.71,4.71,4.71,29200,1219881600
"2008-08-29","ONE",4.43,4.71,4.38,4.71,30500,1219968000
"2008-09-03","ONE",4.74,4.74,4.74,4.74,600,1220400000
"2008-09-04","ONE",5.06,5.06,4.51,4.76,45500,1220486400
"2008-09-05","ONE",4.79,4.79,4.49,4.54,23200,1220572800
"2008-09-08","ONE",4.43,4.71,4.36,4.61,30400,1220832000
"2008-09-09","ONE",4.76,4.81,4.64,4.81,31200,1220918400
"2008-09-10","ONE",5.11,5.11,4.76,4.79,29900,1221004800
"2008-09-11","ONE",4.66,4.66,4.56,4.56,14200,1221091200
"2008-09-12","ONE",4.33,4.33,4.31,4.31,14400,1221177600
"2008-09-15","ONE",4.31,4.36,4.31,4.33,19700,1221436800
"2008-09-16","ONE",4.03,4.08,4.03,4.08,13800,1221523200
"2008-09-17","ONE",3.76,3.86,3.76,3.76,11200,1221609600
"2008-09-18","ONE",3.63,3.63,3.53,3.53,7800,1221696000
"2008-09-19","ONE",3.76,3.76,3.76,3.76,1600,1221782400
"2008-09-22","ONE",4.01,4.01,4.01,4.01,300,1222041600
"2008-09-23","ONE",4.29,4.29,4.01,4.26,14300,1222128000
"2008-09-25","ONE",4.26,4.51,4.26,4.46,2500,1222300800
"2008-09-26","ONE",4.43,4.43,4.31,4.31,4500,1222387200
"2008-09-29","ONE",4.33,4.33,4.33,4.33,3100,1222646400
"2008-10-01","ONE",4.03,4.49,4.03,4.33,2800,1222819200
"2008-10-02","ONE",4.36,4.36,4.26,4.26,3200,1222905600
"2008-10-03","ONE",4.33,4.33,4.08,4.08,6200,1222992000
"2008-10-08","ONE",3.88,3.88,3.88,3.88,2000,1223424000
"2008-10-09","ONE",3.96,4.13,3.63,3.63,3800,1223510400
"2008-10-13","ONE",4.01,4.01,4.01,4.01,100,1223856000
"2008-10-14","ONE",4.26,4.29,4.13,4.26,60500,1223942400
"2008-10-16","ONE",4.01,4.01,4.01,4.01,1000,1224115200
"2008-10-20","ONE",3.73,3.73,3.73,3.73,6600,1224460800
"2008-10-21","ONE",3.63,3.76,3.48,3.51,4200,1224547200
"2008-10-22","ONE",3.38,3.38,3.33,3.33,1500,1224633600
"2008-10-23","ONE",3.11,3.11,3.11,3.11,500,1224720000
"2008-10-24","ONE",2.91,2.91,2.91,2.91,13500,1224806400
"2008-10-27","ONE",2.71,2.71,2.71,2.71,1600,1225065600
"2008-10-28","ONE",2.53,2.56,2.53,2.53,3400,1225152000
"2008-10-29","ONE",2.71,2.71,2.71,2.71,20500,1225238400
"2008-10-30","ONE",2.53,2.86,2.53,2.86,800,1225324800
"2008-10-31","ONE",2.81,2.81,2.63,2.81,8200,1225411200
"2008-11-03","ONE",2.81,2.86,2.81,2.86,200,1225670400
"2008-11-04","ONE",2.93,2.93,2.93,2.93,1000,1225756800
"2008-11-05","ONE",3.01,3.11,3.01,3.11,12100,1225843200
"2008-11-06","ONE",3.01,3.01,2.88,3.01,1800,1225929600
"2008-11-07","ONE",2.78,2.81,2.78,2.78,6800,1226016000
"2008-11-10","ONE",2.81,2.81,2.78,2.78,700,1226275200
"2008-11-11","ONE",2.63,2.76,2.63,2.63,3400,1226361600
"2008-11-12","ONE",2.76,2.76,2.76,2.76,500,1226448000
"2008-11-13","ONE",2.63,2.63,2.58,2.58,11000,1226534400
"2008-11-14","ONE",2.61,2.71,2.61,2.71,2000,1226620800
"2008-11-17","ONE",2.48,2.48,2.48,2.48,2100,1226880000
"2008-11-18","ONE",2.43,2.48,2.43,2.48,400,1226966400
"2008-11-19","ONE",2.48,2.48,2.41,2.43,5400,1227052800
"2008-11-20","ONE",2.33,2.43,2.28,2.43,3700,1227139200
"2008-11-21","ONE",2.21,2.33,2.21,2.33,800,1227225600
"2008-11-24","ONE",2.38,2.43,2.31,2.31,2300,1227484800
"2008-11-25","ONE",2.21,2.21,2.18,2.21,6500,1227571200
"2008-11-26","ONE",2.21,2.21,2.21,2.21,800,1227657600
"2008-11-27","ONE",2.21,2.23,2.21,2.23,3200,1227744000
"2008-11-28","ONE",2.13,2.25,2.13,2.25,1800,1227830400
"2008-12-01","ONE",2.31,2.31,2.25,2.25,200,1228089600
"2008-12-02","ONE",2.25,2.25,2.25,2.25,500,1228176000
"2008-12-03","ONE",2.13,2.13,2.13,2.13,1700,1228262400
"2008-12-04","ONE",2.25,2.25,2.25,2.25,1300,1228348800
"2008-12-05","ONE",2.15,2.15,2.15,2.15,1000,1228435200
"2008-12-08","ONE",2.15,2.15,2.15,2.15,800,1228694400
"2008-12-10","ONE",2.06,2.03,2.06,2,1200,1228867200
"2008-12-11","ONE",2.15,2.15,2.15,2.15,500,1228953600
"2008-12-12","ONE",2.23,2.25,2.25,2.25,2500,1229040000
"2008-12-15","ONE",2.25,2.25,2.25,2.25,500,1229299200
"2008-12-16","ONE",2.13,2.13,2.13,2.13,1100,1229385600
"2008-12-17","ONE",2.25,2.25,2.23,2.23,1800,1229472000
