"date","symbol","open","high","low","close","volume","timestamp"
"2017-10-02","POB",9.66,9.66,8.7,8.7,200,1506902400
"2017-10-03","POB",8.7,8.7,7.83,7.83,300,1506988800
"2017-10-09","POB",6.96,6.96,6.96,6.96,100,1507507200
"2017-10-25","POB",5.99,5.99,5.99,5.99,500,1508889600
"2017-10-26","POB",5.12,5.12,5.12,5.12,100,1508976000
"2017-11-30","POB",5.02,5.02,5.02,5.02,2000,1512000000
"2017-12-04","POB",5.7,5.7,5.7,5.7,100,1512345600
"2017-12-06","POB",6.47,6.47,6.47,6.47,100,1512518400
"2017-12-07","POB",7.44,7.44,7.44,7.44,100,1512604800
"2017-12-12","POB",8.5,8.5,8.5,8.5,100,1513036800
"2017-12-28","POB",9.76,9.76,9.76,9.76,100,1514419200
"2018-05-10","POB",9.76,9.76,9.76,9.76,300,1525910400
"2018-08-08","POB",9.66,9.66,9.66,9.66,100,1533686400
"2018-08-14","POB",8.21,8.21,8.21,8.21,6100,1534204800
"2018-08-17","POB",7.05,7.05,7.05,7.05,2000,1534464000
"2018-08-20","POB",7.73,7.73,7.73,7.73,296,1534723200
"2018-08-22","POB",6.57,6.57,6.57,6.57,1000,1534896000
"2018-09-11","POB",6.28,6.28,6.28,6.28,10821,1536624000
"2018-09-19","POB",6.28,6.28,6.28,6.28,62,1537315200
"2018-09-26","POB",6.18,6.18,6.18,6.18,276792,1537920000
"2018-09-27","POB",6.18,6.18,6.18,6.18,62,1538006400
"2018-10-19","POB",6.76,7.05,6.76,7.05,210,1539907200
"2018-10-29","POB",7.83,7.83,7.83,7.83,100,1540771200
"2018-11-01","POB",7.63,7.63,7.63,7.63,100,1541030400
"2018-11-07","POB",8.6,8.6,8.6,8.6,100,1541548800
"2018-11-13","POB",9.76,9.76,9.76,9.76,100,1542067200
"2018-11-19","POB",11.11,11.11,11.11,11.11,100,1542585600
"2018-11-21","POB",12.66,12.66,12.66,12.66,100,1542758400
"2018-11-22","POB",13.43,13.43,13.43,13.43,800,1542844800
"2019-09-23","POB",18.21,18.21,18.21,18.21,100,1569196800
"2020-02-06","POB",18.4,18.4,18.4,18.4,1000,1580947200
"2020-02-25","POB",15.66,15.66,15.66,15.66,100,1582588800
"2020-02-28","POB",13.31,13.31,13.31,13.31,100,1582848000
"2020-03-02","POB",14.88,14.88,13.21,13.21,1100,1583107200
"2020-03-10","POB",12.53,12.53,12.53,12.53,100,1583798400
"2020-03-11","POB",10.67,10.67,10.67,10.67,100,1583884800
"2020-03-12","POB",9.1,9.1,9.1,9.1,100,1583971200
"2020-03-16","POB",7.83,7.83,7.83,7.83,3000,1584316800
"2020-03-17","POB",6.85,7.83,6.85,7.83,130400,1584403200
"2020-03-18","POB",5.97,5.97,5.97,5.97,100,1584489600
"2020-03-19","POB",5.38,5.38,5.38,5.38,100,1584576000
"2020-03-20","POB",5.29,5.38,5.29,5.38,600,1584662400
"2020-03-23","POB",4.7,4.7,4.7,4.7,300,1584921600
"2020-04-07","POB",4.11,4.11,4.11,4.11,800,1586217600
"2020-04-22","POB",4.7,4.7,4.7,4.7,100,1587513600
"2020-04-23","POB",5.38,5.38,5.38,5.38,237700,1587600000
"2020-04-24","POB",5.48,6.17,5.48,6.17,2900,1587686400
"2020-04-27","POB",6.56,6.56,6.56,6.56,3000,1587945600
"2020-04-28","POB",7.05,7.05,7.05,7.05,600,1588032000
"2020-04-29","POB",6.95,6.95,6.66,6.85,286300,1588118400
"2020-05-04","POB",6.85,6.85,6.85,6.85,200,1588550400
"2020-05-07","POB",6.75,6.75,6.75,6.75,500,1588809600
"2020-05-20","POB",7.63,7.63,7.63,7.63,100,1589932800
"2020-05-21","POB",8.61,8.61,8.61,8.61,100,1590019200
"2020-05-22","POB",7.34,7.34,7.34,7.34,15000,1590105600
"2020-05-26","POB",8.32,8.32,6.26,6.26,10100,1590451200
"2020-05-27","POB",6.85,6.85,6.85,6.85,400,1590537600
"2020-05-28","POB",5.97,5.97,5.97,5.97,100,1590624000
"2020-05-29","POB",6.75,6.75,6.75,6.75,100,1590710400
"2020-06-01","POB",6.46,6.46,6.46,6.46,200,1590969600
"2020-06-02","POB",7.34,7.34,7.34,7.34,16100,1591056000
"2020-06-03","POB",8.42,8.42,8.42,8.42,1400,1591142400
"2020-06-04","POB",8.52,8.52,8.52,8.52,10000,1591228800
"2020-06-05","POB",9.69,9.79,9.69,9.79,854800,1591315200
"2020-06-08","POB",11.26,11.26,8.32,8.32,12700,1591574400
"2020-06-09","POB",7.44,7.44,7.44,7.44,10000,1591660800
"2020-06-10","POB",6.56,6.56,6.56,6.56,1400,1591747200
"2020-06-16","POB",6.36,6.95,6.36,6.95,64000,1592265600
"2020-07-14","POB",6.5,6.5,6.5,6.5,200,1594684800
"2020-07-23","POB",7.4,7.4,7.4,7.4,100,1595462400
"2020-07-28","POB",8.4,8.4,8.4,8.4,100,1595894400
"2020-08-05","POB",9.6,9.6,9.6,9.6,100,1596585600
"2020-08-11","POB",9.5,9.6,9.5,9.6,1000,1597104000
"2020-08-12","POB",9.6,9.6,9.6,9.6,3100,1597190400
"2020-08-17","POB",9.6,9.6,9.6,9.6,10000,1597622400
"2020-08-18","POB",9.6,9.6,9.6,9.6,8900,1597708800
"2020-08-20","POB",9.6,9.6,9.6,9.6,5000,1597881600
"2020-09-01","POB",11,11,10.9,11,3500,1598918400
"2020-09-03","POB",12.6,12.6,12.6,12.6,300,1599091200
"2020-09-07","POB",14.4,14.4,14.4,14.4,100,1599436800
"2020-09-08","POB",16.5,16.5,16.5,16.5,1000,1599523200
"2020-09-14","POB",18.9,18.9,18.9,18.9,900,1600041600
"2020-09-15","POB",18.9,21.7,18.9,21.7,1100,1600128000
"2020-09-21","POB",18.2,18.2,18.2,18.2,100,1600646400
"2020-09-28","POB",20.9,20.9,20.9,20.9,100,1601251200
"2020-09-30","POB",17.8,17.8,17.8,17.8,100,1601424000
"2020-10-05","POB",15.2,15.2,15.2,15.2,100,1601856000
"2020-10-07","POB",14.9,14.9,13,13,25200,1602028800
"2020-10-13","POB",11.1,11.1,11.1,11.1,100,1602547200
"2020-10-14","POB",10,10,10,10,25200,1602633600
"2020-10-15","POB",11.5,11.5,10,11,1200,1602720000
"2020-10-21","POB",12.6,12.6,12.6,12.6,100,1603238400
"2020-10-22","POB",14.4,14.4,13,13,2400,1603324800
"2020-10-23","POB",15,15,14,14,600,1603411200
"2020-10-26","POB",16.3,16.3,15,16.3,1800,1603670400
"2020-10-27","POB",18.2,18.2,18.2,18.2,1200,1603756800
"2020-10-28","POB",20.9,20.9,20.9,20.9,2200,1603843200
"2020-10-29","POB",24,24,24,24,1200,1603929600
"2020-10-30","POB",27.6,27.6,27.6,27.6,100,1604016000
"2020-11-02","POB",31.7,31.7,31.7,31.7,100,1604275200
"2020-11-03","POB",36.4,36.4,36.4,36.4,100,1604361600
"2020-11-04","POB",41.8,41.8,36.5,36.5,500,1604448000
"2020-11-05","POB",37,37.6,36,37,8500,1604534400
"2020-11-06","POB",34,35.9,34,35.9,542000,1604620800
"2020-11-09","POB",30.6,30.6,30.6,30.6,100,1604880000
"2020-11-10","POB",26.1,26.1,26.1,26.1,100,1604966400
"2020-11-11","POB",22.2,22.2,22.2,22.2,100,1605052800
"2020-11-12","POB",18.9,18.9,18.9,18.9,800,1605139200
"2020-11-13","POB",16.1,16.1,16.1,16.1,200,1605225600
"2020-11-16","POB",13.7,13.7,13.7,13.7,100,1605484800
"2020-11-17","POB",11.7,11.7,11.7,11.7,1900,1605571200
"2020-11-18","POB",10,10,10,10,3000,1605657600
"2020-11-19","POB",8.5,8.5,8.5,8.5,100,1605744000
"2020-11-23","POB",8.6,9.7,8.6,9.7,543000,1606089600
"2020-11-24","POB",9.8,9.8,9.8,9.8,100,1606176000
"2020-11-26","POB",11.2,11.2,11.2,11.2,1800,1606348800
"2020-11-27","POB",12.8,12.8,12.8,12.8,600,1606435200
"2020-11-30","POB",14.7,14.7,14.7,14.7,1400,1606694400
"2020-12-01","POB",16.9,16.9,16.9,16.9,2700,1606780800
"2020-12-02","POB",17.3,17.3,17.3,17.3,500,1606867200
"2020-12-03","POB",17.3,17.5,17.3,17.5,1400,1606953600
"2020-12-04","POB",17,20.1,16.9,17.5,2700,1607040000
"2020-12-07","POB",17.3,17.4,17.3,17.4,300,1607299200
"2020-12-17","POB",17.4,17.4,17.4,17.4,500,1608163200
"2020-12-28","POB",14.8,14.8,14.8,14.8,100,1609113600
"2020-12-29","POB",12.6,12.7,12.6,12.6,800,1609200000
"2021-01-05","POB",14.3,14.4,14.3,14.4,200,1609804800
"2021-01-06","POB",12.3,12.3,12.3,12.3,91100,1609891200
"2021-01-08","POB",10.8,10.8,10.5,10.5,1100,1610064000
"2021-01-11","POB",10.5,10.5,10.5,10.5,300,1610323200
"2021-01-12","POB",9.2,9.2,9.2,9.2,200,1610409600
"2021-01-13","POB",9.3,10.5,9.3,10.5,1300,1610496000
"2021-01-18","POB",11,11,11,11,100,1610928000
"2021-01-19","POB",12,12,10,10,600,1611014400
"2021-01-22","POB",9.5,9.5,9.5,9.5,200,1611273600
"2021-01-28","POB",8.5,8.5,8.5,8.5,600,1611792000
"2021-02-19","POB",9.7,9.7,9.7,9.7,300,1613692800
"2021-02-22","POB",11.1,11.1,11.1,11.1,400,1613952000
"2021-02-23","POB",12.7,12.7,12.7,12.7,600,1614038400
"2021-02-25","POB",12.8,14.6,12.8,14.6,3100,1614211200
"2021-02-26","POB",13.5,16.6,13.5,16.6,400,1614297600
"2021-03-02","POB",16.4,16.4,16.4,16.4,200,1614643200
"2021-03-03","POB",16.2,18.8,16.2,18.8,3400,1614729600
"2021-03-05","POB",15.8,15.8,15.8,15.8,800,1614902400
"2021-03-08","POB",14,14,14,14,3000,1615161600
"2021-03-25","POB",14,16.1,14,16.1,14400,1616630400
"2021-03-30","POB",17,17,17,17,1000,1617062400
"2021-04-07","POB",17,17,17,17,1000,1617753600
"2021-04-08","POB",17,17,17,17,500,1617840000
"2021-05-20","POB",16,16,16,16,100,1621468800
"2021-06-04","POB",13.6,13.6,13.6,13.6,100,1622764800
"2021-06-08","POB",13.6,13.6,13.6,13.6,500,1623110400
"2021-06-09","POB",15.6,15.6,15.5,15.5,2000,1623196800
"2021-06-10","POB",17.9,17.9,17.9,17.9,2800,1623283200
"2021-06-11","POB",20.4,20.5,20.4,20.5,400,1623369600
"2021-06-14","POB",22.9,23.4,22.9,23,600,1623628800
"2021-06-15","POB",26.5,26.5,23,23,6100,1623715200
"2021-06-16","POB",26.5,26.5,22.9,23,2100,1623801600
"2021-06-17","POB",26.6,26.6,23.1,23.1,200,1623888000
"2021-06-18","POB",28.6,28.6,21.2,21.2,4100,1623974400
"2021-06-21","POB",24.7,24.7,18.3,18.3,2100,1624233600
"2021-06-22","POB",21.3,21.3,20,20,400,1624320000
"2021-06-23","POB",23.3,23.3,17.3,17.3,4000,1624406400
"2021-06-24","POB",20.1,20.1,15,15.1,400,1624492800
"2021-06-25","POB",19,19,19,19,800,1624579200
"2021-06-28","POB",21.8,21.8,20,20,200,1624838400
"2021-06-29","POB",24,24,17.9,19,800,1624924800
"2021-06-30","POB",22.4,22.4,19,19,300,1625011200
"2021-07-02","POB",23,23,23,23,100,1625184000
"2021-07-05","POB",26.4,26.4,19.6,20,300,1625443200
"2021-07-06","POB",25.3,25.3,20.1,20.1,200,1625529600
"2021-07-07","POB",26.1,26.1,26.1,26.1,100,1625616000
"2021-07-08","POB",29.9,29.9,29.9,29.9,100,1625702400
"2021-07-09","POB",34.3,34.3,25.5,25.5,300,1625788800
"2021-07-12","POB",32.6,32.6,32.6,32.6,100,1626048000
"2021-07-13","POB",27.8,27.8,27.8,27.8,4000,1626134400
"2021-07-14","POB",31.9,31.9,23.7,23.7,400,1626220800
"2021-07-15","POB",29.6,29.6,22,22,400,1626307200
"2021-07-16","POB",27.4,27.4,20.4,20.4,1900,1626393600
"2021-07-19","POB",20.4,20.4,19,19,500,1626652800
"2021-07-20","POB",22.1,22.1,16.5,16.5,2500,1626739200
"2021-07-21","POB",19.3,19.3,19.3,19.3,100,1626825600
"2021-07-22","POB",22.1,22.1,17.8,17.8,300,1626912000
"2021-07-23","POB",22,22,18,18,500,1626998400
"2021-07-26","POB",22.6,22.6,19.8,19.8,400,1627257600
"2021-07-27","POB",23.6,23.6,18,18,300,1627344000
"2021-07-29","POB",22.5,22.5,17.1,17.1,1600,1627516800
"2021-08-02","POB",18.5,18.5,18.5,18.5,200,1627862400
"2021-08-03","POB",18.4,18.4,18.4,18.4,100,1627948800
"2021-08-04","POB",17.7,18.3,16.1,18.3,2300,1628035200
"2021-08-05","POB",17.9,17.9,17.2,17.9,500,1628121600
"2021-08-06","POB",18.8,18.8,18.8,18.8,100,1628208000
"2021-08-09","POB",18.4,18.4,18.4,18.4,2100,1628467200
"2021-08-10","POB",20.6,20.6,18.9,18.9,1100,1628553600
"2021-08-11","POB",17.9,17.9,17.9,17.9,1200,1628640000
"2021-08-12","POB",17.9,17.9,17,17,500,1628726400
"2021-08-13","POB",17,17,17,17,600,1628812800
"2021-08-17","POB",17.9,19.5,17.9,19.5,5000,1629158400
"2021-08-18","POB",19.7,19.7,19.2,19.2,200,1629244800
"2021-08-19","POB",19.3,20,19.3,20,4500,1629331200
"2021-08-20","POB",19.8,20,19.8,20,6100,1629417600
"2021-08-23","POB",20,20,17,17,1400,1629676800
"2021-08-24","POB",20,20.1,17.1,20.1,10500,1629763200
"2021-08-25","POB",20,23,20,23,1100,1629849600
"2021-08-26","POB",22.9,25.6,22.9,25.6,7000,1629936000
"2021-08-27","POB",25.4,28.9,25.4,28.9,4600,1630022400
"2021-08-30","POB",33,33,33,33,200,1630281600
"2021-08-31","POB",37.9,37.9,37.9,37.9,1000,1630368000
"2021-09-01","POB",43.5,43.5,43.5,43.5,100,1630454400
"2021-09-06","POB",50,50,37,50,11100,1630886400
"2021-09-07","POB",56.3,56.3,41.7,55,17700,1630972800
"2021-09-08","POB",46.7,46.7,46.7,46.7,1100,1631059200
"2021-09-09","POB",39.7,39.7,39.7,39.7,700,1631145600
"2021-09-10","POB",39.7,39.7,33.8,33.8,3500,1631232000
"2021-09-13","POB",28.9,29.2,28.9,28.9,3900,1631491200
"2021-09-14","POB",28.9,28.9,28.9,28.9,1800,1631577600
"2021-09-16","POB",28.8,28.8,27.9,27.9,600,1631750400
"2021-09-17","POB",24,24,23.9,23.9,800,1631836800
"2021-09-21","POB",23.9,23.9,20.4,20.4,800,1632182400
"2021-09-22","POB",22.9,23.9,22.9,23.9,300,1632268800
