timestamp,open,high,low,close,volume
2017-07-21,6.3500,6.3500,6.3500,6.3500,0
2017-07-20,6.3500,6.3500,6.3500,6.3500,0
2017-07-19,6.3500,6.3500,6.3500,6.3500,0
2017-07-18,6.3500,6.3500,6.3500,6.3500,0
2017-07-17,6.3500,6.3500,6.3500,6.3500,0
2017-07-14,6.3500,6.3500,6.3500,6.3500,0
2017-07-13,6.3500,6.3500,6.3500,6.3500,100
2017-07-12,6.4000,6.4000,6.4000,6.4000,400
2017-07-11,6.4500,6.4500,6.4500,6.4500,200
2017-07-10,6.4500,6.4500,6.4500,6.4500,498
2017-07-07,6.4400,6.4400,6.4400,6.4400,7740
2017-07-06,6.4900,6.4900,6.4400,6.4400,200
2017-07-05,6.5000,6.5000,6.2500,6.2500,1736
2017-07-03,6.5100,6.5100,6.5100,6.5100,8
2017-06-30,6.5000,6.5100,6.5000,6.5100,2491
2017-06-29,6.5000,6.5100,6.5000,6.5100,2486
2017-06-28,6.4900,6.5100,6.4900,6.5000,2015
2017-06-27,6.4900,6.5000,6.4900,6.5000,2600
2017-06-26,6.4900,6.5000,6.4900,6.5000,1500
2017-06-23,6.5000,6.5000,6.5000,6.5000,200
2017-06-22,6.5000,6.5000,6.4900,6.4900,1200
2017-06-21,6.4900,6.5000,6.4900,6.4900,1900
2017-06-20,6.5000,6.5000,6.5000,6.5000,200
2017-06-19,6.5000,6.5000,6.4900,6.4900,6100
2017-06-16,6.5000,6.5000,6.4900,6.5000,2800
2017-06-15,6.5000,6.5000,6.4800,6.4900,1500
2017-06-14,6.4900,6.5000,6.4800,6.5000,10358
2017-06-13,6.4900,6.5000,6.4900,6.4900,2858
2017-06-12,6.4900,6.5000,6.4800,6.4900,41509
2017-06-09,6.4800,6.4900,6.4800,6.4800,5800
2017-06-08,6.4700,6.4800,6.4700,6.4800,159323
2017-06-07,6.4800,6.4800,6.4700,6.4700,143516
2017-06-06,6.4700,6.4800,6.4600,6.4700,328784
2017-06-05,6.4700,6.4800,6.4600,6.4700,221344
2017-06-02,6.4600,6.4800,6.4600,6.4700,31226
2017-06-01,6.4600,6.4750,6.4600,6.4600,704446
2017-05-31,6.4700,6.4700,6.4400,6.4600,602052
2017-05-30,6.4600,6.4800,6.4600,6.4600,179975
2017-05-26,6.4600,6.4700,6.4600,6.4600,665202
2017-05-25,6.4600,6.4700,6.4500,6.4600,344658
2017-05-24,6.4600,6.4800,6.4600,6.4600,16776
2017-05-23,6.4700,6.4800,6.4600,6.4700,83003
2017-05-22,6.4700,6.4800,6.4700,6.4700,8325
2017-05-19,6.4600,6.4700,6.4500,6.4700,40737
2017-05-18,6.4500,6.4700,6.4500,6.4600,96851
2017-05-17,6.4585,6.4700,6.4500,6.4550,751538
2017-05-16,6.4700,6.4700,6.4300,6.4500,175952
2017-05-15,6.4600,6.4900,6.4600,6.4800,19748
2017-05-12,6.4600,6.5000,6.4600,6.4700,216500
2017-05-11,6.4400,6.4700,6.4400,6.4700,68600
2017-05-10,6.4400,6.4700,6.4400,6.4500,181900
2017-05-09,6.4300,6.5000,6.4300,6.4500,440100
2017-05-08,6.4300,6.4500,6.4300,6.4300,223400
2017-05-05,6.4400,6.4500,6.4300,6.4500,260200
2017-05-04,6.4400,6.4500,6.4300,6.4300,363800
2017-05-03,6.4300,6.4500,6.4200,6.4500,1272200
2017-05-02,6.4300,6.4400,6.4200,6.4300,2947400
2017-05-01,6.4100,6.4400,6.4100,6.4300,3554200
2017-04-28,6.4500,6.4800,6.4000,6.4200,3367000
2017-04-27,5.5000,5.6000,5.4400,5.4400,307600
2017-04-26,5.4500,5.5000,5.4200,5.5000,72400
2017-04-25,5.2500,5.4500,5.2500,5.4500,97900
2017-04-24,5.2600,5.3000,5.2500,5.2700,73500
2017-04-21,5.2500,5.2700,5.2500,5.2600,128000
2017-04-20,5.2100,5.2700,5.2100,5.2500,54700
2017-04-19,5.2500,5.2900,5.2400,5.2600,1207900
2017-04-18,5.2500,5.2700,5.2400,5.2500,201900
2017-04-17,5.2700,5.2700,5.2400,5.2500,45700
2017-04-13,5.3000,5.3300,5.2500,5.2700,221400
2017-04-12,5.2700,5.3725,5.2400,5.2500,1185700
2017-04-11,5.2800,5.3400,5.2500,5.3300,149400
2017-04-10,5.1000,5.2800,5.0900,5.2500,278600
2017-04-07,5.1500,5.1500,5.0600,5.1000,110700
2017-04-06,5.1000,5.2500,5.0400,5.0900,504500
2017-04-05,5.1350,5.1500,5.0800,5.1000,397200
2017-04-04,5.1800,5.2000,5.0500,5.1000,133900
2017-04-03,5.3000,5.3500,5.1800,5.1800,255400
2017-03-31,5.4900,5.4900,5.1400,5.3000,253300
2017-03-30,5.4500,5.5100,5.4500,5.4700,255800
2017-03-29,5.3000,5.4500,5.3000,5.4400,163100
2017-03-28,5.1800,5.3500,5.1500,5.3000,512700
2017-03-27,5.1100,5.1700,5.0800,5.1700,415100
2017-03-24,5.0800,5.1400,5.0400,5.0400,375700
2017-03-23,5.0000,5.1000,5.0000,5.0700,223500
2017-03-22,5.0600,5.1300,4.8600,4.9800,299000
2017-03-21,5.1700,5.1900,5.0500,5.0500,283500
2017-03-20,5.1700,5.2100,5.1300,5.1600,866500
2017-03-17,5.0800,5.2000,5.0000,5.1500,494900
2017-03-16,4.6400,5.2500,4.6400,5.1500,2280300
2017-03-15,5.1000,5.1000,4.5000,4.6200,4707800
2017-03-14,5.0400,5.1500,4.7500,5.1000,2037700
2017-03-13,5.8000,5.8600,5.0000,5.1000,3326365
2017-03-10,5.8400,5.9500,5.8100,5.8900,75344
2017-03-09,5.9500,6.0100,5.8000,5.8100,85208
2017-03-08,5.8400,5.9700,5.7900,5.9400,77617
2017-03-07,6.1000,6.1000,5.7700,5.8100,104014
2017-03-06,6.1000,6.1400,5.9900,6.1200,107879
2017-03-03,6.1600,6.1800,6.0600,6.1300,133384
2017-03-02,5.8800,6.1600,5.8800,6.1200,73746
2017-03-01,5.7900,5.9000,5.7500,5.8700,92563
2017-02-28,6.0300,6.0300,5.7100,5.7300,247805
2017-02-27,6.0200,6.1000,5.9800,6.0300,177717
2017-02-24,5.8300,6.0600,5.8000,6.0100,111250
2017-02-23,5.8700,5.9500,5.8000,5.8700,79499
2017-02-22,5.8100,5.8900,5.7100,5.8500,152195
2017-02-21,6.0500,6.1100,5.7500,5.8200,204972
2017-02-17,6.2500,6.2500,6.0200,6.0300,65574
2017-02-16,6.3000,6.3400,6.1600,6.2400,42929
2017-02-15,6.5000,6.5100,6.2400,6.2600,117461
2017-02-14,6.5100,6.5800,6.3700,6.5300,125997
2017-02-13,6.7300,6.7300,6.5100,6.5400,94922
2017-02-10,6.6400,6.7700,6.5500,6.6900,91294
2017-02-09,6.6700,6.8300,6.5600,6.6300,119967
2017-02-08,6.7400,6.8400,6.5400,6.6300,168192
2017-02-07,6.7000,6.8000,6.6000,6.7400,125693
2017-02-06,6.7800,6.8500,6.6800,6.6900,101199
2017-02-03,7.0000,7.0000,6.8200,6.8200,164845
2017-02-02,7.0600,7.3200,6.9200,6.9500,433328
2017-02-01,7.3300,7.3400,7.0600,7.0900,329800
2017-01-31,7.2500,7.3700,7.1400,7.2800,110194
2017-01-30,7.3300,7.3900,7.1450,7.2800,64463
2017-01-27,7.3100,7.4300,7.2350,7.3900,52256
2017-01-26,7.4700,7.4800,7.2700,7.3200,100919
2017-01-25,7.4600,7.5300,7.3800,7.4900,54216
2017-01-24,7.2900,7.5000,7.2000,7.4000,120238
2017-01-23,7.2300,7.3700,7.1600,7.2800,166198
2017-01-20,7.3400,7.4200,7.2500,7.2700,97430
2017-01-19,7.5100,7.6500,7.1600,7.3400,261726
2017-01-18,7.8100,8.0000,7.3900,7.4200,995142
2017-01-17,7.9100,8.1000,7.7200,7.7600,1013348
2017-01-13,7.8800,8.0500,7.7900,8.0100,335738
2017-01-12,8.0300,8.0300,7.7500,7.7900,937803
2017-01-11,8.1300,8.3000,7.9800,8.0200,125008
2017-01-10,8.1400,8.4000,8.1000,8.1900,85816
2017-01-09,8.1000,8.2950,8.0300,8.1500,108053
2017-01-06,8.2000,8.2500,7.9800,8.1300,138500
2017-01-05,8.2600,8.3500,8.0000,8.2800,166301
2017-01-04,7.9000,8.2900,7.9000,8.2600,257761
2017-01-03,8.3200,8.3200,7.6500,7.9800,774941
2016-12-30,8.2500,8.2800,7.6300,7.8800,137419
2016-12-29,8.2600,8.4100,8.1355,8.2400,58756
2016-12-28,8.2800,8.3500,8.1200,8.2300,66220
2016-12-27,8.2000,8.3700,8.2000,8.2600,80745
2016-12-23,7.9900,8.2100,7.9300,8.2000,109774
2016-12-22,8.1500,8.1700,7.9699,7.9800,108764
2016-12-21,8.4300,8.4400,8.0900,8.1700,142979
2016-12-20,8.3700,8.5000,8.2900,8.4500,92178
2016-12-19,8.1000,8.4800,8.0900,8.3600,139602
2016-12-16,8.1300,8.3150,8.0100,8.1200,324239
2016-12-15,8.1400,8.3500,7.9900,8.0900,184542
2016-12-14,8.1300,8.2800,8.0300,8.1100,155872
2016-12-13,8.0300,8.3800,7.9900,8.1300,292992
2016-12-12,8.1000,8.1700,7.9300,7.9900,167863
2016-12-09,8.1400,8.3100,8.0000,8.1300,298623
2016-12-08,8.0000,8.1000,7.9500,8.1000,426273
2016-12-07,8.1100,8.1100,7.9300,7.9900,144011
2016-12-06,8.0000,8.1168,7.9200,8.0000,189040
2016-12-05,7.9000,8.2100,7.8300,8.0100,337814
2016-12-02,7.7900,7.9400,7.6400,7.7600,161667
2016-12-01,7.9500,8.0500,7.5000,7.7900,130687
2016-11-30,8.0000,8.1200,7.8100,7.9200,196847
2016-11-29,8.0200,8.1300,7.8900,7.9000,86882
2016-11-28,8.0400,8.1668,7.8400,7.9800,132158
2016-11-25,8.0000,8.1100,7.8750,8.0400,45701
2016-11-23,8.0700,8.1100,7.8100,8.0300,165298
2016-11-22,8.2500,8.3000,7.9900,8.0700,267193
2016-11-21,8.1900,8.7200,8.0900,8.2400,194675
2016-11-18,8.1900,8.3900,7.9200,8.1600,449060
2016-11-17,8.2600,8.3400,8.0200,8.1500,212980
2016-11-16,8.6900,8.6900,7.9500,8.1600,175973
2016-11-15,9.2400,9.4000,8.5100,8.5500,172803
2016-11-14,9.6100,10.3900,8.8600,9.2200,88224
2016-11-11,8.6300,9.4500,8.4300,9.4200,148424
2016-11-10,8.7500,8.8900,8.5000,8.6300,90391
2016-11-09,8.2000,8.6700,8.1350,8.6100,96946
2016-11-08,8.3000,8.5000,8.2000,8.3200,60468
2016-11-07,8.4100,8.4100,8.2000,8.2800,76206
2016-11-04,8.0300,8.3100,8.0200,8.1700,86323
2016-11-03,8.1600,8.1700,7.7400,8.0800,51194
2016-11-02,8.4600,8.4600,7.9700,8.1300,44213
2016-11-01,8.6400,8.6400,8.3900,8.4100,76946
2016-10-31,8.4800,8.8400,8.3500,8.5800,190005
2016-10-28,8.5400,8.6600,8.5000,8.5400,86407
2016-10-27,8.4700,8.6500,8.4400,8.6200,51115
2016-10-26,8.4300,8.5900,8.3700,8.3900,43352
2016-10-25,8.5100,8.5500,8.4600,8.5000,36003
2016-10-24,8.3000,8.5600,8.3000,8.5200,38154
2016-10-21,8.0000,8.3000,7.5560,8.2900,61753
2016-10-20,8.2600,8.2700,8.1000,8.1300,52418
2016-10-19,8.1800,8.3900,8.1750,8.2900,48566
2016-10-18,8.2200,8.4050,8.1800,8.1900,52884
2016-10-17,8.0500,8.1900,7.9600,8.1200,48886
2016-10-14,8.0100,8.1300,7.8800,8.0700,78822
2016-10-13,7.9800,8.0800,7.8100,8.0000,87943
2016-10-12,8.0500,8.2600,7.9900,8.0700,77577
2016-10-11,8.2100,8.2100,7.9400,8.0500,99185
2016-10-10,8.2800,8.3000,8.1950,8.2100,41948
2016-10-07,8.4300,8.4300,8.1100,8.2200,76862
2016-10-06,8.5200,8.6700,8.3350,8.4000,72023
2016-10-05,8.4700,8.5600,8.4500,8.5200,90963
2016-10-04,8.3900,8.4900,8.3700,8.4500,62242
2016-10-03,8.2500,8.4000,8.2500,8.3200,57866
2016-09-30,8.3400,8.4100,8.2200,8.2500,124341
2016-09-29,8.3400,8.3800,8.1900,8.2900,98740
2016-09-28,8.3400,8.4700,8.2700,8.3800,91441
2016-09-27,8.2900,8.4000,7.8100,8.3500,80779
2016-09-26,8.3400,8.4900,8.3000,8.3400,85107
2016-09-23,8.5500,8.7400,8.3600,8.3600,107538
2016-09-22,8.6100,8.6500,8.4400,8.6200,103344
2016-09-21,8.2600,8.6700,8.2500,8.5900,81545
2016-09-20,8.3800,8.6600,8.2400,8.2600,93387
2016-09-19,8.4300,8.8100,8.2300,8.2900,133237
2016-09-16,8.3200,8.5100,8.1600,8.3000,2151315
2016-09-15,8.2900,8.9600,8.2200,8.3200,237569
2016-09-14,8.3500,8.4000,8.1700,8.2600,242762
2016-09-13,8.4300,8.5200,8.2800,8.3100,180114
2016-09-12,8.5000,8.7800,8.4608,8.6800,247008
2016-09-09,8.3800,8.3800,7.9800,8.0400,218935
2016-09-08,8.5900,8.8000,8.4300,8.4700,186409
2016-09-07,8.6800,9.3500,8.5000,8.6600,230070
2016-09-06,9.7400,9.7400,8.2800,8.6700,471532
2016-09-02,9.5500,9.8300,9.4200,9.8200,81458
2016-09-01,9.3300,9.7300,9.1400,9.5200,72442
2016-08-31,9.5300,9.5300,8.9700,9.2900,116766
2016-08-30,9.6900,9.8500,9.4600,9.5200,67432
2016-08-29,9.7500,9.9200,9.5600,9.7100,67708
2016-08-26,9.8800,9.9900,9.5501,9.7500,71391
2016-08-25,9.8000,9.9100,9.7350,9.8800,58790
2016-08-24,9.2400,10.1200,9.2400,9.8300,76605
2016-08-23,9.6900,9.8400,9.6600,9.7100,66077
2016-08-22,9.4200,9.7100,9.3400,9.6100,76650
2016-08-19,9.5400,9.6500,9.4101,9.5100,66173
2016-08-18,9.3100,9.7100,9.3100,9.5700,118400
2016-08-17,9.4500,9.4500,9.2700,9.3400,43997
2016-08-16,9.4400,9.6000,9.3800,9.4800,53563
2016-08-15,9.4700,9.6000,9.2800,9.5000,94562
2016-08-12,9.2400,9.5900,9.2110,9.4500,89440
2016-08-11,9.0000,9.2800,8.9100,9.2600,77319
2016-08-10,8.7700,9.0300,8.7600,8.9900,103548
2016-08-09,8.7100,8.8900,8.6700,8.8400,69045
2016-08-08,8.5900,8.7400,8.5800,8.6800,70612
2016-08-05,8.4100,8.6000,8.3100,8.5600,74669
2016-08-04,8.2700,8.4200,8.1300,8.3700,49841
2016-08-03,8.1500,8.3100,8.1500,8.3000,79566
2016-08-02,8.3100,8.4300,8.0400,8.1800,119580
2016-08-01,8.1100,8.3300,8.0900,8.2900,94445
2016-07-29,8.1200,8.2600,7.9500,8.0900,134739
