symbol,date,close,percentage,lowest,highest
ABS,2022-11-23,5.54,0.0,5.54,71.18
ACG,2022-11-23,33.4,0.0,33.4,78.71
APT,2022-11-11,1.7,0.0,1.7,5.4
ART,2022-11-18,1.3,0.0,1.3,25.21
BCV,2021-12-03,21.5,0.0,21.5,21.5
CEG,2022-10-21,3.9,0.0,3.9,17.12
DKC,2022-02-15,1.25,0.0,1.25,17.56
DMN,2022-11-23,4.9,0.0,4.9,28.7
FSO,2019-07-31,11.5,0.0,11.5,15.0
GH3,2022-10-05,9.2,0.0,9.2,9.2
GLC,2021-07-01,10.0,0.0,10.0,11.7
HNR,2021-10-07,12.0,0.0,12.0,20.0
HPX,2022-11-23,11.3,0.0,11.3,40.5
HVG,2022-11-18,1.3,0.0,1.3,22.8
LDW,2019-09-19,12.67,0.0,12.67,12.67
LGM,2022-11-23,5.6,0.0,5.6,28.5
LNC,2021-07-22,9.96,0.0,9.96,9.96
MDA,2022-06-02,9.0,0.0,9.0,9.0
MQB,2018-07-18,9.18,0.0,9.18,9.18
NDW,2022-09-07,10.0,0.0,10.0,10.0
NLS,2021-07-01,4.45,0.0,4.45,18.67
NVL,2022-11-23,23.6,0.0,23.6,94.36
PEG,2022-11-22,5.1,0.0,5.1,14.5
PXC,2021-12-17,0.5,0.0,0.5,0.5
QNT,2022-11-22,3.1,0.0,3.1,13.4
QNW,2022-09-29,10.1,0.0,10.1,10.1
RCD,2022-11-18,1.8,0.0,1.8,30.29
SCY,2022-11-21,10.0,0.0,10.0,10.0
SHX,2022-11-22,4.0,0.0,4.0,20.0
SVH,2019-11-15,6.0,0.0,6.0,13.3
TH1,2022-11-18,3.5,0.0,3.5,64.33
THI,2022-11-23,20.0,0.0,20.0,39.16
THN,2019-04-03,3.73,0.0,3.73,3.73
TIE,2022-11-23,2.0,0.0,2.0,22.84
VBG,2021-04-13,5.65,0.0,5.65,8.47
VCE,2017-07-25,8.0,0.0,8.0,8.0
VKP,2017-01-13,0.3,0.0,0.3,44.0
VPW,2022-01-21,6.45,0.0,6.45,6.45
VSF,2022-11-18,3.7,0.0,3.7,12.0
X77,2017-02-17,0.3,0.0,0.3,0.3
LTC,2022-11-18,1.2,0.14,1.1,73.93
BOT,2022-11-23,3.0,0.16,2.9,63.0
S96,2022-11-18,0.6,0.24,0.2,170.0
SQC,2022-11-18,3.1,0.24,2.7,167.4
AGF,2022-11-18,2.1,0.26,1.9,77.09
AIC,2022-11-23,7.3,0.3,7.2,33.0
VKC,2022-11-23,1.4,0.32,1.3,30.8
SD7,2022-11-23,4.3,0.38,2.4,494.4
LO5,2022-11-18,1.0,0.47,0.9,21.16
L44,2022-11-18,0.7,0.48,0.6,20.73
VAT,2022-11-18,1.0,0.49,0.9,20.27
KLF,2022-11-18,0.7,0.51,0.6,19.7
KSH,2022-11-18,0.8,0.51,0.3,97.5
CLG,2022-11-18,1.0,0.52,0.77,43.83
DIC,2022-11-18,1.1,0.55,0.8,54.22
MPT,2022-11-18,0.9,0.59,0.8,16.96
FBA,2017-07-07,0.9,0.6,0.7,33.5
LUT,2022-11-18,1.9,0.6,1.5,67.0
SDB,2022-11-11,1.2,0.61,0.9,49.5
TDH,2022-11-23,2.97,0.61,2.3,109.74
LDP,2022-11-23,4.5,0.62,4.16,55.0
TIN,2022-11-23,13.8,0.62,13.5,48.6
HAI,2022-09-08,1.58,0.65,1.38,31.0
YEG,2022-11-23,8.65,0.65,6.42,343.4
CTC,2022-11-23,1.6,0.69,1.4,28.89
SD6,2022-11-23,2.5,0.69,1.9,86.76
EFI,2022-11-18,1.8,0.7,1.5,43.03
CEN,2022-11-23,3.3,0.74,2.1,162.27
DCT,2022-11-18,0.8,0.74,0.4,54.0
NSS,2021-01-27,4.0,0.75,3.97,4.0
VC5,2022-11-18,0.9,0.75,0.6,40.01
PVE,2022-11-18,2.6,0.78,1.1,191.77
SPP,2022-11-18,0.6,0.85,0.3,35.14
ITA,2022-11-23,3.07,0.86,1.73,156.37
NRC,2022-11-23,5.5,0.87,5.22,32.19
TS4,2022-11-18,1.5,0.87,1.3,22.9
PCF,2022-11-22,2.4,0.88,2.3,11.3
PPI,2022-11-18,0.6,0.89,0.3,33.63
SD3,2022-11-23,3.1,0.89,1.16,217.95
DCS,2022-11-18,0.8,0.9,0.3,55.3
C92,2022-11-23,2.2,0.91,1.7,54.83
HKB,2022-11-18,0.7,0.91,0.4,33.0
CTN,2022-11-18,1.0,0.94,0.1,96.15
NTB,2022-11-18,0.6,0.95,0.2,42.0
HLA,2022-11-18,0.6,1.0,0.1,50.0
PVA,2022-11-18,1.4,1.0,0.2,119.9
V15,2022-11-18,0.6,1.0,0.1,49.9
SDY,2022-11-18,2.4,1.03,1.4,97.0
AMD,2022-11-23,1.07,1.04,0.81,25.05
HDO,2022-11-18,0.6,1.04,0.2,38.4
HSI,2022-11-18,1.2,1.04,0.7,48.0
CAG,2022-11-23,7.6,1.05,6.4,114.7
TBH,2022-11-18,9.1,1.07,7.9,112.2
SCJ,2022-11-23,2.8,1.08,1.5,120.63
V21,2022-11-23,3.6,1.15,3.0,52.31
CIP,2022-11-23,1.9,1.17,1.5,34.3
LCS,2022-08-05,2.2,1.17,1.7,42.76
CRC,2022-11-23,5.0,1.18,4.75,21.19
DL1,2022-11-23,2.9,1.23,2.1,65.24
MCG,2022-11-23,2.0,1.23,1.27,59.5
SSM,2022-11-23,3.1,1.23,2.59,41.61
STH,2022-11-23,5.3,1.27,5.0,23.7
SDP,2022-11-18,1.4,1.28,0.8,46.8
SDD,2022-11-23,2.3,1.29,1.4,70.0
B82,2022-11-18,0.6,1.35,0.3,22.29
V11,2022-11-18,0.6,1.35,0.1,37.0
CMC,2022-11-23,4.9,1.44,2.7,152.4
BCA,2022-11-23,4.8,1.47,4.5,20.4
