close,date,high,low,open,symbol,timestamp,volume
9.25,2020-03-18,9.25,9.25,9.25,ABS,1584489600,9690
9.89,2020-03-19,9.89,9.89,9.89,ABS,1584576000,12840
10.57,2020-03-20,10.57,10.57,10.57,ABS,1584662400,10080
11.28,2020-03-23,11.28,11.28,11.28,ABS,1584921600,8110
12.07,2020-03-24,12.07,12.07,12.07,ABS,1585008000,210860
12.89,2020-03-25,12.89,12.89,12.89,ABS,1585094400,124850
13.78,2020-03-26,13.78,13.71,13.78,ABS,1585180800,198820
14.74,2020-03-27,14.74,14.74,14.74,ABS,1585267200,91940
15.74,2020-03-30,15.74,15.74,15.74,ABS,1585526400,96540
16.81,2020-03-31,16.81,16.74,16.81,ABS,1585612800,211060
17.96,2020-04-01,17.96,17.96,17.96,ABS,1585699200,99250
19.21,2020-04-03,19.21,19.21,19.21,ABS,1585872000,108670
20.53,2020-04-06,20.53,20.53,20.53,ABS,1586131200,98590
21.95,2020-04-07,21.95,21.95,21.95,ABS,1586217600,67880
23.49,2020-04-08,23.49,23.49,23.49,ABS,1586304000,89030
25.13,2020-04-09,25.13,25.13,25.13,ABS,1586390400,65630
23.38,2020-04-10,26.88,23.38,26.88,ABS,1586476800,311640
21.78,2020-04-13,21.85,21.78,21.85,ABS,1586736000,23580
20.28,2020-04-14,20.28,20.28,20.28,ABS,1586822400,2390
18.89,2020-04-15,18.89,18.89,18.89,ABS,1586908800,2760
17.56,2020-04-16,17.56,17.56,17.56,ABS,1586995200,1810
17.56,2020-04-17,17.56,16.35,17.56,ABS,1587081600,5300
15.21,2020-04-20,15.21,15.21,15.21,ABS,1587340800,2090
14.17,2020-04-21,14.17,14.17,14.17,ABS,1587427200,480
13.21,2020-04-22,13.21,13.21,13.21,ABS,1587513600,5910
12.32,2020-04-23,12.32,12.32,12.32,ABS,1587600000,5730
13.17,2020-04-24,13.17,11.46,11.46,ABS,1587686400,493220
13.71,2020-04-27,14.06,12.92,14.06,ABS,1587945600,345540
12.78,2020-04-28,13.57,12.78,13.21,ABS,1588032000,185300
11.89,2020-04-29,11.89,11.89,11.89,ABS,1588118400,141340
11.07,2020-05-04,11.07,11.07,11.07,ABS,1588550400,50130
10.64,2020-05-05,11.42,10.32,10.32,ABS,1588636800,347130
11.35,2020-05-06,11.35,10.32,10.32,ABS,1588723200,150420
10.92,2020-05-07,11.42,10.71,11.42,ABS,1588809600,109900
10.92,2020-05-08,10.92,10.35,10.71,ABS,1588896000,299560
10.64,2020-05-11,11.07,10.35,10.92,ABS,1589155200,230270
11.03,2020-05-12,11.03,10.71,10.89,ABS,1589241600,158790
10.71,2020-05-13,11.03,10.5,10.85,ABS,1589328000,169550
10.39,2020-05-14,10.71,10.28,10.5,ABS,1589414400,203350
10.5,2020-05-15,10.71,10.28,10.39,ABS,1589500800,254320
10.28,2020-05-18,10.57,10.14,10.35,ABS,1589760000,130190
10.35,2020-05-19,10.5,10.25,10.28,ABS,1589846400,227310
9.89,2020-05-20,10.42,9.89,10.35,ABS,1589932800,227880
10,2020-05-21,10.07,9.85,9.85,ABS,1590019200,222900
10.14,2020-05-22,10.14,9.82,10,ABS,1590105600,227050
10.14,2020-05-25,10.21,9.92,9.92,ABS,1590364800,156330
10.21,2020-05-26,10.17,9.89,10.14,ABS,1590451200,158340
9.89,2020-05-27,10.17,9.85,10.17,ABS,1590537600,111050
9.92,2020-05-28,9.96,9.64,9.89,ABS,1590624000,103110
10,2020-05-29,10,9.71,10,ABS,1590710400,113420
10.03,2020-06-01,10.03,9.82,10,ABS,1590969600,234490
10.07,2020-06-02,10.17,9.85,10.03,ABS,1591056000,100240
10.14,2020-06-03,10.14,10,10.14,ABS,1591142400,136950
10.21,2020-06-04,10.35,9.96,10.14,ABS,1591228800,142300
10.25,2020-06-05,10.25,10,10.03,ABS,1591315200,128550
10.28,2020-06-08,10.28,10.03,10.21,ABS,1591574400,160820
10.32,2020-06-09,10.32,10.07,10.28,ABS,1591660800,138840
10.32,2020-06-10,10.43,9.98,10.35,ABS,1591747200,275930
9.84,2020-06-11,10.32,9.84,10.32,ABS,1591833600,164310
9.17,2020-06-12,9.84,9.17,9.84,ABS,1591920000,230700
8.54,2020-06-15,8.99,8.54,8.99,ABS,1592179200,253110
8.51,2020-06-16,8.54,7.99,8.06,ABS,1592265600,257220
8.54,2020-06-17,8.58,8.06,8.43,ABS,1592352000,194510
8.43,2020-06-18,8.58,8.1,8.43,ABS,1592438400,157970
8.51,2020-06-19,8.51,8.13,8.36,ABS,1592524800,229110
8.62,2020-06-22,8.62,8.25,8.43,ABS,1592784000,256190
9.21,2020-06-23,9.21,8.43,8.43,ABS,1592870400,267450
9.84,2020-06-24,9.84,9.39,9.84,ABS,1592956800,154300
10.28,2020-06-25,10.5,9.84,10.5,ABS,1593043200,506250
9.58,2020-06-26,10.28,9.58,9.98,ABS,1593129600,178470
8.91,2020-06-29,9.24,8.91,8.95,ABS,1593388800,91770
8.32,2020-06-30,8.76,8.32,8.36,ABS,1593475200,187560
8.58,2020-07-01,8.88,7.77,7.77,ABS,1593561600,199170
9.02,2020-07-02,9.1,7.99,8.65,ABS,1593648000,103960
