symbol,close,timestamp,low,open,high,volume,date
ACL,10.65,1188950400,10.65,10.65,10.65,217480,2007-09-05
ACL,10.32,1189036800,10.13,10.32,10.32,222430,2007-09-06
ACL,10.52,1189123200,10.39,10.52,10.52,154640,2007-09-07
ACL,10.91,1189382400,10.65,10.65,11.04,165250,2007-09-10
ACL,10.78,1189468800,10.78,10.91,10.98,103890,2007-09-11
ACL,10.45,1189555200,10.45,10.59,10.59,62520,2007-09-12
ACL,10.45,1189641600,10.39,10.45,10.45,46950,2007-09-13
ACL,10.52,1189728000,10.45,10.52,10.52,53480,2007-09-14
ACL,10.45,1189987200,10.39,10.52,10.52,61910,2007-09-17
ACL,10.45,1190073600,10.45,10.45,10.52,45680,2007-09-18
ACL,10.45,1190160000,10.39,10.52,10.52,40160,2007-09-19
ACL,10.45,1190246400,10.45,10.52,10.52,44050,2007-09-20
ACL,10.52,1190332800,10.45,10.52,10.52,48150,2007-09-21
ACL,10.65,1190592000,10.52,10.52,10.65,38180,2007-09-24
ACL,10.91,1190678400,10.78,10.91,10.91,88570,2007-09-25
ACL,10.98,1190764800,10.98,11.31,11.31,128880,2007-09-26
ACL,11.04,1190851200,10.98,11.04,11.04,137040,2007-09-27
ACL,11.57,1190937600,11.31,11.57,11.57,160240,2007-09-28
ACL,12.1,1191196800,12.1,12.1,12.1,68630,2007-10-01
ACL,12.62,1191283200,11.96,12.62,12.62,270700,2007-10-02
ACL,12.23,1191369600,12.23,12.62,12.62,110780,2007-10-03
ACL,11.83,1191456000,11.64,11.83,12.1,115460,2007-10-04
ACL,11.57,1191542400,11.57,11.83,11.83,79240,2007-10-05
ACL,11.64,1191888000,11.57,11.64,11.7,36660,2007-10-09
ACL,11.77,1191974400,11.64,11.77,11.83,64800,2007-10-10
ACL,11.77,1192060800,11.57,11.64,11.77,54840,2007-10-11
ACL,11.57,1192492800,11.44,11.57,11.7,36720,2007-10-16
ACL,11.57,1192579200,11.44,11.57,11.57,57200,2007-10-17
ACL,11.37,1192665600,11.31,11.44,11.44,66560,2007-10-18
ACL,11.7,1192752000,11.57,11.7,11.7,66640,2007-10-19
ACL,11.37,1193788800,11.37,11.57,11.64,38850,2007-10-31
ACL,11.96,1193961600,11.83,11.96,11.96,173140,2007-11-02
ACL,12.03,1194307200,12.03,12.03,12.23,74010,2007-11-06
ACL,12.03,1194393600,11.83,11.83,12.1,17130,2007-11-07
ACL,12.1,1194480000,11.7,12.1,12.1,62810,2007-11-08
