volume,date,symbol,high,timestamp,open,low,close
27020,2016-08-22,ATG,12.4,1471824000,11.5,11.5,12.4
6530,2016-08-23,ATG,12.5,1471910400,12.4,12.4,12.5
2000,2016-08-24,ATG,12.5,1471996800,12.5,12.5,12.5
1500,2016-08-25,ATG,12.4,1472083200,12.4,12.4,12.4
1800,2016-08-26,ATG,12.3,1472169600,12.3,12.2,12.2
2550,2016-08-29,ATG,12.3,1472428800,12.3,12,12
400,2016-08-30,ATG,12.2,1472515200,12.2,12.2,12.2
310,2016-08-31,ATG,12.3,1472601600,12.3,12.1,12.3
11720,2016-09-05,ATG,12.5,1473033600,12.2,12.1,12.2
23610,2016-09-06,ATG,12.5,1473120000,12.3,12.2,12.4
31690,2016-09-07,ATG,12.8,1473206400,12.4,12.2,12.4
54000,2016-09-08,ATG,12.8,1473292800,12.4,12.1,12.7
90250,2016-09-09,ATG,13.3,1473379200,12.9,12.6,12.8
143360,2016-09-12,ATG,12.8,1473638400,12.8,12.3,12.5
163050,2016-09-13,ATG,12.5,1473724800,11.9,11.9,12.5
231800,2016-09-14,ATG,12.9,1473811200,12.5,12.4,12.55
154490,2016-09-15,ATG,12.6,1473897600,12.55,12.1,12.5
215600,2016-09-16,ATG,13,1473984000,12.6,12.4,12.4
218810,2016-09-19,ATG,12.7,1474243200,12.3,12.3,12.3
278010,2016-09-20,ATG,13.15,1474329600,12.4,12.1,13.15
253990,2016-09-21,ATG,13.9,1474416000,13,12.6,13.9
326500,2016-09-22,ATG,14.75,1474502400,14.1,13.75,14.7
326090,2016-09-23,ATG,15.3,1474588800,14.7,14.15,15.3
294820,2016-09-26,ATG,16,1474848000,15.2,15.2,15.2
247600,2016-09-27,ATG,15.5,1474934400,15,15,15.4
317650,2016-09-28,ATG,15.9,1475020800,15.2,15.2,15.5
216100,2016-09-29,ATG,15.3,1475107200,15.1,15,15.3
399670,2016-09-30,ATG,15.5,1475193600,15.3,15,15.4
277820,2016-10-03,ATG,15.4,1475452800,15.4,15,15.1
265850,2016-10-04,ATG,15.3,1475539200,15.1,15,15.2
