open,close,date,volume,symbol,timestamp,low,high
13.2,13.2,2020-12-31,5000,BKG,1609372800,13.2,13.2
13.2,14.1,2021-01-04,10600,BKG,1609718400,13.2,14.1
15.05,15.05,2021-01-05,192500,BKG,1609804800,15.05,15.05
16.1,16.1,2021-01-06,647500,BKG,1609891200,15.95,16.1
16.1,17.1,2021-01-07,889400,BKG,1609977600,15,17.2
17.3,16.5,2021-01-08,357000,BKG,1610064000,15.95,17.5
15.7,15.35,2021-01-11,102500,BKG,1610323200,15.35,16
14.3,14.3,2021-01-12,107500,BKG,1610409600,14.3,14.3
13.3,13.8,2021-01-13,787000,BKG,1610496000,13.3,14.3
14,13.4,2021-01-14,400600,BKG,1610582400,12.85,14.3
13.6,13.6,2021-01-15,187600,BKG,1610668800,13.4,13.9
13.6,12.8,2021-01-18,350100,BKG,1610928000,12.75,13.6
12.7,12.3,2021-01-19,355900,BKG,1611014400,11.95,12.75
11.8,11.95,2021-01-20,107200,BKG,1611100800,11.55,12
11.95,12.3,2021-01-21,148700,BKG,1611187200,11.8,12.4
12.45,12.1,2021-01-22,167900,BKG,1611273600,12,12.5
11.9,11.9,2021-01-25,160000,BKG,1611532800,11.7,12.1
11.8,11.8,2021-01-26,128500,BKG,1611619200,11.6,12
11.65,11.8,2021-01-27,177600,BKG,1611705600,11.4,11.9
11.5,11.6,2021-01-28,308300,BKG,1611792000,11.15,11.6
11.5,12.1,2021-01-29,169200,BKG,1611878400,11.5,12.2
12.2,12.3,2021-02-01,348100,BKG,1612137600,12.1,12.55
12.4,12.1,2021-02-02,1019200,BKG,1612224000,12,12.4
11.9,12.2,2021-02-03,965700,BKG,1612310400,11.9,12.25
12.25,11.95,2021-02-04,163300,BKG,1612396800,11.95,12.25
11.85,11.8,2021-02-05,359200,BKG,1612483200,11.75,11.95
11.75,11.5,2021-02-08,146500,BKG,1612742400,11.5,11.8
11.5,11.6,2021-02-09,132600,BKG,1612828800,11.4,11.7
11.8,11.7,2021-02-17,114100,BKG,1613520000,11.5,11.8
11.8,11.6,2021-02-18,259200,BKG,1613606400,11.6,11.8
11.5,11.5,2021-02-19,135400,BKG,1613692800,11.45,11.55
11.5,11.6,2021-02-22,584600,BKG,1613952000,11.45,11.6
11.65,11.7,2021-02-23,203100,BKG,1614038400,11.65,11.85
11.7,11.65,2021-02-24,166700,BKG,1614124800,11.6,11.7
11.6,11.55,2021-02-25,852700,BKG,1614211200,11.55,11.7
11.4,11.45,2021-02-26,92600,BKG,1614297600,11.4,11.55
11.5,11.55,2021-03-01,74400,BKG,1614556800,11.5,11.6
11.55,11.55,2021-03-02,328300,BKG,1614643200,11.5,11.55
11.6,11.7,2021-03-03,142000,BKG,1614729600,11.5,11.7
11.85,12.05,2021-03-04,787300,BKG,1614816000,11.7,12.1
12.05,12.2,2021-03-05,392400,BKG,1614902400,12.05,12.4
12.45,12.1,2021-03-08,41100,BKG,1615161600,12.1,12.45
12.1,11.8,2021-03-09,189500,BKG,1615248000,11.5,12.1
11.6,11.7,2021-03-10,161800,BKG,1615334400,11.45,11.8
11.6,11.5,2021-03-11,384700,BKG,1615420800,11.45,11.6
11.5,11.35,2021-03-12,180700,BKG,1615507200,11.25,11.5
11.3,11.35,2021-03-15,384600,BKG,1615766400,11.05,11.4
11.4,11.25,2021-03-16,337900,BKG,1615852800,11,11.5
11.25,11.05,2021-03-17,239500,BKG,1615939200,10.95,11.25
11.05,11.2,2021-03-18,108900,BKG,1616025600,10.95,11.2
11.2,11.1,2021-03-19,123500,BKG,1616112000,10.95,11.2
11.1,11,2021-03-22,224700,BKG,1616371200,10.9,11.1
10.95,11.25,2021-03-23,567000,BKG,1616457600,10.9,11.35
11,11.05,2021-03-24,184200,BKG,1616544000,11,11.4
11.05,10.95,2021-03-25,226700,BKG,1616630400,10.9,11.3
10.95,10.95,2021-03-26,161000,BKG,1616716800,10.85,11
11,11.1,2021-03-29,221200,BKG,1616976000,10.9,11.2
11.3,11.7,2021-03-30,1065100,BKG,1617062400,11.05,11.7
11.9,11.7,2021-03-31,564900,BKG,1617148800,11.65,11.9
11.7,11.2,2021-04-01,301700,BKG,1617235200,11.2,11.75
11.2,11.2,2021-04-02,380700,BKG,1617321600,10.95,11.2
