volume,date,symbol,high,timestamp,open,low,close
150100,2014-10-10,DAS,3.18,1412899200,3.18,3.18,3.18
1000,2017-06-22,DAS,1.94,1498089600,1.94,1.94,1.94
500,2017-07-05,DAS,2.21,1499212800,2.21,2.21,2.21
1000,2017-07-11,DAS,2.03,1499731200,2.03,2.03,2.03
500,2017-07-13,DAS,2.3,1499904000,2.3,2.3,2.3
500,2017-09-12,DAS,3.18,1505174400,3.18,3.18,3.18
1000,2018-04-09,DAS,3.54,1523232000,3.54,3.54,3.54
1000,2018-07-30,DAS,4.65,1532908800,4.65,4.65,4.65
10400,2018-10-09,DAS,4.19,1539043200,4.19,4.19,4.19
13000,2018-10-30,DAS,4.19,1540857600,4.19,4.19,4.19
100,2018-12-17,DAS,5.86,1545004800,5.86,5.86,5.86
100,2018-12-18,DAS,6.7,1545091200,6.7,6.7,6.7
200,2018-12-19,DAS,7.54,1545177600,7.54,7.44,7.44
100,2018-12-20,DAS,8.47,1545264000,8.47,8.47,8.47
1700,2018-12-21,DAS,9.68,1545350400,9.3,9.3,9.68
1800,2018-12-24,DAS,10.98,1545609600,10.88,10.88,10.98
400,2018-12-25,DAS,12.47,1545696000,12.47,9.4,9.4
200,2018-12-26,DAS,9.3,1545782400,9.3,9.3,9.3
2800,2018-12-27,DAS,9.58,1545868800,9.3,9.3,9.58
500,2019-01-30,DAS,8,1548806400,8,8,8
1000,2019-02-22,DAS,8,1550793600,8,8,8
2500,2019-02-26,DAS,8.56,1551139200,8.37,8.37,8.56
200,2019-02-27,DAS,8.47,1551225600,8.47,8.47,8.47
500,2019-03-11,DAS,8.37,1552262400,8.37,8.37,8.37
1000,2019-03-18,DAS,8.37,1552867200,8.37,8.37,8.37
500,2019-04-09,DAS,7.16,1554768000,7.16,7.16,7.16
500,2019-04-10,DAS,8.19,1554854400,8.19,8.19,8.19
500,2019-04-11,DAS,8.37,1554940800,8.37,8.37,8.37
700,2019-04-12,DAS,8.37,1555027200,8.37,7.35,7.35
500,2019-04-18,DAS,9.3,1555545600,9.3,9.3,9.3
5800,2019-04-19,DAS,10.7,1555632000,9.3,9.3,9.58
1600,2019-04-22,DAS,11.91,1555891200,11.91,9.02,11.81
300,2019-04-23,DAS,13.12,1555977600,12.93,12.93,12.93
4700,2019-04-24,DAS,14.89,1556064000,14.51,13.96,13.96
500,2019-04-25,DAS,13.49,1556150400,13.49,13.49,13.49
100,2019-04-26,DAS,11.54,1556236800,11.54,11.54,11.54
5200,2019-05-02,DAS,9.86,1556755200,9.86,9.86,9.86
100,2019-05-03,DAS,9.12,1556841600,9.12,9.12,9.12
19908,2019-05-06,DAS,9.21,1557100800,8,7.82,9.21
5000,2019-05-07,DAS,8,1557187200,8,7.82,7.82
100,2019-05-08,DAS,6.7,1557273600,6.7,6.7,6.7
500,2019-05-09,DAS,6.05,1557360000,6.05,5.77,5.77
3100,2019-05-10,DAS,6.7,1557446400,5.02,5.02,6.7
100,2019-05-13,DAS,7.54,1557705600,7.54,7.54,7.54
6900,2019-05-14,DAS,8.65,1557792000,8.65,7.72,7.72
3500,2019-05-15,DAS,9.3,1557878400,9.21,9.21,9.3
65400,2019-05-16,DAS,10.61,1557964800,10.61,9.3,9.49
1000,2019-05-17,DAS,8.37,1558051200,8.37,8.37,8.37
100,2019-05-20,DAS,9.4,1558310400,9.4,9.4,9.4
100,2019-05-21,DAS,8.19,1558396800,8.19,8.19,8.19
79350,2019-05-22,DAS,9.4,1558483200,9.4,9.3,9.4
1100,2019-05-23,DAS,9.58,1558569600,8.09,8.09,9.58
1200,2019-05-27,DAS,9.4,1558915200,7.16,7.16,9.4
900,2019-05-28,DAS,9.3,1559001600,9.3,9.3,9.3
100,2019-05-29,DAS,10.51,1559088000,10.51,10.51,10.51
21200,2019-05-30,DAS,11.91,1559174400,11.16,11.16,11.91
2000,2019-05-31,DAS,11.72,1559260800,11.72,11.72,11.72
500,2019-06-03,DAS,10.14,1559520000,10.14,10.05,10.05
100,2019-06-04,DAS,8.65,1559606400,8.65,8.65,8.65
2000,2019-06-10,DAS,9.77,1560124800,9.3,9.3,9.77
14200,2019-06-11,DAS,10.88,1560211200,9.3,9.3,10.88
200,2019-06-12,DAS,9.3,1560297600,9.3,9.3,9.3
100,2019-06-14,DAS,8,1560470400,8,8,8
6000,2019-06-18,DAS,9.02,1560816000,9.02,9.02,9.02
26200,2019-06-19,DAS,10.33,1560902400,7.72,7.72,10.33
22300,2019-06-20,DAS,11.39,1560988800,8.61,8.61,11.39
1070,2019-06-21,DAS,9.57,1561075200,9.57,9.57,9.57
26300,2019-06-24,DAS,11.01,1561334400,8.33,8.33,11.01
300,2019-06-25,DAS,9.09,1561420800,8.8,8.8,9.09
2400,2019-06-26,DAS,10.05,1561507200,9.09,8.9,10.05
300,2019-07-01,DAS,10.43,1561939200,10.05,10.05,10.43
300,2019-07-05,DAS,9.57,1562284800,9.57,9.57,9.57
300,2019-07-12,DAS,8.23,1562889600,8.23,8.23,8.23
200,2019-07-15,DAS,7.18,1563148800,7.18,7.18,7.18
200,2019-07-23,DAS,6.22,1563840000,6.22,6.22,6.22
200,2019-07-25,DAS,7.08,1564012800,7.08,5.74,5.74
100,2019-08-09,DAS,7.37,1565308800,7.37,7.37,7.37
100,2019-08-12,DAS,8.42,1565568000,8.42,8.42,8.42
28600,2019-08-13,DAS,9.67,1565654400,9.67,9.67,9.67
200,2019-08-14,DAS,9.09,1565740800,9.09,8.61,8.61
600,2019-08-15,DAS,10.14,1565827200,10.14,10.14,10.14
100,2019-08-19,DAS,9.09,1566172800,9.09,9.09,9.09
16200,2019-08-21,DAS,10.05,1566345600,9.86,9.86,10.05
100,2019-08-22,DAS,9.09,1566432000,9.09,9.09,9.09
100,2019-08-26,DAS,10.24,1566777600,10.24,10.24,10.24
200,2019-08-27,DAS,11.48,1566864000,11.48,11.48,11.48
500,2019-08-28,DAS,12.63,1566950400,9.86,9.86,12.63
1000,2019-08-29,DAS,10.34,1567036800,10.34,10.34,10.34
200,2019-09-03,DAS,10.53,1567468800,8.9,8.9,10.53
300,2019-09-04,DAS,9.09,1567555200,9.09,9.09,9.09
100,2019-09-06,DAS,9,1567728000,9,9,9
100,2019-09-09,DAS,9.86,1567987200,9.86,9.86,9.86
100,2019-09-11,DAS,9.09,1568160000,9.09,9.09,9.09
3000,2019-09-12,DAS,9.86,1568246400,9.86,9.86,9.86
13000,2019-09-13,DAS,11.29,1568332800,11.29,10.53,10.53
100,2019-09-16,DAS,9.28,1568592000,9.28,9.28,9.28
2400,2019-09-17,DAS,10.62,1568678400,10.62,10.62,10.62
5300,2019-09-25,DAS,12.15,1569369600,11.01,11.01,12.15
500,2019-09-26,DAS,10.53,1569456000,10.53,10.53,10.53
100,2019-09-30,DAS,9.09,1569801600,9.09,9.09,9.09
100,2019-10-01,DAS,8.13,1569888000,8.13,8.13,8.13
200,2019-10-02,DAS,7.46,1569974400,7.46,7.08,7.08
200,2019-10-10,DAS,8.33,1570665600,8.33,8.33,8.33
100,2019-10-11,DAS,8.33,1570752000,8.33,8.33,8.33
200,2019-10-14,DAS,8.33,1571011200,8.33,8.33,8.33
100,2019-10-18,DAS,9.57,1571356800,9.57,9.57,9.57
500,2019-10-21,DAS,8.8,1571616000,8.8,8.8,8.8
2200,2019-10-22,DAS,8.8,1571702400,8.8,7.66,8.8
100,2019-10-23,DAS,8.9,1571788800,8.9,8.9,8.9
300,2019-10-25,DAS,8.61,1571961600,8.61,8.61,8.61
100,2019-10-29,DAS,8.13,1572307200,8.13,8.13,8.13
100,2019-10-30,DAS,7.85,1572393600,7.85,7.85,7.85
1500,2019-10-31,DAS,7.94,1572480000,7.94,7.66,7.66
1100,2019-11-01,DAS,8.8,1572566400,8.8,7.94,7.94
100,2019-11-04,DAS,7.75,1572825600,7.75,7.75,7.75
100,2019-11-07,DAS,8.33,1573084800,8.33,8.33,8.33
300,2019-11-08,DAS,8.13,1573171200,7.85,7.85,8.13
100,2019-11-11,DAS,8.52,1573430400,8.52,8.52,8.52
500,2019-11-12,DAS,7.85,1573516800,7.85,7.85,7.85
600,2019-11-13,DAS,8.52,1573603200,8.52,7.75,7.75
100,2019-11-15,DAS,7.46,1573776000,7.46,7.46,7.46
100,2019-11-18,DAS,8.33,1574035200,8.33,8.33,8.33
300,2019-11-19,DAS,7.75,1574121600,7.75,7.75,7.75
400,2019-11-20,DAS,7.08,1574208000,6.99,6.99,7.08
100,2019-11-21,DAS,7.85,1574294400,7.85,7.85,7.85
100,2019-11-22,DAS,8.52,1574380800,8.52,8.52,8.52
4800,2019-11-25,DAS,8.61,1574640000,7.46,7.46,8.61
100,2019-11-29,DAS,7.56,1574985600,7.56,7.56,7.56
200,2019-12-10,DAS,6.79,1575936000,6.79,6.79,6.79
200,2019-12-13,DAS,7.75,1576195200,7.75,7.75,7.75
300,2019-12-16,DAS,8.9,1576454400,8.9,8.9,8.9
300,2019-12-17,DAS,7.85,1576540800,7.85,7.85,7.85
1200,2019-12-18,DAS,9,1576627200,9,7.94,9
700,2019-12-19,DAS,9.28,1576713600,8.13,8.13,9.28
5200,2019-12-20,DAS,9.67,1576800000,8.13,7.27,9.67
3000,2019-12-23,DAS,6.51,1577059200,6.51,6.51,6.51
500,2019-12-24,DAS,7.46,1577145600,7.46,7.46,7.46
300,2019-12-25,DAS,8.52,1577232000,8.52,8.52,8.52
1000,2019-12-26,DAS,9.76,1577318400,9.76,9.76,9.76
200,2019-12-27,DAS,11.2,1577404800,11.2,11.2,11.2
17700,2019-12-30,DAS,12.82,1577664000,12.82,12.82,12.82
40600,2019-12-31,DAS,14.74,1577750400,14.74,10.91,12.63
36100,2020-01-02,DAS,13.49,1577923200,13.49,10.05,13.49
100,2020-01-03,DAS,12.54,1578009600,12.54,12.54,12.54
43800,2020-01-06,DAS,14.36,1578268800,14.36,10.72,12.54
44100,2020-01-07,DAS,13.59,1578355200,13.59,10.14,13.59
100,2020-01-08,DAS,12.92,1578441600,12.92,12.92,12.92
19900,2020-01-09,DAS,14.83,1578528000,11.1,11.1,14.83
3100,2020-01-10,DAS,12.44,1578614400,12.15,12.15,12.44
1000,2020-01-13,DAS,10.81,1578873600,10.81,10.34,10.34
4000,2020-01-14,DAS,9.19,1578960000,8.9,8.9,9.19
500,2020-01-15,DAS,8.04,1579046400,8.04,8.04,8.04
400,2020-01-16,DAS,7.66,1579132800,7.66,7.18,7.18
100,2020-01-17,DAS,6.7,1579219200,6.7,6.7,6.7
300,2020-01-30,DAS,7.66,1580342400,7.66,7.66,7.66
5300,2020-01-31,DAS,8.8,1580428800,8.8,7.75,8.8
600,2020-02-03,DAS,9,1580688000,9,7.94,7.94
3300,2020-02-04,DAS,9.28,1580774400,9.28,8.42,8.42
100,2020-02-05,DAS,9.47,1580860800,9.47,9.47,9.47
100,2020-02-06,DAS,10.43,1580947200,10.43,10.43,10.43
100,2020-02-07,DAS,11.96,1581033600,11.96,11.96,11.96
500,2020-02-10,DAS,12.63,1581292800,12.63,12.63,12.63
2100,2020-02-14,DAS,10.81,1581638400,10.81,10.81,10.81
500,2020-02-17,DAS,9.28,1581897600,9.28,9.28,9.28
100,2020-02-18,DAS,8.23,1581984000,8.23,8.23,8.23
400,2020-02-19,DAS,9.38,1582070400,9.38,9.38,9.38
100,2020-02-20,DAS,10.62,1582156800,10.62,10.62,10.62
100,2020-02-25,DAS,11.39,1582588800,11.39,11.39,11.39
300,2020-03-03,DAS,9.76,1583193600,9.76,9.76,9.76
100,2020-03-04,DAS,8.71,1583280000,8.71,8.71,8.71
1100,2020-03-09,DAS,9.95,1583712000,8.71,8.71,9.95
100,2020-03-17,DAS,9.57,1584403200,9.57,9.57,9.57
100,2020-03-18,DAS,8.23,1584489600,8.23,8.23,8.23
100,2020-03-19,DAS,7.27,1584576000,7.27,7.27,7.27
500,2020-03-20,DAS,8.33,1584662400,8.33,8.33,8.33
100,2020-03-30,DAS,7.08,1585526400,7.08,7.08,7.08
100,2020-04-03,DAS,6.32,1585872000,6.32,6.32,6.32
100,2020-04-20,DAS,7.18,1587340800,7.18,7.18,7.18
100,2020-05-06,DAS,8.23,1588723200,8.23,8.23,8.23
1200,2020-05-07,DAS,8.33,1588809600,8.33,8.23,8.23
100,2020-05-08,DAS,9.38,1588896000,9.38,9.38,9.38
700,2020-05-12,DAS,8.33,1589241600,8.33,8.04,8.04
100,2020-05-13,DAS,9.28,1589328000,9.28,9.28,9.28
11500,2020-05-14,DAS,10.62,1589414400,10.24,10.24,10.43
3000,2020-05-15,DAS,12.15,1589500800,11.48,10.53,10.53
6500,2020-05-18,DAS,13.02,1589760000,11.39,11.39,13.02
9700,2020-05-19,DAS,14.55,1589846400,12.73,12.73,14.55
1000,2020-05-20,DAS,14.26,1589932800,13.4,13.4,13.4
100,2020-05-22,DAS,11.96,1590105600,11.96,11.96,11.96
1500,2020-05-25,DAS,13.4,1590364800,13.4,13.11,13.11
500,2020-05-28,DAS,11.39,1590624000,11.39,11.39,11.39
300,2020-05-29,DAS,10.05,1590710400,10.05,10.05,10.05
1000,2020-06-01,DAS,10.05,1590969600,10.05,10.05,10.05
100,2020-06-03,DAS,9.09,1591142400,9.09,9.09,9.09
900,2020-06-16,DAS,10.05,1592265600,8.23,8.23,10.05
4100,2020-06-17,DAS,11.1,1592352000,11.1,10.53,10.53
100,2020-06-22,DAS,10.05,1592784000,10.05,10.05,10.05
100,2020-06-24,DAS,11.48,1592956800,11.48,11.48,11.48
2100,2020-06-25,DAS,13.21,1593043200,13.21,10.53,13.21
27700,2020-06-26,DAS,14.36,1593129600,13.88,13.88,14.36
42200,2020-06-29,DAS,16.46,1593388800,14.36,14.26,14.26
2000,2020-06-30,DAS,16.27,1593475200,16.27,16.27,16.27
7400,2020-07-01,DAS,14.83,1593561600,14.83,14.83,14.83
400,2020-07-02,DAS,17.04,1593648000,14.83,14.83,15.89
6400,2020-07-10,DAS,16.75,1594339200,14.83,14.83,16.75
46000,2020-07-13,DAS,17.23,1594598400,15.31,15.31,17.23
10700,2020-07-14,DAS,18.09,1594684800,17.7,17.7,18.09
21100,2020-07-15,DAS,20.58,1594771200,17.9,17.9,20.58
22500,2020-07-16,DAS,23.07,1594857600,22.01,22.01,23.07
40600,2020-07-17,DAS,25.07,1594944000,24.88,24.88,25.07
1100,2020-07-20,DAS,28.71,1595203200,28.71,22.97,22.97
5200,2020-07-21,DAS,22.87,1595289600,22.87,22.87,22.87
100,2020-08-10,DAS,19.52,1597017600,19.52,19.52,19.52
16300,2020-08-11,DAS,17.23,1597104000,16.84,16.84,17.23
1000,2020-08-18,DAS,16.27,1597708800,16.27,16.27,16.27
100,2020-08-24,DAS,18.66,1598227200,18.66,18.66,18.66
100,2020-08-25,DAS,18.66,1598313600,18.66,18.66,18.66
100,2020-08-31,DAS,21.44,1598832000,21.44,21.44,21.44
3700,2020-09-03,DAS,19.14,1599091200,18.28,18.28,19.14
1100,2020-09-04,DAS,18.66,1599177600,18.18,18.18,18.66
500,2020-09-08,DAS,15.89,1599523200,15.89,15.89,15.89
200,2020-09-09,DAS,18.18,1599609600,18.18,17.23,17.23
3900,2020-09-10,DAS,18.18,1599696000,17.7,17.7,18.18
2100,2020-09-11,DAS,18.09,1599782400,18.09,17.99,18.09
1000,2020-09-14,DAS,18.18,1600041600,18.18,18.18,18.18
3700,2020-09-15,DAS,19.62,1600128000,18.18,15.98,15.98
14300,2020-09-17,DAS,19.62,1600300800,16.94,16.27,16.27
2100,2020-09-21,DAS,19.62,1600646400,19.62,17.13,17.13
2000,2020-09-22,DAS,19.14,1600732800,19.14,19.14,19.14
100,2020-10-05,DAS,16.75,1601856000,16.75,16.75,16.75
100,2020-10-08,DAS,14.45,1602115200,14.45,14.45,14.45
51600,2020-10-09,DAS,12.54,1602201600,12.44,12.44,12.54
100,2020-10-14,DAS,11.1,1602633600,11.1,11.1,11.1
1200,2020-10-20,DAS,11.48,1603152000,11.48,9.57,9.57
100,2020-10-22,DAS,11.29,1603324800,11.29,11.29,11.29
100,2020-10-23,DAS,12.92,1603411200,12.92,12.92,12.92
1000,2020-10-26,DAS,12.92,1603670400,12.92,12.92,12.92
100,2020-10-27,DAS,14.83,1603756800,14.83,14.83,14.83
100,2020-10-28,DAS,17.04,1603843200,17.04,17.04,17.04
100,2020-10-30,DAS,19.57,1604016000,19.57,19.57,19.57
500,2020-11-11,DAS,16.65,1605052800,16.65,16.65,16.65
100,2020-11-19,DAS,16.55,1605744000,16.55,16.55,16.55
300,2020-11-23,DAS,16.06,1606089600,16.06,16.06,16.06
600,2020-11-24,DAS,16.06,1606176000,15.58,15.58,16.06
100,2020-11-26,DAS,18.2,1606348800,18.2,18.2,18.2
100,2020-12-14,DAS,15.58,1607904000,15.58,15.58,15.58
200,2020-12-15,DAS,13.34,1607990400,13.34,13.34,13.34
51600,2021-01-05,DAS,15.19,1609804800,11.49,11.39,15.19
200,2021-01-06,DAS,13.14,1609891200,13.14,13.14,13.14
100,2021-01-13,DAS,11.2,1610496000,11.2,11.2,11.2
400,2021-01-15,DAS,12.56,1610668800,11.68,11.68,12.56
600,2021-01-18,DAS,13.92,1610928000,11.2,11.2,12.17
100,2021-01-25,DAS,10.61,1611532800,10.61,10.61,10.61
400,2021-01-26,DAS,11.78,1611619200,10.22,10.22,11.78
100,2021-02-02,DAS,9.44,1612224000,9.44,9.44,9.44
100,2021-02-04,DAS,10.81,1612396800,10.81,10.81,10.81
100,2021-02-08,DAS,9.83,1612742400,9.83,9.83,9.83
100,2021-02-18,DAS,11.29,1613606400,11.29,11.29,11.29
400,2021-02-19,DAS,12.95,1613692800,12.95,12.75,12.75
100,2021-02-22,DAS,12.95,1613952000,12.95,12.95,12.95
