"date","symbol","open","high","low","close","volume","timestamp"
"2017-05-15","DFC",9.3,9.3,9.3,9.3,100,1494806400
"2017-06-08","DFC",10.63,10.63,10.63,10.63,100,1496880000
"2017-06-09","DFC",12.19,12.19,12.19,12.19,100,1496966400
"2017-06-12","DFC",13.96,13.96,13.96,13.96,100,1497225600
"2017-06-13","DFC",16.02,16.02,16.02,16.02,100,1497312000
"2017-06-14","DFC",18.39,18.39,18.39,18.39,100,1497398400
"2017-08-21","DFC",21.49,21.49,21.49,21.49,100,1503273600
"2017-08-24","DFC",18.39,24.67,18.39,24.67,2100,1503532800
"2017-08-25","DFC",16.02,16.02,16.02,16.02,2500,1503619200
"2017-08-29","DFC",18.39,18.39,18.39,18.39,100,1503964800
"2017-08-30","DFC",18.76,18.76,18.76,18.76,2100,1504051200
"2017-08-31","DFC",16.98,21.56,16.98,21.56,600,1504137600
"2017-09-05","DFC",21.27,21.27,21.27,21.27,100,1504569600
"2017-09-06","DFC",24.44,24.44,24.44,24.44,1510100,1504656000
"2017-09-07","DFC",28.06,28.06,28.06,28.06,2092200,1504742400
"2017-09-08","DFC",32.27,32.27,32.27,32.27,300,1504828800
"2017-09-11","DFC",37.07,37.07,37.07,37.07,1700,1505088000
"2017-09-12","DFC",37.07,42.61,31.53,32.49,14900,1505174400
"2017-09-13","DFC",29.91,30.28,29.54,29.54,21500,1505260800
"2017-09-14","DFC",29.54,31.02,29.54,31.02,800,1505347200
"2017-09-15","DFC",29.54,34.63,29.54,34.63,1400,1505433600
"2017-09-18","DFC",35.23,35.45,33.97,35.45,1800,1505692800
"2017-09-19","DFC",34.71,34.71,34.71,34.71,300,1505779200
"2017-09-20","DFC",36.92,36.92,32.49,32.49,1100,1505865600
"2017-09-21","DFC",33.97,33.97,31.02,33.75,2700,1505952000
"2017-09-22","DFC",36.92,36.92,29.02,33.23,2000,1506038400
"2017-09-25","DFC",29.91,33.23,29.91,31.75,3300,1506297600
"2017-09-26","DFC",30.28,30.28,30.28,30.28,100,1506384000
"2017-09-27","DFC",31.68,31.68,30.35,30.35,1200,1506470400
"2017-09-29","DFC",30.8,31.39,30.8,31.02,1400,1506643200
"2017-10-05","DFC",31.02,31.02,30.65,31.02,800,1507161600
"2017-10-06","DFC",30.72,30.72,30.72,30.72,300,1507248000
"2017-10-10","DFC",30.65,31.02,30.65,31.02,500,1507593600
"2017-10-11","DFC",30.72,30.72,30.72,30.72,100,1507680000
"2017-10-13","DFC",28.43,28.43,28.43,28.43,100,1507852800
"2017-10-16","DFC",24.22,31.75,24.22,31.75,700,1508112000
"2017-10-17","DFC",24.3,24.3,24.3,24.3,100,1508198400
"2017-10-18","DFC",27.91,27.91,27.91,27.91,100,1508284800
"2017-10-19","DFC",31.75,31.75,31.75,31.75,300,1508371200
"2017-10-20","DFC",31.75,31.75,31.75,31.75,100,1508457600
"2017-10-23","DFC",33.97,33.97,33.97,33.97,100,1508716800
"2017-11-02","DFC",29.02,29.02,29.02,29.02,1300,1509580800
"2017-11-06","DFC",33.16,33.16,33.16,33.16,100,1509926400
"2017-11-15","DFC",31.02,31.02,30.28,30.28,1300,1510704000
"2017-11-24","DFC",28.06,29.54,28.06,29.54,1500,1511481600
"2017-12-01","DFC",33.23,33.23,33.23,33.23,100,1512086400
"2017-12-14","DFC",28.8,28.8,28.8,28.8,300,1513209600
"2017-12-15","DFC",28.8,28.8,28.8,28.8,500,1513296000
"2017-12-18","DFC",25.85,25.85,25.85,25.85,1000,1513555200
"2017-12-20","DFC",28.8,28.8,28.8,28.8,100,1513728000
"2017-12-21","DFC",31.75,31.75,31.75,31.75,100,1513814400
