volume,date,symbol,high,timestamp,open,low,close
10200,2009-12-10,DID,10.03,1260403200,10.03,9.8,9.8
5100,2009-12-11,DID,9.27,1260489600,9.27,9.27,9.27
7000,2009-12-14,DID,8.64,1260748800,8.64,8.64,8.64
4000,2009-12-15,DID,9.22,1260835200,9.22,8.06,8.06
4200,2009-12-16,DID,9.58,1260921600,9.58,8.33,8.33
800,2009-12-17,DID,9.36,1261008000,9.36,9.36,9.36
5100,2009-12-18,DID,8.73,1261094400,8.73,8.73,8.73
94700,2009-12-21,DID,9.13,1261353600,8.96,8.15,9.13
44900,2009-12-22,DID,8.91,1261440000,8.91,8.02,8.47
16200,2009-12-23,DID,8.42,1261526400,8.42,7.75,7.8
21400,2009-12-24,DID,8.38,1261612800,8.02,8.02,8.38
44700,2009-12-25,DID,8.87,1261699200,8.47,8.47,8.87
26500,2009-12-28,DID,9.18,1261958400,9.18,8.64,8.69
32000,2009-12-29,DID,9.13,1262044800,9.13,8.47,8.51
25300,2009-12-30,DID,8.69,1262131200,8.69,8.2,8.6
14700,2009-12-31,DID,8.73,1262217600,8.69,8.47,8.69
113500,2010-01-04,DID,9.27,1262563200,9.13,8.82,9.27
61500,2010-01-05,DID,9.76,1262649600,9.76,9.36,9.76
67000,2010-01-06,DID,10.43,1262736000,9.98,9.45,10.43
20400,2010-01-07,DID,11.01,1262822400,11.01,11.01,11.01
293900,2010-01-08,DID,11.76,1262908800,11.76,11.27,11.76
57400,2010-01-11,DID,12.57,1263168000,12.57,12.57,12.57
201000,2010-01-12,DID,13.41,1263254400,13.41,11.81,13.41
181300,2010-01-13,DID,14.3,1263340800,12.48,12.43,14.3
195000,2010-01-14,DID,13.99,1263427200,13.99,12.7,13.1
38600,2010-01-15,DID,13.1,1263513600,13.1,12.88,12.88
29100,2010-01-18,DID,12.92,1263772800,12.92,11.99,11.99
80200,2010-01-19,DID,11.59,1263859200,11.59,11.19,11.19
80800,2010-01-20,DID,11.99,1263945600,11.23,10.74,11.19
81700,2010-01-21,DID,10.92,1264032000,10.83,10.78,10.78
58200,2010-01-22,DID,11.14,1264118400,10.78,10.07,11.14
42700,2010-01-25,DID,10.92,1264377600,10.25,10.25,10.92
148400,2010-01-26,DID,11.1,1264464000,9.98,9.98,10.69
75800,2010-01-27,DID,10.69,1264550400,10.69,9.8,9.8
103500,2010-01-28,DID,9.98,1264636800,9.31,9.31,9.31
32500,2010-01-29,DID,9.58,1264723200,8.87,8.87,9.54
15200,2010-02-01,DID,9.58,1264982400,9.54,9.13,9.45
15900,2010-02-02,DID,9.8,1265068800,9.8,9.13,9.36
25900,2010-02-03,DID,9.67,1265155200,9.54,9.09,9.67
54800,2010-02-04,DID,10.12,1265241600,9.58,9.58,10.12
102900,2010-02-05,DID,10.74,1265328000,10.69,10.25,10.65
5100,2010-02-08,DID,11.36,1265587200,11.23,10.61,10.69
11000,2010-02-09,DID,11.14,1265673600,11.14,10.07,10.07
17000,2010-02-10,DID,10.47,1265760000,10.47,9.71,10.25
6400,2010-02-11,DID,10.38,1265846400,9.89,9.85,10.38
7400,2010-02-12,DID,10.47,1265932800,10.47,10.2,10.47
5900,2010-02-22,DID,11.14,1266796800,11.14,10.43,10.56
14000,2010-02-23,DID,10.25,1266883200,10.25,10.07,10.2
32500,2010-02-24,DID,10.38,1266969600,10.38,9.58,10.25
19700,2010-02-25,DID,10.47,1267056000,10.47,9.85,10.2
51600,2010-02-26,DID,10.38,1267142400,10.38,10.12,10.2
