close,date,high,low,open,symbol,timestamp,volume
7.31,2011-02-16,7.31,6.47,7.31,DNM,1297814400,2500
6.98,2011-02-17,7.03,6.95,7.03,DNM,1297900800,3000
6.75,2011-02-18,7.17,6.75,7.17,DNM,1297987200,2300
6.41,2011-02-21,6.98,6.41,6.98,DNM,1298246400,600
6.78,2011-02-22,6.78,6.78,6.78,DNM,1298332800,100
6.55,2011-02-23,6.55,6.55,6.55,DNM,1298419200,100
7,2011-02-24,7,7,7,DNM,1298505600,100
6.61,2011-02-25,6.61,6.61,6.61,DNM,1298592000,500
6.75,2011-02-28,6.75,6.75,6.75,DNM,1298851200,100
6.53,2011-03-01,6.55,6.53,6.55,DNM,1298937600,200
6.75,2011-03-02,6.75,6.33,6.33,DNM,1299024000,500
5.99,2011-03-04,6.1,5.99,6.1,DNM,1299196800,900
5.65,2011-03-07,5.65,5.65,5.65,DNM,1299456000,200
5.63,2011-03-08,5.63,5.63,5.63,DNM,1299542400,500
5.91,2011-03-10,5.91,5.34,5.34,DNM,1299715200,700
5.63,2011-03-11,5.63,5.18,5.18,DNM,1299801600,800
5.63,2011-03-14,5.63,5.63,5.63,DNM,1300060800,100
5.23,2011-03-15,5.23,5.23,5.23,DNM,1300147200,200
5.6,2011-03-16,5.6,5.6,5.6,DNM,1300233600,200
5.26,2011-03-17,5.96,5.26,5.63,DNM,1300320000,900
5.15,2011-03-18,5.15,5.15,5.15,DNM,1300406400,1000
5.46,2011-03-21,5.46,5.46,5.46,DNM,1300665600,100
5.2,2011-03-22,5.77,5.2,5.77,DNM,1300752000,300
5.2,2011-03-24,5.2,5.2,5.2,DNM,1300924800,500
5.49,2011-03-25,5.49,4.89,4.89,DNM,1301011200,300
5.2,2011-03-28,5.2,5.2,5.2,DNM,1301270400,100
5.32,2011-03-30,5.32,5.32,5.32,DNM,1301443200,100
5.46,2011-03-31,5.46,5.46,5.46,DNM,1301529600,100
5.2,2011-04-01,5.77,5.09,5.77,DNM,1301616000,700
5.26,2011-04-04,5.26,5.26,5.26,DNM,1301875200,100
5.6,2011-04-05,5.6,5.6,5.6,DNM,1301961600,100
5.54,2011-04-06,5.54,5.54,5.54,DNM,1302048000,100
5.54,2011-04-08,5.54,5.18,5.18,DNM,1302220800,200
5.01,2011-04-13,5.06,5.01,5.06,DNM,1302652800,2400
4.7,2011-04-14,4.7,4.7,4.7,DNM,1302739200,500
4.72,2011-04-15,4.72,4.39,4.72,DNM,1302825600,1600
4.22,2011-04-18,4.33,4.22,4.33,DNM,1303084800,900
4.5,2011-04-19,4.5,4.44,4.44,DNM,1303171200,200
4.5,2011-04-20,4.5,4.5,4.5,DNM,1303257600,100
4.64,2011-04-21,4.64,4.64,4.64,DNM,1303344000,100
4.7,2011-04-22,4.7,4.7,4.7,DNM,1303430400,100
4.72,2011-04-25,4.72,4.72,4.72,DNM,1303689600,100
4.79,2011-04-27,4.79,4.79,4.79,DNM,1303862400,100
4.88,2011-04-28,4.88,4.88,4.88,DNM,1303948800,100
4.88,2011-05-05,4.88,4.88,4.88,DNM,1304553600,200
4.93,2011-05-06,4.93,4.93,4.93,DNM,1304640000,100
4.64,2011-05-09,4.96,4.64,4.96,DNM,1304899200,300
5.05,2011-05-10,5.05,5.02,5.02,DNM,1304985600,1300
5.08,2011-05-11,5.08,5.08,5.08,DNM,1305072000,100
5.14,2011-05-12,5.14,5.14,5.14,DNM,1305158400,100
5.35,2011-05-13,5.35,5.35,5.35,DNM,1305244800,100
5.38,2011-05-16,5.38,5.38,5.38,DNM,1305504000,100
5.26,2011-05-18,5.26,5.26,5.26,DNM,1305676800,100
5.29,2011-05-19,5.29,5.29,5.29,DNM,1305763200,100
5.32,2011-05-23,5.32,5.32,5.32,DNM,1306108800,100
5.35,2011-05-27,5.35,5.35,5.35,DNM,1306454400,100
5.2,2011-05-31,5.2,5.2,5.2,DNM,1306800000,100
5.38,2011-06-02,5.38,5.38,5.38,DNM,1306972800,100
5.23,2011-06-07,5.23,5.23,5.23,DNM,1307404800,100
5.2,2011-06-09,5.2,4.93,4.93,DNM,1307577600,700
5,2011-06-10,5,5,5,DNM,1307664000,100
4.67,2011-06-14,5.02,4.67,5.02,DNM,1308009600,400
4.79,2011-06-15,4.79,4.79,4.79,DNM,1308096000,100
4.49,2011-06-16,4.49,4.49,4.49,DNM,1308182400,500
4.19,2011-06-17,4.22,4.19,4.22,DNM,1308268800,200
4.46,2011-06-20,4.46,4.46,4.46,DNM,1308528000,100
4.43,2011-06-21,4.43,4.43,4.43,DNM,1308614400,100
4.61,2011-06-22,4.61,4.61,4.61,DNM,1308700800,100
4.88,2011-06-23,4.88,4.88,4.88,DNM,1308787200,100
4.55,2011-06-24,4.55,4.55,4.55,DNM,1308873600,100
4.28,2011-06-28,4.28,4.28,4.28,DNM,1309219200,400
4.28,2011-06-30,4.28,4.28,4.28,DNM,1309392000,200
3.98,2011-07-04,3.98,3.98,3.98,DNM,1309737600,4000
3.74,2011-07-05,4.19,3.74,4.19,DNM,1309824000,300
3.89,2011-07-06,3.89,3.89,3.89,DNM,1309910400,100
4.01,2011-07-07,4.01,4.01,4.01,DNM,1309996800,100
3.74,2011-07-11,3.74,3.74,3.74,DNM,1310342400,5000
3.59,2011-07-13,3.98,3.59,3.98,DNM,1310515200,4600
3.86,2011-07-14,3.86,3.83,3.83,DNM,1310601600,300
4.13,2011-07-15,4.13,4.1,4.1,DNM,1310688000,900
4.37,2011-07-18,4.37,4.37,4.37,DNM,1310947200,100
4.34,2011-07-21,4.34,4.34,4.34,DNM,1311206400,100
4.28,2011-07-26,4.28,4.28,4.28,DNM,1311638400,200
4.49,2011-07-27,4.49,4.49,4.49,DNM,1311724800,200
4.19,2011-07-29,4.19,4.19,4.19,DNM,1311897600,200
4.43,2011-08-02,4.43,3.92,3.92,DNM,1312243200,500
3.8,2011-08-10,3.8,3.8,3.8,DNM,1312934400,200
3.95,2011-08-11,3.95,3.95,3.95,DNM,1313020800,200
3.68,2011-08-12,3.68,3.68,3.68,DNM,1313107200,3000
3.44,2011-08-15,3.44,3.44,3.44,DNM,1313366400,7400
3.65,2011-08-16,3.65,3.65,3.65,DNM,1313452800,200
3.8,2011-08-18,3.8,3.8,3.8,DNM,1313625600,200
4.01,2011-08-19,4.01,4.01,4.01,DNM,1313712000,100
3.8,2011-08-23,3.8,3.8,3.8,DNM,1314057600,400
3.83,2011-08-24,3.83,3.83,3.83,DNM,1314144000,100
4.01,2011-08-25,4.01,4.01,4.01,DNM,1314230400,200
4.19,2011-08-30,4.19,4.19,4.19,DNM,1314662400,200
4.34,2011-09-01,4.34,4.34,4.34,DNM,1314835200,100
