close,date,high,low,open,symbol,timestamp,volume
13.5,2021-01-29,13.5,13.5,13.5,DPD,1611878400,100
15.5,2021-02-01,15.5,15.5,15.5,DPD,1612137600,100
16,2021-02-02,16,16,16,DPD,1612224000,200
16,2021-02-03,16,16,16,DPD,1612310400,600
16,2021-02-04,16,16,16,DPD,1612396800,500
13.6,2021-03-18,13.6,13.6,13.6,DPD,1616025600,100
18,2021-05-20,18.3,18,18.3,DPD,1621468800,4500
15.4,2021-06-02,15.4,15.4,15.4,DPD,1622592000,500
13.1,2021-06-03,13.1,13.1,13.1,DPD,1622678400,600
15,2021-06-07,15,15,15,DPD,1623024000,100
17.2,2021-06-09,17.2,17.2,17.2,DPD,1623196800,100
16.5,2021-06-10,16.6,16.5,16.6,DPD,1623283200,1300
17,2021-06-11,17,17,17,DPD,1623369600,100
19.5,2021-06-14,19.5,18.5,18.5,DPD,1623628800,900
19.8,2021-06-15,19.8,19.8,19.8,DPD,1623715200,1000
20.3,2021-06-16,20.3,20.3,20.3,DPD,1623801600,200
20.3,2021-06-18,20.3,20.3,20.3,DPD,1623974400,300
19,2021-06-21,19,19,19,DPD,1624233600,800
20.5,2021-07-05,21.8,20.5,21.8,DPD,1625443200,300
18.5,2021-08-03,18.5,18.5,18.5,DPD,1627948800,200
18,2021-08-06,18,18,18,DPD,1628208000,400
18,2021-09-27,18,18,18,DPD,1632700800,100
20.7,2021-09-29,20.7,20.7,20.7,DPD,1632873600,1100
23.8,2021-10-27,23.8,23.8,23.8,DPD,1635292800,100
23.9,2021-10-29,23.9,23.9,23.9,DPD,1635465600,1300
24,2021-11-01,24,24,24,DPD,1635724800,100
23.5,2022-11-15,23.5,23.5,23.5,DPD,1668470400.0,100.0
23.5,2022-11-18,23.5,23.5,23.5,DPD,1668729600.0,100.0
