"date","symbol","open","high","low","close","volume","timestamp"
"2020-07-09","DTP",24.39,24.47,24.32,24.32,6000,1594252800
"2020-07-10","DTP",24.85,25.99,24.85,25.99,1100,1594339200
"2020-07-13","DTP",28.65,28.65,28.65,28.65,100,1594598400
"2020-07-14","DTP",32.9,32.9,32.9,32.9,3500,1594684800
"2020-07-15","DTP",37.23,37.31,37.08,37.08,1800,1594771200
"2020-07-16","DTP",37.31,37.31,37.31,37.31,900,1594857600
"2020-07-20","DTP",31.76,31.76,31.76,31.76,100,1595203200
"2020-07-21","DTP",31.76,31.76,31.76,31.76,100,1595289600
"2020-07-23","DTP",31.16,31.54,31.16,31.54,200,1595462400
"2020-07-24","DTP",27.36,27.36,26.75,26.98,1600,1595548800
"2020-07-28","DTP",27.36,27.36,27.36,27.36,900,1595894400
"2020-07-29","DTP",30.39,30.39,30.39,30.39,100,1595980800
"2020-07-31","DTP",30.32,30.32,30.32,30.32,200,1596153600
"2020-08-03","DTP",30.24,30.24,30.24,30.24,300,1596412800
"2020-08-05","DTP",30.02,30.02,30.02,30.02,200,1596585600
"2020-08-07","DTP",25.84,26.29,25.84,26.29,200,1596758400
"2020-08-10","DTP",26.06,26.06,26.06,26.06,100,1597017600
"2020-08-14","DTP",24.32,25.08,24.32,25.08,200,1597363200
"2020-08-17","DTP",22.64,22.64,22.64,22.64,100,1597622400
"2020-08-18","DTP",23.1,23.1,23.1,23.1,100,1597708800
"2020-08-19","DTP",23.63,24.32,23.63,24.32,200,1597795200
"2020-08-20","DTP",22.95,22.95,22.95,22.95,100,1597881600
"2020-08-25","DTP",23.4,23.48,23.4,23.48,1400,1598313600
"2020-08-26","DTP",23.71,24.32,23.71,24.32,200,1598400000
"2020-08-27","DTP",20.44,27.58,20.44,23.25,700,1598486400
"2020-08-28","DTP",22.57,26.6,22.57,26.6,900,1598572800
"2020-08-31","DTP",26.6,26.6,26.6,26.6,200,1598832000
"2020-09-01","DTP",27.36,27.36,27.28,27.28,200,1598918400
"2020-09-03","DTP",27.36,27.36,27.28,27.28,200,1599091200
"2020-09-04","DTP",27.36,27.36,27.28,27.36,500,1599177600
"2020-09-07","DTP",25.08,25.46,25.08,25.08,2300,1599436800
"2020-09-08","DTP",25.08,25.08,25.08,25.08,200,1599523200
"2020-09-09","DTP",25.15,25.15,25.15,25.15,100,1599609600
"2020-09-10","DTP",25.46,25.84,25.23,25.84,3700,1599696000
"2020-09-11","DTP",25.3,25.84,25.3,25.84,2000,1599782400
"2020-09-14","DTP",25.91,25.91,25.91,25.91,100,1600041600
"2020-09-15","DTP",25.99,25.99,25.91,25.91,400,1600128000
"2020-09-16","DTP",25.99,25.99,25.91,25.91,900,1600214400
"2020-09-17","DTP",25.84,25.84,25.84,25.84,500,1600300800
"2020-09-18","DTP",25.84,25.84,25.76,25.76,1400,1600387200
"2020-09-21","DTP",25.46,25.76,25.3,25.76,3000,1600646400
"2020-09-22","DTP",25.68,25.84,25.68,25.84,3300,1600732800
"2020-09-23","DTP",25.76,25.76,25.76,25.76,200,1600819200
"2020-09-24","DTP",25.76,25.84,25.76,25.76,700,1600905600
"2020-09-28","DTP",25.68,25.68,25.61,25.61,200,1601251200
"2020-10-01","DTP",25.3,25.3,24.92,24.92,900,1601510400
"2020-10-02","DTP",24.92,24.92,24.53,24.53,400,1601596800
"2020-10-05","DTP",24.53,24.53,24.53,24.53,100,1601856000
"2020-10-14","DTP",24.53,24.53,24.53,24.53,300,1602633600
"2020-10-19","DTP",24.53,24.53,24.53,24.53,1800,1603065600
"2020-10-20","DTP",25.38,25.38,25.38,25.38,100,1603152000
"2020-10-21","DTP",25.22,25.3,25.22,25.3,300,1603238400
"2020-10-22","DTP",25.3,25.38,25.3,25.38,400,1603324800
