"date","symbol","open","high","low","close","volume","timestamp"
"2009-06-11","DZM",32.69,49.4,29.06,46.49,373900,1244678400
"2009-06-12","DZM",40.39,40.39,40.39,40.39,4100,1244764800
"2009-06-15","DZM",43.15,43.15,43.15,43.15,7500,1245024000
"2009-06-16","DZM",46.13,46.13,40.17,40.25,213200,1245110400
"2009-06-17","DZM",38.43,38.87,38.43,38.43,87200,1245196800
"2009-06-18","DZM",35.96,36.32,35.74,35.74,48500,1245283200
"2009-06-19","DZM",33.42,37.78,33.27,33.34,116200,1245369600
"2009-06-22","DZM",31.53,33.85,31.53,31.53,23400,1245628800
"2009-06-23","DZM",29.71,29.71,29.71,29.71,2400,1245715200
"2009-06-24","DZM",27.68,30.8,27.68,28.04,98700,1245801600
"2009-06-25","DZM",28.33,28.91,25.93,25.93,42300,1245888000
"2009-06-26","DZM",24.84,26.88,24.77,24.77,60800,1245974400
"2009-06-29","DZM",23.61,23.61,23.17,23.17,38200,1246233600
"2009-06-30","DZM",21.94,21.94,21.65,21.65,28600,1246320000
"2009-07-01","DZM",20.27,20.27,20.27,20.27,400,1246406400
"2009-07-02","DZM",18.89,21.07,18.89,20.27,63900,1246492800
"2009-07-03","DZM",18.09,20.7,18.09,20.7,68700,1246579200
"2009-07-06","DZM",20.85,20.85,20.85,20.85,9500,1246838400
"2009-07-07","DZM",22.3,22.3,22.3,22.3,200,1246924800
"2009-07-08","DZM",23.83,23.83,23.83,23.83,21800,1247011200
"2009-07-09","DZM",25.43,25.43,23.9,25.43,83600,1247097600
"2009-07-10","DZM",27.17,27.17,23.97,24.34,87000,1247184000
"2009-07-13","DZM",26.15,26.15,23.25,23.25,14900,1247443200
"2009-07-14","DZM",24.7,24.7,22.81,23.61,34100,1247529600
"2009-07-15","DZM",24.63,24.84,23.97,24.84,18300,1247616000
"2009-07-16","DZM",26.23,26.23,25.06,25.57,31100,1247702400
"2009-07-17","DZM",26.52,26.52,24.55,24.55,7400,1247788800
"2009-07-20","DZM",23.39,23.39,23.25,23.25,600,1248048000
"2009-07-21","DZM",22.67,23.54,21.87,22.88,25900,1248134400
"2009-07-22","DZM",23.97,23.97,22.96,23.25,6700,1248220800
"2009-07-23","DZM",22.52,24.26,21.72,24.12,19300,1248307200
"2009-07-24","DZM",24.34,24.63,24.34,24.63,20600,1248393600
"2009-07-27","DZM",26.23,26.23,25.35,26.23,73600,1248652800
"2009-07-28","DZM",27.68,27.75,25.43,26.52,30800,1248739200
