close,date,high,low,open,symbol,timestamp,volume
7.1,2020-06-12,7.1,7.1,7.1,E12,1591920000,200
6.1,2020-06-15,6.1,6.1,6.1,E12,1592179200,100
7,2020-06-17,7,7,7,E12,1592352000,100
8,2020-06-18,8,8,8,E12,1592438400,100
10,2020-11-09,10,10,10,E12,1604880000,100
14,2022-03-22,14,6,6,E12,1647907200,2300
15.7,2022-03-23,15.7,15.5,15.7,E12,1647993600,6200
18,2022-03-24,18,18,18,E12,1648080000,1100
20.7,2022-03-25,20.7,20.7,20.7,E12,1648166400,300
23.8,2022-03-28,23.8,23.8,23.8,E12,1648425600,4000
27.3,2022-03-29,27.3,27.3,27.3,E12,1648512000,1500
31.3,2022-03-30,31.3,31.3,31.3,E12,1648598400,10200
35.9,2022-03-31,35.9,35.9,35.9,E12,1648684800,8300
30.6,2022-04-01,41.2,30.6,41.2,E12,1648771200,2000
27,2022-04-20,27,27,27,E12,1650412800,100
23,2022-04-21,23,23,23,E12,1650499200,100
23,2022-04-29,23,19.6,19.6,E12,1651190400,1300
17.1,2022-05-06,17.1,17.1,17.1,E12,1651795200,300
14.6,2022-05-12,14.6,14.6,14.6,E12,1652313600,300
12.5,2022-05-13,12.5,12.5,12.5,E12,1652400000,400
10.7,2022-05-16,10.7,10.7,10.7,E12,1652659200,1000
9.1,2022-05-17,9.1,9.1,9.1,E12,1652745600,1800
8,2022-05-18,8,7.8,7.8,E12,1652832000,4000
6.7,2022-05-19,7,6.7,7,E12,1652918400,3300
6.3,2022-05-20,6.3,6.2,6.2,E12,1653004800,1300
7.1,2022-05-23,7.1,7.1,7.1,E12,1653264000,100
8.1,2022-05-24,8.1,8.1,8.1,E12,1653350400,3500
9.3,2022-05-25,9.3,8.2,8.2,E12,1653436800,3400
10.4,2022-05-26,10.4,10.4,10.4,E12,1653523200,11600
11.9,2022-05-27,11.9,11.8,11.9,E12,1653609600,11500
13.5,2022-05-30,13.5,11.9,12,E12,1653868800,8000
14.4,2022-05-31,14.4,13.5,13.5,E12,1653955200,11500
16.4,2022-06-01,16.4,16,16.3,E12,1654041600,4000
18.8,2022-06-02,18.8,18.8,18.8,E12,1654128000,5900
16,2022-06-03,21.6,16,21.6,E12,1654214400,15800
14.9,2022-06-06,16,14.9,16,E12,1654473600,7300
15,2022-06-07,15,13.3,14.9,E12,1654560000,4700
12,2022-06-08,14.6,11.7,11.7,E12,1654646400,2400
13.9,2022-06-09,13.9,13.6,13.6,E12,1654732800,7100
14.3,2022-06-10,15.8,14,15.8,E12,1654819200,21700
12.8,2022-06-13,13,12.8,12.8,E12,1655078400,2300
10.9,2022-06-14,14.6,10.9,14.6,E12,1655164800,1500
11.6,2022-06-15,11.7,11.6,11.6,E12,1655251200,7900
9.9,2022-06-16,12,9.9,11.6,E12,1655337600,10300
9.5,2022-06-17,9.5,9.5,9.5,E12,1655424000,2400
8.1,2022-06-20,9.5,8.1,9.5,E12,1655683200,4000
8.3,2022-06-22,8.4,8.2,8.2,E12,1655856000,2300
9.5,2022-06-23,9.5,9.5,9.5,E12,1655942400,1600
10.8,2022-06-24,10.8,9.5,9.5,E12,1656028800,1700
8.2,2022-06-27,10.6,8.2,9.6,E12,1656288000,600
9.5,2022-06-28,9.5,9.5,9.5,E12,1656374400,200
9.4,2022-06-29,9.4,8.1,8.2,E12,1656460800,8900
8.1,2022-07-01,8.1,7.1,7.1,E12,1656633600,900
8,2022-07-04,8,8,8,E12,1656892800,200
8,2022-07-05,8,7.3,7.3,E12,1656979200,2300
8.1,2022-07-06,8.1,6.4,6.5,E12,1657065600,1800
8.1,2022-07-07,8.1,6.4,6.4,E12,1657152000,500
8,2022-07-08,8,8,8,E12,1657238400,100
7.7,2022-07-11,7.7,7.7,7.7,E12,1657497600,200
8,2022-07-12,8,6.6,6.6,E12,1657584000,1300
7.5,2022-07-13,7.5,6.3,6.8,E12,1657670400,2500
8,2022-07-14,8,7,7,E12,1657756800,4400
8,2022-07-15,8,7.5,7.5,E12,1657843200,1600
7.9,2022-07-18,7.9,7.5,7.5,E12,1658102400,300
7.5,2022-07-19,7.5,7.5,7.5,E12,1658188800,700
7.6,2022-07-20,7.8,7.4,7.8,E12,1658275200,1300
7.7,2022-07-21,8.7,7.7,8.7,E12,1658361600,700
8,2022-07-22,8,7.5,7.7,E12,1658448000,3200
7.4,2022-07-25,7.4,7.4,7.4,E12,1658707200,200
7.9,2022-07-26,8.3,7.5,8.3,E12,1658793600,4300
8.2,2022-07-27,8.2,8.2,8.2,E12,1658880000,300
8,2022-07-28,8.2,8,8.2,E12,1658966400,1200
7.2,2022-07-29,8.1,7.2,8.1,E12,1659052800,600
7.5,2022-08-01,8.3,7.5,8.3,E12,1659312000,1100
7.5,2022-08-02,7.7,7.5,7.7,E12,1659398400,3400
7.9,2022-08-03,7.9,7.5,7.9,E12,1659484800,3600
8.2,2022-08-04,8.7,8,8.7,E12,1659571200,1982
7.6,2022-08-05,8.4,7.4,8.2,E12,1659657600,3900
7.7,2022-08-08,8.5,7.7,8.5,E12,1659916800,1300
8.1,2022-08-10,8.1,8.1,8.1,E12,1660089600,100
8,2022-08-11,8,8,8,E12,1660176000,100
7.6,2022-08-15,8.5,7.4,8.5,E12,1660521600,1200
7.7,2022-08-16,7.7,7.7,7.7,E12,1660608000,1412
8,2022-08-17,8,8,8,E12,1660694400,100
7.5,2022-08-18,7.5,6.8,6.8,E12,1660780800,400
7.4,2022-08-19,7.7,6.6,6.6,E12,1660867200,1100
6.6,2022-08-22,7,6.6,6.6,E12,1661126400,4700
6.9,2022-08-23,7.1,6.8,7.1,E12,1661212800,400
7.3,2022-08-24,7.4,6.8,7.4,E12,1661299200,1300
