open,close,date,volume,symbol,timestamp,low,high
13.33,13.33,2019-07-11,1305500,GAB,1562803200,13.33,13.33
14.26,14.26,2019-07-12,1326000,GAB,1562889600,14.21,14.26
15.23,15.23,2019-07-15,1031350,GAB,1563148800,15.19,15.23
14.21,14.17,2019-07-16,504010,GAB,1563235200,14.17,14.63
13.19,13.19,2019-07-17,29340,GAB,1563321600,13.19,13.19
12.31,12.31,2019-07-18,8980,GAB,1563408000,12.31,12.31
11.48,11.48,2019-07-19,42520,GAB,1563494400,11.48,11.48
10.69,10.69,2019-07-22,180280,GAB,1563753600,10.69,10.69
9.95,10.19,2019-07-23,1431110,GAB,1563840000,9.95,10.65
10.19,9.49,2019-07-24,396700,GAB,1563926400,9.49,10.83
8.9,9.54,2019-07-25,338650,GAB,1564012800,8.87,9.54
9.07,8.87,2019-07-26,394470,GAB,1564099200,8.87,9.16
8.26,8.25,2019-07-29,183100,GAB,1564358400,8.25,8.28
7.68,7.68,2019-07-30,671050,GAB,1564444800,7.68,8.2
7.68,8.21,2019-07-31,222070,GAB,1564531200,7.68,8.21
8.59,8.79,2019-08-01,253790,GAB,1564617600,8.59,8.79
9.35,8.84,2019-08-02,384230,GAB,1564704000,8.7,9.4
9.44,9.44,2019-08-05,255240,GAB,1564963200,9.07,9.44
10,10.09,2019-08-06,118850,GAB,1565049600,9.54,10.09
10.79,10.79,2019-08-07,110250,GAB,1565136000,10.65,10.79
11.48,11.53,2019-08-08,339980,GAB,1565222400,10.83,11.53
12.31,12.31,2019-08-09,231980,GAB,1565308800,12.31,12.31
13.15,13.15,2019-08-12,141360,GAB,1565568000,12.87,13.15
14.03,14.03,2019-08-13,318490,GAB,1565654400,14.03,14.03
15,13.05,2019-08-14,746820,GAB,1565740800,13.05,15
12.18,13.94,2019-08-15,489240,GAB,1565827200,12.18,13.94
14.91,14.91,2019-08-16,475980,GAB,1565913600,13.01,14.91
15,15,2019-08-19,144100,GAB,1566172800,14.91,15.83
14.12,14.91,2019-08-20,145560,GAB,1566259200,14.07,15.6
15,13.89,2019-08-21,334230,GAB,1566345600,13.89,15
14.44,12.92,2019-08-22,246960,GAB,1566432000,12.92,14.44
12.08,13.05,2019-08-23,418240,GAB,1566518400,12.04,13.7
13.05,12.31,2019-08-26,114060,GAB,1566777600,12.27,13.61
12.78,11.94,2019-08-27,166090,GAB,1566864000,11.85,13.1
11.57,11.8,2019-08-28,160640,GAB,1566950400,11.44,12.45
11.11,11.11,2019-08-29,150310,GAB,1567036800,11.02,12.22
11.11,10.6,2019-08-30,219630,GAB,1567123200,10.37,11.39
10.6,11.02,2019-09-03,207070,GAB,1567468800,9.91,11.11
11.02,11.11,2019-09-04,98940,GAB,1567555200,10.37,11.3
11.25,11.3,2019-09-05,103830,GAB,1567641600,10.74,11.39
10.65,11.39,2019-09-06,152650,GAB,1567728000,10.65,11.53
11.39,11.39,2019-09-09,74680,GAB,1567987200,11.2,11.8
11.39,11.39,2019-09-10,92060,GAB,1568073600,10.93,11.57
11.39,11.34,2019-09-11,99940,GAB,1568160000,10.93,11.44
11.11,10.83,2019-09-12,109220,GAB,1568246400,10.83,11.39
11.11,11.06,2019-09-13,106360,GAB,1568332800,10.69,11.11
11.06,10.83,2019-09-16,137260,GAB,1568592000,10.6,11.2
10.97,10.28,2019-09-17,219220,GAB,1568678400,10.09,10.97
10.37,10.28,2019-09-18,75440,GAB,1568764800,9.81,10.37
10.65,10.37,2019-09-19,71360,GAB,1568851200,10.28,10.65
10.51,10.42,2019-09-20,151380,GAB,1568937600,9.81,10.51
9.86,10.28,2019-09-23,65930,GAB,1569196800,9.86,10.32
10.28,10.19,2019-09-24,122500,GAB,1569283200,9.91,10.28
10.19,10.19,2019-09-25,128740,GAB,1569369600,9.95,10.23
10.19,10.14,2019-09-26,46110,GAB,1569456000,9.81,10.19
10.14,10.14,2019-09-27,47000,GAB,1569542400,9.91,10.65
10.19,10.28,2019-09-30,75110,GAB,1569801600,9.95,10.32
10.37,10.32,2019-10-01,58820,GAB,1569888000,10.09,10.37
10.32,10.28,2019-10-02,68640,GAB,1569974400,10,10.32
10.28,10.28,2019-10-03,61580,GAB,1570060800,10,10.28
10.28,10.28,2019-10-04,37270,GAB,1570147200,10,10.28
10.28,9.72,2019-10-07,43930,GAB,1570406400,9.81,10.28
10,10.05,2019-10-08,28560,GAB,1570492800,9.91,10.09
10.09,9.91,2019-10-09,20120,GAB,1570579200,9.91,10.19
10.05,10.09,2019-10-10,51950,GAB,1570665600,9.95,10.19
10.09,9.81,2019-10-11,77570,GAB,1570752000,9.72,10.19
10.05,10.46,2019-10-14,296690,GAB,1571011200,9.35,10.46
11.16,11.16,2019-10-15,127790,GAB,1571097600,11.06,11.16
11.67,11.2,2019-10-16,78170,GAB,1571184000,11.11,11.67
11.16,10.83,2019-10-17,79670,GAB,1571270400,10.55,11.2
10.93,10.65,2019-10-18,66010,GAB,1571356800,10.65,10.97
11.02,10.83,2019-10-21,128420,GAB,1571616000,10.09,11.02
10.28,10.83,2019-10-22,117790,GAB,1571702400,10.28,10.93
10.83,10.83,2019-10-23,64280,GAB,1571788800,10.46,10.83
10.83,10.74,2019-10-24,50330,GAB,1571875200,10.42,10.83
10.74,10.65,2019-10-25,62310,GAB,1571961600,10.19,10.74
10.65,10.65,2019-10-28,54820,GAB,1572220800,10.19,10.74
10.74,10.19,2019-10-29,66530,GAB,1572307200,10.19,10.74
9.54,10.37,2019-10-30,76510,GAB,1572393600,9.54,10.37
10.19,10.28,2019-10-31,62870,GAB,1572480000,10.19,10.51
10.55,10.37,2019-11-01,79930,GAB,1572566400,9.91,10.55
