open,close,date,volume,symbol,timestamp,low,high
35.72,38.1,2008-12-22,2830,HAG,1229904000,35.72,38.1
39.69,39.69,2008-12-23,3010,HAG,1229990400,39.69,39.69
41.68,41.68,2008-12-24,1000,HAG,1230076800,41.68,41.68
43.66,43.66,2008-12-25,156010,HAG,1230163200,43.66,43.66
45.65,45.65,2008-12-26,304910,HAG,1230249600,44.46,45.65
47.63,47.63,2008-12-29,84900,HAG,1230508800,47.63,47.63
50.01,50.01,2008-12-30,214180,HAG,1230595200,49.62,50.01
52,50.01,2008-12-31,90760,HAG,1230681600,50.01,52
48.03,47.63,2009-01-02,56640,HAG,1230854400,47.63,48.03
45.25,48.42,2009-01-05,126260,HAG,1231113600,45.25,48.42
48.42,48.42,2009-01-06,71980,HAG,1231200000,47.23,48.82
48.42,48.42,2009-01-07,130500,HAG,1231286400,48.03,50.01
47.63,47.63,2009-01-08,122040,HAG,1231372800,47.23,48.42
47.23,48.42,2009-01-09,67890,HAG,1231459200,47.23,48.42
47.63,48.03,2009-01-12,29120,HAG,1231718400,47.63,48.03
46.84,47.23,2009-01-13,24510,HAG,1231804800,46.84,47.63
46.84,47.63,2009-01-14,59340,HAG,1231891200,46.84,47.63
46.84,46.84,2009-01-15,19640,HAG,1231977600,46.84,47.63
46.84,47.63,2009-01-16,48230,HAG,1232064000,46.44,47.63
47.63,47.63,2009-01-19,41160,HAG,1232323200,47.23,47.63
46.84,47.63,2009-01-20,29590,HAG,1232409600,46.84,47.63
47.23,47.63,2009-01-21,40490,HAG,1232496000,47.23,47.63
48.03,48.03,2009-01-22,28710,HAG,1232582400,47.63,48.03
48.03,48.03,2009-01-23,13740,HAG,1232668800,47.63,48.03
47.63,47.63,2009-02-02,43260,HAG,1233532800,47.63,48.03
47.63,46.84,2009-02-03,53540,HAG,1233619200,46.84,47.63
46.44,46.04,2009-02-04,14340,HAG,1233705600,46.04,47.23
45.65,44.06,2009-02-05,49100,HAG,1233792000,44.06,46.04
44.06,44.46,2009-02-06,19160,HAG,1233878400,43.66,44.46
45.65,46.44,2009-02-09,18660,HAG,1234137600,45.25,46.44
46.44,46.04,2009-02-10,17980,HAG,1234224000,45.25,46.44
44.85,46.04,2009-02-11,28390,HAG,1234310400,44.85,46.04
46.04,48.03,2009-02-12,154380,HAG,1234396800,46.04,48.03
47.63,46.44,2009-02-13,22450,HAG,1234483200,46.44,47.63
46.44,46.04,2009-02-16,22700,HAG,1234742400,46.04,46.44
45.25,44.46,2009-02-17,48550,HAG,1234828800,44.46,46.04
43.66,42.87,2009-02-18,52520,HAG,1234915200,42.47,43.66
42.87,42.47,2009-02-19,53290,HAG,1235001600,41.68,43.66
42.07,41.68,2009-02-20,39050,HAG,1235088000,41.28,42.07
41.28,39.69,2009-02-23,52920,HAG,1235347200,39.69,41.28
38.1,37.71,2009-02-24,66240,HAG,1235433600,37.71,38.1
39.45,39.53,2009-02-25,37520,HAG,1235520000,39.3,39.53
40.49,40.49,2009-02-26,13640,HAG,1235606400,38.1,40.49
39.69,41.28,2009-02-27,6810,HAG,1235692800,39.69,41.68
40.49,40.09,2009-03-02,25100,HAG,1235952000,39.69,41.68
38.5,38.5,2009-03-03,13320,HAG,1236038400,38.5,39.3
39.69,39.69,2009-03-04,9880,HAG,1236124800,39.69,39.69
41.28,40.88,2009-03-05,21370,HAG,1236211200,40.49,41.28
40.88,40.88,2009-03-06,12250,HAG,1236297600,39.69,40.88
42.87,42.87,2009-03-09,123110,HAG,1236556800,42.07,42.87
44.46,42.87,2009-03-10,65870,HAG,1236643200,42.87,44.46
42.87,42.87,2009-03-11,28520,HAG,1236729600,42.47,43.27
42.87,42.87,2009-03-12,27830,HAG,1236816000,41.68,42.87
42.07,42.07,2009-03-13,36990,HAG,1236902400,42.07,42.87
42.07,42.07,2009-03-16,29350,HAG,1237161600,41.68,42.47
42.47,42.87,2009-03-17,36550,HAG,1237248000,42.47,43.27
44.46,43.66,2009-03-18,100930,HAG,1237334400,42.87,44.46
42.47,42.87,2009-03-19,29780,HAG,1237420800,42.07,43.66
42.87,42.87,2009-03-20,23440,HAG,1237507200,42.07,42.87
42.87,41.68,2009-03-23,16010,HAG,1237766400,41.68,42.87
43.27,41.68,2009-03-24,58030,HAG,1237852800,39.69,43.27
42.07,42.07,2009-03-25,45420,HAG,1237939200,41.68,42.47
42.87,42.07,2009-03-26,23160,HAG,1238025600,42.07,42.87
42.07,42.07,2009-03-27,27090,HAG,1238112000,42.07,42.87
41.68,41.68,2009-03-30,21840,HAG,1238371200,41.68,42.07
39.61,42.87,2009-03-31,102210,HAG,1238457600,39.61,42.87
42.47,42.47,2009-04-01,14070,HAG,1238544000,42.07,42.87
42.87,42.47,2009-04-02,25080,HAG,1238630400,42.07,42.87
43.66,44.46,2009-04-03,190790,HAG,1238716800,42.87,44.46
46.44,46.44,2009-04-07,391460,HAG,1239062400,44.46,46.44
46.04,46.84,2009-04-08,201040,HAG,1239148800,46.04,48.42
48.82,48.82,2009-04-09,339730,HAG,1239235200,48.42,48.82
51.2,51.2,2009-04-10,736820,HAG,1239321600,51.2,51.2
53.59,53.59,2009-04-13,1347550,HAG,1239580800,53.19,53.59
54.78,55.57,2009-04-14,469390,HAG,1239667200,53.19,55.57
52.79,52.79,2009-04-15,301530,HAG,1239753600,52.79,54.38
51.6,50.41,2009-04-16,521770,HAG,1239840000,50.41,51.6
48.03,48.03,2009-04-17,414300,HAG,1239926400,48.03,48.03
45.65,45.65,2009-04-20,48070,HAG,1240185600,45.65,45.65
43.66,43.66,2009-04-21,59410,HAG,1240272000,43.66,43.66
44.46,45.25,2009-04-22,602610,HAG,1240358400,41.68,45.25
44.46,43.27,2009-04-23,297080,HAG,1240444800,43.27,45.25
41.68,45.25,2009-04-24,204260,HAG,1240531200,41.28,45.25
44.46,46.04,2009-04-27,129530,HAG,1240790400,46.04,46.04
44.85,46.04,2009-04-28,190130,HAG,1240876800,44.85,46.84
44.85,46.04,2009-04-29,191850,HAG,1240963200,44.85,46.04
48.03,48.03,2009-05-04,197330,HAG,1241395200,48.03,48.03
50.41,49.62,2009-05-05,1002260,HAG,1241481600,49.22,50.41
48.03,47.23,2009-05-06,241250,HAG,1241568000,47.23,49.22
48.42,47.63,2009-05-07,483940,HAG,1241654400,47.23,48.42
46.04,46.84,2009-05-08,291630,HAG,1241740800,46.04,47.63
46.84,46.44,2009-05-11,347030,HAG,1242000000,46.44,47.23
46.84,46.84,2009-05-12,308710,HAG,1242086400,45.65,47.23
46.84,46.44,2009-05-13,409420,HAG,1242172800,45.65,46.84
45.25,45.65,2009-05-14,156170,HAG,1242259200,45.25,46.44
46.44,47.63,2009-05-15,529800,HAG,1242345600,46.04,47.63
48.03,47.63,2009-05-18,357480,HAG,1242604800,46.84,48.03
48.82,47.63,2009-05-19,283110,HAG,1242691200,47.63,48.82
47.23,47.63,2009-05-20,262250,HAG,1242777600,46.84,48.03
46.84,49.62,2009-05-21,1224630,HAG,1242864000,46.84,50.01
50.01,47.63,2009-05-22,295700,HAG,1242950400,47.63,50.41
49.22,49.62,2009-05-25,657950,HAG,1243209600,48.82,50.01
49.62,50.81,2009-05-26,943600,HAG,1243296000,48.03,50.81
53.19,53.19,2009-05-27,3899240,HAG,1243382400,51.6,53.19
52,50.81,2009-05-28,624870,HAG,1243468800,50.81,52.4
48.82,48.82,2009-05-29,1157910,HAG,1243555200,48.42,49.62
49.22,50.01,2009-06-01,514730,HAG,1243814400,47.63,50.01
52,49.22,2009-06-02,1007010,HAG,1243900800,49.22,52
