"date","symbol","open","high","low","close","volume","timestamp"
"2006-12-27","HBC",6.29,6.29,6.29,6.29,23900,1167177600
"2006-12-28","HBC",6.29,6.29,6.29,6.29,21220,1167264000
"2006-12-29","HBC",6.29,6.29,5.99,5.99,7480,1167350400
"2007-01-02","HBC",5.99,5.99,5.71,5.71,2950,1167696000
"2007-01-03","HBC",5.44,5.44,5.44,5.44,6050,1167782400
"2007-01-04","HBC",5.19,5.19,5.19,5.19,28060,1167868800
"2007-01-05","HBC",4.95,5.44,4.95,5.44,36670,1167955200
"2007-01-08","HBC",5.68,5.68,5.68,5.68,11090,1168214400
"2007-01-09","HBC",5.96,5.96,5.93,5.96,41230,1168300800
"2007-01-10","HBC",5.74,5.74,5.68,5.68,29380,1168387200
"2007-01-11","HBC",5.44,5.44,5.41,5.41,15180,1168473600
"2007-01-12","HBC",5.16,5.65,5.16,5.65,14590,1168560000
"2007-01-15","HBC",5.65,5.68,5.65,5.68,18840,1168819200
"2007-01-16","HBC",5.68,5.68,5.5,5.5,14870,1168905600
"2007-01-17","HBC",5.5,5.5,5.25,5.38,8490,1168992000
"2007-01-18","HBC",5.13,5.5,5.13,5.5,9350,1169078400
"2007-01-19","HBC",5.44,5.5,5.44,5.5,18140,1169164800
"2007-01-22","HBC",5.25,5.25,5.22,5.25,10800,1169424000
"2007-01-23","HBC",5.5,5.5,5.44,5.44,4070,1169510400
"2007-01-24","HBC",5.44,5.44,5.44,5.44,8980,1169596800
"2007-01-25","HBC",5.22,5.32,5.22,5.32,8740,1169683200
"2007-01-26","HBC",5.32,5.32,5.07,5.07,4050,1169769600
"2007-01-29","HBC",5.07,5.19,5.07,5.19,10200,1170028800
"2007-01-30","HBC",5.25,5.44,5.25,5.44,13380,1170115200
"2007-01-31","HBC",5.44,5.44,5.44,5.44,17060,1170201600
"2007-02-01","HBC",5.5,5.5,5.44,5.5,27260,1170288000
"2007-02-02","HBC",5.77,5.77,5.77,5.77,21590,1170374400
"2007-02-05","HBC",6.05,6.05,6.05,6.05,60780,1170633600
"2007-02-06","HBC",6.29,6.29,6.29,6.29,54760,1170720000
"2007-02-07","HBC",6.11,6.11,5.99,6.11,25090,1170806400
"2007-02-08","HBC",6.11,6.11,5.8,5.8,3230,1170892800
