close,date,high,low,open,symbol,timestamp,volume
2.1,2011-11-24,2.1,2.1,2.1,HFX,1322092800,10000
2,2011-12-28,2,2,2,HFX,1325030400,10000
2.1,2012-08-07,2.1,2.1,2.1,HFX,1344297600,100
2.3,2012-08-14,2.3,2.3,2.3,HFX,1344902400,800
2.5,2012-08-15,2.5,2.5,2.5,HFX,1344988800,1000
2.6,2012-08-16,2.6,2.6,2.6,HFX,1345075200,1000
2.6,2012-08-17,2.6,2.6,2.6,HFX,1345161600,1000
2.7,2012-08-20,2.7,2.7,2.7,HFX,1345420800,1000
2.7,2012-08-21,2.7,2.7,2.7,HFX,1345507200,1000
2.7,2012-08-22,2.7,2.7,2.7,HFX,1345593600,1000
2.5,2012-09-18,2.5,2.5,2.5,HFX,1347926400,5000
2.3,2012-09-19,2.3,2.3,2.3,HFX,1348012800,5000
2.2,2012-09-20,2.2,2.2,2.2,HFX,1348099200,5000
2.2,2013-01-14,2.2,2.2,2.2,HFX,1358121600,100
1.4,2015-08-03,1.4,1.4,1.4,HFX,1438560000,7000
1.5,2021-11-05,1.5,1.5,1.5,HFX,1636070400,2000
1.7,2021-11-12,1.7,1.7,1.7,HFX,1636675200,100
1.9,2021-11-19,1.9,1.9,1.9,HFX,1637280000,100
2.1,2021-11-26,2.1,2.1,2.1,HFX,1637884800,100
2.4,2021-12-03,2.4,2.4,2.4,HFX,1638489600,100
2.7,2021-12-10,2.7,2.7,2.7,HFX,1639094400,100
3.1,2021-12-17,3.1,3.1,3.1,HFX,1639699200,200
3.5,2021-12-24,3.5,3.5,3.5,HFX,1640304000,100
4,2021-12-31,4,4,4,HFX,1640908800,100
4.6,2022-01-07,4.6,4.6,4.6,HFX,1641513600,100
5.2,2022-01-14,5.2,5.2,5.2,HFX,1642118400,200
5.9,2022-01-21,5.9,5.9,5.9,HFX,1642723200,20100
6.7,2022-01-28,6.7,6.7,6.7,HFX,1643328000,1100
5.7,2022-02-11,5.7,5.7,5.7,HFX,1644537600,200
4.9,2022-02-18,4.9,4.9,4.9,HFX,1645142400,1000
5.6,2022-02-25,5.6,5.6,5.6,HFX,1645747200,400
6.4,2022-03-04,6.4,6.4,6.4,HFX,1646352000,600
5.5,2022-04-15,5.5,5.5,5.5,HFX,1649980800,100
5.5,2022-04-22,5.5,5.5,5.5,HFX,1650585600,200
6.3,2022-05-06,6.3,6.3,6.3,HFX,1651795200,100
6.6,2022-06-10,6.6,6.6,6.6,HFX,1654819200,100
7.5,2022-08-05,7.5,7.5,7.5,HFX,1659657600,100
8.6,2022-08-19,8.6,8.6,8.6,HFX,1660867200,100
