"date","symbol","open","high","low","close","volume","timestamp"
"2010-06-17","HPT",8.37,8.6,8.37,8.6,5355,1276732800
"2010-06-18","HPT",9.2,9.29,9.06,9.06,1744,1276819200
"2010-06-21","HPT",10.04,10.04,9.67,9.67,3500,1277078400
"2010-06-22","HPT",9.99,9.99,9.99,9.99,400,1277164800
"2010-06-24","HPT",9.99,9.99,9.02,9.02,2773,1277337600
"2010-06-25","HPT",8.37,8.37,8.37,8.37,1980,1277424000
"2010-06-28","HPT",8.51,8.51,8.18,8.18,2543,1277683200
"2010-06-29","HPT",7.9,8.27,7.67,8.27,2938,1277769600
"2010-06-30","HPT",7.81,7.9,7.67,7.9,5088,1277856000
"2010-07-01","HPT",7.44,7.44,7.44,7.44,500,1277942400
"2010-07-02","HPT",7.53,8.18,7.53,8.18,2210,1278028800
"2010-07-05","HPT",8.55,8.55,8.55,8.55,269,1278288000
"2010-07-06","HPT",9.29,9.39,8.88,9.29,12430,1278374400
"2010-07-07","HPT",9.53,9.53,9.25,9.25,5615,1278460800
"2010-07-08","HPT",8.37,8.37,8.37,8.37,10,1278547200
"2010-07-09","HPT",9.06,9.2,8.83,8.83,5410,1278633600
"2010-07-12","HPT",9.2,9.29,9.16,9.29,16000,1278892800
"2010-07-13","HPT",8.83,9.53,8.83,9.53,31613,1278979200
"2010-07-14","HPT",9.29,9.76,9.29,9.39,7588,1279065600
"2010-07-15","HPT",9.29,9.53,9.29,9.53,10802,1279152000
"2010-07-19","HPT",11.02,11.02,10.92,11.02,28500,1279497600
"2010-07-20","HPT",11.11,11.2,10.22,10.92,11800,1279584000
"2010-07-21","HPT",10.83,10.92,10.13,10.22,12600,1279670400
"2010-07-22","HPT",9.2,9.53,9.06,9.29,4900,1279756800
"2010-07-23","HPT",9.71,9.95,9.71,9.95,10700,1279843200
"2010-07-26","HPT",9.85,9.85,9.85,9.85,3100,1280102400
"2010-07-27","HPT",9.53,9.53,9.53,9.53,200,1280188800
"2010-07-28","HPT",9.11,9.76,9.11,9.76,19400,1280275200
"2010-07-29","HPT",9.76,9.76,9.53,9.53,600,1280361600
"2010-08-02","HPT",8.37,8.37,8.27,8.27,4100,1280707200
"2010-08-04","HPT",8.83,8.97,8.83,8.97,1300,1280880000
"2010-08-06","HPT",8.6,8.6,8.04,8.6,1600,1281052800
"2010-08-09","HPT",8.37,8.6,8.09,8.6,3300,1281312000
"2010-08-10","HPT",8.13,8.37,8.13,8.13,1700,1281398400
"2010-08-11","HPT",8.23,8.23,8.23,8.23,500,1281484800
"2010-08-12","HPT",8.6,8.6,7.9,8.27,2000,1281571200
"2010-08-13","HPT",8.83,8.83,8.27,8.46,1900,1281657600
"2010-08-16","HPT",8.27,8.27,8.27,8.27,2000,1281916800
"2010-08-17","HPT",8.27,8.6,8.27,8.27,3100,1282003200
"2010-08-18","HPT",8.32,8.32,8.32,8.32,1000,1282089600
"2010-08-19","HPT",8.51,8.64,7.9,7.9,2800,1282176000
"2010-08-20","HPT",8.37,8.37,8.37,8.37,1500,1282262400
"2010-08-23","HPT",8.37,8.37,7.99,8.37,2300,1282521600
"2010-08-25","HPT",7.81,8.27,7.2,7.2,5400,1282694400
"2010-08-26","HPT",7.9,7.9,7.9,7.9,1000,1282780800
"2010-08-27","HPT",7.9,7.9,7.9,7.9,1100,1282867200
"2010-08-30","HPT",8.51,8.51,8.13,8.13,1100,1283126400
