volume,date,symbol,high,timestamp,open,low,close
13300,2006-12-14,HTP,12.94,1166054400,11.71,11.71,17
3220,2006-12-15,HTP,12.32,1166140800,12.32,12.32,17.25
700,2006-12-29,HTP,11.09,1167350400,11.09,11.09,15.71
1120,2007-01-02,HTP,11.09,1167696000,11.09,11.09,15.71
2100,2007-01-03,HTP,9.86,1167782400,9.86,9.86,14.17
3360,2007-01-04,HTP,9.86,1167868800,9.24,9.24,14.17
140,2007-01-05,HTP,9.86,1167955200,9.86,9.86,14.11
8260,2007-01-08,HTP,9.86,1168214400,9.86,9.24,13.31
7140,2007-01-10,HTP,9.24,1168387200,9.24,8.63,12.01
3360,2007-01-11,HTP,8.63,1168473600,8.63,8.63,12.01
6440,2007-01-12,HTP,9.24,1168560000,9.24,8.63,12.32
9660,2007-01-15,HTP,9.86,1168819200,9.86,8.63,13.06
6300,2007-01-16,HTP,9.86,1168905600,9.86,9.86,14.17
9520,2007-01-17,HTP,11.09,1168992000,9.86,9.86,15.09
13160,2007-01-18,HTP,11.09,1169078400,10.47,10.47,15.71
16800,2007-01-19,HTP,11.71,1169164800,11.71,11.71,16.51
16240,2007-01-22,HTP,12.94,1169424000,12.94,12.32,17.87
6580,2007-01-23,HTP,13.55,1169510400,13.55,11.71,16.94
6020,2007-01-24,HTP,12.32,1169596800,12.32,11.71,16.63
8120,2007-01-25,HTP,12.32,1169683200,12.32,11.71,16.33
5880,2007-01-26,HTP,11.71,1169769600,11.71,11.71,16.02
4760,2007-01-29,HTP,11.71,1170028800,11.09,11.09,16.02
5460,2007-01-30,HTP,11.71,1170115200,11.71,11.09,15.4
3500,2007-01-31,HTP,11.71,1170201600,11.09,11.09,16.33
6720,2007-02-01,HTP,11.71,1170288000,11.09,11.09,16.63
4620,2007-02-02,HTP,11.71,1170374400,11.71,11.71,16.02
7000,2007-02-05,HTP,11.71,1170633600,11.09,11.09,16.33
3920,2007-02-06,HTP,11.71,1170720000,11.09,11.09,16.02
1540,2007-02-07,HTP,11.71,1170806400,11.71,11.71,16.02
3780,2007-02-08,HTP,11.71,1170892800,11.09,11.09,16.02
9100,2007-02-09,HTP,12.32,1170979200,11.71,11.71,16.02
4620,2007-02-12,HTP,11.71,1171238400,11.71,11.09,16.02
2100,2007-02-13,HTP,11.71,1171324800,11.09,11.09,16.02
4340,2007-02-14,HTP,11.71,1171411200,11.71,11.71,16.33
2800,2007-02-15,HTP,11.71,1171497600,11.71,11.71,16.63
10220,2007-02-26,HTP,12.94,1172448000,12.94,12.32,18.17
35700,2007-02-27,HTP,14.17,1172534400,14.17,12.32,18.79
23940,2007-02-28,HTP,14.79,1172620800,14.79,13.55,20.33
24220,2007-03-01,HTP,15.4,1172707200,14.79,14.17,21.56
25060,2007-03-02,HTP,16.63,1172793600,16.63,16.02,22.06
14280,2007-03-05,HTP,17.87,1173052800,17.87,17.87,24.89
9520,2007-03-06,HTP,19.71,1173139200,19.71,19.71,27.35
19320,2007-03-07,HTP,21.56,1173225600,21.56,21.56,30.07
17360,2007-03-08,HTP,23.41,1173312000,23.41,23.41,33.02
26320,2007-03-09,HTP,25.88,1173398400,25.88,25.88,36.29
30800,2007-03-12,HTP,28.34,1173657600,28.34,26.49,36.97
14280,2007-03-13,HTP,28.34,1173744000,28.34,25.26,35.73
17640,2007-03-14,HTP,25.26,1173830400,25.26,23.41,33.02
2660,2007-03-15,HTP,21.56,1173916800,21.56,21.56,30.07
44520,2007-03-16,HTP,23.41,1174003200,19.1,19.1,33.02
14840,2007-03-19,HTP,24.03,1174262400,24.03,24.03,33.52
36540,2007-03-20,HTP,26.49,1174348800,26.49,26.49,36.84
23800,2007-03-21,HTP,28.96,1174435200,28.96,28.96,40.48
1400,2007-03-22,HTP,28.96,1174521600,28.96,26.49,36.97
5740,2007-03-23,HTP,25.26,1174608000,24.64,24.64,34.38
2100,2007-03-26,HTP,22.18,1174867200,22.18,22.18,31.23
280,2007-03-27,HTP,20.33,1174953600,20.33,20.33,28.16
29540,2007-03-28,HTP,19.71,1175040000,17.87,17.87,27.72
980,2007-03-29,HTP,20.33,1175126400,20.33,20.33,28.03
10780,2007-03-30,HTP,22.18,1175212800,22.18,21.56,30.5
3220,2007-04-02,HTP,22.18,1175472000,22.18,20.33,28.34
7840,2007-04-03,HTP,22.8,1175558400,22.8,19.1,26.74
1540,2007-04-04,HTP,20.95,1175644800,20.95,19.71,27.72
2660,2007-04-05,HTP,20.33,1175731200,20.33,19.71,27.72
560,2007-04-06,HTP,19.71,1175817600,19.1,19.1,27.42
980,2007-04-09,HTP,19.1,1176076800,19.1,19.1,26.8
3360,2007-04-10,HTP,19.1,1176163200,19.1,17.25,24.21
5740,2007-04-11,HTP,17.25,1176249600,17.25,17.25,24.15
3220,2007-04-12,HTP,16.63,1176336000,16.63,15.4,23.41
1820,2007-04-13,HTP,16.63,1176422400,16.63,16.02,22.49
6160,2007-04-16,HTP,15.4,1176681600,15.4,14.79,20.27
11060,2007-04-17,HTP,14.17,1176768000,14.17,13.55,18.67
43540,2007-04-18,HTP,14.79,1176854400,13.55,13.55,20.64
14560,2007-04-19,HTP,16.02,1176940800,16.02,16.02,22.61
1540,2007-04-20,HTP,16.02,1177027200,16.02,16.02,22.49
1260,2007-04-23,HTP,16.02,1177286400,16.02,16.02,22.36
13580,2007-04-24,HTP,15.4,1177372800,15.4,14.79,20.95
4900,2007-04-25,HTP,15.4,1177459200,15.4,14.79,20.95
10640,2007-05-02,HTP,16.02,1178064000,16.02,15.4,21.56
3640,2007-05-03,HTP,16.02,1178150400,16.02,15.4,21.56
6440,2007-05-04,HTP,16.02,1178236800,16.02,15.4,21.56
700,2007-05-07,HTP,16.02,1178496000,14.17,14.17,22.18
1260,2007-05-08,HTP,16.63,1178582400,16.02,16.02,22.49
6440,2007-05-09,HTP,16.02,1178668800,16.02,15.4,21.56
1680,2007-05-10,HTP,16.02,1178755200,16.02,15.4,21.69
840,2007-05-11,HTP,16.02,1178841600,16.02,15.4,21.56
2100,2007-05-14,HTP,16.02,1179100800,16.02,15.4,21.56
3360,2007-05-15,HTP,15.4,1179187200,14.79,14.79,21.87
1120,2007-05-16,HTP,15.4,1179273600,15.4,15.4,21.56
1120,2007-05-17,HTP,16.02,1179360000,16.02,15.4,21.56
18760,2007-05-18,HTP,17.25,1179446400,16.02,16.02,23.84
2380,2007-05-21,HTP,18.48,1179705600,18.48,18.48,25.57
6720,2007-05-22,HTP,20.33,1179792000,20.33,20.33,28.09
24080,2007-05-23,HTP,22.18,1179878400,22.18,20.33,29.57
42140,2007-05-24,HTP,23.41,1179964800,23.41,21.56,31.3
37660,2007-05-25,HTP,23.41,1180051200,22.18,22.18,31.54
25760,2007-05-28,HTP,24.64,1180310400,23.41,22.18,32.04
18340,2007-05-29,HTP,24.64,1180396800,24.03,22.18,31.42
10360,2007-05-30,HTP,23.41,1180483200,23.41,22.18,31.3
7980,2007-05-31,HTP,22.18,1180569600,22.18,20.33,30.5
1820,2007-06-01,HTP,22.18,1180656000,22.18,20.95,30.19
14420,2007-06-04,HTP,21.56,1180915200,21.56,19.71,27.72
6720,2007-06-05,HTP,19.71,1181001600,19.1,19.1,27.72
5000,2007-06-06,HTP,19.71,1181088000,19.71,19.1,19.41
