symbol,close,timestamp,low,open,high,volume,date
HWS,11.66,1533772800,11.66,11.66,11.66,100,2018-08-09
HWS,10.18,1535068800,10.18,10.18,10.18,100,2018-08-24
HWS,8.65,1537920000,8.65,8.65,8.65,100,2018-09-26
HWS,7.37,1538006400,7.37,7.37,7.37,5300,2018-09-27
HWS,6.33,1538524800,6.33,6.33,6.33,3100,2018-10-03
HWS,5.45,1539043200,5.45,5.45,5.45,9600,2018-10-09
HWS,4.81,1539129600,4.81,5.45,5.45,400,2018-10-10
HWS,4.41,1539561600,4.41,5.29,5.29,32700,2018-10-15
HWS,4.49,1539907200,4.49,4.49,4.49,30600,2018-10-19
HWS,4.25,1540252800,4.25,5.13,5.13,300,2018-10-23
HWS,4.41,1540771200,4.41,4.41,4.41,100,2018-10-29
HWS,5.05,1540857600,4.81,4.81,5.05,200,2018-10-30
HWS,4.57,1540944000,4.57,4.57,4.57,6400,2018-10-31
HWS,4.57,1541030400,4.57,4.57,4.57,6400,2018-11-01
HWS,4.49,1542240000,4.49,4.49,4.49,9600,2018-11-15
HWS,4.73,1543363200,4.73,4.73,4.73,9200,2018-11-28
HWS,5.37,1543449600,5.37,5.37,5.37,100,2018-11-29
HWS,6.17,1543536000,6.17,6.17,6.17,100,2018-11-30
HWS,6.65,1543881600,6.41,6.41,6.65,200,2018-12-04
HWS,7.53,1543968000,7.53,7.53,7.53,100,2018-12-05
HWS,8.65,1544054400,8.65,8.65,8.65,100,2018-12-06
HWS,9.94,1544140800,9.94,9.94,9.94,100,2018-12-07
HWS,8.49,1544745600,8.49,8.49,8.49,100,2018-12-14
HWS,7.29,1545004800,7.29,7.29,7.29,100,2018-12-17
HWS,6.25,1545350400,6.25,6.25,6.25,100,2018-12-21
HWS,5.53,1545609600,5.53,5.53,5.53,19700,2018-12-24
HWS,5.29,1546387200,5.29,5.29,5.29,9600,2019-01-02
HWS,4.89,1546473600,4.89,4.89,4.89,10000,2019-01-03
HWS,5.05,1546560000,5.05,5.05,5.05,14300,2019-01-04
HWS,5.77,1547769600,5.77,5.77,5.77,200,2019-01-18
HWS,6.01,1548028800,6.01,6.01,6.01,500,2019-01-21
HWS,6.89,1548720000,6.89,6.89,6.89,200,2019-01-29
HWS,7.21,1550016000,7.21,7.21,7.21,500,2019-02-13
HWS,7.61,1550534400,7.61,7.61,7.61,100,2019-02-19
HWS,6.65,1552435200,6.65,6.65,6.65,5900,2019-03-13
HWS,5.69,1553040000,5.69,5.69,5.69,12200,2019-03-20
HWS,6.49,1554854400,6.49,6.49,6.49,100,2019-04-10
HWS,7.45,1555027200,7.45,7.45,7.45,300,2019-04-12
HWS,7.45,1555372800,7.45,8.09,8.49,7300,2019-04-16
HWS,7.85,1555459200,7.85,8.01,8.01,15000,2019-04-17
HWS,8.82,1555545600,8.41,8.41,8.82,7000,2019-04-18
HWS,8.34,1555632000,8.34,8.34,8.34,2000,2019-04-19
HWS,9.54,1555891200,9.54,9.54,9.54,400,2019-04-22
HWS,8.41,1555977600,8.41,10.02,10.02,2100,2019-04-23
HWS,8.41,1556755200,8.41,8.41,8.41,3000,2019-05-02
HWS,8.34,1557360000,8.34,8.34,8.34,2000,2019-05-09
HWS,8.26,1557705600,8.26,8.26,8.26,2000,2019-05-13
HWS,8.26,1558483200,8.26,8.26,8.26,3000,2019-05-22
HWS,8.49,1558656000,8.49,8.49,8.49,45000,2019-05-24
HWS,8.49,1559088000,8.49,8.49,8.49,1000,2019-05-29
HWS,8.82,1559174400,8.57,8.57,8.82,14300,2019-05-30
HWS,8.82,1559260800,8.82,8.82,8.82,22100,2019-05-31
HWS,8.82,1559520000,8.82,8.82,8.82,1300,2019-06-03
HWS,8.82,1559779200,8.82,8.9,8.9,25800,2019-06-06
HWS,7.04,1563148800,7.04,7.04,7.04,3000,2019-07-15
HWS,7.2,1563235200,7.2,7.2,7.2,5700,2019-07-16
HWS,7.2,1563321600,7.2,7.2,7.2,4200,2019-07-17
HWS,10.02,1566518400,10.02,10.02,10.02,100,2019-08-23
HWS,11.51,1566777600,11.51,11.51,11.51,1600,2019-08-26
HWS,13.16,1566864000,13.16,13.16,13.16,6700,2019-08-27
HWS,14.73,1566950400,14.32,14.32,14.73,1800,2019-08-28
HWS,14.48,1567036800,14.48,14.73,14.73,2700,2019-08-29
HWS,15.73,1567123200,15.73,15.73,15.73,100,2019-08-30
HWS,15.73,1567641600,15.15,15.15,17.96,1800,2019-09-05
HWS,13.41,1568073600,13.41,14.73,14.73,400,2019-09-10
HWS,14.4,1568160000,14.4,14.4,14.4,1000,2019-09-11
