volume,date,symbol,high,timestamp,open,low,close
100,2016-08-17,ICC,14.3,1471392000,14.3,14.3,14.3
100,2016-08-26,ICC,12.19,1472169600,12.19,12.19,12.19
500,2016-09-05,ICC,13.98,1473033600,13.98,13.98,13.98
100,2016-09-08,ICC,16.02,1473292800,16.02,16.02,16.02
100,2016-09-09,ICC,18.39,1473379200,18.39,18.39,18.39
100,2016-09-12,ICC,21.13,1473638400,21.13,21.13,21.13
100,2016-09-13,ICC,24.26,1473724800,24.26,24.26,24.26
300,2016-09-14,ICC,27.9,1473811200,24.32,24.32,27.9
100,2016-09-15,ICC,30.64,1473897600,30.64,30.64,30.64
100,2016-09-16,ICC,35.24,1473984000,35.24,35.24,35.24
600,2016-09-19,ICC,40.48,1474243200,35.24,35.24,40.48
100,2016-09-20,ICC,45.29,1474329600,45.29,45.29,45.29
100,2016-09-21,ICC,52.06,1474416000,52.06,52.06,52.06
300,2016-09-26,ICC,59.78,1474848000,59.78,59.04,59.04
100,2016-11-02,ICC,35.76,1478044800,35.76,35.76,35.76
100,2016-11-14,ICC,30.46,1479081600,30.46,30.46,30.46
500,2016-12-15,ICC,25.9,1481760000,25.9,25.9,25.9
100,2017-01-20,ICC,22.07,1484870400,22.07,22.07,22.07
100,2017-02-07,ICC,18.79,1486425600,18.79,18.79,18.79
100,2017-02-08,ICC,15.97,1486512000,15.97,15.97,15.97
500,2017-02-09,ICC,13.62,1486598400,13.62,13.62,13.62
200,2017-02-10,ICC,11.61,1486684800,11.61,11.61,11.61
2700,2017-02-13,ICC,10.06,1486944000,10.06,10,10.06
6100,2017-02-14,ICC,11.54,1487030400,11.54,11.54,11.54
200,2017-02-15,ICC,13.22,1487116800,13.22,13.22,13.22
1200,2017-02-16,ICC,15.16,1487203200,15.16,13.49,13.49
3400,2017-02-17,ICC,13.75,1487289600,13.75,12.21,12.21
400,2017-02-20,ICC,13.29,1487548800,13.29,12.28,12.28
1000,2017-02-21,ICC,14.09,1487635200,11,11,14.09
1100,2017-02-22,ICC,15.16,1487721600,15.16,11.47,11.47
1100,2017-02-23,ICC,13.55,1487808000,13.55,12.08,12.08
100,2017-02-24,ICC,13.82,1487894400,13.82,13.82,13.82
100,2017-02-28,ICC,11.94,1488240000,11.94,11.94,11.94
200,2017-03-01,ICC,13.62,1488326400,13.62,13.62,13.62
100,2017-03-02,ICC,12.35,1488412800,12.35,12.35,12.35
200,2017-03-03,ICC,13.42,1488499200,13.42,12.75,12.75
100,2017-03-06,ICC,12.41,1488758400,12.41,12.41,12.41
2000,2017-03-07,ICC,14.22,1488844800,14.22,11.41,14.22
100,2017-03-08,ICC,12.28,1488931200,12.28,12.28,12.28
100,2017-03-15,ICC,14.09,1489536000,14.09,14.09,14.09
100,2017-03-16,ICC,13.75,1489622400,13.75,13.75,13.75
10,2017-03-21,ICC,11.74,1490054400,11.74,11.74,11.74
1700,2017-04-12,ICC,13.49,1491955200,13.49,13.49,13.49
100,2017-04-26,ICC,15.5,1493164800,15.5,15.5,15.5
600,2017-05-04,ICC,17.78,1493856000,17.78,13.22,17.78
100,2017-05-05,ICC,20.4,1493942400,20.4,20.4,20.4
100,2017-05-08,ICC,23.42,1494201600,23.42,23.42,23.42
100,2017-05-09,ICC,26.91,1494288000,26.91,26.91,26.91
2400,2017-05-10,ICC,30.93,1494374400,30.93,30.93,30.93
300,2017-05-11,ICC,35.56,1494460800,35.56,35.56,35.56
5200,2017-05-12,ICC,40.86,1494547200,40.86,40.86,40.86
4300,2017-05-15,ICC,46.97,1494806400,46.97,46.97,46.97
600,2017-05-16,ICC,48.31,1494892800,48.31,46.97,46.97
2400,2017-05-17,ICC,46.9,1494979200,46.9,41.87,41.87
2500,2017-05-18,ICC,40.39,1495065600,40.39,36.63,36.63
900,2017-05-22,ICC,33.55,1495411200,33.55,31.74,31.74
600,2017-05-23,ICC,31.53,1495497600,30.86,30.86,31.53
300,2017-05-25,ICC,35.83,1495670400,35.69,35.69,35.83
600,2017-05-26,ICC,40.93,1495756800,40.26,40.26,40.26
900,2017-05-29,ICC,34.89,1496016000,34.89,34.89,34.89
100,2017-05-30,ICC,39.85,1496102400,39.85,39.85,39.85
700,2017-05-31,ICC,34.22,1496188800,34.22,33.88,33.88
2500,2017-06-01,ICC,31.07,1496275200,31.07,30.86,31
100,2017-06-05,ICC,35.29,1496620800,35.29,35.29,35.29
3000,2017-06-06,ICC,33.55,1496707200,33.55,30.19,30.19
2100,2017-06-08,ICC,35.69,1496880000,35.49,35.49,35.69
2200,2017-06-13,ICC,40.86,1497312000,35.56,35.56,40.86
1200,2017-06-14,ICC,44.28,1497398400,44.28,35.56,35.56
1000,2017-06-15,ICC,42.2,1497484800,38.24,38.24,42.2
100,2017-06-16,ICC,43.61,1497571200,43.61,43.61,43.61
200,2017-06-19,ICC,37.1,1497830400,37.1,37.1,37.1
607,2017-06-27,ICC,33.01,1498521600,31.87,31.87,32.94
621,2017-06-28,ICC,35.69,1498608000,35.69,32.2,32.2
330,2017-06-29,ICC,37.64,1498694400,37.57,37.57,37.64
227,2017-06-30,ICC,32.88,1498780800,32.88,32.61,32.61
400,2017-07-11,ICC,36.23,1499731200,36.23,36.23,36.23
200,2017-07-18,ICC,32.2,1500336000,32.2,32.2,32.2
100,2017-07-20,ICC,36.23,1500508800,36.23,36.23,36.23
300,2017-07-25,ICC,36.1,1500940800,31.53,31.53,33.55
1800,2017-07-26,ICC,32.2,1501027200,32.2,30.86,32.2
200,2017-07-27,ICC,33.55,1501113600,31.07,31.07,33.55
400,2017-08-01,ICC,31.2,1501545600,27.51,27.51,30.93
200,2017-08-02,ICC,32.88,1501632000,30.33,30.33,32.88
200,2017-08-03,ICC,32.88,1501718400,26.91,26.91,32.88
100,2017-08-04,ICC,33.21,1501804800,33.21,33.21,33.21
1300,2017-08-09,ICC,31.53,1502236800,31,31,31.53
500,2017-08-22,ICC,31,1503360000,31,31,31
1100,2017-08-28,ICC,31,1503878400,31,31,31
1400,2017-08-29,ICC,31,1503964800,31,31,31
2300,2017-08-30,ICC,30.93,1504051200,30.93,26.37,30.86
300,2017-09-05,ICC,28.98,1504569600,28.98,28.92,28.92
1800,2017-09-07,ICC,28.98,1504742400,24.69,24.69,28.85
1000,2017-09-08,ICC,28.85,1504828800,28.85,28.85,28.85
200,2017-09-11,ICC,30.19,1505088000,24.56,24.56,30.19
200,2017-09-12,ICC,28.85,1505174400,28.78,28.78,28.85
500,2017-09-13,ICC,29.52,1505260800,29.52,29.52,29.52
15402,2017-09-14,ICC,33.95,1505347200,33.95,33.95,33.95
1800,2017-09-15,ICC,38.98,1505433600,34.35,34.35,38.98
1000,2017-09-18,ICC,42.27,1505692800,41.6,41.6,42.27
2000,2017-09-19,ICC,36.3,1505779200,35.43,35.43,35.56
2200,2017-09-20,ICC,39.18,1505865600,35.96,35.96,39.18
900,2017-09-21,ICC,36.19,1505952000,36.19,36.19,36.19
300,2017-09-22,ICC,36.19,1506038400,36.19,36.19,36.19
2000,2017-09-25,ICC,36.19,1506297600,36.19,36.19,36.19
600,2017-09-26,ICC,36.19,1506384000,36.19,36.19,36.19
800,2017-09-27,ICC,36.19,1506470400,36.19,35.54,35.54
1300,2017-09-28,ICC,35.68,1506556800,35.68,35.47,35.47
800,2017-09-29,ICC,35.47,1506643200,35.47,35.47,35.47
2100,2017-10-05,ICC,36.19,1507161600,36.04,35.47,35.47
300,2017-10-09,ICC,39.81,1507507200,30.47,30.47,39.81
400,2017-10-10,ICC,34.74,1507593600,31.2,31.2,34.74
200,2017-10-11,ICC,33.29,1507680000,33.29,33.29,33.29
400,2017-10-12,ICC,34.74,1507766400,34.74,34.74,34.74
300,2017-10-13,ICC,34.02,1507852800,29.53,29.53,34.02
200,2017-10-16,ICC,33.29,1508112000,33.29,33.29,33.29
300,2017-10-19,ICC,32.57,1508371200,32.57,32.57,32.57
1200,2017-10-20,ICC,32.57,1508457600,32.57,32.57,32.57
2200,2017-10-23,ICC,34.74,1508716800,34.74,31.85,31.85
2700,2017-10-24,ICC,34.74,1508803200,34.74,32.57,32.57
1500,2017-10-25,ICC,34.74,1508889600,32.64,32.64,34.74
1000,2017-10-26,ICC,34.23,1508976000,34.23,34.02,34.02
2000,2017-10-27,ICC,35.47,1509062400,34.74,34.74,35.47
9000,2017-10-30,ICC,39.81,1509321600,35.47,35.47,37.27
3500,2017-10-31,ICC,40.31,1509408000,40.31,39.95,40.24
1800,2017-11-01,ICC,40.1,1509494400,40.1,40.02,40.02
1200,2017-11-02,ICC,39.59,1509580800,34.16,34.16,39.59
2000,2017-11-03,ICC,38.72,1509667200,38.72,35.47,35.47
4400,2017-11-06,ICC,39.08,1509926400,36.19,35.47,39.08
2100,2017-11-07,ICC,42.7,1510012800,38.36,38.36,38.36
300,2017-11-08,ICC,42.56,1510099200,42.56,42.56,42.56
1300,2017-11-09,ICC,39.08,1510185600,39.08,38.72,38.72
1500,2017-11-10,ICC,38.72,1510272000,38.72,38.72,38.72
800,2017-11-14,ICC,38.72,1510617600,38.72,38.72,38.72
500,2017-11-16,ICC,38.72,1510790400,38.72,38.72,38.72
900,2017-11-17,ICC,38.72,1510876800,38.72,38.72,38.72
1500,2017-11-20,ICC,39.66,1511136000,32.93,32.93,39.66
400,2017-11-24,ICC,38.43,1511481600,38.43,38.43,38.43
100,2017-11-27,ICC,38.43,1511740800,38.43,38.43,38.43
400,2017-11-28,ICC,37.27,1511827200,32.79,32.79,37.27
100,2017-11-29,ICC,38,1511913600,38,38,38
200,2017-11-30,ICC,36.19,1512000000,36.19,36.19,36.19
400,2017-12-01,ICC,36.19,1512086400,36.19,36.19,36.19
