symbol,close,timestamp,low,open,high,volume,date
IDI,4.53,1309392000,4.53,4.53,4.53,170,2011-06-30
IDI,4.31,1309478400,4.31,4.31,4.31,40,2011-07-01
IDI,4.12,1309737600,4.12,4.12,4.12,15000,2011-07-04
IDI,3.93,1309824000,3.93,3.93,3.93,220030,2011-07-05
IDI,3.74,1309910400,3.74,3.74,3.77,624470,2011-07-06
IDI,3.58,1309996800,3.58,3.58,3.58,318140,2011-07-07
IDI,3.55,1310083200,3.43,3.43,3.58,1256220,2011-07-08
IDI,3.55,1310342400,3.49,3.65,3.65,79140,2011-07-11
IDI,3.39,1310428800,3.39,3.52,3.52,478410,2011-07-12
IDI,3.43,1310515200,3.3,3.3,3.52,47600,2011-07-13
IDI,3.27,1310601600,3.27,3.33,3.39,285500,2011-07-14
IDI,3.24,1310688000,3.14,3.14,3.27,88840,2011-07-15
IDI,3.08,1310947200,3.08,3.14,3.21,103390,2011-07-18
IDI,3.14,1311033600,2.99,3.08,3.14,108560,2011-07-19
IDI,3.17,1311120000,3.08,3.14,3.17,67900,2011-07-20
IDI,3.08,1311206400,3.05,3.21,3.21,33320,2011-07-21
IDI,3.02,1311292800,3.02,3.08,3.08,63980,2011-07-22
IDI,2.92,1311552000,2.92,2.95,3.08,32870,2011-07-25
IDI,2.92,1311638400,2.83,2.83,2.92,25630,2011-07-26
IDI,2.95,1311724800,2.86,2.92,2.95,6400,2011-07-27
IDI,2.95,1311811200,2.83,3.02,3.02,33840,2011-07-28
IDI,2.86,1311897600,2.86,2.92,2.92,26900,2011-07-29
IDI,2.83,1312156800,2.77,2.92,2.92,38550,2011-08-01
IDI,2.86,1312243200,2.77,2.83,2.86,47630,2011-08-02
IDI,2.83,1312329600,2.73,2.73,2.86,10020,2011-08-03
IDI,2.92,1312416000,2.77,2.86,2.95,84070,2011-08-04
IDI,2.99,1312502400,2.83,2.92,2.99,39680,2011-08-05
IDI,2.95,1312761600,2.92,2.92,2.99,5890,2011-08-08
IDI,2.83,1312848000,2.83,2.95,2.95,20310,2011-08-09
IDI,2.83,1312934400,2.8,2.83,2.83,26010,2011-08-10
IDI,2.83,1313020800,2.7,2.77,2.83,14390,2011-08-11
IDI,2.86,1313107200,2.83,2.83,2.89,12910,2011-08-12
IDI,2.83,1313366400,2.83,2.92,2.92,80,2011-08-15
IDI,2.92,1313452800,2.83,2.89,2.92,17210,2011-08-16
IDI,2.95,1313539200,2.86,2.92,2.99,29560,2011-08-17
IDI,2.99,1313625600,2.95,2.99,3.02,47610,2011-08-18
IDI,2.99,1313712000,2.86,2.92,2.99,57180,2011-08-19
IDI,2.99,1313971200,2.99,3.02,3.11,47910,2011-08-22
IDI,2.89,1314057600,2.89,3.02,3.02,21020,2011-08-23
IDI,2.92,1314144000,2.86,2.89,3.02,37140,2011-08-24
IDI,2.95,1314230400,2.86,2.95,2.95,43090,2011-08-25
IDI,2.95,1314316800,2.92,2.92,2.95,29040,2011-08-26
IDI,3.08,1314576000,2.95,2.95,3.08,48830,2011-08-29
IDI,3.14,1314662400,3.14,3.14,3.14,5000,2011-08-30
IDI,3.14,1314748800,2.99,3.02,3.14,53100,2011-08-31
IDI,3.14,1314835200,3.02,3.02,3.14,77000,2011-09-01
IDI,2.99,1315180800,2.99,3.11,3.11,57050,2011-09-05
IDI,2.99,1315267200,2.99,2.99,3.05,23520,2011-09-06
IDI,3.02,1315353600,2.99,2.99,3.05,7600,2011-09-07
IDI,3.02,1315440000,3.02,3.02,3.11,33770,2011-09-08
IDI,2.92,1315526400,2.89,3.02,3.02,31050,2011-09-09
IDI,2.95,1315785600,2.95,2.95,2.99,13310,2011-09-12
IDI,3.08,1315872000,2.99,2.99,3.08,77480,2011-09-13
IDI,3.21,1315958400,3.21,3.21,3.21,959790,2011-09-14
IDI,3.36,1316044800,3.33,3.36,3.36,712270,2011-09-15
IDI,3.52,1316131200,3.52,3.52,3.52,127790,2011-09-16
IDI,3.68,1316390400,3.68,3.68,3.68,71690,2011-09-19
IDI,3.77,1316476800,3.77,3.77,3.83,640600,2011-09-20
IDI,3.58,1316563200,3.58,3.61,3.9,434950,2011-09-21
IDI,3.58,1316649600,3.43,3.46,3.61,379220,2011-09-22
IDI,3.46,1316736000,3.46,3.68,3.68,101490,2011-09-23
IDI,3.33,1316995200,3.33,3.46,3.46,168470,2011-09-26
IDI,3.27,1317081600,3.27,3.43,3.43,170980,2011-09-27
IDI,3.43,1317168000,3.3,3.3,3.43,91350,2011-09-28
IDI,3.58,1317254400,3.43,3.58,3.58,294280,2011-09-29
IDI,3.61,1317340800,3.49,3.65,3.65,257390,2011-09-30
IDI,3.46,1317600000,3.46,3.52,3.61,130400,2011-10-03
IDI,3.3,1317686400,3.3,3.33,3.39,247330,2011-10-04
IDI,3.3,1317772800,3.24,3.27,3.3,65840,2011-10-05
IDI,3.39,1317859200,3.36,3.36,3.46,108010,2011-10-06
IDI,3.3,1317945600,3.24,3.36,3.39,112210,2011-10-07
IDI,3.21,1318204800,3.17,3.24,3.3,76730,2011-10-10
IDI,3.14,1318291200,3.14,3.24,3.24,43090,2011-10-11
IDI,2.99,1318377600,2.99,3.08,3.14,182610,2011-10-12
IDI,3.05,1318464000,2.92,2.99,3.05,68230,2011-10-13
IDI,3.02,1318550400,3.02,3.05,3.08,67010,2011-10-14
IDI,3.14,1318809600,3.08,3.11,3.14,111870,2011-10-17
IDI,2.99,1318896000,2.99,3.14,3.14,81990,2011-10-18
IDI,2.99,1318982400,2.92,3.02,3.02,40940,2011-10-19
IDI,2.99,1319068800,2.92,2.92,3.05,8980,2011-10-20
IDI,3.02,1319155200,3.02,3.05,3.08,18770,2011-10-21
