symbol,close,timestamp,low,open,high,volume,date
ILC,12,1135728000,12,12,12,100,2005-12-28
ILC,13.2,1137110400,13.2,13.2,13.2,100,2006-01-13
ILC,14.47,1141171200,14.47,14.47,14.47,400,2006-03-01
ILC,15.87,1142208000,4,4,4,1528,2006-03-13
ILC,16.93,1147046400,4.67,4.67,4.67,382,2006-05-08
ILC,18.6,1147219200,4.67,4.67,4.67,1910,2006-05-10
ILC,20.4,1147824000,5.33,5.33,5.33,382,2006-05-17
ILC,22.4,1149206400,6,6,6,382,2006-06-02
ILC,24.6,1153267200,6.67,6.67,6.67,382,2006-07-19
ILC,27,1153353600,6.67,6.67,6.67,382,2006-07-20
ILC,24.34,1154649600,6,6,6,1146,2006-08-04
ILC,24.34,1155081600,5.33,5.33,6.67,764,2006-08-09
ILC,22.33,1158710400,6,6,6,382,2006-09-20
ILC,24,1164844800,6,6,6,382,2006-11-30
ILC,23.33,1165363200,6,6,6,382,2006-12-06
ILC,25.67,1165449600,6.67,6.67,6.67,382,2006-12-07
ILC,28.2,1165881600,7.33,7.33,7.33,382,2006-12-12
ILC,25.47,1165968000,6.67,6.67,6.67,7641,2006-12-13
ILC,22.93,1166054400,6,6,6,1910,2006-12-14
ILC,21.33,1166572800,5.33,5.33,5.33,3820,2006-12-20
ILC,22.93,1170633600,6,6,6,382,2007-02-05
ILC,25.2,1170720000,6.67,6.67,6.67,382,2007-02-06
ILC,27.67,1170806400,7.33,7.33,7.33,382,2007-02-07
ILC,30.4,1170892800,8,8,8,764,2007-02-08
ILC,33.4,1171238400,8.67,8.67,8.67,382,2007-02-12
ILC,36.73,1171411200,9.33,9.33,9.33,382,2007-02-14
ILC,40.4,1171497600,10.67,10.67,10.67,382,2007-02-15
ILC,44.4,1172448000,11.33,11.33,11.33,382,2007-02-26
ILC,25.73,1172620800,12.67,12.67,12.67,201,2007-02-28
ILC,28.27,1172707200,14,14,14,201,2007-03-01
ILC,31.07,1172793600,15.33,15.33,15.33,402,2007-03-02
ILC,31.07,1173052800,15.33,15.33,15.33,402,2007-03-05
ILC,34.13,1173139200,16.67,16.67,16.67,201,2007-03-06
ILC,34.13,1173225600,16.67,16.67,16.67,201,2007-03-07
ILC,37.53,1173312000,18.67,18.67,18.67,201,2007-03-08
ILC,37.53,1173398400,18.67,18.67,18.67,201,2007-03-09
ILC,37.53,1173657600,18.67,18.67,18.67,201,2007-03-12
ILC,41.27,1173744000,20,20,20,201,2007-03-13
ILC,45.34,1173830400,22,22,22,201,2007-03-14
ILC,49.87,1173916800,24.67,24.67,24.67,402,2007-03-15
ILC,54.8,1174003200,26.67,26.67,26.67,1005,2007-03-16
ILC,60.27,1174262400,29.34,29.34,29.34,2211,2007-03-19
ILC,66.27,1174348800,32.67,32.67,32.67,2010,2007-03-20
ILC,72.87,1174435200,35.34,35.34,35.34,3820,2007-03-21
ILC,80.14,1174521600,39.34,39.34,39.34,3217,2007-03-22
ILC,88.14,1174608000,43.34,43.34,43.34,3820,2007-03-23
ILC,96.94,1174867200,47.34,47.34,47.34,4423,2007-03-26
ILC,103.34,1174953600,50.67,52,52,9048,2007-03-27
ILC,100,1175040000,47.34,47.34,50.67,4021,2007-03-28
ILC,96.67,1175126400,47.34,54.67,54.67,1809,2007-03-29
ILC,100.14,1175212800,49.34,49.34,49.34,1809,2007-03-30
ILC,90.14,1175472000,44,46,46,603,2007-04-02
ILC,82.54,1175558400,40.67,40.67,40.67,201,2007-04-03
ILC,82,1175644800,40,40,40,1005,2007-04-04
ILC,82,1175731200,40,40,40,402,2007-04-05
ILC,82,1175817600,40,40,40,402,2007-04-06
ILC,73.8,1176076800,36,40,40,603,2007-04-09
ILC,73.34,1176163200,36,36,36,201,2007-04-10
ILC,70,1176249600,34,34,34,201,2007-04-11
ILC,66,1176336000,32,32.67,32.67,1407,2007-04-12
ILC,63.34,1176422400,29.34,29.34,30.67,1005,2007-04-13
ILC,61.87,1176681600,30,30,30,402,2007-04-16
ILC,58.67,1176768000,28.67,28.67,28.67,804,2007-04-17
ILC,64.54,1176854400,31.34,31.34,31.34,402,2007-04-18
ILC,64,1176940800,31.34,34,34,1005,2007-04-19
ILC,66.34,1177027200,32.67,32.67,32.67,1005,2007-04-20
ILC,66.34,1177286400,32.67,32.67,32.67,1005,2007-04-23
ILC,66.34,1177372800,32.67,32.67,32.67,1005,2007-04-24
ILC,66.34,1177459200,32.67,32.67,32.67,1005,2007-04-25
ILC,66.34,1178064000,32.67,32.67,32.67,1005,2007-05-02
ILC,66.34,1178150400,32.67,32.67,32.67,1005,2007-05-03
ILC,66.67,1178236800,32.67,32.67,32.67,402,2007-05-04
ILC,60,1178496000,29.34,29.34,29.34,1005,2007-05-07
ILC,60.67,1178582400,30,30.67,30.67,1809,2007-05-08
ILC,61,1178668800,30,30,30,3217,2007-05-09
ILC,65,1178755200,30.67,32.67,32.67,402,2007-05-10
ILC,66.67,1178841600,32.67,32.67,32.67,201,2007-05-11
ILC,66.6,1179100800,32.67,32.67,32.67,402,2007-05-14
ILC,65.34,1179187200,32,32,32,402,2007-05-15
ILC,65.34,1179273600,32,32,32,402,2007-05-16
ILC,65.34,1179360000,32,32,32,201,2007-05-17
ILC,60.67,1179446400,29.34,32,32,1005,2007-05-18
ILC,64,1179705600,31.34,31.34,31.34,402,2007-05-21
ILC,65.34,1179792000,32,32.67,32.67,4222,2007-05-22
ILC,66,1179878400,32,32.67,32.67,2614,2007-05-23
ILC,66.14,1179964800,32.67,32.67,32.67,2614,2007-05-24
ILC,59.54,1180051200,29.34,29.34,29.34,7239,2007-05-25
ILC,61.34,1180310400,29.34,30.67,30.67,2211,2007-05-28
ILC,61.4,1180396800,30,30,30,4021,2007-05-29
ILC,61.34,1180483200,30,30,30,201,2007-05-30
ILC,58,1180569600,27.34,27.34,28.67,2211,2007-05-31
ILC,60,1180656000,28,28,29.34,6032,2007-06-01
ILC,59.34,1180915200,29.34,31.34,31.34,2614,2007-06-04
ILC,58.67,1181001600,28,28,28.67,1005,2007-06-05
ILC,57.67,1181088000,28,28.67,28.67,2010,2007-06-06
ILC,57.34,1181174400,28,29.34,29.34,2010,2007-06-07
ILC,58.4,1181260800,28.67,28.67,28.67,5027,2007-06-08
ILC,57.34,1181520000,28,28,28.67,5027,2007-06-11
ILC,57.34,1181606400,28,28,28,5027,2007-06-12
ILC,57.34,1181692800,28,28,28,1005,2007-06-13
ILC,58,1181779200,28.67,28.67,28.67,402,2007-06-14
ILC,58.67,1181865600,28.67,28.67,28.67,1608,2007-06-15
ILC,58.67,1182124800,28.67,28.67,28.67,2614,2007-06-18
ILC,58.67,1182211200,28.67,28.67,28.67,4423,2007-06-19
ILC,58.67,1182297600,28,28,28.67,2010,2007-06-20
ILC,58.34,1182384000,28.67,28.67,28.67,3016,2007-06-21
ILC,59,1182470400,28,28.67,28.67,2614,2007-06-22
ILC,57.34,1182729600,28,28,28,603,2007-06-25
ILC,56.67,1182988800,28,28,28,1005,2007-06-28
ILC,57,1183075200,27.34,27.34,28,2614,2007-06-29
ILC,56.34,1183334400,27.34,27.34,27.34,2614,2007-07-02
ILC,53.34,1183420800,26,26,26,2614,2007-07-03
ILC,53.34,1183507200,26,26,26,2614,2007-07-04
ILC,53.34,1183593600,26,26,26,2614,2007-07-05
ILC,53.34,1183680000,26,26,26,2614,2007-07-06
ILC,53.34,1183939200,26,26,26,2614,2007-07-09
ILC,50,1184025600,24.67,24.67,24.67,2614,2007-07-10
ILC,50,1184112000,24,24.67,24.67,2614,2007-07-11
ILC,49.34,1184198400,24,24.67,24.67,2614,2007-07-12
ILC,49.34,1184284800,24,24,24,2614,2007-07-13
ILC,50,1184544000,24.67,24.67,24.67,2614,2007-07-16
ILC,49.67,1184630400,24,24.67,24.67,2614,2007-07-17
ILC,50,1184716800,24,24,24.67,2614,2007-07-18
ILC,49.67,1184803200,24,24.67,24.67,2614,2007-07-19
ILC,50,1184889600,24.67,24.67,24.67,2614,2007-07-20
ILC,50,1185148800,24.67,24.67,24.67,2614,2007-07-23
ILC,49.34,1185235200,24,24,24,2614,2007-07-24
ILC,50.34,1185321600,24,24,24.67,2614,2007-07-25
ILC,50.67,1185408000,24.67,24.67,24.67,2614,2007-07-26
ILC,50.34,1185494400,24.67,24.67,24.67,2614,2007-07-27
ILC,50.6,1185753600,24.67,24.67,24.67,2614,2007-07-30
ILC,52.6,1185840000,24.67,24.67,26,2614,2007-07-31
ILC,50.67,1185926400,24.67,24.67,24.67,2614,2007-08-01
ILC,50.54,1186012800,24.67,24.67,24.67,2614,2007-08-02
ILC,51,1186099200,24.67,24.67,24.67,2614,2007-08-03
ILC,51,1186358400,24.67,24.67,24.67,2614,2007-08-06
ILC,51.34,1186444800,25.34,25.34,25.34,2614,2007-08-07
ILC,51,1186531200,24.67,24.67,24.67,2614,2007-08-08
ILC,50.74,1186617600,24.67,24.67,24.67,2614,2007-08-09
ILC,50.67,1186704000,24.67,24.67,24.67,2614,2007-08-10
ILC,50.6,1186963200,24.67,24.67,24.67,2614,2007-08-13
ILC,50,1187049600,24.67,24.67,24.67,2614,2007-08-14
ILC,49.94,1187136000,24,24,24.67,2614,2007-08-15
ILC,49.8,1187222400,24.67,24.67,24.67,2614,2007-08-16
ILC,49.8,1187308800,24.67,24.67,24.67,2614,2007-08-17
ILC,49.8,1187568000,24.67,24.67,24.67,2614,2007-08-20
ILC,49.8,1187654400,24.67,24.67,24.67,2614,2007-08-21
ILC,49.8,1187740800,24.67,24.67,24.67,2614,2007-08-22
ILC,49.34,1187827200,24,24.67,24.67,2614,2007-08-23
ILC,49.07,1187913600,24,24.67,24.67,2614,2007-08-24
ILC,48,1188172800,23.33,24,24,2614,2007-08-27
ILC,48,1188259200,23.33,23.33,23.33,2614,2007-08-28
