volume,date,symbol,high,timestamp,open,low,close
18700,2012-10-01,ITQ,10.47,1349049600,10.14,10.14,10.47
15300,2012-10-02,ITQ,10.63,1349136000,10.38,10.38,10.47
10000,2012-10-03,ITQ,10.63,1349222400,10.55,10.55,10.63
9600,2012-10-04,ITQ,10.3,1349308800,10.14,10.14,10.3
8000,2012-10-05,ITQ,10.55,1349395200,10.38,10.38,10.55
12000,2012-10-08,ITQ,10.63,1349654400,10.47,10.47,10.63
8900,2012-10-09,ITQ,10.71,1349740800,10.55,10.55,10.71
10000,2012-10-10,ITQ,10.55,1349827200,10.47,10.38,10.55
12000,2012-10-11,ITQ,10.95,1349913600,10.71,10.71,10.95
9000,2012-10-12,ITQ,11.03,1350000000,10.95,10.95,11.03
9000,2012-10-15,ITQ,11.2,1350259200,11.12,11.12,11.2
13000,2012-10-16,ITQ,11.44,1350345600,11.28,11.28,11.44
9000,2012-10-17,ITQ,11.52,1350432000,11.44,11.44,11.52
10600,2012-10-18,ITQ,11.6,1350518400,11.52,11.44,11.6
10000,2012-10-19,ITQ,11.76,1350604800,11.68,11.68,11.76
9600,2012-10-22,ITQ,11.93,1350864000,11.85,11.85,11.93
10000,2012-10-23,ITQ,12.01,1350950400,11.93,11.93,12.01
7100,2012-10-24,ITQ,12.09,1351036800,12.01,12.01,12.09
9700,2012-10-25,ITQ,11.85,1351123200,11.76,11.76,11.85
11000,2012-10-26,ITQ,11.93,1351209600,11.6,11.6,11.93
10900,2012-10-29,ITQ,11.93,1351468800,11.85,11.76,11.76
8300,2012-10-30,ITQ,11.93,1351555200,11.85,11.85,11.93
9300,2012-10-31,ITQ,12.01,1351641600,11.93,11.93,12.01
8800,2012-11-01,ITQ,12.09,1351728000,12.01,12.01,12.09
8000,2012-11-02,ITQ,12.17,1351814400,12.09,12.09,12.17
8500,2012-11-05,ITQ,12.09,1352073600,12.01,12.01,12.09
10000,2012-11-06,ITQ,12.09,1352160000,12.01,12.01,12.09
11000,2012-11-07,ITQ,12.17,1352246400,12.01,12.01,12.17
8000,2012-11-08,ITQ,12.09,1352332800,12.01,12.01,12.09
10500,2012-11-09,ITQ,12.17,1352419200,12.01,12.01,12.17
14200,2012-11-12,ITQ,12.25,1352678400,12.09,12.09,12.25
10000,2012-11-13,ITQ,12.33,1352764800,12.25,12.25,12.33
12500,2012-11-14,ITQ,12.41,1352851200,12.25,12.25,12.41
9000,2012-11-15,ITQ,12.41,1352937600,12.33,12.33,12.41
