"date","symbol","open","high","low","close","volume","timestamp"
"2010-02-01","KDH",11.86,11.86,11.86,11.86,26580,1264982400
"2010-02-02","KDH",12.36,12.36,12.36,12.36,12200,1265068800
"2010-02-03","KDH",12.85,12.85,12.36,12.36,102450,1265155200
"2010-02-04","KDH",12.36,12.36,12.11,12.36,56210,1265241600
"2010-02-05","KDH",11.86,11.89,11.74,11.74,18600,1265328000
"2010-02-08","KDH",11.24,12.23,11.24,12.23,70990,1265587200
"2010-02-09","KDH",12.23,12.23,11.66,12.11,11870,1265673600
"2010-02-10","KDH",12.11,12.11,12.09,12.11,8220,1265760000
"2010-02-11","KDH",11.74,12.11,11.74,11.86,9350,1265846400
"2010-02-12","KDH",11.62,11.86,11.49,11.86,22660,1265932800
"2010-02-22","KDH",11.54,11.74,11.39,11.66,17500,1266796800
"2010-02-23","KDH",11.1,11.57,11.1,11.1,28090,1266883200
"2010-02-24","KDH",11.1,11.1,10.55,10.58,19610,1266969600
"2010-02-25","KDH",10.5,11.05,10.5,10.87,8700,1267056000
"2010-02-26","KDH",11.07,11.07,10.87,11.05,18410,1267142400
"2010-03-01","KDH",11.12,11.12,11,11.12,24900,1267401600
"2010-03-02","KDH",10.68,11.07,10.68,10.97,5560,1267488000
"2010-03-03","KDH",10.87,10.87,10.6,10.63,7850,1267574400
"2010-03-04","KDH",10.95,11.12,10.95,11,7700,1267660800
"2010-03-05","KDH",10.82,10.82,10.45,10.45,10450,1267747200
"2010-03-08","KDH",10.7,10.97,10.65,10.97,129570,1268006400
"2010-03-09","KDH",11.52,11.52,11.12,11.52,85600,1268092800
"2010-03-10","KDH",11.52,11.91,11.37,11.52,43550,1268179200
"2010-03-11","KDH",11.27,11.84,11.12,11.12,67670,1268265600
"2010-03-12","KDH",11.12,11.37,11.12,11.37,7940,1268352000
"2010-03-15","KDH",11.37,11.74,11.32,11.37,69650,1268611200
"2010-03-16","KDH",11.12,11.24,10.9,10.9,61450,1268697600
"2010-03-17","KDH",10.63,10.92,10.5,10.63,46310,1268784000
"2010-03-18","KDH",10.63,11,10.63,11,15510,1268870400
"2010-03-19","KDH",11,11.1,10.87,11.02,50590,1268956800
"2010-03-22","KDH",11.34,11.34,11.12,11.12,18200,1269216000
"2010-03-23","KDH",11.12,11.12,11.02,11.12,49500,1269302400
"2010-03-24","KDH",11.12,11.24,11.12,11.24,13920,1269388800
"2010-03-25","KDH",11.24,11.24,11.12,11.22,8120,1269475200
"2010-03-26","KDH",11.12,11.74,11,11.74,131440,1269561600
"2010-03-29","KDH",11.39,12.11,11.39,11.39,63430,1269820800
"2010-03-30","KDH",11.12,11.44,11.12,11.37,7190,1269907200
"2010-03-31","KDH",11.37,11.37,10.87,10.87,108900,1269993600
"2010-04-01","KDH",10.87,11.37,10.87,11.37,111250,1270080000
"2010-04-02","KDH",11.47,11.47,11.17,11.37,68990,1270166400
"2010-04-05","KDH",11.37,11.49,11.27,11.49,91760,1270425600
"2010-04-06","KDH",11.49,11.62,11.49,11.54,72100,1270512000
"2010-04-07","KDH",11.57,11.74,11.49,11.74,126820,1270598400
"2010-04-08","KDH",12.31,12.31,11.62,12.31,145510,1270684800
"2010-04-09","KDH",12.6,12.73,12.31,12.48,44460,1270771200
"2010-04-12","KDH",12.6,12.6,12.36,12.48,83300,1271030400
"2010-04-13","KDH",12.48,12.48,12.11,12.11,41460,1271116800
"2010-04-14","KDH",11.86,12.13,11.86,11.99,24000,1271203200
"2010-04-15","KDH",11.99,12.36,11.99,12.36,87190,1271289600
"2010-04-16","KDH",12.11,12.48,12.11,12.48,75610,1271376000
"2010-04-19","KDH",12.97,13.1,12.97,12.97,164050,1271635200
"2010-04-20","KDH",12.97,13.59,12.97,13.59,156670,1271721600
"2010-04-21","KDH",14.09,14.21,13.96,14.21,118500,1271808000
"2010-04-22","KDH",13.59,14.21,13.59,13.59,174970,1271894400
"2010-04-26","KDH",13.96,14.21,13.59,13.96,102940,1272240000
"2010-04-27","KDH",14.09,14.21,13.47,13.96,147630,1272326400
"2010-04-28","KDH",13.84,13.96,13.47,13.84,103770,1272412800
"2010-04-29","KDH",13.59,13.84,13.22,13.59,165780,1272499200
"2010-05-04","KDH",13.84,13.96,13.59,13.84,125360,1272931200
"2010-05-05","KDH",13.35,13.47,13.22,13.35,96700,1273017600
"2010-05-06","KDH",13.22,13.22,12.85,12.85,62800,1273104000
"2010-05-07","KDH",12.6,12.97,12.36,12.97,110870,1273190400
"2010-05-10","KDH",12.97,12.97,12.33,12.33,77230,1273449600
"2010-05-11","KDH",12.6,12.85,12.18,12.85,51470,1273536000
"2010-05-12","KDH",12.48,12.6,12.23,12.23,46550,1273622400
"2010-05-13","KDH",12.36,12.73,12.36,12.73,36720,1273708800
"2010-05-14","KDH",13.1,13.1,12.73,12.97,58210,1273795200
"2010-05-17","KDH",13.1,13.1,12.48,12.85,84520,1274054400
"2010-05-18","KDH",12.6,12.73,12.36,12.73,114950,1274140800
"2010-05-19","KDH",12.48,12.73,12.11,12.48,155080,1274227200
"2010-05-20","KDH",11.86,12.6,11.86,12.6,95120,1274313600
"2010-05-21","KDH",12.36,12.48,12.18,12.36,109150,1274400000
"2010-05-24","KDH",12.36,12.48,12.36,12.48,60650,1274659200
"2010-05-25","KDH",12.36,12.6,12.11,12.6,57590,1274745600
"2010-05-26","KDH",12.6,12.6,12.36,12.6,96110,1274832000
"2010-05-27","KDH",12.18,12.6,12.18,12.6,61380,1274918400
"2010-05-28","KDH",12.85,12.85,12.48,12.85,84200,1275004800
"2010-05-31","KDH",12.6,12.73,12.48,12.73,57600,1275264000
"2010-06-01","KDH",12.85,12.85,12.48,12.85,47960,1275350400
"2010-06-02","KDH",12.48,12.97,12.48,12.97,87300,1275436800
"2010-06-03","KDH",12.97,12.97,12.85,12.97,52510,1275523200
"2010-06-04","KDH",12.97,12.97,12.48,12.73,58150,1275609600
"2010-06-07","KDH",12.73,12.73,12.16,12.48,83850,1275868800
"2010-06-08","KDH",12.36,12.36,12.23,12.36,70270,1275955200
"2010-06-09","KDH",12.36,12.6,12.28,12.36,33780,1276041600
"2010-06-10","KDH",12.6,12.6,12.36,12.6,70750,1276128000
"2010-06-11","KDH",12.48,12.6,12.36,12.6,82800,1276214400
"2010-06-14","KDH",12.6,12.6,12.36,12.6,116030,1276473600
"2010-06-15","KDH",12.36,12.6,12.36,12.6,221420,1276560000
"2010-06-16","KDH",12.6,12.85,12.48,12.85,292870,1276646400
"2010-06-17","KDH",12.48,12.85,12.36,12.73,599610,1276732800
"2010-06-18","KDH",12.85,13.35,12.48,13.35,1079150,1276819200
"2010-06-21","KDH",13.59,13.59,13.1,13.47,398990,1277078400
"2010-06-22","KDH",13.22,13.47,12.97,13.22,209750,1277164800
"2010-06-23","KDH",12.97,13.22,12.85,13.1,276710,1277251200
"2010-06-24","KDH",13.72,13.72,13.59,13.72,1712320,1277337600
"2010-06-25","KDH",13.84,14.33,13.22,14.09,562890,1277424000
"2010-06-28","KDH",14.09,14.21,13.47,13.47,405690,1277683200
"2010-06-29","KDH",13.1,13.72,13.1,13.59,187170,1277769600
"2010-06-30","KDH",13.1,13.35,12.97,13.1,370790,1277856000
"2010-07-01","KDH",13.35,13.35,12.73,12.73,275880,1277942400
"2010-07-02","KDH",12.85,13.35,12.73,13.35,440730,1278028800
"2010-07-05","KDH",13.47,13.59,13.1,13.1,216300,1278288000
"2010-07-06","KDH",12.97,12.97,12.48,12.48,405700,1278374400
"2010-07-07","KDH",12.73,12.73,12.13,12.48,324990,1278460800
"2010-07-08","KDH",12.36,12.85,12.36,12.36,308540,1278547200
"2010-07-09","KDH",12.36,12.48,12.36,12.36,125690,1278633600
"2010-07-12","KDH",12.36,12.48,12.36,12.48,224510,1278892800
"2010-07-13","KDH",12.48,12.85,12.48,12.6,171260,1278979200
"2010-07-14","KDH",12.73,12.97,12.73,12.73,312000,1279065600
"2010-07-15","KDH",12.73,12.73,12.48,12.6,123410,1279152000
"2010-07-16","KDH",12.6,12.73,12.48,12.48,115060,1279238400
"2010-07-19","KDH",12.36,12.36,12.23,12.23,152180,1279497600
"2010-07-20","KDH",12.23,12.23,12.01,12.11,171200,1279584000
"2010-07-21","KDH",12.23,12.23,12.11,12.16,113690,1279670400
"2010-07-22","KDH",12.23,12.6,12.18,12.48,165210,1279756800
"2010-07-23","KDH",12.48,13.1,12.48,12.6,424950,1279843200
"2010-07-26","KDH",12.36,12.48,12.31,12.36,91380,1280102400
"2010-07-27","KDH",12.36,12.48,11.86,11.89,150360,1280188800
"2010-07-28","KDH",12.11,12.11,11.81,11.89,108830,1280275200
"2010-07-29","KDH",11.86,11.89,11.69,11.86,114600,1280361600
"2010-07-30","KDH",11.86,12.11,11.86,11.96,74210,1280448000
"2010-08-02","KDH",12.11,12.11,11.96,11.99,128570,1280707200
"2010-08-03","KDH",12.06,12.06,11.96,11.99,172840,1280793600
"2010-08-04","KDH",11.99,11.99,11.62,11.84,138900,1280880000
"2010-08-05","KDH",11.86,11.86,11.74,11.74,123030,1280966400
"2010-08-06","KDH",11.74,11.81,11.62,11.62,130970,1281052800
"2010-08-09","KDH",11.62,11.62,11.12,11.12,120730,1281312000
"2010-08-10","KDH",10.75,11.12,10.58,10.58,89930,1281398400
"2010-08-11","KDH",10.18,10.58,10.06,10.58,178720,1281484800
"2010-08-12","KDH",11.07,11.07,10.06,10.8,185300,1281571200
"2010-08-13","KDH",10.31,10.91,10.28,10.83,307920,1281657600
"2010-08-16","KDH",10.94,11.21,10.61,11.1,174130,1281916800
"2010-08-17","KDH",11.18,11.18,10.94,11.18,141490,1282003200
"2010-08-18","KDH",11.18,11.18,11.07,11.15,129700,1282089600
"2010-08-19","KDH",11.07,11.13,10.91,11.07,126150,1282176000
"2010-08-20","KDH",11.13,11.13,11.02,11.1,164310,1282262400
"2010-08-23","KDH",11.15,11.15,11.02,11.07,142420,1282521600
"2010-08-24","KDH",10.94,10.94,10.74,10.8,108700,1282608000
"2010-08-25","KDH",10.8,10.8,10.39,10.39,114480,1282694400
"2010-08-26","KDH",10.61,10.74,10.44,10.53,69100,1282780800
"2010-08-27","KDH",11.04,11.04,10.53,11.04,84400,1282867200
"2010-08-30","KDH",11.59,11.59,11.48,11.59,116230,1283126400
"2010-08-31","KDH",12.16,12.16,12,12.16,135810,1283212800
"2010-09-01","KDH",12.19,12.71,12.19,12.19,83930,1283299200
"2010-09-06","KDH",12.71,12.79,12.71,12.77,213500,1283731200
"2010-09-07","KDH",12.77,12.99,12.57,12.79,138380,1283817600
"2010-09-08","KDH",12.77,12.77,12.44,12.71,110100,1283904000
"2010-09-09","KDH",12.85,12.85,12.74,12.82,112930,1283990400
"2010-09-10","KDH",12.85,12.85,12.44,12.44,161410,1284076800
"2010-09-13","KDH",12.71,12.71,12.16,12.28,133500,1284336000
"2010-09-14","KDH",12.85,12.85,12.69,12.77,221710,1284422400
"2010-09-15","KDH",12.93,12.93,12.77,12.85,184830,1284508800
"2010-09-16","KDH",12.99,12.99,12.71,12.85,212600,1284595200
"2010-09-17","KDH",12.96,12.96,12.85,12.93,152450,1284681600
"2010-09-20","KDH",12.99,13.1,12.93,13.1,146000,1284940800
"2010-09-21","KDH",13.12,13.67,12.99,13.67,429050,1285027200
"2010-09-22","KDH",13.67,13.67,13.48,13.53,205400,1285113600
"2010-09-23","KDH",13.53,13.53,13.12,13.37,164420,1285200000
"2010-09-24","KDH",13.37,13.37,13.12,13.12,133330,1285286400
"2010-09-27","KDH",13.12,13.18,12.99,12.99,147300,1285545600
"2010-09-28","KDH",13.12,13.12,13.04,13.04,161800,1285632000
"2010-09-29","KDH",13.07,13.07,12.99,12.99,107860,1285718400
"2010-09-30","KDH",12.99,13.04,12.99,13.01,127160,1285804800
