open,close,volume,symbol,timestamp,low,date,high
3.41,3.98,1600,MCF,1297641600,3.41,2011-02-14,3.98
3.69,3.69,300,MCF,1297728000,3.69,2011-02-15,3.69
3.94,3.94,1900,MCF,1297814400,3.94,2011-02-16,3.94
3.71,3.71,500,MCF,1298246400,3.71,2011-02-21,3.71
3.69,3.69,300,MCF,1298592000,3.69,2011-02-25,3.69
3.69,3.69,1500,MCF,1298937600,3.69,2011-03-01,3.69
3.44,3.44,100,MCF,1299024000,3.44,2011-03-02,3.44
3.34,3.28,400,MCF,1299110400,3.28,2011-03-03,3.34
3.55,3.55,300,MCF,1299196800,3.55,2011-03-04,3.55
3.32,3.32,300,MCF,1299456000,3.32,2011-03-07,3.32
3.09,3.09,300,MCF,1299542400,3.09,2011-03-08,3.09
3.19,2.89,800,MCF,1299628800,2.89,2011-03-09,3.19
2.73,2.73,700,MCF,1299715200,2.73,2011-03-10,2.73
2.91,2.91,100,MCF,1300147200,2.91,2011-03-15,2.91
3.09,3.09,100,MCF,1300320000,3.09,2011-03-17,3.09
3.3,3.3,100,MCF,1300665600,3.3,2011-03-21,3.3
3.3,3.3,200,MCF,1301270400,3.3,2011-03-28,3.3
3.46,3.46,500,MCF,1301356800,3.46,2011-03-29,3.46
3.41,3.41,300,MCF,1301961600,3.41,2011-04-05,3.41
3.17,3.17,500,MCF,1302652800,3.17,2011-04-13,3.17
3.05,3.05,400,MCF,1303257600,3.05,2011-04-20,3.05
3.26,3.26,100,MCF,1303689600,3.26,2011-04-25,3.26
3.29,3.29,1000,MCF,1304985600,3.29,2011-05-10,3.29
3.24,3.24,100,MCF,1306886400,3.24,2011-06-01,3.24
3.03,3.03,1000,MCF,1306972800,3.03,2011-06-02,3.03
2.82,3.03,1500,MCF,1307059200,2.82,2011-06-03,3.03
3.15,3.15,700,MCF,1307404800,3.15,2011-06-07,3.15
3.24,3.24,200,MCF,1307577600,3.24,2011-06-09,3.24
3.03,3.03,1000,MCF,1307664000,3.03,2011-06-10,3.03
3.1,3.1,200,MCF,1308182400,3.1,2011-06-16,3.1
