close,date,high,low,open,symbol,timestamp,volume
14,2022-04-28,14,14,14,MGR,1651104000,5100
16.1,2022-04-29,16.1,16.1,16.1,MGR,1651190400,94900
18.5,2022-05-04,18.5,18.5,18.5,MGR,1651622400,5000
21.2,2022-05-05,21.2,21.2,21.2,MGR,1651708800,25400
18.5,2022-05-06,24,18.1,21,MGR,1651795200,41100
16,2022-05-09,18.4,16,16,MGR,1652054400,3000
18.9,2022-05-10,18.9,16,16.5,MGR,1652140800,16300
18,2022-05-11,20,15.5,20,MGR,1652227200,3600
15.5,2022-05-12,17.9,15.5,15.9,MGR,1652313600,9200
16.2,2022-05-13,16.5,13.5,15.5,MGR,1652400000,10000
16.4,2022-05-16,16.5,16.4,16.5,MGR,1652659200,4400
16.8,2022-05-17,17,14.5,16.4,MGR,1652745600,4100
14.8,2022-05-18,15,14.6,14.6,MGR,1652832000,3300
16.1,2022-05-19,16.1,16.1,16.1,MGR,1652918400,200
16,2022-05-20,17,13.7,17,MGR,1653004800,17200
13.9,2022-05-23,14,13.9,14,MGR,1653264000,1600
15.3,2022-05-24,15.5,13.9,13.9,MGR,1653350400,3000
15.5,2022-05-25,15.5,15.3,15.3,MGR,1653436800,400
14.8,2022-05-26,15.1,14.1,14.6,MGR,1653523200,1700
14.8,2022-05-27,14.8,13.5,13.5,MGR,1653609600,1100
14.9,2022-05-30,14.9,14.9,14.9,MGR,1653868800,100
14.5,2022-05-31,14.7,13.1,14.7,MGR,1653955200,12900
15.4,2022-06-01,16.8,14.6,14.7,MGR,1654041600,6800
14.8,2022-06-02,14.9,13.8,13.8,MGR,1654128000,300
15.9,2022-06-06,16,12.8,14.4,MGR,1654473600,24200
15.7,2022-06-07,15.8,15.7,15.8,MGR,1654560000,6000
15.4,2022-06-08,15.4,15.4,15.4,MGR,1654646400,600
15.4,2022-06-09,15.4,15.4,15.4,MGR,1654732800,3600
14.3,2022-06-10,14.9,13.8,14.5,MGR,1654819200,1132
14.4,2022-06-13,14.4,14.4,14.4,MGR,1655078400,107
16,2022-06-14,16,16,16,MGR,1655164800,100
16,2022-06-15,16,16,16,MGR,1655251200,200
13.6,2022-06-17,13.6,13.6,13.6,MGR,1655424000,3408
12.5,2022-06-20,13.1,11.6,11.6,MGR,1655683200,3602
13.5,2022-06-21,13.5,12.2,12.2,MGR,1655769600,200
14.8,2022-06-22,14.8,14.8,14.8,MGR,1655856000,100
14.8,2022-06-23,14.8,13,13,MGR,1655942400,2510
15,2022-06-24,15.3,14.9,15.3,MGR,1656028800,1603
14.5,2022-06-27,14.5,12.8,12.8,MGR,1656288000,300
15.3,2022-06-28,15.3,13,13,MGR,1656374400,500
13,2022-06-29,13,13,13,MGR,1656460800,1800
13,2022-06-30,13,11.1,13,MGR,1656547200,1600
14.8,2022-07-01,14.8,13,13,MGR,1656633600,2100
13,2022-07-04,13,11.2,11.2,MGR,1656892800,1100
12,2022-07-05,12.5,12,12.5,MGR,1656979200,600
12,2022-07-06,12,12,12,MGR,1657065600,300
13.8,2022-07-08,13.8,13.8,13.8,MGR,1657238400,200
12,2022-07-11,12,11.8,11.8,MGR,1657497600,3100
12,2022-07-13,12,10.2,10.2,MGR,1657670400,400
11.1,2022-07-14,11.1,11.1,11.1,MGR,1657756800,200
11.1,2022-07-19,11.1,11.1,11.1,MGR,1658188800,1500
11.9,2022-07-20,12,9.8,12,MGR,1658275200,1000
13,2022-07-21,13,13,13,MGR,1658361600,100
