"date","symbol","open","high","low","close","volume","timestamp"
"2010-06-02","MKP","43.94","45.77","43.64","43.94","159500","1275436800"
"2010-06-03","MKP","43.64","44.25","43.64","43.64","93650","1275523200"
"2010-06-04","MKP","43.94","43.94","42.41","43.94","9870","1275609600"
"2010-06-07","MKP","41.8","42.72","41.8","42.72","2530","1275868800"
"2010-06-08","MKP","40.89","42.72","40.89","42.72","11200","1275955200"
"2010-06-09","MKP","41.2","42.41","40.58","42.41","29950","1276041600"
"2010-06-10","MKP","40.89","42.11","40.89","40.89","5900","1276128000"
"2010-06-11","MKP","42.11","42.11","41.8","40.58","20","1276214400"
"2010-06-14","MKP","39.06","40.89","39.06","40.89","5490","1276473600"
"2010-06-15","MKP","39.36","40.89","39.36","39.67","26740","1276560000"
"2010-06-16","MKP","41.53","41.53","39.98","40.29","14920","1276646400"
"2010-06-17","MKP","40.29","40.29","39.67","39.67","5700","1276732800"
"2010-06-18","MKP","39.67","39.67","39.36","39.36","7050","1276819200"
"2010-06-21","MKP","40.29","40.29","40.29","40.29","16140","1277078400"
"2010-06-22","MKP","39.98","39.98","39.67","39.67","2500","1277164800"
"2010-06-23","MKP","40.29","40.29","39.67","39.98","19100","1277251200"
"2010-06-24","MKP","41.53","41.53","39.67","39.67","13600","1277337600"
"2010-06-25","MKP","39.67","39.67","39.36","39.67","11790","1277424000"
"2010-06-28","MKP","39.67","39.67","39.67","39.67","30580","1277683200"
"2010-06-29","MKP","39.67","40.91","39.67","40.91","11890","1277769600"
"2010-07-01","MKP","40.29","40.29","39.05","39.05","510","1277942400"
"2010-07-02","MKP","39.05","39.36","39.05","39.36","1050","1278028800"
"2010-07-05","MKP","39.36","39.36","39.36","39.36","1000","1278288000"
"2010-07-06","MKP","39.05","39.05","38.43","39.05","3430","1278374400"
"2010-07-07","MKP","39.05","39.05","38.43","39.05","9500","1278460800"
"2010-07-08","MKP","39.05","39.67","38.43","39.05","6220","1278547200"
"2010-07-09","MKP","38.43","39.05","38.43","38.43","1040","1278633600"
"2010-07-12","MKP","38.74","38.74","38.74","38.74","240","1278892800"
"2010-07-13","MKP","38.74","38.74","38.43","38.74","1760","1278979200"
"2010-07-14","MKP","37.81","39.05","37.81","37.81","8570","1279065600"
"2010-07-15","MKP","38.74","38.74","37.81","38.74","5540","1279152000"
"2010-07-16","MKP","38.74","38.74","38.74","38.74","20","1279238400"
"2010-07-19","MKP","37.81","38.12","36.88","38.12","1820","1279497600"
"2010-07-20","MKP","37.81","37.81","36.88","36.88","3070","1279584000"
"2010-07-21","MKP","36.88","36.88","36.26","36.88","2990","1279670400"
"2010-07-22","MKP","36.88","36.88","36.88","36.88","2980","1279756800"
"2010-07-23","MKP","36.88","37.81","36.57","37.19","16410","1279843200"
"2010-07-26","MKP","36.57","36.57","36.57","36.57","200","1280102400"
"2010-07-27","MKP","36.57","36.88","36.57","36.88","1030","1280188800"
"2010-07-28","MKP","36.57","36.88","36.57","36.88","6760","1280275200"
"2010-07-29","MKP","36.57","36.57","35.64","35.95","8520","1280361600"
"2010-07-30","MKP","35.95","36.57","35.95","36.26","3850","1280448000"
"2010-08-02","MKP","36.26","36.88","36.26","36.88","1100","1280707200"
"2010-08-03","MKP","36.88","36.88","36.88","36.88","10","1280793600"
"2010-08-04","MKP","36.26","36.57","35.33","36.57","6910","1280880000"
"2010-08-05","MKP","36.26","36.26","35.95","36.26","6300","1280966400"
"2010-08-06","MKP","35.64","35.64","35.33","35.33","4780","1281052800"
"2010-08-09","MKP","34.71","35.64","34.71","35.64","990","1281312000"
"2010-08-10","MKP","35.02","35.02","34.09","34.09","13340","1281398400"
"2010-08-11","MKP","33.47","35.33","32.85","35.33","13130","1281484800"
"2010-08-12","MKP","35.33","35.64","33.78","35.64","2120","1281571200"
"2010-08-13","MKP","34.09","34.09","34.09","34.09","5280","1281657600"
"2010-08-16","MKP","33.78","34.09","33.78","34.09","3430","1281916800"
"2010-08-17","MKP","34.09","34.09","33.47","33.47","6570","1282003200"
"2010-08-18","MKP","33.47","33.47","33.47","33.47","5750","1282089600"
"2010-08-19","MKP","34.09","34.09","33.47","33.47","10530","1282176000"
"2010-08-20","MKP","33.78","33.78","33.47","33.47","13510","1282262400"
"2010-08-23","MKP","33.47","33.47","33.16","33.47","3010","1282521600"
"2010-08-24","MKP","32.85","32.85","32.23","32.54","13320","1282608000"
"2010-08-25","MKP","30.99","30.99","30.93","30.93","11530","1282694400"
"2010-08-26","MKP","30.99","32.23","30.68","32.23","5270","1282780800"
"2010-08-27","MKP","32.54","32.54","31.61","32.54","2900","1282867200"
"2010-08-30","MKP","32.23","32.85","32.23","32.85","22200","1283126400"
"2010-08-31","MKP","32.23","32.23","32.23","32.23","5000","1283212800"
"2010-09-01","MKP","32.23","32.54","32.23","32.23","5320","1283299200"
"2010-09-06","MKP","33.16","33.16","32.23","32.23","8150","1283731200"
"2010-09-07","MKP","31.92","31.92","31.61","31.92","19700","1283817600"
"2010-09-08","MKP","31.92","31.92","31.92","31.92","5000","1283904000"
"2010-09-09","MKP","33.47","33.47","31.92","31.92","7430","1283990400"
"2010-09-10","MKP","31.92","31.92","31.61","31.61","5870","1284076800"
"2010-09-13","MKP","33.16","33.16","32.85","32.85","130","1284336000"
"2010-09-15","MKP","32.85","32.85","31.61","31.61","17890","1284508800"
"2010-09-16","MKP","31.92","31.92","31.61","31.92","6700","1284595200"
"2010-09-17","MKP","31.92","31.92","31.92","31.92","3020","1284681600"
"2010-09-20","MKP","31.61","31.92","31.61","31.92","6320","1284940800"
"2010-09-21","MKP","31.92","31.92","31.61","31.61","2250","1285027200"
"2010-09-22","MKP","31.3","31.3","30.99","31.3","17470","1285113600"
"2010-09-23","MKP","32.23","32.23","31.3","31.61","2060","1285200000"
"2010-09-24","MKP","30.99","30.99","30.99","30.99","7210","1285286400"
"2010-09-27","MKP","30.99","30.99","30.93","30.99","6900","1285545600"
"2010-09-28","MKP","30.56","31.3","30.56","31.3","8290","1285632000"
"2010-09-29","MKP","30.99","30.99","30.99","30.99","4600","1285718400"
"2010-09-30","MKP","30.5","32.23","30.5","32.23","13870","1285804800"
"2010-10-04","MKP","30.62","30.62","30.62","30.62","5000","1286150400"
"2010-10-05","MKP","30.68","30.68","30.68","30.68","1820","1286236800"
"2010-10-06","MKP","30.68","30.99","30.62","30.99","2390","1286323200"
"2010-10-07","MKP","30.99","30.99","30.99","30.99","4010","1286409600"
"2010-10-08","MKP","30.99","30.99","30.99","30.99","40","1286496000"
"2010-10-11","MKP","30.62","31.61","30.62","31.61","5930","1286755200"
"2010-10-12","MKP","30.19","31.61","30.19","30.99","7210","1286841600"
"2010-10-13","MKP","30.99","30.99","30.99","30.99","60","1286928000"
"2010-10-15","MKP","31.92","31.92","30.93","30.93","30","1287100800"
"2010-10-18","MKP","30.62","30.62","30.31","30.37","5790","1287360000"
"2010-10-19","MKP","31.61","31.61","30.06","30.99","4030","1287446400"
"2010-10-20","MKP","29.75","30.37","29.57","29.57","4780","1287532800"
