close,date,high,low,open,symbol,timestamp,volume
66.03,2019-12-09,75.57,65.65,75.57,MML,1575849600,63600
61.49,2019-12-10,65.18,58.56,65.18,MML,1575936000,158000
61.87,2019-12-11,63.29,60.08,61.3,MML,1576022400,64700
62.53,2019-12-12,63.29,61.4,62.25,MML,1576108800,20600
62.16,2019-12-13,62.72,62.06,62.63,MML,1576195200,65600
62.25,2019-12-16,62.63,61.4,62.25,MML,1576454400,37500
62.25,2019-12-17,64.23,61.4,61.4,MML,1576540800,75500
62.34,2019-12-18,63.76,62.16,62.82,MML,1576627200,32400
62.34,2019-12-19,62.82,62.16,62.34,MML,1576713600,14200
61.97,2019-12-20,62.82,61.97,62.34,MML,1576800000,36200
61.4,2019-12-23,62.34,61.21,62.34,MML,1577059200,57600
61.97,2019-12-24,62.34,61.49,62.06,MML,1577145600,51700
62.25,2019-12-25,62.63,61.49,62.34,MML,1577232000,45500
62.34,2019-12-26,62.34,62.16,62.25,MML,1577318400,22600
62.25,2019-12-27,62.72,62.25,62.34,MML,1577404800,51600
62.34,2019-12-30,62.63,62.16,62.34,MML,1577664000,41700
62.34,2019-12-31,62.34,62.25,62.34,MML,1577750400,14900
62.34,2020-01-02,62.34,62.16,62.34,MML,1577923200,30200
62.34,2020-01-03,62.44,61.4,62.34,MML,1578009600,30300
62.34,2020-01-06,62.34,61.68,62.34,MML,1578268800,6900
62.34,2020-01-07,62.34,61.49,62.34,MML,1578355200,34600
62.25,2020-01-08,62.34,61.87,62.25,MML,1578441600,12700
62.25,2020-01-09,62.34,61.4,62.25,MML,1578528000,32600
62.25,2020-01-10,62.34,61.59,61.87,MML,1578614400,8700
62.25,2020-01-13,62.25,61.49,62.16,MML,1578873600,17600
62.25,2020-01-14,62.25,61.49,62.16,MML,1578960000,14100
62.34,2020-01-15,62.34,61.49,62.34,MML,1579046400,25200
62.34,2020-01-16,62.34,62.25,62.34,MML,1579132800,11200
62.34,2020-01-17,62.34,61.59,62.25,MML,1579219200,8100
62.34,2020-01-20,62.34,62.34,62.34,MML,1579478400,2200
62.25,2020-01-21,62.34,62.16,62.34,MML,1579564800,10700
61.59,2020-01-22,62.34,61.59,62.16,MML,1579651200,2000
61.4,2020-01-30,62.34,61.3,61.4,MML,1580342400,22000
62.16,2020-01-31,62.34,54.79,62.34,MML,1580428800,14000
56.68,2020-02-03,59.51,56.68,59.51,MML,1580688000,6500
54.31,2020-02-04,56.68,54.31,56.68,MML,1580774400,3600
54.79,2020-02-05,54.79,47.23,51.95,MML,1580860800,55500
54.79,2020-02-06,56.49,54.31,54.31,MML,1580947200,12900
54.6,2020-02-07,54.79,54.6,54.69,MML,1581033600,7000
55.73,2020-02-10,55.73,51.95,51.95,MML,1581292800,24200
55.92,2020-02-11,56.49,55.73,55.73,MML,1581379200,3400
56.3,2020-02-12,56.39,53.09,53.09,MML,1581465600,11200
55.73,2020-02-13,56.39,53.84,56.39,MML,1581552000,8600
55.45,2020-02-14,55.73,55.16,55.16,MML,1581638400,10000
55.73,2020-02-17,55.73,54.88,54.88,MML,1581897600,6800
55.35,2020-02-19,55.35,53.84,54.31,MML,1582070400,5000
53.94,2020-02-20,55.73,53.94,55.73,MML,1582156800,5400
54.69,2020-02-21,54.88,53.94,54.79,MML,1582243200,4200
52.8,2020-02-24,53.84,52.8,52.99,MML,1582502400,1600
52.14,2020-02-25,54.69,52.05,52.9,MML,1582588800,5700
52.9,2020-02-26,52.9,52.9,52.9,MML,1582675200,400
52.24,2020-02-27,54.69,52.24,54.69,MML,1582761600,2300
51.95,2020-02-28,51.95,51.95,51.95,MML,1582848000,800
49.4,2020-03-02,50.06,49.12,49.21,MML,1583107200,3400
49.31,2020-03-03,49.78,49.12,49.59,MML,1583193600,5000
49.12,2020-03-04,51.95,49.12,51.95,MML,1583280000,6400
49.21,2020-03-05,49.88,49.12,49.12,MML,1583366400,2800
49.78,2020-03-06,49.78,49.12,49.78,MML,1583452800,3900
47.99,2020-03-09,51.67,42.41,49.31,MML,1583712000,3400
48.08,2020-03-10,48.08,42.6,47.51,MML,1583798400,6100
44.4,2020-03-11,44.77,44.21,44.59,MML,1583884800,8800
39.01,2020-03-12,41.75,38.73,41.75,MML,1583971200,8700
35.52,2020-03-13,38.73,34.95,34.95,MML,1584057600,2400
36.84,2020-03-16,38.73,36.84,36.84,MML,1584316800,5200
38.45,2020-03-17,38.45,34.01,34.01,MML,1584403200,2800
40.52,2020-03-18,41.37,39.67,40.52,MML,1584489600,18900
40.52,2020-03-19,40.62,38.73,38.73,MML,1584576000,2900
40.62,2020-03-20,42.51,39.67,42.51,MML,1584662400,2900
38.73,2020-03-23,39.67,38.63,39.2,MML,1584921600,9400
36.84,2020-03-24,37.78,36.84,37.78,MML,1585008000,2500
36.37,2020-03-25,37.31,36.37,37.31,MML,1585094400,8300
35.9,2020-03-26,36.74,35.9,36.74,MML,1585180800,5600
35.42,2020-03-27,36.65,35.05,35.05,MML,1585267200,16800
33.63,2020-03-30,35.42,33.16,35.42,MML,1585526400,15400
33.53,2020-03-31,33.53,33.06,33.16,MML,1585612800,4900
33.82,2020-04-01,34.86,33.53,34.86,MML,1585699200,4800
37.69,2020-04-03,37.78,34.95,35.42,MML,1585872000,19900
37.78,2020-04-06,40.52,37.78,37.78,MML,1586131200,35700
39.67,2020-04-07,42.51,38.73,39.67,MML,1586217600,7000
39.67,2020-04-08,40.15,37.78,40.15,MML,1586304000,13800
39.39,2020-04-09,40.05,38.73,40.05,MML,1586390400,32300
39.3,2020-04-10,41.09,38.73,41.09,MML,1586476800,16800
38.54,2020-04-13,39.67,38.35,39.67,MML,1586736000,8100
39.67,2020-04-14,39.67,38.63,39.2,MML,1586822400,15200
45.06,2020-04-15,45.06,39.67,39.67,MML,1586908800,87600
49.12,2020-04-16,49.12,49.12,49.12,MML,1586995200,24800
56.49,2020-04-17,56.49,52.9,56.3,MML,1587081600,129200
51.95,2020-04-20,56.58,51.48,56.49,MML,1587340800,72000
50.06,2020-04-21,52.9,48.27,51.95,MML,1587427200,52900
47.99,2020-04-22,49.59,45.34,47.04,MML,1587513600,34100
49.78,2020-04-23,51.01,47.42,47.8,MML,1587600000,11300
50.54,2020-04-24,50.54,49.12,49.88,MML,1587686400,10700
48.46,2020-04-27,49.59,47.7,49.59,MML,1587945600,22300
51.48,2020-04-28,51.48,46.95,48.17,MML,1588032000,74600
49.78,2020-04-29,51.76,49.59,51.76,MML,1588118400,20300
47.14,2020-05-04,49.88,46.38,49.88,MML,1588550400,24800
46.19,2020-05-05,47.23,45.81,47.23,MML,1588636800,45600
47.23,2020-05-06,47.23,45.81,45.81,MML,1588723200,16400
47.23,2020-05-07,48.17,46.47,46.95,MML,1588809600,19800
47.89,2020-05-08,49.12,47.51,48.17,MML,1588896000,31900
48.65,2020-05-11,49.88,47.7,49.59,MML,1589155200,22700
48.27,2020-05-12,49.59,48.17,48.74,MML,1589241600,25800
47.89,2020-05-13,48.84,47.23,48.65,MML,1589328000,24300
50.06,2020-05-14,51.95,47.42,48.08,MML,1589414400,71900
49.12,2020-05-15,51.86,49.12,51.86,MML,1589500800,36100
49.02,2020-05-18,50.06,48.17,49.59,MML,1589760000,24600
48.84,2020-05-19,49.97,48.55,49.02,MML,1589846400,37600
48.93,2020-05-20,48.93,48.08,48.36,MML,1589932800,30000
48.46,2020-05-21,49.12,48.17,49.02,MML,1590019200,28100
47.8,2020-05-22,48.65,47.51,48.65,MML,1590105600,20500
47.8,2020-05-25,48.08,46.95,47.89,MML,1590364800,20900
48.17,2020-05-26,48.65,47.32,47.32,MML,1590451200,17500
47.61,2020-05-27,48.17,47.61,48.17,MML,1590537600,14500
47.42,2020-05-28,48.17,47.32,47.99,MML,1590624000,42900
47.32,2020-05-29,47.7,47.32,47.42,MML,1590710400,17000
51.01,2020-06-01,51.67,47.61,47.61,MML,1590969600,197200
50.63,2020-06-02,52.42,50.63,50.91,MML,1591056000,118300
51.01,2020-06-03,51.76,50.54,51.01,MML,1591142400,11600
49.12,2020-06-04,51.01,48.65,51.01,MML,1591228800,77800
48.93,2020-06-05,49.12,48.17,48.36,MML,1591315200,23600
49.5,2020-06-08,49.5,48.84,49.02,MML,1591574400,66500
49.12,2020-06-09,49.59,48.74,49.12,MML,1591660800,38100
48.84,2020-06-10,50.06,48.17,49.12,MML,1591747200,19400
45.34,2020-06-11,49.78,45.34,49.12,MML,1591833600,59700
45.62,2020-06-12,46.28,40.71,45.34,MML,1591920000,59700
44.4,2020-06-15,46.28,44.4,45.62,MML,1592179200,24000
45.91,2020-06-16,47.61,45.06,45.06,MML,1592265600,9100
45.81,2020-06-17,47.23,44.96,47.23,MML,1592352000,2100
45.81,2020-06-18,45.91,44.4,44.4,MML,1592438400,27400
45.81,2020-06-19,47.23,45.72,46.76,MML,1592524800,37300
46.28,2020-06-22,46.76,45.91,45.91,MML,1592784000,10100
47.99,2020-06-23,49.59,46.1,46.19,MML,1592870400,52200
47.14,2020-06-24,48.93,47.04,47.23,MML,1592956800,18200
46.76,2020-06-25,47.99,45.81,45.81,MML,1593043200,7400
46.28,2020-06-26,47.7,46.28,47.23,MML,1593129600,20100
44.87,2020-06-29,46.28,44.21,44.49,MML,1593388800,25700
44.02,2020-06-30,45.81,43.92,44.49,MML,1593475200,9500
45.53,2020-07-01,45.53,44.4,44.4,MML,1593561600,4300
45.34,2020-07-02,45.81,44.96,45.72,MML,1593648000,28100
45.34,2020-07-03,45.72,45.34,45.34,MML,1593734400,4600
45.91,2020-07-06,46.66,45.72,45.81,MML,1593993600,21700
45.91,2020-07-07,46.76,45.91,46.38,MML,1594080000,5700
45.91,2020-07-08,46.1,45.62,46.1,MML,1594166400,9900
46.19,2020-07-09,46.19,45.53,45.53,MML,1594252800,13800
45.62,2020-07-10,46.38,45.62,46.38,MML,1594339200,1200
45.72,2020-07-13,46.28,45.06,46.28,MML,1594598400,11300
45.34,2020-07-14,45.34,44.96,45.34,MML,1594684800,15100
44.87,2020-07-15,45.15,44.87,45.15,MML,1594771200,10100
45.15,2020-07-16,45.15,44.4,45.15,MML,1594857600,13900
45.15,2020-07-17,45.34,44.68,44.68,MML,1594944000,16300
44.68,2020-07-20,45.81,42.98,42.98,MML,1595203200,6800
45.25,2020-07-21,45.25,44.4,44.68,MML,1595289600,10300
44.49,2020-07-22,44.49,44.4,44.4,MML,1595376000,12400
43.45,2020-07-23,43.92,43.45,43.92,MML,1595462400,3000
40.62,2020-07-24,43.55,40.62,43.55,MML,1595548800,26800
37.78,2020-07-27,40.62,36.84,40.62,MML,1595808000,19800
41,2020-07-28,41.37,38.92,38.92,MML,1595894400,12300
38.73,2020-07-29,40.62,38.73,40.15,MML,1595980800,13800
40.52,2020-07-30,41.09,39.67,39.67,MML,1596067200,16400
39.67,2020-07-31,40.62,39.2,39.77,MML,1596153600,12700
40.71,2020-08-03,45.34,39.77,44.4,MML,1596412800,10500
41.19,2020-08-04,41.19,40.9,41.09,MML,1596499200,16600
41.09,2020-08-05,41.19,36.84,41.19,MML,1596585600,14600
40.9,2020-08-06,41.56,40.62,41.56,MML,1596672000,10600
40.81,2020-08-07,41,40.62,40.81,MML,1596758400,9000
41.09,2020-08-10,41.09,40.62,40.62,MML,1597017600,5600
41,2020-08-11,41.09,40.81,41.09,MML,1597104000,19300
40.81,2020-08-12,41.56,40.71,41.56,MML,1597190400,8000
41.09,2020-08-13,41.09,40.71,41,MML,1597276800,7100
40.81,2020-08-14,41,40.52,40.71,MML,1597363200,3900
40.15,2020-08-17,40.81,40.15,40.81,MML,1597622400,9600
40.05,2020-08-18,40.05,39.77,40.05,MML,1597708800,7400
40.52,2020-08-19,40.52,39.96,39.96,MML,1597795200,1000
40.52,2020-08-20,40.62,39.86,40.62,MML,1597881600,4000
40.05,2020-08-21,40.05,39.67,39.96,MML,1597968000,3000
40.9,2020-08-24,41.09,40.62,40.62,MML,1598227200,4000
40.81,2020-08-25,40.9,40.71,40.9,MML,1598313600,7300
40.43,2020-08-26,40.81,40.33,40.81,MML,1598400000,7000
40.52,2020-08-27,40.62,37.78,40.33,MML,1598486400,27200
40.33,2020-08-28,40.62,40.24,40.24,MML,1598572800,12900
40.33,2020-08-31,40.33,40.15,40.33,MML,1598832000,6600
40.33,2020-09-01,40.62,39.39,40.15,MML,1598918400,11100
39.77,2020-09-03,40.15,39.67,39.96,MML,1599091200,21300
39.86,2020-09-04,39.86,39.67,39.86,MML,1599177600,7100
40.05,2020-09-07,40.05,39.67,39.86,MML,1599436800,6200
39.67,2020-09-08,40.62,39.67,40.62,MML,1599523200,1500
39.67,2020-09-09,39.86,39.67,39.77,MML,1599609600,7000
38.73,2020-09-10,40.15,38.73,39.77,MML,1599696000,18400
39.67,2020-09-11,39.67,38.73,39.2,MML,1599782400,7900
39.3,2020-09-14,40.15,39.2,39.2,MML,1600041600,5700
39.2,2020-09-15,39.39,39.2,39.3,MML,1600128000,6700
39.11,2020-09-16,39.3,39.01,39.3,MML,1600214400,5300
39.01,2020-09-17,39.01,38.73,39.01,MML,1600300800,7200
39.01,2020-09-18,39.2,38.73,38.92,MML,1600387200,14100
39.11,2020-09-21,39.2,38.26,38.92,MML,1600646400,39700
39.01,2020-09-22,39.2,38.35,38.73,MML,1600732800,10600
38.73,2020-09-23,39.01,38.73,38.73,MML,1600819200,5900
38.82,2020-09-24,39.2,38.73,38.73,MML,1600905600,38200
38.73,2020-09-25,39.11,38.73,38.73,MML,1600992000,32900
38.82,2020-09-28,39.2,38.73,38.92,MML,1601251200,45500
38.73,2020-09-29,39.48,38.73,38.73,MML,1601337600,53000
38.73,2020-09-30,38.82,38.73,38.82,MML,1601424000,3100
40.24,2020-10-01,40.62,38.82,38.82,MML,1601510400,24000
40.05,2020-10-02,40.43,39.01,40.43,MML,1601596800,27500
39.96,2020-10-05,40.43,38.73,39.67,MML,1601856000,36200
42.22,2020-10-06,42.41,40.33,40.43,MML,1601942400,48600
44.21,2020-10-07,44.87,41.56,41.56,MML,1602028800,75900
42.88,2020-10-08,44.21,42.51,44.21,MML,1602115200,27200
42.13,2020-10-09,43.26,41.56,42.22,MML,1602201600,28400
41.66,2020-10-12,42.32,40.62,42.32,MML,1602460800,41900
40.62,2020-10-13,41.56,40.62,41.56,MML,1602547200,33000
41.19,2020-10-14,41.19,40.43,40.43,MML,1602633600,20300
43.92,2020-10-15,45.25,41.28,41.28,MML,1602720000,159500
42.51,2020-10-16,44.4,41.56,43.83,MML,1602806400,68000
42.79,2020-10-19,43.83,42.13,43.83,MML,1603065600,6900
42.22,2020-10-20,42.88,41.56,42.88,MML,1603152000,47200
42.13,2020-10-21,42.7,42.13,42.32,MML,1603238400,48600
42.7,2020-10-22,42.88,42.13,42.13,MML,1603324800,60500
42.32,2020-10-23,42.51,42.32,42.51,MML,1603411200,18600
42.03,2020-10-26,42.51,42.03,42.41,MML,1603670400,10700
41.56,2020-10-27,42.03,41.28,42.03,MML,1603756800,22400
39.86,2020-10-28,41.56,39.67,41.56,MML,1603843200,21800
40.15,2020-10-29,40.52,40.15,40.52,MML,1603929600,8200
40.24,2020-10-30,40.71,39.67,40.15,MML,1604016000,12500
41,2020-11-02,41.56,40.62,40.62,MML,1604275200,13000
41,2020-11-03,41.85,41,41.85,MML,1604361600,2200
41.09,2020-11-04,41.37,41.09,41.09,MML,1604448000,3600
41.09,2020-11-05,41.47,41,41.09,MML,1604534400,14300
41.28,2020-11-06,41.28,41,41,MML,1604620800,4300
41.09,2020-11-09,41.19,40.81,41.19,MML,1604880000,12500
41.47,2020-11-10,41.56,40.9,41.09,MML,1604966400,10500
42.98,2020-11-11,43.45,41.19,41.19,MML,1605052800,76100
43.64,2020-11-12,44.87,42.6,42.7,MML,1605139200,53600
43.07,2020-11-13,43.64,42.88,43.64,MML,1605225600,19100
42.41,2020-11-16,43.17,42.32,43.07,MML,1605484800,43600
42.88,2020-11-17,43.45,42.51,42.51,MML,1605571200,35000
42.32,2020-11-18,42.79,42.32,42.79,MML,1605657600,51100
42.98,2020-11-19,43.26,42.51,42.51,MML,1605744000,48600
42.79,2020-11-20,42.98,42.51,42.98,MML,1605830400,25300
42.79,2020-11-23,42.88,42.41,42.6,MML,1606089600,22600
42.88,2020-11-24,42.88,42.51,42.6,MML,1606176000,29700
42.98,2020-11-25,43.36,42.6,42.6,MML,1606262400,13900
42.98,2020-11-26,42.98,42.6,42.98,MML,1606348800,11600
44.02,2020-11-27,44.3,42.98,43.36,MML,1606435200,35400
45.34,2020-11-30,46.95,44.3,44.3,MML,1606694400,97700
45.53,2020-12-01,45.72,44.3,45.44,MML,1606780800,75300
45.81,2020-12-02,46.47,44.96,45.34,MML,1606867200,33000
45.34,2020-12-03,46.28,44.77,46.19,MML,1606953600,30200
45.15,2020-12-04,45.62,44.68,45.53,MML,1607040000,26800
45.06,2020-12-07,45.34,44.59,45.06,MML,1607299200,36600
44.96,2020-12-08,45.25,44.77,44.87,MML,1607385600,19600
44.68,2020-12-09,45.34,44.59,44.87,MML,1607472000,31700
44.59,2020-12-10,45.25,44.4,44.4,MML,1607558400,20800
44.77,2020-12-11,44.96,44.3,44.49,MML,1607644800,40300
44.68,2020-12-14,44.96,44.59,44.96,MML,1607904000,41100
45.25,2020-12-15,45.62,44.68,44.77,MML,1607990400,36500
45.91,2020-12-16,46,45.34,45.34,MML,1608076800,52200
45.25,2020-12-17,46,44.77,46,MML,1608163200,42200
45.06,2020-12-18,45.25,44.87,45.25,MML,1608249600,18000
45.25,2020-12-21,45.34,44.87,45.34,MML,1608508800,38600
46,2020-12-22,46.1,45.06,45.06,MML,1608595200,63600
46.85,2020-12-23,49.02,45.91,46.19,MML,1608681600,96100
46.47,2020-12-24,47.7,45.53,47.51,MML,1608768000,53800
48.17,2020-12-25,48.17,45.44,46.28,MML,1608854400,31000
49.78,2020-12-28,50.06,46.85,48.17,MML,1609113600,57500
48.46,2020-12-29,49.12,47.99,49.12,MML,1609200000,50100
47.61,2020-12-30,48.84,47.61,48.17,MML,1609286400,60500
47.89,2020-12-31,48.08,47.23,47.42,MML,1609372800,28600
47.8,2021-01-04,48.17,47.7,47.89,MML,1609718400,63200
47.89,2021-01-05,48.17,47.23,47.89,MML,1609804800,29500
47.7,2021-01-06,48.17,47.7,47.7,MML,1609891200,53000
48.08,2021-01-07,48.17,47.42,47.89,MML,1609977600,76100
50.06,2021-01-08,50.06,48.08,48.08,MML,1610064000,109000
51.29,2021-01-11,51.95,50.54,50.54,MML,1610323200,30300
51.39,2021-01-12,51.39,50.06,50.63,MML,1610409600,43100
51.29,2021-01-13,52.24,50.82,51.1,MML,1610496000,86200
50.54,2021-01-14,51.2,50.54,51.2,MML,1610582400,41200
51.01,2021-01-15,51.01,50.82,50.91,MML,1610668800,23500
50.91,2021-01-18,51.2,50.54,51.2,MML,1610928000,54800
47.99,2021-01-19,50.82,47.23,50.82,MML,1611014400,141100
48.36,2021-01-20,48.65,44.4,48.17,MML,1611100800,30200
50.54,2021-01-21,50.54,47.7,47.7,MML,1611187200,19300
50.44,2021-01-22,50.44,49.59,50.06,MML,1611273600,30200
49.88,2021-01-25,50.44,49.88,50.44,MML,1611532800,10500
48.46,2021-01-26,49.78,48.46,49.69,MML,1611619200,72900
47.23,2021-01-27,48.17,47.23,48.17,MML,1611705600,69300
43.64,2021-01-28,46.57,40.62,46.57,MML,1611792000,77000
47.23,2021-01-29,47.23,40.62,40.62,MML,1611878400,13000
46.57,2021-02-01,46.76,46.1,46.1,MML,1612137600,28000
47.23,2021-02-02,48.17,46.66,47.23,MML,1612224000,10400
47.32,2021-02-03,47.89,46.95,47.23,MML,1612310400,44600
47.23,2021-02-04,47.51,47.23,47.51,MML,1612396800,40500
47.7,2021-02-05,47.7,47.23,47.23,MML,1612483200,7900
47.32,2021-02-08,47.51,47.23,47.51,MML,1612742400,30900
47.89,2021-02-09,47.89,47.51,47.61,MML,1612828800,8900
47.7,2021-02-17,47.8,47.7,47.8,MML,1613520000,5000
48.36,2021-02-18,49.02,47.7,47.7,MML,1613606400,18600
48.84,2021-02-19,49.21,48.08,48.08,MML,1613692800,24600
48.27,2021-02-22,48.55,48.08,48.55,MML,1613952000,7000
48.17,2021-02-23,48.36,47.99,48.27,MML,1614038400,8900
48.65,2021-02-24,49.02,48.17,48.17,MML,1614124800,69400
48.17,2021-02-25,48.65,48.17,48.46,MML,1614211200,23200
48.27,2021-02-26,48.27,47.23,47.23,MML,1614297600,2700
48.08,2021-03-01,48.17,47.7,48.17,MML,1614556800,54600
48.27,2021-03-02,51.86,47.7,51.86,MML,1614643200,24700
48.65,2021-03-03,48.65,48.17,48.17,MML,1614729600,16500
48.55,2021-03-04,49.02,47.89,48.74,MML,1614816000,23400
48.36,2021-03-05,48.55,47.51,48.55,MML,1614902400,16500
48.84,2021-03-08,48.84,48.17,48.17,MML,1615161600,17600
48.74,2021-03-09,48.74,48.46,48.46,MML,1615248000,27500
49.59,2021-03-10,51.86,48.65,51.86,MML,1615334400,22300
49.4,2021-03-11,49.59,49.21,49.21,MML,1615420800,19700
49.78,2021-03-12,50.73,49.4,49.4,MML,1615507200,34800
51.01,2021-03-15,51.2,50.35,50.35,MML,1615766400,50400
52.24,2021-03-16,52.42,51.39,51.39,MML,1615852800,64000
51.48,2021-03-17,52.42,51.01,52.24,MML,1615939200,51300
