"date","symbol","open","high","low","close","volume","timestamp"
"2016-12-19","NTC",8.28,8.28,8.28,8.28,100,1482105600
"2016-12-23","NTC",9.52,9.52,9.52,9.52,100,1482451200
"2016-12-26","NTC",10.92,10.92,10.92,10.92,100,1482710400
"2016-12-27","NTC",12.54,12.54,12.54,12.54,600,1482796800
"2016-12-28","NTC",14.4,14.4,12.54,12.54,2500,1482883200
"2016-12-29","NTC",15.68,15.68,15.52,15.52,3700,1482969600
"2016-12-30","NTC",15.52,17.79,15.52,15.52,1300,1483056000
"2017-01-03","NTC",15.52,15.52,14.61,14.61,1700,1483401600
"2017-01-04","NTC",13.24,13.24,12.83,12.83,8900,1483488000
"2017-01-05","NTC",14.81,14.81,14.81,14.81,100,1483574400
"2017-01-06","NTC",12.83,13.24,12.62,13.24,5200,1483660800
"2017-01-09","NTC",12.74,12.74,12.74,12.74,6000,1483920000
"2017-01-10","NTC",12.41,13.24,12.41,13.16,10100,1484006400
"2017-01-11","NTC",13.12,13.12,12.62,12.62,3600,1484092800
"2017-01-12","NTC",12.62,12.83,12.62,12.83,8531,1484179200
"2017-01-13","NTC",12.83,13.03,12.83,13.03,3200,1484265600
"2017-01-16","NTC",13.03,13.24,12.83,12.83,7100,1484524800
"2017-01-17","NTC",12.87,13.65,12.74,13.65,20000,1484611200
"2017-01-18","NTC",13.65,13.65,13.65,13.65,2600,1484697600
"2017-01-19","NTC",13.65,14.48,13.65,14.48,10600,1484784000
"2017-01-20","NTC",14.9,16.59,14.9,16.59,18700,1484870400
"2017-01-23","NTC",17.38,17.38,16.14,16.14,3500,1485129600
"2017-01-24","NTC",15.72,15.85,15.72,15.85,2000,1485216000
"2017-01-25","NTC",15.89,16.96,15.89,16.96,12400,1485302400
"2017-02-02","NTC",17.38,18.7,17.38,17.79,36200,1485993600
"2017-02-03","NTC",18,18.08,17.63,18.08,10700,1486080000
"2017-02-06","NTC",18.04,18.04,18.04,18.04,5100,1486339200
"2017-02-07","NTC",18.08,18.21,18.08,18.21,82119,1486425600
"2017-02-08","NTC",18.41,19.65,18.41,19.65,55700,1486512000
"2017-02-09","NTC",20.48,21.89,20.48,20.89,39000,1486598400
"2017-02-10","NTC",20.81,20.81,19.86,20.36,41400,1486684800
"2017-02-13","NTC",20.69,21.93,20.27,21.1,128600,1486944000
"2017-02-14","NTC",21.1,21.35,20.81,21.1,87019,1487030400
"2017-02-15","NTC",20.94,21.1,20.48,20.52,39700,1487116800
"2017-02-16","NTC",20.32,20.32,19.45,19.61,109800,1487203200
"2017-02-17","NTC",19.45,19.45,18.62,19.32,98600,1487289600
"2017-02-20","NTC",19.07,20.56,19.07,20.52,88300,1487548800
"2017-02-21","NTC",20.44,20.81,20.11,20.77,51900,1487635200
"2017-02-22","NTC",20.85,21.31,20.69,20.98,83100,1487721600
"2017-02-23","NTC",20.98,21.02,20.69,21.02,36900,1487808000
"2017-02-24","NTC",21.06,21.06,20.61,20.69,45100,1487894400
"2017-02-27","NTC",20.69,20.69,20.15,20.44,39900,1488153600
"2017-02-28","NTC",20.27,20.36,20.07,20.07,69919,1488240000
"2017-03-01","NTC",20.19,20.19,19.74,20.11,50000,1488326400
"2017-03-02","NTC",20.07,20.77,20.07,20.61,115600,1488412800
"2017-03-03","NTC",20.52,20.52,20.15,20.27,59000,1488499200
"2017-03-06","NTC",20.27,20.56,20.11,20.27,77200,1488758400
"2017-03-07","NTC",20.32,20.4,20.19,20.19,60300,1488844800
"2017-03-08","NTC",20.27,20.36,20.07,20.11,54900,1488931200
"2017-03-09","NTC",20.11,21.72,19.98,21.39,337300,1489017600
"2017-03-10","NTC",21.52,23.09,21.39,22.76,195831,1489104000
"2017-03-13","NTC",22.43,23.5,22.43,22.72,186400,1489363200
"2017-03-14","NTC",22.72,22.96,22.22,22.84,148800,1489449600
"2017-03-15","NTC",22.51,23.79,22.51,23.59,216100,1489536000
"2017-03-16","NTC",23.59,23.79,23.21,23.46,90600,1489622400
"2017-03-17","NTC",23.46,23.46,23.05,23.13,136600,1489708800
"2017-03-20","NTC",23.13,23.75,22.88,23.59,163900,1489968000
"2017-03-21","NTC",23.71,23.71,22.96,23.17,17190,1490054400
"2017-03-22","NTC",22.96,23,21.39,21.52,18230,1490140800
"2017-03-23","NTC",21.89,21.93,20.61,20.89,157100,1490227200
"2017-03-24","NTC",20.89,21.48,20.89,21.35,88770,1490313600
