"date","symbol","open","high","low","close","volume","timestamp"
"2022-06-17","PAT",156.68,156.68,156.68,156.68,800,1655424000
"2022-06-20","PAT",180.18,180.18,180.18,180.18,31200,1655683200
"2022-06-21","PAT",207.13,207.13,207.13,207.13,169700,1655769600
"2022-06-22","PAT",238.19,238.19,204.24,207.04,201900,1655856000
"2022-06-23","PAT",210.21,219.72,210.12,215.43,105800,1655942400
"2022-06-24","PAT",215.43,215.52,205.17,205.17,58500,1656028800
"2022-06-27","PAT",207.04,207.04,195.85,197.71,92700,1656288000
"2022-06-28","PAT",195.01,195.85,181.11,182.7,112300,1656374400
"2022-06-29","PAT",182.7,185.49,167.87,180.92,81000,1656460800
"2022-06-30","PAT",177.19,186.43,177.19,182.23,35215,1656547200
"2022-07-01","PAT",179.06,179.06,168.8,174.12,54502,1656633600
"2022-07-04","PAT",168.8,175.33,167.87,167.87,58783,1656892800
"2022-07-05","PAT",165.07,166.94,150.15,151.08,95110,1656979200
"2022-07-06","PAT",146.42,146.42,134.76,135.23,85200,1657065600
"2022-07-07","PAT",135.23,149.22,127.77,144.55,111161,1657152000
"2022-07-08","PAT",141.29,153.88,141.29,147.35,49200,1657238400
"2022-07-11","PAT",147.82,147.91,139.89,143.53,22628,1657497600
"2022-07-12","PAT",141.75,147.35,140.08,147.26,27703,1657584000
"2022-07-13","PAT",143.71,145.49,141.75,143.62,33100,1657670400
"2022-07-14","PAT",142.03,143.62,141.75,143.62,26500,1657756800
"2022-07-15","PAT",144.55,147.26,139.42,139.89,83904,1657843200
"2022-07-18","PAT",140.82,140.82,137.09,138.86,23804,1658102400
"2022-07-19","PAT",135.88,143.62,135.88,143.06,33000,1658188800
"2022-07-20","PAT",146.42,149.22,144.09,147.35,86440,1658275200
"2022-07-21","PAT",149.12,149.12,144.65,146.32,20800,1658361600
"2022-07-22","PAT",146.42,149.22,145.76,146.32,72600,1658448000
"2022-07-25","PAT",149.22,149.22,142.87,147.16,38700,1658707200
"2022-07-26","PAT",147.26,158.54,147.26,153.88,174601,1658793600
"2022-07-27","PAT",152.95,156.4,144.55,152.95,46100,1658880000
"2022-07-28","PAT",153.69,154.81,147.35,151.08,75800,1658966400
"2022-07-29","PAT",150.8,150.8,136.35,142.5,162200,1659052800
"2022-08-01","PAT",141.85,141.85,130.56,140.26,183400,1659312000
"2022-08-02","PAT",140.08,141.94,138.03,140.17,34600,1659398400
"2022-08-03","PAT",140.82,140.82,137.37,138.03,126700,1659484800
"2022-08-04","PAT",147,149.9,139.5,140,55900,1659571200
"2022-08-05","PAT",141.5,141.5,137,138,47700,1659657600
"2022-08-08","PAT",138.5,138.5,135,136.2,107123,1659916800
"2022-08-09","PAT",136,141.8,135.9,138,52600,1660003200
"2022-08-10","PAT",137.7,138.5,135.5,136.5,35300,1660089600
"2022-08-11","PAT",136.7,137.5,135,135.1,48100,1660176000
"2022-08-12","PAT",135.7,135.7,132.7,133,105900,1660262400
"2022-08-15","PAT",132.8,134.2,132.8,133.5,25300,1660521600
"2022-08-16","PAT",133,134.9,132.6,133,19400,1660608000
"2022-08-17","PAT",133.6,133.7,129.1,129.2,96700,1660694400
"2022-08-18","PAT",132.8,132.8,131,131.2,53200,1660780800
"2022-08-19","PAT",133.1,133.2,130,130.1,26500,1660867200
"2022-08-22","PAT",131.2,131.2,127.1,127.5,32500,1661126400
"2022-08-23","PAT",125,125,122.2,125,66300,1661212800
"2022-08-24","PAT",125.8,127.9,124.1,127,37900,1661299200
"2022-08-25","PAT",128.6,133,127.1,131,69400,1661385600
"2022-08-26","PAT",132.7,132.7,128,128,51200,1661472000
"2022-08-29","PAT",127,129.8,125,126.9,47800,1661731200
"2022-08-30","PAT",126.5,131.5,126.5,128,28400,1661817600
"2022-08-31","PAT",128.6,128.6,126,128,9300,1661904000
"2022-09-05","PAT",127.3,128.9,126,128.5,20800,1662336000
"2022-09-06","PAT",128.5,128.7,127.5,128.4,47700,1662422400
"2022-09-07","PAT",128.3,128.3,122.2,123.7,58100,1662508800
"2022-09-08","PAT",125.6,125.9,123.2,124.6,24900,1662595200
"2022-09-09","PAT",125,125,123,125,31700,1662681600
"2022-09-12","PAT",130.8,130.8,126,126.7,19000,1662940800
"2022-09-13","PAT",126.4,127,124,126,28800,1663027200
"2022-09-14","PAT",124,125.4,124,125.4,19300,1663113600
"2022-09-15","PAT",125.6,125.6,124.7,125.5,26000,1663200000
"2022-09-16","PAT",125.3,125.3,124.1,124.5,15400,1663286400
"2022-09-19","PAT",124,124,122.2,122.2,36000,1663545600
"2022-09-20","PAT",122.4,122.5,121,122,31300,1663632000
"2022-09-21","PAT",121.8,122,121,121.8,11500,1663718400
"2022-09-22","PAT",121.2,122.5,120.8,122,34300,1663804800
"2022-09-23","PAT",122.5,122.5,120,120.1,33200,1663891200
"2022-09-26","PAT",120.5,120.6,112.1,114.9,59400,1664150400
"2022-09-27","PAT",114,114.4,106.9,106.9,23700,1664236800
"2022-09-28","PAT",110,110,100.1,104.7,31900,1664323200
"2022-09-29","PAT",102.6,103.8,100.2,101.2,25000,1664409600
"2022-09-30","PAT",100,102.2,92.5,102.2,57700,1664496000
