open,close,volume,symbol,timestamp,low,date,high
6.14,7.94,18600,PDN,1319587200,6.14,2011-10-26,7.94
8.12,8.12,100,PDN,1319673600,8.12,2011-10-27,8.12
7.73,7.73,110,PDN,1319760000,7.73,2011-10-28,7.73
7.73,7.73,100,PDN,1320019200,7.73,2011-10-31,7.73
7.36,7.36,110,PDN,1320278400,7.36,2011-11-03,7.36
7.01,7.01,1740,PDN,1320364800,7.01,2011-11-04,7.01
6.67,6.67,10,PDN,1321401600,6.67,2011-11-16,6.67
6.35,6.35,10,PDN,1322697600,6.35,2011-12-01,6.35
6.03,6.03,10,PDN,1322784000,6.03,2011-12-02,6.03
5.74,5.74,10,PDN,1323043200,5.74,2011-12-05,5.74
5.48,5.48,10,PDN,1323129600,5.48,2011-12-06,5.48
5.21,5.21,2120,PDN,1323216000,5.21,2011-12-07,5.74
5.4,5.4,1000,PDN,1323302400,5.4,2011-12-08,5.4
5.61,5.61,2000,PDN,1323388800,5.61,2011-12-09,5.61
5.87,5.87,3000,PDN,1323648000,5.87,2011-12-12,5.87
6.17,6.17,100,PDN,1323734400,6.17,2011-12-13,6.17
6.43,6.46,1000,PDN,1323820800,6.43,2011-12-14,6.46
6.61,6.61,1500,PDN,1323907200,6.61,2011-12-15,6.61
6.3,6.75,120,PDN,1323993600,6.3,2011-12-16,6.75
6.69,6.88,1000,PDN,1324252800,6.69,2011-12-19,6.88
6.99,7.01,600,PDN,1324339200,6.99,2011-12-20,7.01
7.01,7.36,4700,PDN,1324425600,7.01,2011-12-21,7.36
7.38,7.38,1210,PDN,1324512000,7.38,2011-12-22,7.38
7.41,7.04,130,PDN,1324598400,7.04,2011-12-23,7.41
7.38,7.38,1060,PDN,1324857600,7.38,2011-12-26,7.38
7.41,7.73,3600,PDN,1325030400,7.41,2011-12-28,7.73
7.41,8.1,13290,PDN,1325116800,7.41,2011-12-29,8.1
7.7,7.78,45400,PDN,1325203200,7.7,2011-12-30,7.78
7.43,7.43,70,PDN,1325548800,7.43,2012-01-03,7.43
7.06,7.06,2340,PDN,1326153600,7.06,2012-01-10,7.06
7.14,7.14,20,PDN,1328140800,7.14,2012-02-02,7.14
7.49,7.49,100,PDN,1328572800,7.49,2012-02-07,7.49
7.86,7.86,10,PDN,1328659200,7.86,2012-02-08,7.86
8.07,8.07,10,PDN,1329177600,8.07,2012-02-14,8.07
8.2,8.2,10,PDN,1329696000,8.2,2012-02-20,8.2
7.94,7.94,100,PDN,1329782400,7.94,2012-02-21,7.94
8.2,8.2,10,PDN,1329868800,8.2,2012-02-22,8.2
8.33,8.33,10,PDN,1330041600,8.33,2012-02-24,8.33
