volume,date,symbol,high,timestamp,open,low,close
33200,2015-09-22,PMP,11.03,1442880000,11.03,8.5,9.02
3500,2015-09-23,PMP,9.89,1442966400,9.02,9.02,9.89
600,2015-09-24,PMP,10.05,1443052800,8.97,8.97,10.05
8300,2015-09-25,PMP,9.07,1443139200,9.07,9.07,9.07
1500,2015-09-28,PMP,8.55,1443398400,8.5,8.5,8.55
1600,2015-09-29,PMP,8.76,1443484800,8.24,8.24,8.76
700,2015-10-05,PMP,8.09,1444003200,8.09,8.09,8.09
100,2015-10-06,PMP,8.66,1444089600,8.66,8.66,8.66
2000,2015-10-07,PMP,8.24,1444176000,8.24,8.24,8.24
200,2015-10-12,PMP,8.24,1444608000,8.24,8.24,8.24
6600,2015-10-13,PMP,7.99,1444694400,7.99,7.99,7.99
4100,2015-10-14,PMP,7.83,1444780800,7.83,7.83,7.83
3400,2015-10-15,PMP,7.88,1444867200,7.88,7.83,7.83
9000,2015-10-19,PMP,7.83,1445212800,7.83,7.47,7.47
7300,2015-10-20,PMP,7.78,1445299200,7.78,7.21,7.21
1000,2015-10-21,PMP,7.52,1445385600,7.52,7.52,7.52
600,2015-10-22,PMP,7.83,1445472000,7.83,7.83,7.83
12800,2015-10-26,PMP,7.52,1445817600,7.52,7.47,7.52
1800,2015-11-04,PMP,7.47,1446595200,7.47,7.37,7.37
2000,2015-11-05,PMP,7.37,1446681600,7.37,7.37,7.37
1000,2015-11-06,PMP,7.47,1446768000,7.47,7.47,7.47
4200,2015-11-09,PMP,7.58,1447027200,7.52,7.37,7.37
2000,2015-11-10,PMP,7.37,1447113600,7.37,7.37,7.37
3500,2015-11-11,PMP,7.37,1447200000,7.37,7.37,7.37
2700,2015-11-13,PMP,7.37,1447372800,7.32,7.32,7.37
500,2015-11-17,PMP,7.42,1447718400,7.42,7.42,7.42
300,2015-11-23,PMP,7.37,1448236800,7.37,7.37,7.37
300,2015-11-25,PMP,7.32,1448409600,7.32,7.32,7.32
1500,2015-12-02,PMP,7.27,1449014400,7.27,7.27,7.27
500,2015-12-08,PMP,7.27,1449532800,7.27,7.27,7.27
300,2015-12-30,PMP,7.21,1451433600,7.21,7.21,7.21
500,2016-01-13,PMP,7.94,1452643200,7.94,7.94,7.94
8000,2016-01-26,PMP,7.73,1453766400,7.73,7.47,7.47
