open,close,volume,symbol,timestamp,low,date,high
19.9,19.7,922900,PSI,1279670400,19,2010-07-21,23
19.9,18.9,566900,PSI,1279756800,18.8,2010-07-22,20.4
19.2,18.1,354300,PSI,1279843200,18,2010-07-23,19.2
18,18.3,255100,PSI,1280102400,18,2010-07-26,19.3
18.3,17.5,395100,PSI,1280188800,17.2,2010-07-27,18.4
17.1,17.2,364100,PSI,1280275200,17,2010-07-28,17.8
17,17.4,255200,PSI,1280361600,17,2010-07-29,17.5
17.7,17.7,308000,PSI,1280448000,17.1,2010-07-30,17.7
17.6,17.6,351700,PSI,1280707200,17.4,2010-08-02,18.2
18,17,204800,PSI,1280793600,16.9,2010-08-03,18
17.3,16.7,108200,PSI,1280880000,16.4,2010-08-04,17.4
16.7,16.2,105200,PSI,1280966400,16,2010-08-05,16.8
16,15.5,246900,PSI,1281052800,15.4,2010-08-06,16.3
15.8,14.7,183100,PSI,1281312000,14.7,2010-08-09,15.8
15,14.4,493200,PSI,1281398400,13.7,2010-08-10,15.6
14.7,14.5,73100,PSI,1281484800,14.1,2010-08-11,14.9
14.1,13.6,228000,PSI,1281571200,13.6,2010-08-12,14.1
13.7,14,164800,PSI,1281657600,13.1,2010-08-13,14.4
14.3,14.7,283100,PSI,1281916800,14,2010-08-16,14.7
14.6,14.4,124100,PSI,1282003200,13.9,2010-08-17,14.7
14.7,13.9,61000,PSI,1282089600,13.6,2010-08-18,14.8
13.8,13.8,66500,PSI,1282176000,13.5,2010-08-19,13.9
13.6,13.7,157500,PSI,1282262400,13.4,2010-08-20,14
13.7,13.4,93700,PSI,1282521600,13.4,2010-08-23,13.8
13.2,12.7,401100,PSI,1282608000,12.7,2010-08-24,13.2
13.2,12,609600,PSI,1282694400,12,2010-08-25,13.2
12.1,12.1,222200,PSI,1282780800,11.8,2010-08-26,12.6
12.5,12.3,173500,PSI,1282867200,12,2010-08-27,12.5
12.6,13,130600,PSI,1283126400,12.6,2010-08-30,13
13.9,13.9,212100,PSI,1283212800,13.4,2010-08-31,13.9
14.6,14.7,853300,PSI,1283299200,14.2,2010-09-01,14.7
15.7,15.7,66300,PSI,1283731200,15.7,2010-09-06,15.7
16.7,16.7,1189800,PSI,1283817600,16.5,2010-09-07,16.7
17.6,16.7,1141100,PSI,1283904000,16,2010-09-08,17.7
16.8,16.7,1002200,PSI,1283990400,16.1,2010-09-09,17.5
16.9,15.8,701700,PSI,1284076800,15.8,2010-09-10,17
15.9,15,377600,PSI,1284336000,15,2010-09-13,16.5
15.3,15,485800,PSI,1284422400,14.6,2010-09-14,15.9
