volume,date,symbol,high,timestamp,open,low,close
390,2010-04-09,PTG,0.1,1270771200,0.1,0.1,0.1
1000,2010-09-17,PTG,0.1,1284681600,0.1,0.1,0.1
1000,2011-02-21,PTG,0.1,1298246400,0.1,0.1,0.1
100,2011-05-23,PTG,0.1,1306108800,0.1,0.1,0.1
100,2011-08-10,PTG,0.06,1312934400,0.06,0.06,0.06
800,2012-01-06,PTG,0.05,1325808000,0.05,0.05,0.05
800,2012-02-15,PTG,0.05,1329264000,0.05,0.05,0.05
300,2012-04-16,PTG,0.03,1334534400,0.03,0.03,0.03
100,2012-05-28,PTG,0.05,1338163200,0.05,0.05,0.05
100,2013-03-12,PTG,0.04,1363046400,0.04,0.04,0.04
400,2013-08-05,PTG,0.04,1375660800,0.04,0.04,0.04
100,2014-01-06,PTG,0.04,1388966400,0.04,0.04,0.04
100,2014-11-24,PTG,0.02,1416787200,0.02,0.02,0.02
100,2015-04-24,PTG,0.01,1429833600,0.01,0.01,0.01
5000,2015-09-28,PTG,0.02,1443398400,0.02,0.02,0.02
100,2017-04-03,PTG,0.03,1491177600,0.03,0.03,0.03
100,2017-06-12,PTG,0.03,1497225600,0.03,0.03,0.03
100,2017-08-10,PTG,0.05,1502323200,0.05,0.05,0.05
100,2017-10-17,PTG,0.06,1508198400,0.06,0.06,0.06
120,2017-11-16,PTG,0.07,1510790400,0.07,0.07,0.07
100,2019-12-16,PTG,0.1,1576454400,0.1,0.1,0.1
100,2021-11-10,PTG,0.2,1636502400,0.2,0.2,0.2
100.0,2022-11-04,PTG,0.3,1667520000.0,0.3,0.3,0.3
