"date","symbol","open","high","low","close","volume","timestamp"
"2010-09-16","S27",26.6,26.6,18.5,19.2,15000,1284595200
"2010-09-17","S27",19.2,20,17.9,19,18900,1284681600
"2010-09-20","S27",18.9,18.9,18.9,18.9,1000,1284940800
"2010-09-21","S27",17.8,18.3,17.6,17.7,21300,1285027200
"2010-09-22","S27",17,18.9,16.5,18.9,14400,1285113600
"2010-09-23","S27",18.5,18.6,18.3,18.3,3400,1285200000
"2010-09-24","S27",17.8,18,17.8,18,2500,1285286400
"2010-09-27","S27",17.3,18,17,17.5,4400,1285545600
"2010-09-28","S27",17.1,17.2,17,17,2700,1285632000
"2010-09-29","S27",16.1,16.1,16,16.1,4700,1285718400
"2010-09-30","S27",15.7,16,15.7,16,3400,1285804800
"2010-10-01","S27",15.6,16.9,15.4,16.9,1700,1285891200
"2010-10-05","S27",16.8,16.8,16.8,16.8,200,1286236800
"2010-10-08","S27",15.7,15.7,15.7,15.7,300,1286496000
"2010-10-11","S27",16.1,16.1,15.8,15.8,200,1286755200
"2010-10-12","S27",15,15,15,15,1400,1286841600
"2010-10-13","S27",15.7,15.7,14.1,15.7,1200,1286928000
"2010-10-14","S27",15.8,15.8,15.8,15.8,100,1287014400
"2010-10-15","S27",16.7,16.7,15.5,15.5,1100,1287100800
"2010-10-18","S27",14.6,14.6,14.6,14.6,400,1287360000
"2010-10-19","S27",13.6,13.6,13.6,13.6,400,1287446400
"2010-10-20","S27",14.4,14.4,12.7,13.9,2200,1287532800
"2010-10-21","S27",14.3,14.3,14,14,600,1287619200
"2010-10-22","S27",14.6,14.6,14.6,14.6,200,1287705600
"2010-10-25","S27",15.5,15.5,15.5,15.5,200,1287964800
"2010-10-26","S27",14.9,15.5,14.7,15.5,8500,1288051200
"2010-10-27","S27",15.4,15.4,13.9,13.9,4700,1288137600
"2010-10-29","S27",13.5,14.4,13.5,13.5,3400,1288310400
"2010-11-01","S27",13.8,13.8,12.8,12.8,8100,1288569600
"2010-11-02","S27",12.8,12.8,12.8,12.8,100,1288656000
"2010-11-03","S27",13.4,13.4,12,12,200,1288742400
"2010-11-04","S27",12.9,12.9,11.9,11.9,6800,1288828800
"2010-11-05","S27",12.8,12.8,11.2,12,3200,1288915200
"2010-11-08","S27",11.2,11.2,11.2,11.2,6900,1289174400
"2010-11-09","S27",10.6,10.6,10.5,10.5,5400,1289260800
"2010-11-10","S27",10.1,10.1,10.1,10.1,300,1289347200
"2010-11-11","S27",9.7,10.5,9.7,10,7300,1289433600
"2010-11-12","S27",10.9,10.9,9.5,9.5,4000,1289520000
"2010-11-15","S27",9.1,9.1,8.9,8.9,2600,1289779200
"2010-11-16","S27",8.4,8.4,8.4,8.4,100,1289865600
"2010-11-17","S27",8.9,8.9,8.9,8.9,1000,1289952000
"2010-11-19","S27",8.7,8.7,8.4,8.4,4000,1290124800
"2010-11-22","S27",8.1,8.2,8.1,8.1,5100,1290384000
"2010-11-23","S27",8.6,8.6,8.6,8.6,1200,1290470400
"2010-11-24","S27",8.3,8.3,8,8,7000,1290556800
"2010-11-25","S27",8.5,8.7,8.5,8.7,2600,1290643200
"2010-11-26","S27",8.8,9.2,8.8,8.8,3700,1290729600
"2010-11-29","S27",8.7,9.5,8.7,9.2,4100,1290988800
"2010-11-30","S27",9.7,9.7,9.7,9.7,5600,1291075200
"2010-12-01","S27",10.3,10.3,10.1,10.3,12700,1291161600
"2010-12-02","S27",11,11,10.5,11,3500,1291248000
