close,date,high,low,open,symbol,timestamp,volume
5.04,2010-06-01,5.62,4.96,5.04,SBA,1275350400,311320
4.81,2010-06-02,4.92,4.81,4.88,SBA,1275436800,142430
5,2010-06-03,5,4.81,4.96,SBA,1275523200,116180
4.92,2010-06-04,5.04,4.81,5.04,SBA,1275609600,40720
4.69,2010-06-07,4.73,4.69,4.69,SBA,1275868800,55290
4.46,2010-06-08,4.57,4.46,4.46,SBA,1275955200,47150
4.34,2010-06-09,4.57,4.34,4.34,SBA,1276041600,42070
4.26,2010-06-10,4.46,4.15,4.26,SBA,1276128000,36760
4.22,2010-06-11,4.34,4.07,4.26,SBA,1276214400,77940
4.42,2010-06-14,4.42,4.42,4.42,SBA,1276473600,27020
4.61,2010-06-15,4.61,4.61,4.61,SBA,1276560000,47080
4.81,2010-06-16,4.81,4.73,4.81,SBA,1276646400,351090
4.73,2010-06-17,4.85,4.61,4.85,SBA,1276732800,155310
4.61,2010-06-18,4.73,4.61,4.65,SBA,1276819200,61890
4.77,2010-06-21,4.81,4.57,4.57,SBA,1277078400,90460
4.65,2010-06-22,4.77,4.65,4.77,SBA,1277164800,120680
4.88,2010-06-23,4.88,4.65,4.65,SBA,1277251200,282620
4.88,2010-06-24,5,4.88,5,SBA,1277337600,146500
4.73,2010-06-25,4.85,4.73,4.85,SBA,1277424000,62320
4.65,2010-06-28,4.73,4.65,4.65,SBA,1277683200,87020
4.57,2010-06-29,4.73,4.57,4.57,SBA,1277769600,56970
4.46,2010-06-30,4.57,4.38,4.38,SBA,1277856000,76050
4.5,2010-07-01,4.5,4.46,4.46,SBA,1277942400,58800
4.46,2010-07-02,4.65,4.46,4.5,SBA,1278028800,27780
4.46,2010-07-05,4.46,4.38,4.38,SBA,1278288000,56550
4.38,2010-07-06,4.46,4.3,4.46,SBA,1278374400,34010
4.3,2010-07-07,4.38,4.3,4.38,SBA,1278460800,64990
4.34,2010-07-08,4.46,4.3,4.34,SBA,1278547200,66780
4.26,2010-07-09,4.38,4.26,4.38,SBA,1278633600,53470
4.26,2010-07-12,4.26,4.22,4.26,SBA,1278892800,78400
4.38,2010-07-13,4.38,4.26,4.26,SBA,1278979200,73120
4.3,2010-07-14,4.38,4.26,4.3,SBA,1279065600,54700
4.26,2010-07-15,4.34,4.22,4.26,SBA,1279152000,43480
4.26,2010-07-16,4.34,4.22,4.26,SBA,1279238400,96050
4.3,2010-07-19,4.3,4.22,4.26,SBA,1279497600,116590
4.34,2010-07-20,4.38,4.26,4.38,SBA,1279584000,140970
4.26,2010-07-21,4.34,4.26,4.3,SBA,1279670400,90410
4.26,2010-07-22,4.3,4.22,4.3,SBA,1279756800,79240
4.19,2010-07-23,4.26,4.19,4.19,SBA,1279843200,159920
4.19,2010-07-26,4.26,4.19,4.19,SBA,1280102400,135250
4.19,2010-07-27,4.22,4.15,4.19,SBA,1280188800,90490
4.03,2010-07-28,4.22,4.03,4.15,SBA,1280275200,74640
4.03,2010-07-29,4.03,3.99,4.03,SBA,1280361600,49340
4.07,2010-07-30,4.11,3.99,3.99,SBA,1280448000,58650
3.95,2010-08-02,3.99,3.95,3.99,SBA,1280707200,28960
3.92,2010-08-03,3.99,3.88,3.95,SBA,1280793600,35820
3.84,2010-08-04,3.88,3.8,3.88,SBA,1280880000,46140
3.8,2010-08-05,3.92,3.8,3.84,SBA,1280966400,44180
3.76,2010-08-06,3.84,3.76,3.76,SBA,1281052800,44270
3.6,2010-08-09,3.8,3.6,3.8,SBA,1281312000,81160
3.57,2010-08-10,3.6,3.45,3.53,SBA,1281398400,67650
3.53,2010-08-11,3.68,3.49,3.53,SBA,1281484800,47570
3.41,2010-08-12,3.57,3.41,3.49,SBA,1281571200,101150
3.45,2010-08-13,3.49,3.41,3.49,SBA,1281657600,48880
3.6,2010-08-16,3.6,3.45,3.45,SBA,1281916800,71990
3.57,2010-08-17,3.57,3.49,3.57,SBA,1282003200,29450
3.49,2010-08-18,3.6,3.45,3.6,SBA,1282089600,37290
3.45,2010-08-19,3.49,3.45,3.45,SBA,1282176000,7260
3.41,2010-08-20,3.45,3.33,3.41,SBA,1282262400,51660
3.37,2010-08-23,3.49,3.37,3.45,SBA,1282521600,8700
3.26,2010-08-24,3.37,3.26,3.37,SBA,1282608000,59820
3.1,2010-08-25,3.33,3.1,3.26,SBA,1282694400,50920
3.14,2010-08-26,3.22,3.1,3.1,SBA,1282780800,24560
3.06,2010-08-27,3.14,3.06,3.06,SBA,1282867200,23420
3.18,2010-08-30,3.18,3.06,3.06,SBA,1283126400,60070
3.33,2010-08-31,3.33,3.29,3.33,SBA,1283212800,86680
3.49,2010-09-01,3.49,3.41,3.49,SBA,1283299200,38710
3.64,2010-09-06,3.64,3.57,3.6,SBA,1283731200,71040
3.68,2010-09-07,3.8,3.57,3.64,SBA,1283817600,92210
3.6,2010-09-08,3.68,3.53,3.6,SBA,1283904000,74740
3.6,2010-09-09,3.68,3.57,3.68,SBA,1283990400,29100
3.45,2010-09-10,3.64,3.45,3.64,SBA,1284076800,98810
3.45,2010-09-13,3.45,3.37,3.45,SBA,1284336000,17370
3.53,2010-09-14,3.57,3.45,3.57,SBA,1284422400,16030
3.49,2010-09-15,3.53,3.49,3.49,SBA,1284508800,32830
3.53,2010-09-16,3.53,3.45,3.53,SBA,1284595200,17660
3.53,2010-09-17,3.57,3.45,3.53,SBA,1284681600,53890
3.49,2010-09-20,3.53,3.45,3.49,SBA,1284940800,62050
3.45,2010-09-21,3.49,3.37,3.49,SBA,1285027200,52320
3.49,2010-09-22,3.49,3.45,3.45,SBA,1285113600,8030
3.37,2010-09-23,3.49,3.37,3.45,SBA,1285200000,21920
3.41,2010-09-24,3.49,3.37,3.49,SBA,1285286400,13980
3.45,2010-09-27,3.45,3.33,3.33,SBA,1285545600,32460
3.45,2010-09-28,3.49,3.41,3.45,SBA,1285632000,21380
3.37,2010-09-29,3.45,3.37,3.45,SBA,1285718400,6610
3.37,2010-09-30,3.41,3.26,3.37,SBA,1285804800,23660
3.26,2010-10-01,3.37,3.26,3.37,SBA,1285891200,19420
3.18,2010-10-04,3.41,3.18,3.41,SBA,1286150400,45410
3.22,2010-10-05,3.29,3.18,3.29,SBA,1286236800,17110
3.29,2010-10-06,3.29,3.22,3.22,SBA,1286323200,16060
3.26,2010-10-07,3.33,3.26,3.29,SBA,1286409600,18250
3.22,2010-10-08,3.26,3.22,3.26,SBA,1286496000,11040
3.18,2010-10-11,3.22,3.18,3.22,SBA,1286755200,22230
3.14,2010-10-12,3.26,3.14,3.26,SBA,1286841600,14550
3.26,2010-10-13,3.26,3.18,3.18,SBA,1286928000,30650
3.26,2010-10-14,3.29,3.26,3.29,SBA,1287014400,10120
3.22,2010-10-15,3.29,3.14,3.18,SBA,1287100800,6460
3.18,2010-10-18,3.22,3.1,3.22,SBA,1287360000,9460
3.22,2010-10-19,3.22,3.14,3.18,SBA,1287446400,8470
3.06,2010-10-20,3.1,3.06,3.1,SBA,1287532800,39220
2.95,2010-10-21,3.1,2.95,3.06,SBA,1287619200,33980
2.98,2010-10-22,3.06,2.83,2.98,SBA,1287705600,78560
3.1,2010-10-25,3.1,2.91,3.1,SBA,1287964800,45270
3.14,2010-10-26,3.26,3.1,3.14,SBA,1288051200,44320
3.14,2010-10-27,3.26,3.02,3.26,SBA,1288137600,7980
3.14,2010-10-28,3.22,3.02,3.22,SBA,1288224000,7060
3.14,2010-10-29,3.18,3.1,3.18,SBA,1288310400,13210
3.1,2010-11-01,3.14,3.06,3.14,SBA,1288569600,14500
3.14,2010-11-02,3.14,3.06,3.06,SBA,1288656000,17070
3.02,2010-11-03,3.14,3.02,3.1,SBA,1288742400,32030
3.1,2010-11-04,3.1,3.02,3.1,SBA,1288828800,22790
3.14,2010-11-05,3.14,3.06,3.06,SBA,1288915200,54210
3.06,2010-11-08,3.18,3.06,3.18,SBA,1289174400,27570
3.06,2010-11-09,3.1,2.95,2.98,SBA,1289260800,94840
3.06,2010-11-10,3.1,3.02,3.1,SBA,1289347200,15130
3.02,2010-11-11,3.1,3.02,3.1,SBA,1289433600,39950
2.98,2010-11-12,3.02,2.91,2.95,SBA,1289520000,23500
2.87,2010-11-15,2.98,2.87,2.95,SBA,1289779200,76720
2.79,2010-11-16,2.87,2.75,2.87,SBA,1289865600,57350
2.87,2010-11-17,2.91,2.83,2.87,SBA,1289952000,25910
2.91,2010-11-18,2.95,2.83,2.83,SBA,1290038400,18550
2.91,2010-11-19,2.95,2.79,2.91,SBA,1290124800,10700
2.87,2010-11-22,2.91,2.83,2.91,SBA,1290384000,28350
2.95,2010-11-23,2.95,2.87,2.95,SBA,1290470400,23710
2.87,2010-11-24,2.95,2.87,2.95,SBA,1290556800,34960
2.98,2010-11-25,2.98,2.87,2.87,SBA,1290643200,59730
2.98,2010-11-26,3.06,2.95,3.06,SBA,1290729600,17480
