volume,date,symbol,high,timestamp,open,low,close
15800,2007-12-25,SDJ,95,1198540800,95,81.5,89
19300,2007-12-26,SDJ,94.3,1198627200,85,85,94.3
20700,2007-12-27,SDJ,98,1198713600,92,92,98
18700,2007-12-28,SDJ,105,1198800000,98,97.5,104.9
18200,2008-01-02,SDJ,108,1199232000,105.8,103,103
13800,2008-01-03,SDJ,101,1199318400,99.2,96.2,96.2
17300,2008-01-04,SDJ,95,1199404800,95,89,90
15400,2008-01-07,SDJ,90,1199664000,90,82.1,83.5
15000,2008-01-08,SDJ,88.8,1199750400,80,79.5,82.6
8000,2008-01-09,SDJ,88,1199836800,88,77,77
16800,2008-01-10,SDJ,80,1199923200,77,73,77
25000,2008-01-11,SDJ,83.3,1200009600,80,80,82.5
6300,2008-01-14,SDJ,79,1200268800,78,74.5,74.6
13900,2008-01-15,SDJ,70,1200355200,70,69.1,69.1
8000,2008-01-16,SDJ,76.1,1200441600,69.2,69.2,76.1
19000,2008-01-17,SDJ,82.2,1200528000,82.1,72.5,76
14800,2008-01-18,SDJ,82,1200614400,76.2,75.9,78
5100,2008-01-21,SDJ,80,1200873600,78,76,79
8200,2008-01-22,SDJ,78,1200960000,78,75,75.1
11700,2008-01-23,SDJ,76,1201046400,76,68.5,71
12600,2008-01-24,SDJ,76,1201132800,72,67.5,68.6
13500,2008-01-25,SDJ,72,1201219200,70,68.6,70
5600,2008-01-28,SDJ,70.1,1201478400,68.5,68,69
17500,2008-01-29,SDJ,75,1201564800,71.5,70.5,74
19600,2008-01-30,SDJ,80.6,1201651200,78,78,80.1
5500,2008-01-31,SDJ,86,1201737600,80.4,74,78.2
17000,2008-02-01,SDJ,80.6,1201824000,80.5,79,79
2300,2008-02-12,SDJ,80,1202774400,78,78,78.5
4900,2008-02-13,SDJ,79.5,1202860800,79.5,71,73
5800,2008-02-14,SDJ,78,1202947200,76,74,75
3300,2008-02-15,SDJ,75,1203033600,75,72,73
9200,2008-02-18,SDJ,73,1203292800,73,66.1,70
