"date","symbol","open","high","low","close","volume","timestamp"
"2009-09-28","SDU","66.87","82.98","66.87","81.03","630600","1254096000"
"2009-09-29","SDU","84.44","84.44","74.29","77.12","118700","1254182400"
"2009-09-30","SDU","79.07","79.07","73.02","73.02","57100","1254268800"
"2009-10-01","SDU","68.82","70.87","68.82","68.82","25500","1254355200"
"2009-10-02","SDU","64.14","64.14","64.14","64.14","37700","1254441600"
"2009-10-05","SDU","59.74","61.79","59.74","59.74","224100","1254700800"
"2009-10-06","SDU","59.74","64.04","56.13","64.04","223500","1254787200"
"2009-10-07","SDU","67.75","67.75","67.65","67.75","89100","1254873600"
"2009-10-08","SDU","71.26","71.26","66.38","67.85","78400","1254960000"
"2009-10-09","SDU","67.26","70.19","66.38","67.36","228400","1255046400"
"2009-10-12","SDU","70.09","71.17","67.85","70.19","176700","1255305600"
"2009-10-13","SDU","74.88","74.88","68.82","69.31","138900","1255392000"
"2009-10-14","SDU","72.24","72.24","65.41","69.31","116400","1255478400"
"2009-10-15","SDU","71.26","73.22","68.92","69.5","141000","1255564800"
"2009-10-16","SDU","70.77","70.77","66.38","67.36","190800","1255651200"
"2009-10-19","SDU","67.26","71.85","67.26","71.85","267100","1255910400"
"2009-10-20","SDU","75.46","75.46","75.46","75.46","31000","1255996800"
"2009-10-21","SDU","80.73","80.73","75.46","80.73","469000","1256083200"
"2009-10-22","SDU","82.98","82.98","76.14","80.05","232400","1256169600"
"2009-10-23","SDU","80.05","80.05","75.17","75.17","290900","1256256000"
"2009-10-26","SDU","77.02","78.1","74.19","74.48","133500","1256515200"
"2009-10-27","SDU","71.46","72.73","71.07","71.85","85600","1256601600"
"2009-10-28","SDU","70.29","75.17","70.29","72.83","44800","1256688000"
"2009-10-29","SDU","71.75","71.75","68.33","71.26","86300","1256774400"
"2009-10-30","SDU","74.68","74.68","71.26","73.12","22900","1256860800"
"2009-11-02","SDU","68.33","68.33","66.38","66.38","48300","1257120000"
"2009-11-03","SDU","63.55","66.87","62.28","62.97","105600","1257206400"
"2009-11-04","SDU","58.77","66.77","58.77","65.21","89400","1257292800"
"2009-11-05","SDU","66.38","69.8","65.41","69.8","64700","1257379200"
"2009-11-06","SDU","73.7","73.7","64.53","64.53","43400","1257465600"
"2009-11-09","SDU","65.41","65.41","63.84","64.92","66200","1257724800"
"2009-11-10","SDU","64.72","67.36","60.13","65.41","54800","1257811200"
"2009-11-11","SDU","67.75","69.5","65.02","68.33","78400","1257897600"
"2009-11-12","SDU","70.29","71.26","69.11","71.07","46700","1257984000"
