timestamp,symbol,close,low,open,high,volume,date
995241600,SGH,5.33,5.33,5.33,5.33,200,2001-07-16
995414400,SGH,5.69,5.69,5.69,5.69,200,2001-07-18
995587200,SGH,6.07,6.07,6.07,6.07,200,2001-07-20
995846400,SGH,6.49,6.49,6.49,6.49,300,2001-07-23
996019200,SGH,6.94,6.94,6.94,6.94,200,2001-07-25
996192000,SGH,7.4,7.4,7.4,7.4,300,2001-07-27
996451200,SGH,7.91,7.91,7.91,7.91,200,2001-07-30
996624000,SGH,8.46,8.46,8.46,8.46,1300,2001-08-01
996796800,SGH,9.05,9.05,9.05,9.05,300,2001-08-03
997056000,SGH,9.67,9.67,9.67,9.67,26700,2001-08-06
997228800,SGH,10.32,10.32,10.32,10.32,40500,2001-08-08
997401600,SGH,11,11,11,11,49100,2001-08-10
997660800,SGH,10.24,10.24,10.24,10.24,6200,2001-08-13
997833600,SGH,9.54,9.54,9.54,9.54,2300,2001-08-15
998006400,SGH,8.88,8.88,8.88,8.88,2000,2001-08-17
998265600,SGH,8.27,8.27,8.27,8.27,4100,2001-08-20
998438400,SGH,8.84,8.84,8.84,8.84,15300,2001-08-22
998611200,SGH,8.23,8.23,8.23,8.23,7200,2001-08-24
998870400,SGH,7.66,7.66,7.66,7.66,1000,2001-08-27
999043200,SGH,7.66,7.66,7.66,7.66,3000,2001-08-29
999216000,SGH,7.13,7.13,7.13,7.13,14900,2001-08-31
999648000,SGH,7.62,7.62,7.62,7.62,21400,2001-09-05
999820800,SGH,8.14,8.14,8.14,8.14,40200,2001-09-07
1000080000,SGH,7.59,7.59,7.59,7.59,4400,2001-09-10
1000252800,SGH,7.21,7.21,7.21,7.21,5100,2001-09-12
1000425600,SGH,6.81,6.81,6.81,6.81,5000,2001-09-14
1000684800,SGH,6.34,6.34,6.34,6.34,8200,2001-09-17
1000857600,SGH,6.34,6.34,6.34,6.34,7300,2001-09-19
1001030400,SGH,6.34,6.34,6.34,6.34,10800,2001-09-21
1001289600,SGH,6.34,6.34,6.34,6.34,15700,2001-09-24
1001462400,SGH,5.9,5.9,5.9,5.9,8900,2001-09-26
1001635200,SGH,5.5,5.5,5.5,5.5,8900,2001-09-28
1001894400,SGH,5.12,5.12,5.12,5.12,500,2001-10-01
1002067200,SGH,4.78,4.78,4.78,4.78,12300,2001-10-03
1002240000,SGH,4.46,4.46,4.46,4.46,3500,2001-10-05
1002499200,SGH,4.76,4.76,4.76,4.76,16900,2001-10-08
1002672000,SGH,4.84,4.84,4.84,4.84,100,2001-10-10
1002844800,SGH,4.93,4.93,4.93,4.93,100,2001-10-12
1003104000,SGH,5.01,5.01,5.01,5.01,100,2001-10-15
1003276800,SGH,5.1,5.1,5.1,5.1,100,2001-10-17
1003449600,SGH,5.18,5.18,5.18,5.18,100,2001-10-19
1003708800,SGH,5.27,5.27,5.27,5.27,700,2001-10-22
1003881600,SGH,5.35,5.35,5.35,5.35,100,2001-10-24
1004054400,SGH,5.46,5.46,5.46,5.46,100,2001-10-26
1004313600,SGH,5.56,5.56,5.56,5.56,15800,2001-10-29
1004486400,SGH,5.67,5.67,5.67,5.67,1400,2001-10-31
1004659200,SGH,5.77,5.77,5.77,5.77,100,2001-11-02
1004918400,SGH,5.88,5.88,5.88,5.88,100,2001-11-05
1005091200,SGH,5.99,5.99,5.99,5.99,5500,2001-11-07
1005264000,SGH,6.09,6.09,6.09,6.09,200,2001-11-09
1005523200,SGH,6.2,6.2,6.2,6.2,400,2001-11-12
1005696000,SGH,6.3,6.3,6.3,6.3,3200,2001-11-14
1005868800,SGH,6.41,6.41,6.41,6.41,100,2001-11-16
1006128000,SGH,6.54,6.54,6.54,6.54,1100,2001-11-19
1006300800,SGH,6.41,6.41,6.41,6.41,17900,2001-11-21
1006473600,SGH,6.28,6.28,6.28,6.28,6400,2001-11-23
1006732800,SGH,6.39,6.39,6.39,6.39,27500,2001-11-26
1006905600,SGH,6.26,6.26,6.26,6.26,9300,2001-11-28
1007078400,SGH,6.16,6.16,6.16,6.16,2700,2001-11-30
1007337600,SGH,6.05,6.05,6.05,6.05,1600,2001-12-03
1007510400,SGH,5.94,5.94,5.94,5.94,700,2001-12-05
1007683200,SGH,5.84,5.84,5.84,5.84,2000,2001-12-07
1007942400,SGH,5.73,5.73,5.73,5.73,7100,2001-12-10
1008115200,SGH,5.63,5.63,5.63,5.63,6200,2001-12-12
1008288000,SGH,5.52,5.52,5.52,5.52,3700,2001-12-14
1008547200,SGH,5.42,5.42,5.42,5.42,9400,2001-12-17
1008720000,SGH,5.31,5.31,5.31,5.31,6100,2001-12-19
1008892800,SGH,5.33,5.33,5.33,5.33,2600,2001-12-21
1009152000,SGH,5.44,5.44,5.44,5.44,16600,2001-12-24
1009324800,SGH,5.33,5.33,5.33,5.33,14900,2001-12-26
1009497600,SGH,5.22,5.22,5.22,5.22,1800,2001-12-28
1009756800,SGH,5.14,5.14,5.14,5.14,9200,2001-12-31
1009929600,SGH,5.05,5.05,5.05,5.05,6100,2002-01-02
1010102400,SGH,5.14,5.14,5.14,5.14,5900,2002-01-04
1010361600,SGH,5.22,5.22,5.22,5.22,1300,2002-01-07
1010534400,SGH,5.14,5.14,5.14,5.14,9400,2002-01-09
1010707200,SGH,5.05,5.05,5.05,5.05,3300,2002-01-11
1010966400,SGH,4.97,4.97,4.97,4.97,1600,2002-01-14
1011139200,SGH,4.89,4.89,4.89,4.89,5400,2002-01-16
1011312000,SGH,4.8,4.8,4.8,4.8,5600,2002-01-18
1011571200,SGH,4.8,4.8,4.8,4.8,3300,2002-01-21
1011744000,SGH,4.89,4.89,4.89,4.89,600,2002-01-23
1011916800,SGH,4.95,4.95,4.95,4.95,100,2002-01-25
1012176000,SGH,5.03,5.03,5.03,5.03,300,2002-01-28
1012348800,SGH,5.03,5.03,5.03,5.03,10000,2002-01-30
1012521600,SGH,5.12,5.12,5.12,5.12,2000,2002-02-01
1012780800,SGH,5.05,5.05,5.05,5.05,3300,2002-02-04
1012953600,SGH,5.14,5.14,5.14,5.14,3200,2002-02-06
1013126400,SGH,5.22,5.22,5.22,5.22,2700,2002-02-08
