close,date,high,low,open,symbol,timestamp,volume
4.24,2009-04-20,4.27,3.79,3.88,SHB,1240185600,2079300
4.3,2009-04-21,4.3,3.93,4.21,SHB,1240272000,769000
4.49,2009-04-22,4.49,4.49,4.49,SHB,1240358400,424400
4.8,2009-04-23,4.8,4.8,4.8,SHB,1240444800,682600
4.71,2009-04-24,5.08,4.49,5.02,SHB,1240531200,2011700
4.83,2009-04-27,4.88,4.44,4.44,SHB,1240790400,1312000
4.83,2009-04-28,4.86,4.6,4.74,SHB,1240876800,1034100
4.77,2009-04-29,4.83,4.74,4.83,SHB,1240963200,931300
5.13,2009-05-04,5.13,4.97,5.05,SHB,1241395200,2145900
5.41,2009-05-05,5.47,5.3,5.47,SHB,1241481600,1739600
5.13,2009-05-06,5.64,5.11,5.3,SHB,1241568000,814900
5.5,2009-05-07,5.58,5.22,5.52,SHB,1241654400,1194800
5.25,2009-05-08,5.44,5.08,5.44,SHB,1241740800,1997000
5.16,2009-05-11,5.36,5.05,5.36,SHB,1242000000,1146500
5.19,2009-05-12,5.25,4.97,5.16,SHB,1242086400,1145200
5.19,2009-05-13,5.3,5.13,5.22,SHB,1242172800,792100
5.08,2009-05-14,5.11,4.86,4.97,SHB,1242259200,646100
5.33,2009-05-15,5.33,5.02,5.16,SHB,1242345600,1343100
5.27,2009-05-18,5.33,5.22,5.33,SHB,1242604800,1406100
5.64,2009-05-19,5.64,5.36,5.64,SHB,1242691200,2239500
5.94,2009-05-20,5.97,5.64,5.89,SHB,1242777600,1583300
6.25,2009-05-21,6.25,5.83,6,SHB,1242864000,1642400
6.14,2009-05-22,6.42,5.86,6.33,SHB,1242950400,1236700
6.5,2009-05-25,6.5,5.86,6.36,SHB,1243209600,1349900
6.86,2009-05-26,6.89,6.5,6.89,SHB,1243296000,1455100
6.86,2009-05-27,7.06,6.7,6.97,SHB,1243382400,1309300
6.5,2009-05-28,6.83,6.47,6.83,SHB,1243468800,1379400
7.03,2009-05-29,7.03,6.58,6.67,SHB,1243555200,2490700
7.48,2009-06-01,7.48,7.25,7.48,SHB,1243814400,794400
7.98,2009-06-02,7.98,7.95,7.98,SHB,1243900800,1299400
8.54,2009-06-03,8.54,7.98,8.37,SHB,1243987200,1870100
8.9,2009-06-04,8.9,8.34,8.34,SHB,1244073600,1375000
9.46,2009-06-05,9.46,9.43,9.46,SHB,1244160000,1878000
10.1,2009-06-08,10.1,10.02,10.1,SHB,1244419200,1800100
10.8,2009-06-09,10.8,10.04,10.77,SHB,1244505600,2388300
10.57,2009-06-10,11.16,9.88,11.16,SHB,1244592000,2480500
11.02,2009-06-11,11.02,10.18,10.46,SHB,1244678400,1969600
10.88,2009-06-12,11.61,10.6,11.02,SHB,1244764800,1751300
11.3,2009-06-15,11.3,10.38,11.02,SHB,1245024000,3651900
9.99,2009-06-16,11.02,9.99,10.71,SHB,1245110400,1204400
10.18,2009-06-17,10.32,9.49,9.49,SHB,1245196800,1894700
9.96,2009-06-18,10.32,9.68,10.04,SHB,1245283200,1071600
9.79,2009-06-19,10.32,9.74,10.18,SHB,1245369600,782500
9.29,2009-06-22,9.99,9.29,9.99,SHB,1245628800,225300
8.68,2009-06-23,8.68,8.68,8.68,SHB,1245715200,46200
9.26,2009-06-24,9.26,8.09,8.09,SHB,1245801600,1644400
8.9,2009-06-25,9.49,8.65,9.49,SHB,1245888000,983400
9.12,2009-06-26,9.29,8.71,9.29,SHB,1245974400,880500
9.15,2009-06-29,9.21,8.93,9.21,SHB,1246233600,622800
8.93,2009-06-30,9.63,8.65,9.21,SHB,1246320000,655200
8.56,2009-07-01,8.79,8.56,8.65,SHB,1246406400,919900
8.65,2009-07-02,8.96,8.09,8.37,SHB,1246492800,846800
8.48,2009-07-03,8.54,8.09,8.54,SHB,1246579200,539000
8.98,2009-07-06,8.98,8.62,8.65,SHB,1246838400,801500
8.98,2009-07-07,9.43,8.93,9.35,SHB,1246924800,516900
8.9,2009-07-08,9.01,8.71,8.93,SHB,1247011200,325900
8.82,2009-07-09,9.04,8.79,8.9,SHB,1247097600,287700
9.51,2009-07-10,9.51,9.01,9.01,SHB,1247184000,3817100
9.93,2009-07-13,10.1,9.93,10.04,SHB,1247443200,3283100
9.49,2009-07-14,10.32,9.35,10.1,SHB,1247529600,840400
9.93,2009-07-15,10.38,9.21,9.49,SHB,1247616000,1092800
9.88,2009-07-16,10.32,9.71,10.32,SHB,1247702400,354700
9.35,2009-07-17,10.1,9.32,10.1,SHB,1247788800,321500
8.9,2009-07-20,9.35,8.87,9.35,SHB,1248048000,261600
8.93,2009-07-21,9.18,8.68,8.9,SHB,1248134400,349900
9.04,2009-07-22,9.15,8.65,9.1,SHB,1248220800,333600
9.6,2009-07-23,9.6,8.87,9.1,SHB,1248307200,645100
9.96,2009-07-24,9.96,9.77,9.96,SHB,1248393600,1230600
