volume,date,symbol,high,timestamp,open,low,close
2500,2010-09-08,SMB,7.34,1283904000,7.34,7.34,7.34
9900,2010-09-09,SMB,7.34,1283990400,7.34,7.34,7.34
100,2010-09-10,SMB,7.34,1284076800,7.34,7.34,7.34
1000,2010-09-13,SMB,6.85,1284336000,6.85,6.85,6.85
6200,2010-09-14,SMB,7.34,1284422400,7.34,6.61,7.1
8000,2010-09-15,SMB,7.34,1284508800,7.34,7.1,7.1
33700,2010-09-16,SMB,7.44,1284595200,7.34,7.34,7.44
26900,2010-09-17,SMB,7.44,1284681600,7.34,7.34,7.34
34400,2010-09-20,SMB,7.34,1284940800,7.34,7.34,7.34
41400,2010-09-21,SMB,7.44,1285027200,7.39,7.39,7.44
6300,2010-09-22,SMB,7.44,1285113600,7.39,7.39,7.44
5400,2010-09-23,SMB,7.44,1285200000,7.44,7.44,7.44
5300,2010-09-24,SMB,8.17,1285286400,7.44,7.44,8.17
7100,2010-09-27,SMB,8.07,1285545600,8.07,7.88,7.88
6300,2010-09-28,SMB,7.83,1285632000,7.83,7.83,7.83
2800,2010-09-29,SMB,7.78,1285718400,7.78,7.59,7.59
20200,2010-09-30,SMB,7.83,1285804800,7.54,7.54,7.83
300,2010-10-01,SMB,7.73,1285891200,7.73,7.73,7.73
4000,2010-10-04,SMB,7.63,1286150400,7.63,7.63,7.63
19000,2010-10-05,SMB,7.34,1286236800,7.34,7.34,7.34
10300,2010-10-06,SMB,7.44,1286323200,7.44,7.34,7.34
11300,2010-10-07,SMB,7.39,1286409600,7.34,7.34,7.39
2100,2010-10-08,SMB,7.59,1286496000,7.59,7.44,7.44
1500,2010-10-11,SMB,7.59,1286755200,7.59,7.49,7.49
9700,2010-10-13,SMB,7.39,1286928000,7.39,7.34,7.34
7200,2010-10-15,SMB,7.34,1287100800,7.34,7.34,7.34
25000,2010-10-20,SMB,7.44,1287532800,7.44,7.44,7.44
8700,2010-10-21,SMB,7.24,1287619200,7.24,7.1,7.1
11700,2010-10-22,SMB,7.34,1287705600,7.34,7.24,7.24
2000,2010-10-27,SMB,6.85,1288137600,6.85,6.85,6.85
200,2010-10-29,SMB,7.34,1288310400,7.34,7.34,7.34
6100,2010-11-08,SMB,6.8,1289174400,6.8,6.8,6.8
200,2010-11-09,SMB,7.34,1289260800,7.34,7.34,7.34
10000,2010-11-23,SMB,7.1,1290470400,7.1,7.1,7.1
500,2010-12-01,SMB,6.85,1291161600,6.85,6.85,6.85
7900,2010-12-02,SMB,7,1291248000,6.85,6.85,6.85
11700,2010-12-03,SMB,7.24,1291334400,6.85,6.85,7.24
8000,2010-12-06,SMB,6.95,1291593600,6.95,6.95,6.95
100,2010-12-07,SMB,7.1,1291680000,7.1,7.1,7.1
10000,2010-12-08,SMB,6.95,1291766400,6.95,6.95,6.95
2200,2010-12-09,SMB,7,1291852800,6.85,6.85,7
1300,2010-12-10,SMB,7.1,1291939200,7,7,7.05
5400,2010-12-13,SMB,7,1292198400,6.85,6.85,7
5900,2010-12-14,SMB,6.8,1292284800,6.8,6.8,6.8
100,2010-12-15,SMB,6.95,1292371200,6.95,6.95,6.95
2600,2010-12-17,SMB,6.85,1292544000,6.85,6.75,6.85
900,2010-12-21,SMB,6.75,1292889600,6.75,6.75,6.75
700,2010-12-22,SMB,6.8,1292976000,6.8,6.8,6.8
3500,2010-12-24,SMB,6.9,1293148800,6.85,6.85,6.9
6000,2010-12-27,SMB,6.95,1293408000,6.9,6.9,6.95
1000,2010-12-28,SMB,7.54,1293494400,6.95,6.95,7.54
800,2010-12-29,SMB,7.1,1293580800,7.1,7.1,7.1
2200,2010-12-31,SMB,7.34,1293753600,7.34,7.34,7.34
5900,2011-01-04,SMB,7.34,1294099200,7.34,7.34,7.34
2800,2011-01-05,SMB,7.34,1294185600,7.34,7.34,7.34
3400,2011-01-06,SMB,7.24,1294272000,7.24,7.24,7.24
1000,2011-01-07,SMB,7.19,1294358400,7.19,7.19,7.24
100,2011-01-13,SMB,7.24,1294876800,7.24,7.24,7.19
3000,2011-01-17,SMB,7.1,1295222400,7.1,7.1,7.1
1000,2011-01-18,SMB,7.24,1295308800,7.24,7.24,7.24
2900,2011-01-19,SMB,7.24,1295395200,7.24,7.24,7.24
100,2011-01-20,SMB,7.59,1295481600,7.59,7.59,7.59
2100,2011-01-27,SMB,6.85,1296086400,6.85,6.85,6.85
100,2011-01-28,SMB,7.34,1296172800,7.34,7.34,7.34
100,2011-02-15,SMB,7.78,1297728000,7.78,7.78,7.78
5200,2011-02-24,SMB,7.14,1298505600,7.1,7.1,7.1
100,2011-02-25,SMB,7.34,1298592000,7.34,7.34,7.34
100,2011-02-28,SMB,7.78,1298851200,7.78,7.78,7.78
500,2011-03-01,SMB,7.05,1298937600,7.05,7.05,7.05
100,2011-03-02,SMB,7.68,1299024000,7.68,7.68,7.68
1800,2011-03-03,SMB,7.59,1299110400,6.95,6.95,7.59
6600,2011-03-10,SMB,6.8,1299715200,6.8,6.8,6.8
2000,2011-03-11,SMB,6.8,1299801600,6.8,6.8,6.8
1000,2011-03-21,SMB,6.75,1300665600,6.17,6.17,6.75
100,2011-03-22,SMB,6.75,1300752000,6.75,6.75,6.75
4900,2011-03-28,SMB,6.75,1301270400,6.75,6.12,6.12
10000,2011-03-29,SMB,6.17,1301356800,6.17,6.17,6.17
6300,2011-04-06,SMB,5.63,1302048000,5.63,5.63,5.63
400,2011-04-07,SMB,5.48,1302134400,5.48,5.48,5.48
100,2011-04-13,SMB,6.02,1302652800,6.02,6.02,6.02
2300,2011-04-14,SMB,5.63,1302739200,5.63,5.63,5.63
31400,2011-04-15,SMB,6.17,1302825600,5.87,5.87,6.17
1000,2011-04-18,SMB,6.61,1303084800,6.61,6.61,6.61
100,2011-04-19,SMB,6.75,1303171200,6.75,6.75,6.75
700,2011-04-20,SMB,7.39,1303257600,7.39,6.12,6.36
800,2011-04-21,SMB,6.36,1303344000,6.36,6.36,6.36
400,2011-04-22,SMB,6.26,1303430400,5.87,5.73,6.26
600,2011-04-25,SMB,6.26,1303689600,6.26,6.26,6.26
700,2011-04-27,SMB,6.26,1303862400,6.26,6.26,6.26
1000,2011-04-28,SMB,6.21,1303948800,6.21,6.21,6.21
5200,2011-04-29,SMB,6.61,1304035200,6.21,5.87,6.61
3600,2011-05-05,SMB,6.12,1304553600,6.12,6.02,6.02
1000,2011-05-06,SMB,5.87,1304640000,5.87,5.87,5.87
1000,2011-05-09,SMB,5.87,1304899200,5.87,5.87,5.87
100,2011-05-10,SMB,6.07,1304985600,6.07,6.07,6.07
1700,2011-05-11,SMB,6.12,1305072000,6.07,6.07,6.12
200,2011-05-12,SMB,6.36,1305158400,6.36,6.36,6.36
300,2011-05-13,SMB,6.36,1305244800,5.87,5.87,6.36
100,2011-05-16,SMB,6.61,1305504000,6.61,6.61,6.61
2400,2011-05-17,SMB,5.97,1305590400,5.97,5.97,5.97
200,2011-05-18,SMB,6.12,1305676800,6.12,6.12,6.12
2500,2011-05-23,SMB,6.12,1306108800,6.12,5.97,5.97
1100,2011-05-25,SMB,6.61,1306281600,6.61,5.87,5.87
1000,2011-05-26,SMB,5.78,1306368000,5.78,5.78,5.78
100,2011-05-27,SMB,5.38,1306454400,5.38,5.38,5.38
100,2011-05-31,SMB,5.87,1306800000,5.87,5.87,5.87
100,2011-06-01,SMB,6.46,1306886400,6.46,6.46,6.46
6500,2011-06-07,SMB,5.87,1307404800,5.82,5.82,5.87
18000,2011-06-09,SMB,5.87,1307577600,5.29,5.29,5.87
500,2011-06-10,SMB,5.87,1307664000,5.87,5.87,5.87
1400,2011-06-22,SMB,5.29,1308700800,5.29,5.29,5.29
100,2011-06-23,SMB,5.78,1308787200,5.78,5.78,5.29
100,2011-06-24,SMB,6.31,1308873600,6.31,6.31,6.31
100,2011-06-29,SMB,6.9,1309305600,6.9,6.9,6.9
200,2011-07-04,SMB,6.21,1309737600,6.21,6.21,6.21
100,2011-07-05,SMB,5.63,1309824000,5.63,5.63,5.63
200,2011-07-06,SMB,5.09,1309910400,5.09,5.09,5.09
700,2011-07-07,SMB,5.09,1309996800,4.65,4.65,5.09
200,2011-07-08,SMB,5.24,1310083200,4.8,4.8,5.24
200,2011-07-12,SMB,4.99,1310428800,4.99,4.99,4.99
700,2011-07-13,SMB,4.89,1310515200,4.89,4.5,4.5
100,2011-07-14,SMB,5.04,1310601600,5.04,5.04,5.04
2000,2011-07-19,SMB,4.55,1311033600,4.55,4.55,4.55
900,2011-07-20,SMB,4.16,1311120000,4.16,4.16,4.16
1500,2011-07-21,SMB,4.16,1311206400,4.16,3.77,3.77
2200,2011-07-22,SMB,3.77,1311292800,3.77,3.72,3.72
2500,2011-07-26,SMB,3.77,1311638400,3.67,3.67,3.77
1200,2011-07-27,SMB,3.57,1311724800,3.57,3.52,3.57
1900,2011-07-28,SMB,3.67,1311811200,3.67,3.67,3.67
3400,2011-07-29,SMB,3.57,1311897600,3.57,3.52,3.52
