timestamp,symbol,close,low,open,high,volume,date
1162166400,SMC,6.83,6.83,6.83,6.83,37970,2006-10-30
1162252800,SMC,7.17,6.83,6.83,7.17,82710,2006-10-31
1162339200,SMC,7.51,7.51,7.51,7.51,8400,2006-11-01
1162425600,SMC,7.87,7.87,7.87,7.87,123960,2006-11-02
1162512000,SMC,7.68,7.66,7.87,7.87,189180,2006-11-03
1162771200,SMC,7.66,7.66,7.68,7.68,113810,2006-11-06
1162857600,SMC,7.68,7.66,7.68,7.68,70370,2006-11-07
1162944000,SMC,7.7,7.7,7.72,7.72,43900,2006-11-08
1163030400,SMC,7.87,7.79,7.79,7.87,52220,2006-11-09
1163116800,SMC,7.68,7.68,7.89,7.89,42620,2006-11-10
1163376000,SMC,7.68,7.68,7.72,7.72,16810,2006-11-13
1163462400,SMC,7.68,7.68,7.72,7.72,78050,2006-11-14
1163548800,SMC,7.57,7.57,7.68,7.68,24120,2006-11-15
1163635200,SMC,7.49,7.47,7.57,7.57,21360,2006-11-16
1163721600,SMC,7.4,7.4,7.49,7.49,37880,2006-11-17
1163980800,SMC,7.38,7.38,7.42,7.47,19470,2006-11-20
1164067200,SMC,7.15,7.15,7.25,7.25,33080,2006-11-21
1164153600,SMC,6.93,6.93,7.04,7.04,24060,2006-11-22
1164240000,SMC,7.27,7.15,7.15,7.27,31240,2006-11-23
1164326400,SMC,7.64,7.64,7.64,7.64,29870,2006-11-24
1164585600,SMC,8,8,8,8,235520,2006-11-27
1164672000,SMC,8.32,8.02,8.02,8.32,144710,2006-11-28
1164758400,SMC,8.17,8.11,8.32,8.32,80610,2006-11-29
1164844800,SMC,8.21,8.17,8.17,8.21,41150,2006-11-30
1164931200,SMC,8,8,8.21,8.21,35470,2006-12-01
1165190400,SMC,8.11,8.11,8.21,8.21,20550,2006-12-04
1165276800,SMC,8.11,7.79,7.79,8.11,32610,2006-12-05
1165363200,SMC,8.02,8.02,8.04,8.11,22970,2006-12-06
1165449600,SMC,7.79,7.74,7.74,7.79,39240,2006-12-07
1165536000,SMC,7.79,7.79,7.79,7.79,2390,2006-12-08
1165795200,SMC,8.17,7.79,7.79,8.17,96010,2006-12-11
1165881600,SMC,8.17,8.17,8.53,8.53,66080,2006-12-12
1165968000,SMC,8.11,8.11,8.17,8.17,44200,2006-12-13
1166054400,SMC,7.85,7.85,8,8,54590,2006-12-14
