"date","symbol","open","high","low","close","volume","timestamp"
"2017-03-03","SPV","5.19","5.19","5.19","5.19","2700","1488499200"
"2017-03-13","SPV","4.43","4.43","4.43","4.43","5000","1489363200"
"2017-03-14","SPV","5.02","5.02","5.02","5.02","4400","1489449600"
"2017-03-29","SPV","5.77","5.77","5.77","5.77","100","1490745600"
"2017-03-30","SPV","6.61","6.61","6.61","6.61","100","1490832000"
"2017-06-13","SPV","6.28","6.28","6.28","6.28","2500","1497312000"
"2017-06-14","SPV","6.28","6.28","6.28","6.28","6700","1497398400"
"2017-07-03","SPV","7.2","7.2","7.2","7.2","100","1499040000"
"2017-07-18","SPV","6.95","6.95","6.95","6.95","13000","1500336000"
"2017-07-24","SPV","6.95","6.95","6.95","6.95","16000","1500854400"
"2017-07-25","SPV","6.95","6.95","6.95","6.95","13000","1500940800"
"2017-07-27","SPV","6.86","6.86","6.86","6.86","5900","1501113600"
"2017-07-28","SPV","6.69","6.69","6.69","6.69","20000","1501200000"
"2017-08-07","SPV","6.86","6.86","6.69","6.69","25000","1502064000"
"2017-08-08","SPV","6.69","6.69","6.69","6.69","10000","1502150400"
"2017-08-15","SPV","6.86","6.86","6.86","6.86","20000","1502755200"
"2017-08-22","SPV","6.86","6.86","6.86","6.86","9500","1503360000"
"2017-09-06","SPV","6.86","6.86","6.86","6.86","21400","1504656000"
"2017-09-13","SPV","6.86","6.86","6.86","6.86","1000","1505260800"
"2017-09-14","SPV","6.86","6.86","6.86","6.86","2500","1505347200"
"2017-09-15","SPV","6.86","6.86","6.86","6.86","11000","1505433600"
"2017-09-18","SPV","6.86","6.86","6.86","6.86","30400","1505692800"
"2017-09-20","SPV","6.86","6.86","6.86","6.86","15500","1505865600"
"2017-09-21","SPV","6.69","6.69","6.69","6.69","100","1505952000"
"2017-09-22","SPV","6.86","6.86","6.86","6.86","401","1506038400"
"2017-09-25","SPV","6.69","6.95","5.86","5.86","300","1506297600"
"2017-09-27","SPV","7.45","7.45","6.53","7.45","1200","1506470400"
"2017-09-28","SPV","6.28","7.95","6.28","6.28","320","1506556800"
"2017-09-29","SPV","7.45","7.45","6.53","7.45","700","1506643200"
"2017-10-05","SPV","6.53","6.86","6.53","6.86","400","1507161600"
"2017-10-11","SPV","6.86","6.86","6.86","6.86","18500","1507680000"
"2017-10-12","SPV","6.69","6.69","6.69","6.69","100","1507766400"
"2017-10-16","SPV","7.7","7.7","5.86","6.86","20200","1508112000"
"2017-10-17","SPV","6.86","6.86","6.86","6.86","1000","1508198400"
"2017-10-18","SPV","6.86","6.86","6.86","6.86","5180","1508284800"
"2017-10-19","SPV","5.94","6.86","5.94","6.86","10100","1508371200"
"2017-10-20","SPV","5.86","6.86","5.86","6.86","13200","1508457600"
"2017-10-23","SPV","6.86","6.86","6.86","6.86","2000","1508716800"
"2017-10-24","SPV","6.86","6.86","6.86","6.86","14200","1508803200"
"2017-10-25","SPV","5.86","5.86","5.86","5.86","100","1508889600"
"2017-10-26","SPV","6.28","6.28","6.28","6.28","110","1508976000"
"2017-10-30","SPV","6.86","6.86","6.28","6.28","10700","1509321600"
"2017-10-31","SPV","6.28","6.86","6.28","6.86","600","1509408000"
"2017-11-07","SPV","6.86","6.86","6.86","6.86","1000","1510012800"
"2017-11-10","SPV","7.87","7.87","5.86","6.86","12670","1510272000"
"2017-11-15","SPV","6.86","6.86","6.86","6.86","100","1510704000"
"2017-11-20","SPV","6.86","6.86","6.86","6.86","660","1511136000"
"2017-11-23","SPV","6.86","6.86","6.86","6.86","14900","1511395200"
"2017-12-06","SPV","7.87","7.87","7.87","7.87","100","1512518400"
"2017-12-07","SPV","6.69","9.04","6.69","6.86","300","1512604800"
"2017-12-08","SPV","6.44","6.44","6.44","6.44","100","1512691200"
"2017-12-13","SPV","7.36","7.36","7.36","7.36","100","1513123200"
"2017-12-19","SPV","7.28","7.28","6.78","7.28","3200","1513641600"
"2017-12-20","SPV","7.28","7.28","6.86","6.86","26600","1513728000"
"2017-12-21","SPV","7.03","7.03","6.86","6.86","48000","1513814400"
"2017-12-22","SPV","6.86","6.86","6.86","6.86","10000","1513900800"
"2017-12-26","SPV","6.86","6.86","6.86","6.86","30000","1514246400"
"2017-12-27","SPV","6.69","6.69","6.69","6.69","10000","1514332800"
