"date","symbol","open","high","low","close","volume","timestamp"
"2017-06-26","TCW",15.5,17.72,13.29,15.1,139100,1498435200
"2017-06-27","TCW",14.97,14.97,14.84,14.84,32829,1498521600
"2017-06-28","TCW",14.79,14.79,12.89,14.17,30540,1498608000
"2017-06-29","TCW",14.17,14.17,12.76,13.06,24531,1498694400
"2017-06-30","TCW",12.84,12.84,11.96,12.4,33300,1498780800
"2017-07-03","TCW",12.4,12.4,11.96,12.09,35141,1499040000
"2017-07-04","TCW",11.85,12.33,11.38,11.38,30530,1499126400
"2017-07-05","TCW",11.38,11.62,11.09,11.14,26750,1499212800
"2017-07-06","TCW",11.24,12.8,11.24,12.8,25289,1499299200
"2017-07-07","TCW",12.52,12.52,11.9,12.37,5500,1499385600
"2017-07-10","TCW",11.43,11.43,11.43,11.43,3052,1499644800
"2017-07-11","TCW",11.57,12.09,11.57,11.62,21240,1499731200
"2017-07-12","TCW",11.76,12.33,11.62,12.33,12100,1499817600
"2017-07-13","TCW",11.85,12.23,11.85,12.23,10624,1499904000
"2017-07-14","TCW",11.9,12.04,11.85,12.04,11502,1499990400
"2017-07-17","TCW",11.85,11.85,11.38,11.85,10533,1500249600
"2017-07-18","TCW",11.43,11.9,11.38,11.62,9100,1500336000
"2017-07-19","TCW",11.38,11.66,11.38,11.66,3725,1500422400
"2017-07-20","TCW",11.43,11.85,11.38,11.66,23215,1500508800
"2017-07-21","TCW",11.85,11.85,11.38,11.62,19400,1500595200
"2017-07-24","TCW",11.33,11.62,11.28,11.52,36884,1500854400
"2017-07-25","TCW",11.43,11.62,11.43,11.57,12316,1500940800
"2017-07-26","TCW",11.52,11.66,11.52,11.66,14189,1501027200
"2017-07-27","TCW",11.62,11.85,11.47,11.71,21079,1501113600
"2017-07-28","TCW",11.62,11.62,11.52,11.62,10097,1501200000
"2017-07-31","TCW",11.52,11.62,11.38,11.38,6420,1501459200
"2017-08-01","TCW",11.57,11.57,11.28,11.38,16530,1501545600
"2017-08-02","TCW",11.38,11.38,11.33,11.38,4601,1501632000
"2017-08-03","TCW",11.28,11.28,11.14,11.14,13652,1501718400
"2017-08-04","TCW",10.67,11.09,10.67,11.09,14898,1501804800
"2017-08-07","TCW",10.9,10.9,10.48,10.86,6234,1502064000
"2017-08-08","TCW",10.67,10.81,10.43,10.81,15416,1502150400
