"date","symbol","open","high","low","close","volume","timestamp"
"2016-04-05","TDM",8.26,8.26,5.9,5.9,27500,1459814400
"2016-04-08","TDM",8.08,8.08,8.08,8.08,100,1460073600
"2016-04-11","TDM",9.2,9.2,9.14,9.14,400,1460332800
"2016-04-12","TDM",10.5,10.5,10.5,10.5,1100,1460419200
"2016-04-13","TDM",10.62,12.03,10.62,12.03,2500,1460505600
"2016-04-14","TDM",13.27,13.27,13.27,13.27,1500,1460592000
"2016-04-15","TDM",15.21,15.21,15.21,15.21,300,1460678400
"2016-04-19","TDM",17.46,17.46,17.34,17.34,600,1461024000
"2016-04-20","TDM",19.93,19.93,19.93,19.93,100,1461110400
"2016-04-21","TDM",22.88,22.88,20.64,20.64,800,1461196800
"2016-04-22","TDM",23.47,23.47,23.47,23.47,800,1461283200
"2016-04-25","TDM",23.59,23.59,23,23,300,1461542400
"2016-04-28","TDM",19.76,19.76,19.76,19.76,200,1461801600
"2016-05-05","TDM",16.81,16.81,16.81,16.81,400,1462406400
"2016-05-20","TDM",14.33,14.33,14.33,14.33,100,1463702400
"2016-06-01","TDM",12.21,12.21,12.21,12.21,100,1464739200
"2016-06-02","TDM",10.38,10.38,10.38,10.38,200,1464825600
"2016-06-03","TDM",8.85,8.85,8.85,8.85,200,1464912000
"2016-06-06","TDM",7.55,7.55,7.55,7.55,100,1465171200
"2016-06-07","TDM",8.67,8.67,8.67,8.67,100,1465257600
"2016-06-10","TDM",9.97,9.97,9.97,9.97,100,1465516800
"2016-06-16","TDM",11.44,11.44,11.44,11.44,100,1466035200
"2016-06-17","TDM",13.09,13.15,13.09,13.15,200,1466121600
"2016-06-21","TDM",14.45,14.45,14.45,14.45,100,1466467200
"2016-06-24","TDM",15.33,15.33,15.33,15.33,110,1466726400
"2016-07-04","TDM",13.03,13.03,13.03,13.03,100,1467590400
"2016-07-08","TDM",11.26,11.26,11.26,11.26,500,1467936000
"2016-07-14","TDM",11.26,11.26,11.26,11.26,200,1468454400
"2016-08-11","TDM",12.91,12.91,12.91,12.91,200,1470873600
"2016-08-12","TDM",14.8,14.8,14.8,12.91,100,1470960000
"2016-08-17","TDM",16.98,16.98,16.98,16.98,100,1471392000
"2016-08-29","TDM",19.52,19.52,19.52,19.52,162,1472428800
"2016-09-08","TDM",16.63,16.63,16.63,16.63,500,1473292800
"2016-09-09","TDM",14.15,14.15,14.15,14.15,200,1473379200
"2016-09-12","TDM",12.03,12.03,12.03,12.03,1800,1473638400
"2016-09-13","TDM",10.26,10.26,10.26,10.26,400,1473724800
"2016-09-14","TDM",10.26,10.26,10.26,10.26,100,1473811200
"2016-09-16","TDM",10.62,10.62,10.62,10.62,2000,1473984000
"2016-09-20","TDM",10.62,10.62,10.62,10.62,100,1474329600
"2016-09-26","TDM",9.2,9.2,9.2,9.2,100,1474848000
"2016-09-27","TDM",8.85,10.56,8.85,10.56,200,1474934400
"2016-09-28","TDM",10.03,10.03,10.03,10.03,2600,1475020800
"2016-09-29","TDM",10.03,10.03,10.03,10.03,1002,1475107200
"2016-09-30","TDM",10.03,10.62,10.03,10.62,3100,1475193600
"2016-10-03","TDM",11.5,11.5,11.5,11.5,100,1475452800
"2016-10-04","TDM",11.79,11.79,11.79,11.79,100,1475539200
"2016-10-11","TDM",13.56,13.56,12.97,12.97,1100,1476144000
"2016-10-12","TDM",12.97,12.97,12.97,12.97,1000,1476230400
"2016-10-14","TDM",14.92,14.92,14.92,14.92,200,1476403200
"2016-10-20","TDM",14.74,14.74,14.74,14.74,100,1476921600
"2016-10-28","TDM",16.87,16.87,16.87,16.87,100,1477612800
"2016-11-03","TDM",19.34,19.34,19.34,19.34,100,1478131200
"2016-11-14","TDM",20.64,21.52,20.64,21.52,200,1479081600
"2016-11-15","TDM",17.99,17.99,17.99,17.99,200,1479168000
"2016-11-23","TDM",15.33,15.33,15.33,15.33,100,1479859200
"2016-11-24","TDM",13.03,13.03,13.03,13.03,100,1479945600
"2016-11-29","TDM",14.74,14.74,14.74,14.74,200,1480377600
"2016-12-06","TDM",12.56,12.56,12.56,12.56,100,1480982400
"2016-12-07","TDM",11.79,11.79,11.79,11.79,110,1481068800
"2016-12-13","TDM",12.97,12.97,12.97,12.97,100,1481587200
"2016-12-15","TDM",14.15,14.15,14.15,14.15,100,1481760000
"2017-01-10","TDM",14.74,14.74,14.74,14.74,300,1484006400
"2017-02-06","TDM",16.51,16.51,16.51,16.51,100,1486339200
"2017-02-09","TDM",14.04,14.04,14.04,14.04,500,1486598400
"2017-02-14","TDM",11.97,11.97,11.97,11.97,1000,1487030400
"2017-02-15","TDM",11.97,11.97,11.97,11.97,1700,1487116800
"2017-02-16","TDM",13.74,13.74,13.74,13.74,100,1487203200
"2017-02-17","TDM",15.75,15.75,15.75,15.75,110,1487289600
"2017-02-28","TDM",13.56,13.56,13.56,13.56,400,1488240000
"2017-03-02","TDM",11.79,11.79,11.79,11.79,100,1488412800
"2017-03-17","TDM",13.56,13.56,13.56,13.56,100,1489708800
"2017-03-24","TDM",13.27,13.27,13.27,13.27,1300,1490313600
"2017-04-07","TDM",15.21,15.21,15.21,15.21,100,1491523200
"2017-04-13","TDM",15.33,15.33,15.33,15.33,100,1492041600
"2017-05-11","TDM",14.74,14.74,14.74,14.74,5000,1494460800
"2017-05-12","TDM",14.15,14.15,14.15,14.15,500,1494547200
"2017-05-16","TDM",12.03,12.03,12.03,12.03,100,1494892800
"2017-05-19","TDM",10.62,10.62,10.62,10.62,100,1495152000
"2017-05-22","TDM",11.79,11.79,11.79,11.79,100,1495411200
"2017-05-26","TDM",11.79,11.79,11.79,11.79,10000,1495756800
"2017-05-30","TDM",13.56,13.56,13.56,13.56,100,1496102400
"2017-06-14","TDM",14.15,14.15,14.15,14.15,200,1497398400
"2017-06-16","TDM",14.15,14.15,14.15,14.15,100,1497571200
"2017-06-19","TDM",14.15,15.92,14.15,15.92,600,1497830400
"2017-06-23","TDM",17.41,17.41,17.41,17.41,100,1498176000
"2017-06-28","TDM",18.69,18.69,18.69,18.69,100,1498608000
"2017-07-04","TDM",16.14,16.14,16.14,16.14,100,1499126400
"2017-07-17","TDM",13.76,13.76,13.76,13.76,1000,1500249600
"2017-07-20","TDM",15.8,15.8,15.8,15.8,1600,1500508800
"2017-07-21","TDM",18.01,18.09,18.01,18.09,300,1500595200
"2017-07-24","TDM",20.73,20.73,20.64,20.73,800,1500854400
"2017-07-25","TDM",23.79,23.79,20.73,22.94,400,1500940800
"2017-07-26","TDM",23.79,26.16,23.79,26.16,500,1501027200
"2017-07-27","TDM",28.71,28.71,28.71,28.71,100,1501113600
"2017-07-28","TDM",28.8,28.8,28.8,28.8,100,1501200000
"2017-08-01","TDM",27.95,27.95,24.55,24.55,500,1501545600
"2017-08-02","TDM",23.19,23.19,23.19,23.19,600,1501632000
"2017-08-03","TDM",19.79,19.79,19.79,19.79,100,1501718400
"2017-08-04","TDM",16.91,20.73,16.91,20.73,500,1501804800
"2017-08-07","TDM",18.69,18.69,18.69,18.69,200,1502064000
"2017-08-11","TDM",21.41,21.41,21.41,21.41,100,1502409600
"2017-08-15","TDM",18.27,18.27,18.27,18.27,1110,1502755200
"2017-08-16","TDM",20.9,20.9,20.9,20.9,100,1502841600
"2017-08-21","TDM",17.84,17.84,17.84,17.84,1307,1503273600
"2017-08-30","TDM",15.29,15.29,15.29,15.29,200,1504051200
"2017-09-06","TDM",16.99,16.99,16.99,16.99,400,1504656000
"2017-09-07","TDM",16.99,16.99,16.99,16.99,1000,1504742400
"2017-09-11","TDM",16.14,16.14,16.14,16.14,3000,1505088000
"2017-09-12","TDM",16.14,16.57,16.14,16.57,1100,1505174400
"2017-09-13","TDM",16.99,17.41,16.99,17.41,1100,1505260800
"2017-09-14","TDM",17.84,17.84,17.84,17.84,8700,1505347200
"2017-09-15","TDM",17.84,17.84,17.84,17.84,5300,1505433600
"2017-09-19","TDM",16.99,16.99,16.99,16.99,100,1505779200
"2017-09-20","TDM",16.57,16.57,16.57,16.57,100,1505865600
"2017-09-21","TDM",16.65,16.65,16.65,16.65,700,1505952000
"2017-09-22","TDM",16.99,16.99,16.99,16.99,100,1506038400
"2017-09-28","TDM",16.99,16.99,16.99,16.99,200,1506556800
"2017-10-03","TDM",16.14,16.14,16.14,16.14,2300,1506988800
"2017-10-04","TDM",16.14,16.99,16.14,16.99,1000,1507075200
"2017-10-06","TDM",16.91,16.91,16.91,16.91,500,1507248000
"2017-10-18","TDM",14.44,14.44,14.44,14.44,2000,1508284800
"2017-10-20","TDM",16.57,16.57,16.57,16.57,100,1508457600
"2017-10-23","TDM",16.99,16.99,16.99,16.99,100,1508716800
"2017-10-27","TDM",16.14,16.14,16.14,16.14,200,1509062400
"2017-11-01","TDM",15.29,15.29,15.29,15.29,2700,1509494400
"2017-11-03","TDM",15.29,15.29,15.29,15.29,500,1509667200
"2017-11-06","TDM",14.36,14.36,14.36,14.36,1100,1509926400
"2017-11-07","TDM",14.36,14.36,14.36,14.36,100,1510012800
"2017-11-08","TDM",14.36,14.36,14.36,14.36,100,1510099200
"2017-11-09","TDM",14.36,14.36,14.36,14.36,100,1510185600
"2017-11-13","TDM",14.44,14.44,14.36,14.36,3000,1510531200
"2017-11-14","TDM",14.02,14.02,14.02,14.02,100,1510617600
"2017-11-16","TDM",14.36,14.36,14.02,14.02,4200,1510790400
