"date","symbol","open","high","low","close","volume","timestamp"
"2016-06-06","TIP",8.64,10.36,8.64,10.25,65660,1465171200
"2016-06-07","TIP",10.31,10.31,9.67,10.13,13030,1465257600
"2016-06-09","TIP",9.44,9.5,9.44,9.44,10020,1465430400
"2016-06-10","TIP",9.27,9.5,8.81,8.87,15970,1465516800
"2016-06-13","TIP",8.87,8.87,8.52,8.52,7220,1465776000
"2016-06-14","TIP",8.41,9.1,8.41,9.1,6170,1465862400
"2016-06-15","TIP",9.44,9.44,9.1,9.1,13040,1465948800
"2016-06-16","TIP",9.21,9.21,8.93,8.93,11930,1466035200
"2016-06-17","TIP",8.87,8.93,8.7,8.7,1970,1466121600
"2016-06-20","TIP",8.87,8.98,8.87,8.93,24920,1466380800
"2016-06-21","TIP",8.7,9.15,8.7,9.15,9860,1466467200
"2016-06-22","TIP",8.87,9.15,8.87,9.15,400,1466553600
"2016-06-23","TIP",8.87,8.93,8.87,8.93,5900,1466640000
"2016-06-24","TIP",8.64,8.75,8.64,8.75,9060,1466726400
"2016-06-27","TIP",8.41,8.75,8.41,8.41,16490,1466985600
"2016-06-28","TIP",8.98,8.98,8.93,8.93,160,1467072000
"2016-06-30","TIP",8.64,8.75,8.64,8.75,44600,1467244800
"2016-07-01","TIP",8.81,8.87,8.81,8.81,12480,1467331200
"2016-07-04","TIP",8.64,8.93,8.64,8.93,13450,1467590400
"2016-07-05","TIP",8.93,8.93,8.81,8.81,2760,1467676800
"2016-07-06","TIP",8.81,8.81,8.7,8.7,2370,1467763200
"2016-07-07","TIP",8.81,8.93,8.81,8.93,11000,1467849600
"2016-07-08","TIP",8.7,9.1,8.7,9.04,17310,1467936000
"2016-07-11","TIP",9.04,9.04,9.04,9.04,16880,1468195200
"2016-07-12","TIP",9.04,9.04,9.04,9.04,2590,1468281600
"2016-07-13","TIP",8.7,9.04,8.7,9.04,10190,1468368000
"2016-07-14","TIP",9.04,9.04,9.04,9.04,12000,1468454400
"2016-07-15","TIP",8.75,8.81,8.75,8.81,2300,1468540800
"2016-07-18","TIP",8.75,8.87,8.75,8.87,3300,1468800000
"2016-07-19","TIP",8.93,8.98,8.93,8.98,1300,1468886400
"2016-07-20","TIP",8.98,9.1,8.98,9.1,3110,1468972800
"2016-07-21","TIP",8.93,9.04,8.93,9.04,28100,1469059200
"2016-07-22","TIP",9.04,9.1,8.98,9.1,5130,1469145600
"2016-07-25","TIP",9.1,9.1,9.04,9.04,4600,1469404800
"2016-07-26","TIP",9.04,9.62,9.04,9.62,15710,1469491200
"2016-07-27","TIP",10.25,10.25,10.08,10.25,60980,1469577600
"2016-07-28","TIP",10.31,10.88,10.31,10.88,34290,1469664000
"2016-07-29","TIP",10.88,10.94,10.65,10.65,33690,1469750400
"2016-08-01","TIP",10.6,10.65,10.08,10.65,10740,1470009600
"2016-08-02","TIP",10.65,10.65,10.08,10.6,31180,1470096000
"2016-08-03","TIP",10.08,10.54,10.08,10.54,33590,1470182400
"2016-08-04","TIP",10.65,10.65,10.25,10.25,14430,1470268800
"2016-08-05","TIP",10.08,10.82,10.08,10.25,17820,1470355200
"2016-08-08","TIP",10.36,10.36,10.25,10.25,12600,1470614400
"2016-08-09","TIP",10.36,10.54,10.25,10.54,10950,1470700800
"2016-08-10","TIP",10.65,10.65,10.36,10.54,31780,1470787200
"2016-08-11","TIP",10.54,10.94,10.54,10.65,5420,1470873600
"2016-08-12","TIP",10.65,10.65,10.65,10.65,19650,1470960000
"2016-08-15","TIP",10.65,10.65,10.65,10.65,1500,1471219200
"2016-08-16","TIP",10.65,10.65,10.48,10.48,10030,1471305600
"2016-08-17","TIP",10.25,10.65,10.25,10.36,9540,1471392000
"2016-08-18","TIP",10.36,10.36,10.31,10.31,14880,1471478400
"2016-08-19","TIP",10.25,10.65,10.25,10.25,6910,1471564800
"2016-08-22","TIP",10.42,10.42,10.25,10.31,23010,1471824000
"2016-08-23","TIP",10.31,10.36,10.31,10.31,26080,1471910400
"2016-08-24","TIP",10.31,10.36,10.31,10.31,15330,1471996800
"2016-08-25","TIP",10.31,10.48,10.31,10.36,19830,1472083200
"2016-08-26","TIP",10.36,10.36,10.36,10.36,4500,1472169600
"2016-08-29","TIP",10.36,10.6,10.36,10.48,14360,1472428800
"2016-08-30","TIP",10.48,10.48,10.36,10.42,4650,1472515200
"2016-08-31","TIP",10.65,10.65,10.48,10.65,16910,1472601600
"2016-09-01","TIP",10.48,10.65,10.48,10.65,22420,1472688000
"2016-09-05","TIP",10.42,11.17,10.42,11.17,13210,1473033600
"2016-09-06","TIP",10.94,10.94,10.71,10.88,7000,1473120000
"2016-09-07","TIP",10.77,10.82,10.77,10.82,3360,1473206400
"2016-09-08","TIP",10.65,11.11,10.25,10.48,17720,1473292800
"2016-09-09","TIP",10.54,10.65,10.54,10.65,9500,1473379200
"2016-09-12","TIP",10.42,10.48,10.42,10.48,6770,1473638400
"2016-09-13","TIP",10.88,10.88,10.88,10.88,10,1473724800
"2016-09-14","TIP",10.88,10.88,10.42,10.88,220,1473811200
"2016-09-15","TIP",10.48,10.65,10.48,10.48,12000,1473897600
"2016-09-16","TIP",10.48,11.2,10.48,10.77,2410,1473984000
"2016-09-19","TIP",10.51,10.71,10.51,10.65,6270,1474243200
"2016-09-20","TIP",10.54,10.71,10.42,10.42,7100,1474329600
"2016-09-21","TIP",10.48,10.48,10.36,10.42,28290,1474416000
"2016-09-22","TIP",10.42,10.48,9.79,10.48,21110,1474502400
"2016-09-23","TIP",10.51,10.51,10.51,10.51,9500,1474588800
"2016-09-26","TIP",10.51,10.51,10.51,10.51,5000,1474848000
"2016-09-27","TIP",10.51,10.51,10.31,10.48,6510,1474934400
"2016-09-28","TIP",10.48,10.48,10.22,10.48,24830,1475020800
"2016-09-29","TIP",10.48,10.48,10.22,10.42,19550,1475107200
"2016-09-30","TIP",10.19,10.42,10.19,10.42,9920,1475193600
"2016-10-03","TIP",10.25,10.25,10.08,10.25,15510,1475452800
"2016-10-04","TIP",10.25,10.25,10.08,10.25,25110,1475539200
"2016-10-05","TIP",10.25,10.36,10.13,10.31,3210,1475625600
"2016-10-06","TIP",10.25,10.25,10.19,10.25,12400,1475712000
"2016-10-07","TIP",10.13,10.25,9.9,9.9,12560,1475798400
"2016-10-10","TIP",10.08,10.36,10.02,10.36,3460,1476057600
"2016-10-11","TIP",10.36,10.36,9.79,10.22,2560,1476144000
"2016-10-12","TIP",10.22,10.22,9.9,10.08,570,1476230400
"2016-10-13","TIP",9.9,10.08,9.79,10.08,2910,1476316800
"2016-10-14","TIP",9.93,10.31,9.93,10.08,47210,1476403200
"2016-10-17","TIP",10.36,10.77,10.36,10.77,94430,1476662400
"2016-10-18","TIP",10.77,10.77,10.71,10.71,15120,1476748800
"2016-10-19","TIP",10.71,10.71,10.36,10.42,22710,1476835200
"2016-10-20","TIP",10.71,10.71,10.48,10.6,12830,1476921600
"2016-10-21","TIP",10.54,10.54,10.42,10.48,23270,1477008000
"2016-10-24","TIP",10.48,10.48,10.48,10.48,25320,1477267200
"2016-10-25","TIP",10.48,10.6,10.48,10.6,25050,1477353600
"2016-10-26","TIP",11.11,11.11,10.54,10.6,1930,1477440000
"2016-10-27","TIP",10.6,10.62,10.51,10.62,11600,1477526400
"2016-10-28","TIP",10.6,10.65,10.57,10.65,19000,1477612800
"2016-10-31","TIP",10.88,10.88,10.65,10.65,5020,1477872000
"2016-11-01","TIP",10.65,10.65,10.48,10.54,57800,1477958400
"2016-11-02","TIP",10.54,10.6,10.54,10.6,15920,1478044800
"2016-11-03","TIP",10.54,10.54,10.42,10.42,32000,1478131200
"2016-11-04","TIP",10.6,10.6,10.45,10.6,10230,1478217600
"2016-11-07","TIP",10.71,10.71,10.42,10.48,45480,1478476800
"2016-11-08","TIP",10.42,10.6,10.42,10.6,4610,1478563200
"2016-11-09","TIP",10.54,10.54,10.42,10.54,19890,1478649600
"2016-11-10","TIP",10.65,10.65,10.36,10.54,44150,1478736000
"2016-11-11","TIP",10.54,11.26,10.54,11.26,182150,1478822400
"2016-11-14","TIP",11.89,11.89,10.88,11.29,29120,1479081600
"2016-11-15","TIP",11.4,11.4,10.94,11.29,45190,1479168000
"2016-11-16","TIP",11.17,11.29,10.71,11.05,83090,1479254400
"2016-11-17","TIP",11,11.05,10.88,11.05,15760,1479340800
"2016-11-18","TIP",11.05,11.52,11.05,11.34,110450,1479427200
"2016-11-21","TIP",11.34,11.34,11.05,11.05,69320,1479686400
"2016-11-22","TIP",11.05,11.29,11.05,11.23,32270,1479772800
"2016-11-23","TIP",11.29,11.29,11.05,11.11,40840,1479859200
"2016-11-24","TIP",11.23,11.26,11.05,11.17,19120,1479945600
"2016-11-25","TIP",11.11,11.11,11.03,11.05,32000,1480032000
"2016-11-28","TIP",11.11,11.11,10.94,10.97,42620,1480291200
"2016-11-29","TIP",11,11,10.82,10.82,15500,1480377600
"2016-11-30","TIP",10.82,10.88,10.77,10.82,15780,1480464000
"2016-12-01","TIP",10.88,10.88,10.77,10.88,4610,1480550400
"2016-12-02","TIP",10.82,11,10.71,10.94,10610,1480636800
"2016-12-05","TIP",10.94,10.94,10.71,10.88,6510,1480896000
"2016-12-06","TIP",10.82,10.91,10.54,10.82,9970,1480982400
"2016-12-07","TIP",10.94,10.94,10.62,10.77,7260,1481068800
"2016-12-08","TIP",10.65,10.94,10.6,10.94,10990,1481155200
"2016-12-09","TIP",10.88,10.88,10.71,10.88,3350,1481241600
"2016-12-12","TIP",10.65,10.74,10.54,10.62,10210,1481500800
"2016-12-13","TIP",10.65,10.65,10.48,10.54,4630,1481587200
"2016-12-14","TIP",10.54,10.54,10.19,10.36,20230,1481673600
"2016-12-15","TIP",10.48,10.48,10.36,10.36,8070,1481760000
"2016-12-16","TIP",10.36,10.65,10.36,10.36,30310,1481846400
"2016-12-19","TIP",10.42,10.65,10.42,10.65,18790,1482105600
"2016-12-20","TIP",10.71,10.71,10.54,10.54,35690,1482192000
"2016-12-21","TIP",10.72,10.81,10.66,10.66,4460,1482278400
"2016-12-22","TIP",10.72,10.72,10.35,10.35,950,1482364800
"2016-12-23","TIP",10.35,10.57,10.11,10.35,19170,1482451200
"2016-12-26","TIP",10.23,10.23,10.2,10.2,1510,1482710400
"2016-12-27","TIP",10.17,10.17,10.02,10.11,21170,1482796800
"2016-12-28","TIP",9.99,10.23,9.93,10.23,18370,1482883200
"2016-12-29","TIP",10.29,10.35,9.93,10.35,8610,1482969600
"2016-12-30","TIP",10.23,10.6,10.23,10.6,460,1483056000
"2017-01-05","TIP",10.54,10.57,10.41,10.57,3140,1483574400
"2017-01-06","TIP",10.54,10.54,10.29,10.35,4410,1483660800
"2017-01-09","TIP",10.35,10.35,10.35,10.35,20,1483920000
"2017-01-10","TIP",10.29,10.29,10.23,10.29,2680,1484006400
"2017-01-11","TIP",10.29,10.29,10.23,10.29,5870,1484092800
"2017-01-12","TIP",10.11,10.2,9.93,9.93,22930,1484179200
"2017-01-13","TIP",9.87,10.29,9.87,10.11,13670,1484265600
"2017-01-16","TIP",10.35,10.81,10.35,10.72,77380,1484524800
"2017-01-17","TIP",10.72,10.87,10.57,10.72,11070,1484611200
"2017-01-18","TIP",10.66,10.66,10.11,10.45,5430,1484697600
"2017-01-19","TIP",10.29,10.29,10.11,10.11,5030,1484784000
"2017-01-20","TIP",10.29,10.54,10.29,10.29,1470,1484870400
"2017-01-24","TIP",10.11,10.6,10.11,10.29,3370,1485216000
"2017-01-25","TIP",10.41,10.41,10.35,10.35,200,1485302400
"2017-02-02","TIP",10.35,10.54,10.35,10.54,330,1485993600
"2017-02-03","TIP",10.38,10.41,10.11,10.35,11610,1486080000
"2017-02-06","TIP",10.45,10.54,10.05,10.35,22610,1486339200
"2017-02-07","TIP",10.23,10.23,10.11,10.11,15570,1486425600
"2017-02-08","TIP",10.14,10.35,10.11,10.35,910,1486512000
"2017-02-09","TIP",10.35,10.54,10.23,10.23,3270,1486598400
"2017-02-10","TIP",10.23,10.35,10.23,10.35,23280,1486684800
"2017-02-13","TIP",10.41,10.41,10.23,10.23,6020,1486944000
"2017-02-14","TIP",10.23,10.29,10.17,10.23,10530,1487030400
"2017-02-15","TIP",10.11,10.29,10.05,10.29,6010,1487116800
"2017-02-16","TIP",10.17,10.23,10.11,10.14,13790,1487203200
"2017-02-17","TIP",10.11,10.23,10.08,10.23,3340,1487289600
"2017-02-20","TIP",10.23,10.23,10.05,10.08,20630,1487548800
"2017-02-21","TIP",10.05,10.17,10.05,10.11,16560,1487635200
"2017-02-22","TIP",10.11,10.23,10.08,10.11,9790,1487721600
