volume,date,symbol,high,timestamp,open,low,close
56500,2007-12-17,TJC,24.12,1197849600,24.12,17.03,17.74
33000,2007-12-18,TJC,17.74,1197936000,17.74,16.39,16.39
23300,2007-12-19,TJC,18.06,1198022400,16.32,15.61,18.02
4500,2007-12-20,TJC,17.42,1198108800,17.42,16.32,17.03
13400,2007-12-21,TJC,16.85,1198195200,15.96,15.96,16.04
10700,2007-12-24,TJC,16.67,1198454400,16.67,16.32,16.32
1900,2007-12-25,TJC,17.35,1198540800,16.32,16.32,16.5
5100,2007-12-26,TJC,16.99,1198627200,16.99,16.43,16.43
100,2007-12-27,TJC,16.18,1198713600,16.18,16.18,16.18
8800,2007-12-28,TJC,16.28,1198800000,16.14,15.64,15.64
11000,2008-01-02,TJC,14.9,1199232000,14.54,14.51,14.9
6300,2008-01-03,TJC,15.43,1199318400,13.13,13.13,14.01
17900,2008-01-04,TJC,15.22,1199404800,13.48,13.2,13.55
7800,2008-01-07,TJC,13.3,1199664000,13.3,13.13,13.3
5900,2008-01-08,TJC,14.47,1199750400,14.37,13.16,13.48
11500,2008-01-09,TJC,13.66,1199836800,13.66,13.13,13.13
5400,2008-01-10,TJC,13.48,1199923200,13.13,12.84,13.23
4800,2008-01-11,TJC,14.19,1200009600,13.66,12.95,13.13
2200,2008-01-14,TJC,13.13,1200268800,13.13,12.42,12.42
7600,2008-01-15,TJC,12.06,1200355200,12.06,11.25,11.25
32700,2008-01-16,TJC,12.49,1200441600,12.45,12.06,12.49
9500,2008-01-17,TJC,12.45,1200528000,12.42,11.81,12.24
3900,2008-01-18,TJC,12.24,1200614400,11.35,11,11.35
8500,2008-01-21,TJC,11.99,1200873600,11.99,11.35,11.35
7000,2008-01-22,TJC,11.71,1200960000,11.53,11.18,11.35
12100,2008-01-23,TJC,11.42,1201046400,11.42,11.25,11.35
4100,2008-01-24,TJC,11.32,1201132800,10.75,10.75,11.21
8700,2008-01-25,TJC,11.35,1201219200,11.35,10.82,11.28
1000,2008-01-28,TJC,11.53,1201478400,11.18,10.89,11.53
2200,2008-01-29,TJC,12.06,1201564800,11.35,11.35,12.06
6200,2008-01-30,TJC,12.77,1201651200,12.77,12.77,12.77
2000,2008-01-31,TJC,12.77,1201737600,12.77,12.77,12.77
16100,2008-02-01,TJC,13.48,1201824000,13.3,12.77,13.3
38000,2008-02-12,TJC,14.3,1202774400,13.48,13.48,14.19
62900,2008-02-13,TJC,15.47,1202860800,15.33,14.23,15.47
32700,2008-02-14,TJC,16.64,1202947200,16.25,14.19,14.9
27600,2008-02-15,TJC,14.9,1203033600,14.76,14.26,14.54
14300,2008-02-18,TJC,13.37,1203292800,13.13,12.98,13.37
16700,2008-02-19,TJC,13.52,1203379200,13.13,12.98,13.16
26500,2008-02-20,TJC,12.81,1203465600,12.81,12.06,12.06
25400,2008-02-21,TJC,11.74,1203552000,11.74,11.07,11.07
6900,2008-02-22,TJC,11.71,1203638400,10.64,10.18,11.32
8600,2008-02-25,TJC,11.88,1203897600,11.53,11.53,11.88
15600,2008-02-26,TJC,12.98,1203984000,12.42,11,11.35
12800,2008-02-27,TJC,12.38,1204070400,10.79,10.64,11.53
8000,2008-02-28,TJC,11.53,1204156800,11.39,11.18,11.35
8200,2008-02-29,TJC,11.07,1204243200,11,10.82,11.07
19500,2008-03-03,TJC,10.93,1204502400,10.68,10.64,10.75
27100,2008-03-04,TJC,10.68,1204588800,10.64,9.72,9.72
13800,2008-03-05,TJC,9.58,1204675200,9.05,8.94,9.22
300,2008-03-06,TJC,9.93,1204761600,9.93,9.93,9.93
10400,2008-03-07,TJC,10.93,1204848000,10.93,10.93,10.93
12400,2008-03-10,TJC,11.99,1205107200,11.88,10.29,10.68
7900,2008-03-11,TJC,10.5,1205193600,10.46,10.43,10.43
10600,2008-03-12,TJC,11.35,1205280000,10.11,10.11,10.64
2200,2008-03-13,TJC,10.29,1205366400,9.93,9.93,10.29
2800,2008-03-14,TJC,10.29,1205452800,10.29,10.11,10.11
4000,2008-03-17,TJC,10.11,1205712000,9.93,9.58,9.61
8500,2008-03-18,TJC,9.4,1205798400,9.4,8.76,9.22
4900,2008-03-19,TJC,9.58,1205884800,9.58,8.69,9.05
4900,2008-03-20,TJC,9.05,1205971200,8.69,8.69,9.05
9300,2008-03-21,TJC,8.69,1206057600,8.16,8.16,8.69
7800,2008-03-24,TJC,8.51,1206316800,8.51,7.73,7.8
8200,2008-03-25,TJC,7.98,1206403200,7.98,7.13,7.17
13200,2008-03-26,TJC,7.98,1206489600,7.09,6.74,7.95
100,2008-03-27,TJC,7.34,1206576000,7.34,7.34,7.34
100,2008-03-28,TJC,7.49,1206662400,7.49,7.49,7.49
1000,2008-03-31,TJC,7.63,1206921600,7.63,7.63,7.63
100,2008-04-01,TJC,7.77,1207008000,7.77,7.77,7.77
100,2008-04-02,TJC,7.91,1207094400,7.91,7.91,7.91
500,2008-04-03,TJC,8.05,1207180800,8.05,8.05,8.05
100,2008-04-04,TJC,8.2,1207267200,8.2,8.2,8.2
200,2008-04-07,TJC,8.41,1207526400,8.41,8.41,8.41
11600,2008-04-08,TJC,8.66,1207612800,8.66,8.16,8.51
3600,2008-04-09,TJC,8.69,1207699200,8.34,8.2,8.2
2400,2008-04-10,TJC,8.05,1207785600,8.05,8.05,8.05
3600,2008-04-11,TJC,7.84,1207872000,7.84,7.84,7.84
2400,2008-04-16,TJC,7.45,1208304000,7.45,7.34,7.34
2000,2008-04-17,TJC,7.59,1208390400,7.17,7.17,7.59
1000,2008-04-18,TJC,7.52,1208476800,7.52,7.52,7.52
1500,2008-04-21,TJC,7.59,1208736000,7.59,7.45,7.45
1600,2008-04-22,TJC,7.56,1208822400,7.45,7.45,7.56
