close,date,high,low,open,symbol,timestamp,volume
11.87,2015-07-23,11.87,8.9,11.36,TOP,1437609600,31100
12.72,2015-07-24,12.72,11.87,11.87,TOP,1437696000,35400
14.59,2015-07-27,14.59,12.72,12.72,TOP,1437955200,24400
12.04,2015-07-28,15.26,12.04,15.26,TOP,1438041600,1700
10.85,2015-07-29,10.85,10.85,10.85,TOP,1438128000,100
9.24,2015-07-30,9.24,9.24,9.24,TOP,1438214400,200
7.89,2015-07-31,7.89,7.89,7.89,TOP,1438300800,5600
6.78,2015-08-03,6.78,6.78,6.78,TOP,1438560000,8000
5.77,2015-08-04,5.77,5.77,5.77,TOP,1438646400,1100
4.92,2015-08-05,4.92,4.92,4.92,TOP,1438732800,100
4.24,2015-08-06,4.24,4.24,4.24,TOP,1438819200,1100
3.65,2015-08-07,3.65,3.65,3.65,TOP,1438905600,101400
3.14,2015-08-10,3.14,3.14,3.14,TOP,1439164800,37400
2.71,2015-08-11,2.71,2.71,2.71,TOP,1439251200,27200
2.37,2015-08-12,2.37,2.37,2.37,TOP,1439337600,1500
2.04,2015-08-13,2.04,2.04,2.04,TOP,1439424000,10900
2.29,2015-08-14,2.29,2.29,2.29,TOP,1439510400,10400
2.63,2015-08-17,2.63,2.63,2.63,TOP,1439769600,20400
2.97,2015-08-18,2.97,2.97,2.97,TOP,1439856000,71300
3.39,2015-08-19,3.39,3.31,3.39,TOP,1439942400,121400
3.82,2015-08-20,3.9,3.65,3.9,TOP,1440028800,146700
3.39,2015-08-21,3.99,3.39,3.9,TOP,1440115200,120500
2.88,2015-08-24,3.56,2.88,3.56,TOP,1440374400,12300
3.39,2015-08-25,3.39,2.54,2.54,TOP,1440460800,195100
3.56,2015-08-26,3.56,3.39,3.39,TOP,1440547200,191100
3.39,2015-08-27,3.82,3.39,3.82,TOP,1440633600,34300
3.56,2015-08-28,3.73,3.05,3.39,TOP,1440720000,185500
3.65,2015-08-31,3.82,3.48,3.48,TOP,1440979200,104600
3.22,2015-09-01,3.73,3.22,3.73,TOP,1441065600,42700
2.97,2015-09-03,3.65,2.97,2.97,TOP,1441238400,360300
2.63,2015-09-04,3.31,2.63,3.31,TOP,1441324800,354500
2.88,2015-09-07,2.97,2.71,2.71,TOP,1441584000,149300
2.46,2015-09-08,2.97,2.46,2.88,TOP,1441670400,372100
2.63,2015-09-09,2.71,2.37,2.63,TOP,1441756800,119500
2.46,2015-09-10,2.63,2.46,2.63,TOP,1441843200,91400
2.37,2015-09-11,2.54,2.37,2.46,TOP,1441929600,175000
2.29,2015-09-14,2.54,2.29,2.46,TOP,1442188800,102200
2.46,2015-09-15,2.46,2.29,2.46,TOP,1442275200,73700
2.04,2015-09-16,2.29,2.04,2.29,TOP,1442361600,450000
