open,close,volume,symbol,timestamp,low,date,high
1.08,1.49,84300,TV2,1255392000,1.08,2009-10-13,1.58
1.6,1.44,47300,TV2,1255478400,1.39,2009-10-14,1.6
1.42,1.4,41800,TV2,1255564800,1.38,2009-10-15,1.44
1.37,1.31,47500,TV2,1255651200,1.31,2009-10-16,1.37
1.27,1.25,34400,TV2,1255910400,1.25,2009-10-19,1.3
1.22,1.34,78200,TV2,1255996800,1.19,2009-10-20,1.34
1.4,1.4,29800,TV2,1256083200,1.4,2009-10-21,1.4
1.4,1.4,27100,TV2,1256169600,1.4,2009-10-22,1.48
1.4,1.33,34600,TV2,1256256000,1.33,2009-10-23,1.44
1.33,1.26,25700,TV2,1256515200,1.25,2009-10-26,1.33
1.28,1.27,10800,TV2,1256601600,1.23,2009-10-27,1.28
1.2,1.3,31400,TV2,1256688000,1.18,2009-10-28,1.3
1.26,1.26,7300,TV2,1256774400,1.23,2009-10-29,1.26
1.31,1.28,2000,TV2,1256860800,1.28,2009-10-30,1.31
1.28,1.21,23900,TV2,1257120000,1.2,2009-11-02,1.28
1.21,1.15,15000,TV2,1257206400,1.15,2009-11-03,1.22
1.15,1.13,12400,TV2,1257292800,1.08,2009-11-04,1.21
1.17,1.2,7400,TV2,1257379200,1.17,2009-11-05,1.2
1.27,1.2,8300,TV2,1257465600,1.2,2009-11-06,1.27
1.17,1.13,3700,TV2,1257724800,1.13,2009-11-09,1.17
1.13,1.09,11700,TV2,1257811200,1.08,2009-11-10,1.13
1.08,1.13,5900,TV2,1257897600,1.08,2009-11-11,1.13
1.13,1.13,3900,TV2,1257984000,1.13,2009-11-12,1.13
1.14,1.13,2100,TV2,1258070400,1.12,2009-11-13,1.14
1.17,1.13,8800,TV2,1258329600,1.13,2009-11-16,1.17
1.09,1.09,3000,TV2,1258416000,1.09,2009-11-17,1.09
1.09,1.09,3200,TV2,1258502400,1.09,2009-11-18,1.09
1.13,1.15,8200,TV2,1258588800,1.13,2009-11-19,1.16
1.15,1.13,9000,TV2,1258675200,1.13,2009-11-20,1.15
1.1,1.16,3400,TV2,1258934400,1.1,2009-11-23,1.16
1.15,1.15,2000,TV2,1259020800,1.13,2009-11-24,1.15
1.09,1.07,11400,TV2,1259107200,1.07,2009-11-25,1.09
1.01,1.01,7400,TV2,1259193600,1.01,2009-11-26,1.01
1.03,1.04,8000,TV2,1259280000,1.03,2009-11-27,1.04
1.07,1.07,600,TV2,1259539200,1.07,2009-11-30,1.07
1.13,1.14,6700,TV2,1259625600,1.13,2009-12-01,1.14
1.18,1.18,100,TV2,1259712000,1.18,2009-12-02,1.18
1.1,1.1,700,TV2,1259798400,1.1,2009-12-03,1.1
1.09,1.08,2200,TV2,1259884800,1.08,2009-12-04,1.15
1.04,1.04,2000,TV2,1260316800,1.04,2009-12-09,1.04
0.96,0.96,4900,TV2,1260403200,0.96,2009-12-10,0.97
0.9,0.9,200,TV2,1260489600,0.9,2009-12-11,0.9
0.89,0.89,1800,TV2,1260748800,0.89,2009-12-14,0.89
0.95,0.95,100,TV2,1261008000,0.95,2009-12-17,0.95
0.94,0.94,600,TV2,1261094400,0.94,2009-12-18,0.94
