volume,date,symbol,high,timestamp,open,low,close
2000,2015-10-07,UEM,6.8,1444176000,6.8,6.8,6.8
100,2015-10-19,UEM,5.99,1445212800,5.99,5.99,5.99
100,2015-10-22,UEM,5.44,1445472000,5.44,5.44,5.44
10000,2015-11-25,UEM,4.79,1448409600,4.79,4.79,4.79
1000,2015-12-14,UEM,5.44,1450051200,5.44,5.44,5.44
100,2016-02-03,UEM,5.44,1454457600,5.44,5.44,5.44
100,2016-03-23,UEM,7.62,1458691200,7.62,7.62,7.62
100,2016-04-26,UEM,6.48,1461628800,6.48,6.48,6.48
200,2016-04-29,UEM,7.4,1461888000,7.4,5.55,5.55
100,2016-05-05,UEM,7.4,1462406400,7.4,7.4,7.4
200,2016-05-06,UEM,8.49,1462492800,6.32,6.32,8.49
100,2016-05-18,UEM,6.32,1463529600,6.32,6.32,6.32
1000,2016-05-24,UEM,6.32,1464048000,6.32,6.32,6.32
100,2016-07-08,UEM,5.66,1467936000,5.66,5.66,5.66
8800,2016-07-20,UEM,5.66,1468972800,4.83,4.83,4.83
100,2016-10-14,UEM,5.06,1476403200,5.06,5.06,5.06
100,2016-10-17,UEM,5.66,1476662400,5.66,5.66,5.66
400,2016-10-18,UEM,5.66,1476748800,5.66,5.66,5.66
100,2016-12-02,UEM,5.66,1480636800,5.66,5.66,5.66
18600,2017-04-11,UEM,5.36,1491868800,5.36,5.06,5.06
277,2017-04-17,UEM,4.35,1492387200,4.35,4.35,4.35
100,2017-05-26,UEM,6.02,1495756800,6.02,6.02,6.02
200,2017-07-10,UEM,6.82,1499644800,6.69,6.69,6.82
100,2017-07-11,UEM,7.69,1499731200,7.69,7.69,7.69
300,2017-07-12,UEM,8.7,1499817600,8.03,8.03,8.7
100,2017-07-13,UEM,9.43,1499904000,9.43,9.43,9.43
100,2017-07-14,UEM,10.77,1499990400,10.77,10.77,10.77
100,2017-07-17,UEM,12.31,1500249600,12.31,12.31,12.31
100,2017-07-19,UEM,14.12,1500422400,14.12,14.12,14.12
25000,2017-07-24,UEM,16.19,1500854400,16.19,16.19,16.19
3000,2017-07-28,UEM,18.6,1501200000,18.6,18.6,18.6
200,2017-07-31,UEM,21.07,1501459200,21.07,21.07,21.07
500,2017-08-02,UEM,23.95,1501632000,23.75,23.75,23.95
1000,2017-08-04,UEM,26.76,1501804800,26.76,26.76,26.76
1300,2017-08-10,UEM,27.43,1502323200,27.43,27.43,27.43
1500,2017-08-17,UEM,30.11,1502928000,27.43,27.43,30.11
4500,2017-09-15,UEM,24.42,1505433600,24.42,24.42,24.42
2000,2017-09-18,UEM,27.77,1505692800,27.77,27.77,27.77
7000,2017-09-26,UEM,30.44,1506384000,30.44,30.44,30.44
1500,2017-10-02,UEM,31.11,1506902400,31.11,31.11,31.11
500,2017-11-07,UEM,31.11,1510012800,31.11,31.11,31.11
500,2017-12-19,UEM,31.11,1513641600,31.11,31.11,31.11
3300,2018-04-16,UEM,18.99,1523836800,18.99,18.99,18.99
100,2018-05-18,UEM,24.79,1526601600,24.79,24.79,24.79
3000,2018-05-23,UEM,28.44,1527033600,28.44,28.44,28.44
2900,2018-05-28,UEM,30.31,1527465600,30.31,30.31,30.31
4600,2018-06-29,UEM,32.1,1530230400,32.1,32.1,32.1
1000,2018-08-22,UEM,32.1,1534896000,32.1,32.1,32.1
4300,2022-01-19,UEM,32.1,1642550400,32.1,32.1,32.1
3100,2022-03-18,UEM,32,1647561600,32,32,32
25,2022-03-21,UEM,32,1647820800,32,32,32
100,2022-08-08,UEM,32,1659916800,32,32,32
10297,2022-08-09,UEM,32,1660003200,32,32,32
