"date","symbol","open","high","low","close","volume","timestamp"
"2008-09-04","VE1",35,35,14,19,160600,1220486400
"2008-09-05","VE1",17.4,17.4,17.4,17.4,85600,1220572800
"2008-09-08","VE1",18.6,18.6,18.6,18.6,59500,1220832000
"2008-09-09","VE1",19.9,19.9,19.8,19.9,137800,1220918400
"2008-09-10","VE1",21.2,21.2,18.6,18.7,129800,1221004800
"2008-09-11","VE1",19.1,19.1,19.1,19.1,4600,1221091200
"2008-09-12","VE1",17.8,17.8,17.8,17.8,400,1221177600
"2008-09-15","VE1",16.6,16.6,16.6,16.6,37800,1221436800
"2008-09-16","VE1",15.5,15.5,15.5,15.5,1200,1221523200
"2008-09-17","VE1",14.5,14.5,14.5,14.5,2000,1221609600
"2008-09-18","VE1",13.5,13.5,13.5,13.5,500,1221696000
"2008-09-19","VE1",12.6,14.4,12.6,14.4,60400,1221782400
"2008-09-22","VE1",14.6,14.6,14.6,14.6,14300,1222041600
"2008-09-23","VE1",15,15,13.6,13.7,27900,1222128000
"2008-09-24","VE1",12.9,13,12.9,12.9,18400,1222214400
"2008-09-25","VE1",13,13,12,13,25600,1222300800
"2008-09-26","VE1",13.4,13.4,12.7,13.3,10700,1222387200
"2008-09-29","VE1",13.6,13.6,12.3,12.3,15000,1222646400
"2008-09-30","VE1",12,12,11.8,11.8,7800,1222732800
"2008-10-01","VE1",11.1,12,11.1,11.6,11700,1222819200
"2008-10-02","VE1",11.5,12.4,11,12.4,14200,1222905600
"2008-10-03","VE1",13,13,12.2,13,36700,1222992000
"2008-10-06","VE1",13.5,13.8,12,13,9600,1223251200
"2008-10-07","VE1",11.6,11.6,11.6,11.6,8300,1223337600
"2008-10-08","VE1",10.9,11.5,10.8,10.8,39100,1223424000
"2008-10-09","VE1",10.2,11.5,10.2,10.9,34500,1223510400
"2008-10-10","VE1",10.3,10.3,9.8,10.2,15400,1223596800
"2008-10-13","VE1",10,10,9.3,10,20600,1223856000
"2008-10-14","VE1",10,10,10,10,400,1223942400
"2008-10-15","VE1",10.7,10.7,10.1,10.5,26700,1224028800
"2008-10-16","VE1",10.5,10.5,9.9,10,11100,1224115200
"2008-10-17","VE1",10.5,10.5,10.1,10.1,8200,1224201600
"2008-10-20","VE1",10.2,10.2,9.6,10,1900,1224460800
"2008-10-21","VE1",9.8,10,9.7,9.7,3900,1224547200
"2008-10-22","VE1",9.5,9.7,9.4,9.4,7700,1224633600
"2008-10-23","VE1",9.6,9.6,8.9,8.9,12500,1224720000
"2008-10-24","VE1",9,9.2,9,9.2,3100,1224806400
"2008-10-27","VE1",8.4,8.6,8.4,8.4,4200,1225065600
"2008-10-28","VE1",7.9,8.2,7.9,8.2,4600,1225152000
"2008-10-29","VE1",8.4,8.4,8.3,8.3,8700,1225238400
"2008-10-30","VE1",7.9,8.2,7.9,7.9,10800,1225324800
"2008-10-31","VE1",7.7,8,7.5,7.8,10300,1225411200
"2008-11-03","VE1",7.8,8,7.8,8,11600,1225670400
"2008-11-04","VE1",8,8.4,7.9,8.4,4400,1225756800
"2008-11-05","VE1",8.6,8.7,8.6,8.7,8300,1225843200
"2008-11-06","VE1",8.1,8.7,8.1,8.1,7700,1225929600
"2008-11-07","VE1",7.9,7.9,7.7,7.7,4100,1226016000
"2008-11-10","VE1",7.7,7.7,7.6,7.7,5000,1226275200
"2008-11-11","VE1",8.2,8.2,7.2,7.2,6500,1226361600
"2008-11-12","VE1",7.8,7.8,7.8,7.8,2300,1226448000
"2008-11-13","VE1",7.5,7.8,7.5,7.8,3300,1226534400
"2008-11-14","VE1",8.2,8.2,7.8,8,9100,1226620800
"2008-11-17","VE1",7.6,7.6,7.6,7.6,1200,1226880000
"2008-11-18","VE1",7.2,8,7.2,7.6,2600,1226966400
"2008-11-19","VE1",7.2,7.8,7.2,7.8,2200,1227052800
"2008-11-20","VE1",7.8,7.8,7.2,7.3,3300,1227139200
"2008-11-21","VE1",7,7,6.9,7,1800,1227225600
"2008-11-24","VE1",7.1,7.3,7.1,7.3,300,1227484800
"2008-11-25","VE1",7.6,7.6,7,7,3100,1227571200
"2008-11-26","VE1",7.6,7.6,7.1,7.1,2900,1227657600
"2008-11-27","VE1",7.4,7.4,6.8,7.2,1300,1227744000
"2008-11-28","VE1",7.4,7.5,7.4,7.5,4600,1227830400
"2008-12-01","VE1",7.2,7.2,7.2,7.2,100,1228089600
"2008-12-02","VE1",7.7,6.8,7.7,6.8,5100,1228176000
"2008-12-03","VE1",6.8,7,7.2,6.8,6600,1228262400
"2008-12-04","VE1",6.6,6.6,6.6,6.6,2000,1228348800
"2008-12-05","VE1",6.9,6.5,6.9,6.2,400,1228435200
"2008-12-08","VE1",6.1,6.1,6.1,6.1,900,1228694400
"2008-12-09","VE1",6.1,6,6.1,5.8,6600,1228780800
"2008-12-10","VE1",5.7,5.8,6,6,2400,1228867200
"2008-12-11","VE1",6.2,5.7,6.2,5.8,6900,1228953600
"2008-12-12","VE1",6,6,6,6,3300,1229040000
"2008-12-15","VE1",6.4,6.2,6.4,6.3,300,1229299200
"2008-12-16","VE1",6.4,6,6.4,5.8,900,1229385600
"2008-12-17","VE1",6,6.3,6,6.3,1100,1229472000
"2008-12-18","VE1",6.2,6.2,5.8,5.8,700,1229558400
"2008-12-19","VE1",6.1,6.1,5.7,5.7,700,1229644800
"2008-12-22","VE1",6.2,6.2,6.2,6.2,300,1229904000
"2008-12-24","VE1",6.6,6.6,6.2,6.3,700,1230076800
"2008-12-26","VE1",6.4,6.5,6.4,6.5,1100,1230249600
"2008-12-29","VE1",6,6,6,6,8000,1230508800
"2008-12-30","VE1",6.4,6.4,6.4,6.4,10000,1230595200
"2008-12-31","VE1",6.8,6.8,6.6,6.7,4100,1230681600
"2009-01-02","VE1",7,7,6.7,6.7,1400,1230854400
"2009-01-05","VE1",7,7,6.7,6.7,1700,1231113600
"2009-01-06","VE1",6.5,6.8,6.4,6.5,4100,1231200000
"2009-01-07","VE1",6.8,6.8,6.5,6.5,8200,1231286400
"2009-01-08","VE1",6.3,6.6,6.3,6.6,3300,1231372800
"2009-01-09","VE1",6.6,6.6,6.5,6.5,1500,1231459200
"2009-01-12","VE1",6.2,6.6,6.2,6.2,300,1231718400
"2009-01-13","VE1",6.5,6.5,6.1,6.1,1300,1231804800
"2009-01-14","VE1",6.4,6.5,6.3,6.3,3200,1231891200
"2009-01-15","VE1",6.2,6.2,6.2,6.2,1200,1231977600
"2009-01-16","VE1",5.9,6.2,5.9,6.2,600,1232064000
"2009-01-19","VE1",5.8,6,5.8,6,2000,1232323200
