volume,date,symbol,high,timestamp,open,low,close
18600,2008-01-23,VE9,12.43,1201046400,11.8,9.63,9.63
1300,2008-01-24,VE9,12.39,1201132800,12.39,12.39,12.39
16200,2008-01-25,VE9,12.08,1201219200,11.8,11.18,12.08
3300,2008-01-28,VE9,12.11,1201478400,12.11,10.25,10.25
8900,2008-01-29,VE9,10.25,1201564800,10.25,9.94,10.25
14800,2008-01-30,VE9,11.28,1201651200,11.18,10.87,11.28
200,2008-01-31,VE9,12.11,1201737600,12.11,10.9,10.9
2000,2008-02-01,VE9,12.43,1201824000,12.43,11.8,11.87
4000,2008-02-12,VE9,13.39,1202774400,13.39,12.43,12.43
1200,2008-02-13,VE9,12.43,1202860800,12.43,11.8,11.8
1100,2008-02-14,VE9,12.39,1202947200,12.39,12.11,12.11
200,2008-02-15,VE9,11.96,1203033600,11.96,11.96,11.96
1300,2008-02-18,VE9,11.77,1203292800,11.77,10.81,10.87
2600,2008-02-19,VE9,11.03,1203379200,11.03,10.87,10.87
1900,2008-02-20,VE9,11.65,1203465600,11.65,10.56,10.87
2700,2008-02-21,VE9,10.56,1203552000,10.25,10.25,10.56
400,2008-02-22,VE9,11.03,1203638400,11.03,9.94,9.94
2600,2008-02-25,VE9,11.03,1203897600,11.03,10.81,10.87
3100,2008-02-26,VE9,10.93,1203984000,10.93,9.85,10.93
100,2008-02-27,VE9,10.72,1204070400,10.72,10.72,10.72
100,2008-02-28,VE9,10.75,1204156800,10.75,10.75,10.75
400,2008-02-29,VE9,10.75,1204243200,10.75,9.94,9.94
1100,2008-03-03,VE9,10.34,1204502400,10.34,10.25,10.25
500,2008-03-04,VE9,10.06,1204588800,10.06,9.26,9.26
200,2008-03-05,VE9,10.72,1204675200,10.72,8.79,8.79
32800,2008-03-06,VE9,10.72,1204761600,10.56,10.56,10.72
86200,2008-03-07,VE9,11.77,1204848000,11.77,11.65,11.77
6300,2008-03-10,VE9,12.92,1205107200,12.92,11.8,11.8
500,2008-03-11,VE9,12.11,1205193600,12.11,12.11,12.11
21700,2008-03-12,VE9,11.18,1205280000,11.18,10.9,10.9
6300,2008-03-13,VE9,11.18,1205366400,11.18,9.91,9.91
8300,2008-03-14,VE9,10.41,1205452800,10.38,9.04,9.04
5200,2008-03-17,VE9,9.94,1205712000,9.94,8.48,8.48
10900,2008-03-18,VE9,8.73,1205798400,7.86,7.86,7.86
4800,2008-03-19,VE9,7.92,1205884800,7.92,7.3,7.36
17800,2008-03-20,VE9,7.77,1205971200,7.77,6.71,6.71
16400,2008-03-21,VE9,6.99,1206057600,6.99,6.31,6.31
12300,2008-03-24,VE9,6.58,1206316800,6.58,5.78,6.12
10600,2008-03-25,VE9,6.12,1206403200,5.9,5.28,5.9
15300,2008-03-26,VE9,6.43,1206489600,6.43,6.43,6.43
100,2008-03-27,VE9,6.55,1206576000,6.55,6.55,6.55
100,2008-03-28,VE9,6.68,1206662400,6.68,6.68,6.68
