close,date,high,low,open,symbol,timestamp,volume
33.48,2006-12-21,33.48,33.48,33.48,VGP,1166659200,2600
17.04,2006-12-22,17.48,17.04,17.48,VGP,1166745600,4840
17.04,2006-12-25,17.04,17.04,17.04,VGP,1167004800,380
16.31,2006-12-26,16.6,16.31,16.6,VGP,1167091200,730
15.59,2006-12-27,16.31,15.59,16.31,VGP,1167177600,1300
14.86,2006-12-28,15.59,14.86,15.59,VGP,1167264000,1200
14.13,2006-12-29,14.86,14.13,14.86,VGP,1167350400,400
13.43,2007-01-02,14.13,13.43,14.13,VGP,1167696000,2800
12.76,2007-01-03,12.82,12.76,12.82,VGP,1167782400,2000
12.15,2007-01-04,12.23,12.15,12.23,VGP,1167868800,9100
12.73,2007-01-05,12.73,12.53,12.53,VGP,1167955200,15800
13.34,2007-01-08,13.34,13.11,13.17,VGP,1168214400,4950
13.98,2007-01-09,13.98,13.98,13.98,VGP,1168300800,16990
13.54,2007-01-10,13.98,13.54,13.98,VGP,1168387200,5920
12.88,2007-01-11,13.54,12.88,13.54,VGP,1168473600,2030
12.23,2007-01-12,12.23,12.23,12.23,VGP,1168560000,10450
12.82,2007-01-15,12.82,12.82,12.82,VGP,1168819200,4300
12.82,2007-01-16,12.82,12.82,12.82,VGP,1168905600,2520
12.82,2007-01-17,12.82,12.82,12.82,VGP,1168992000,600
12.18,2007-01-18,12.82,12.18,12.82,VGP,1169078400,1300
12.18,2007-01-19,12.18,11.97,12.18,VGP,1169164800,5150
11.94,2007-01-22,12.18,11.94,12.18,VGP,1169424000,970
11.94,2007-01-23,11.94,11.68,11.94,VGP,1169510400,3300
11.94,2007-01-24,11.94,11.36,11.94,VGP,1169596800,7690
11.36,2007-01-25,11.94,11.36,11.94,VGP,1169683200,4600
11.36,2007-01-26,11.62,11.36,11.62,VGP,1169769600,8200
11.36,2007-01-29,11.36,10.84,10.84,VGP,1170028800,3100
11.91,2007-01-30,11.91,11.36,11.36,VGP,1170115200,1300
