volume,date,symbol,high,timestamp,open,low,close
200,2014-09-04,VIN,6.27,1409788800,6.27,6.27,6.27
6300,2014-09-05,VIN,6.27,1409875200,6.27,6.27,6.27
5900,2014-09-09,VIN,5.98,1410220800,5.98,5.98,5.98
6200,2014-09-10,VIN,5.7,1410307200,5.7,5.7,5.7
6700,2014-09-11,VIN,5.41,1410393600,5.41,5.41,5.41
1000,2014-09-12,VIN,5.13,1410480000,5.13,5.13,5.13
10100,2014-09-15,VIN,4.96,1410739200,4.96,4.9,4.9
100,2014-09-16,VIN,4.61,1410825600,4.61,4.61,4.61
100,2014-09-18,VIN,4.56,1410998400,4.56,4.56,4.56
300,2014-09-30,VIN,5.01,1412035200,5.01,5.01,5.01
500,2014-10-01,VIN,5.13,1412121600,4.56,4.56,5.13
200,2014-10-02,VIN,5.3,1412208000,5.3,5.3,5.3
300,2014-10-03,VIN,5.7,1412294400,5.7,5.7,5.7
200,2014-10-06,VIN,5.7,1412553600,5.7,5.7,5.7
1500,2014-10-07,VIN,5.53,1412640000,5.53,5.47,5.47
300,2014-10-08,VIN,5.41,1412726400,5.41,5.41,5.41
10000,2014-10-09,VIN,5.41,1412812800,5.41,5.41,5.41
1000,2014-10-10,VIN,5.47,1412899200,5.47,5.47,5.47
700,2014-10-13,VIN,5.53,1413158400,5.53,5.41,5.41
100,2014-10-14,VIN,5.41,1413244800,5.41,5.41,5.41
100,2014-10-16,VIN,5.41,1413417600,5.41,5.41,5.41
9900,2014-10-21,VIN,5.36,1413849600,5.36,5.13,5.13
100,2014-10-30,VIN,4.61,1414627200,4.61,4.61,4.61
5000,2014-10-31,VIN,4.61,1414713600,4.61,4.61,4.61
8700,2014-11-06,VIN,4.73,1415232000,4.73,4.56,4.56
1100,2014-11-07,VIN,5.01,1415318400,4.67,4.67,5.01
2100,2014-11-12,VIN,5.18,1415750400,4.61,4.56,5.18
14000,2014-11-13,VIN,5.07,1415836800,5.07,4.56,4.56
6100,2014-11-17,VIN,4.61,1416182400,4.61,4.61,4.61
100,2014-11-18,VIN,5.07,1416268800,5.07,5.07,5.07
10000,2014-11-19,VIN,4.67,1416355200,4.67,4.61,4.61
100,2014-11-21,VIN,4.61,1416528000,4.61,4.61,4.61
100,2014-11-25,VIN,4.67,1416873600,4.67,4.67,4.67
100,2014-12-02,VIN,4.22,1417478400,4.22,4.22,4.22
1000,2014-12-03,VIN,4.39,1417564800,4.39,4.39,4.39
200,2014-12-05,VIN,4.79,1417737600,4.79,4.79,4.79
100,2014-12-09,VIN,4.84,1418083200,4.84,4.84,4.84
900,2014-12-10,VIN,5.13,1418169600,5.13,5.13,5.13
900,2014-12-11,VIN,5.13,1418256000,5.13,5.13,5.13
1000,2014-12-16,VIN,5.13,1418688000,5.13,5.13,5.13
13700,2014-12-17,VIN,5.24,1418774400,5.13,4.84,4.84
500,2014-12-26,VIN,4.84,1419552000,4.84,4.84,4.84
100,2014-12-29,VIN,5.3,1419811200,5.3,5.3,5.3
500,2014-12-30,VIN,5.64,1419897600,4.79,4.79,5.64
700,2014-12-31,VIN,5.7,1419984000,5.13,5.13,5.7
800,2015-01-05,VIN,5.47,1420416000,5.47,5.47,5.47
200,2015-01-08,VIN,5.47,1420675200,5.47,4.96,4.96
100,2015-01-14,VIN,5.24,1421193600,5.24,5.24,5.24
200,2015-01-16,VIN,5.24,1421366400,5.24,5.24,5.24
100,2015-01-21,VIN,5.01,1421798400,5.01,5.01,5.01
1000,2015-01-22,VIN,5.13,1421884800,5.01,5.01,5.13
900,2015-01-27,VIN,5.13,1422316800,5.07,5.07,5.13
3600,2015-02-06,VIN,5.13,1423180800,5.13,5.07,5.07
500,2015-02-09,VIN,5.07,1423440000,5.07,5.07,5.07
1080,2015-02-11,VIN,5.13,1423612800,5.13,5.13,5.13
200,2015-02-12,VIN,5.13,1423699200,5.13,5.13,5.13
5500,2015-02-25,VIN,4.96,1424822400,4.96,4.96,4.96
1100,2015-02-26,VIN,5.13,1424908800,5.13,4.9,4.9
600,2015-02-27,VIN,5.18,1424995200,5.07,5.07,5.18
800,2015-03-02,VIN,5.41,1425254400,5.24,5.24,5.41
1700,2015-03-05,VIN,5.3,1425513600,5.3,4.96,4.96
1300,2015-03-06,VIN,5.3,1425600000,5.3,5.3,5.3
200,2015-03-10,VIN,5.3,1425945600,5.3,5.3,5.3
1000,2015-03-11,VIN,5.41,1426032000,5.41,5.41,5.41
3500,2015-03-13,VIN,5.36,1426204800,5.36,5.3,5.3
2800,2015-03-16,VIN,5.75,1426464000,5.75,5.41,5.58
3200,2015-03-17,VIN,6.04,1426550400,5.81,5.81,6.04
5400,2015-03-18,VIN,6.55,1426636800,6.27,6.27,6.55
10500,2015-03-19,VIN,7.06,1426723200,7.01,5.92,7.01
500,2015-03-20,VIN,7.06,1426809600,7.01,6.84,7.06
4300,2015-03-23,VIN,7.12,1427068800,6.95,6.89,6.89
3700,2015-03-24,VIN,6.95,1427155200,6.89,6.38,6.38
600,2015-03-25,VIN,6.78,1427241600,6.78,6.72,6.72
2200,2015-03-26,VIN,6.78,1427328000,6.78,6.27,6.27
600,2015-03-27,VIN,6.49,1427414400,6.49,6.49,6.49
200,2015-03-31,VIN,6.49,1427760000,6.49,6.49,6.49
1700,2015-04-01,VIN,5.87,1427846400,5.87,5.87,5.87
200,2015-04-06,VIN,6.27,1428278400,6.27,6.27,6.27
6500,2015-04-07,VIN,6.89,1428364800,5.98,5.98,6.55
500,2015-04-08,VIN,6.84,1428451200,6.84,6.84,6.84
500,2015-04-09,VIN,6.32,1428537600,6.32,6.32,6.32
100,2015-04-10,VIN,5.75,1428624000,5.75,5.75,5.75
100,2015-04-17,VIN,6.32,1429228800,6.32,6.32,6.32
100,2015-04-20,VIN,5.7,1429488000,5.7,5.7,5.7
1100,2015-04-22,VIN,6.27,1429660800,6.27,5.75,5.75
500,2015-05-04,VIN,6.38,1430697600,6.38,6.38,6.38
900,2015-05-05,VIN,6.84,1430784000,5.75,5.75,6.84
100,2015-05-06,VIN,6.15,1430870400,6.15,6.15,6.15
1200,2015-05-07,VIN,6.72,1430956800,6.67,6.67,6.72
200,2015-05-12,VIN,6.1,1431388800,6.1,6.1,6.1
200,2015-05-18,VIN,6.21,1431907200,6.21,6.21,6.21
100,2015-05-20,VIN,5.64,1432080000,5.64,5.64,5.64
500,2015-05-29,VIN,5.7,1432857600,5.7,5.7,5.7
100,2015-06-02,VIN,6.27,1433203200,6.27,6.27,6.27
600,2015-06-03,VIN,6.84,1433289600,6.84,6.84,6.84
3300,2015-06-04,VIN,7.48,1433376000,7.48,7.48,7.48
100,2015-06-10,VIN,8.17,1433894400,8.17,8.17,8.17
