timestamp,symbol,close,low,open,high,volume,date
1509926400,VRE,32.15,32.15,32.15,32.15,800,2017-11-06
1510272000,VRE,34.37,34.37,34.37,34.37,310300,2017-11-10
1510531200,VRE,36.75,36.75,36.75,36.75,132380,2017-11-13
1510617600,VRE,37.27,36.75,39.29,39.29,15464870,2017-11-14
1510704000,VRE,35.28,34.73,36.75,37.27,6550260,2017-11-15
1510790400,VRE,34.89,33.9,35.28,35.28,5521990,2017-11-16
1510876800,VRE,35.36,34.33,34.89,36.08,10742380,2017-11-17
1511136000,VRE,37.82,35.68,36.16,37.82,3176670,2017-11-20
1511222400,VRE,40.44,38.85,39.56,40.44,8062730,2017-11-21
1511308800,VRE,40.91,39.96,40.83,42.81,7455670,2017-11-22
1511395200,VRE,41.23,40.04,40.91,41.86,2316540,2017-11-23
1511481600,VRE,40.12,40.04,40.83,41.31,2384820,2017-11-24
1511740800,VRE,40.52,38.85,40.12,41.23,3451040,2017-11-27
1511827200,VRE,39.48,39.25,41.15,41.15,2811900,2017-11-28
1511913600,VRE,39.17,38.73,39.25,39.8,1595900,2017-11-29
1512000000,VRE,38.85,37.94,38.85,38.85,3235960,2017-11-30
1512086400,VRE,39.25,38.45,39.01,39.56,1312140,2017-12-01
1512345600,VRE,39.25,38.73,39.56,39.64,1584010,2017-12-04
1512432000,VRE,38.06,37.98,39.64,39.64,1980030,2017-12-05
1512518400,VRE,37.34,37.03,38.06,38.45,1834150,2017-12-06
1512604800,VRE,36.47,36.47,37.82,37.98,1067350,2017-12-07
1512691200,VRE,37.27,35.2,36.47,37.78,1558790,2017-12-08
1512950400,VRE,35.68,35.68,35.68,36.87,943290,2017-12-11
1513036800,VRE,36.47,34.17,35.84,36.55,1598220,2017-12-12
1513123200,VRE,36.35,36,36.47,36.55,883220,2017-12-13
1513209600,VRE,35.84,35.6,36.23,36.31,1424710,2017-12-14
1513296000,VRE,36.39,35.76,35.76,36.79,1761240,2017-12-15
1513555200,VRE,36.71,36.39,36.95,37.19,2414320,2017-12-18
1513641600,VRE,36.71,36,36.99,37.23,1297970,2017-12-19
1513728000,VRE,36.31,36.16,36.23,36.63,1430200,2017-12-20
1513814400,VRE,38.22,36.31,36.47,38.3,2896650,2017-12-21
1513900800,VRE,37.9,37.9,38.22,38.73,962890,2017-12-22
1514160000,VRE,37.27,37.27,37.9,38.06,881540,2017-12-25
1514246400,VRE,38.06,37.11,37.42,38.41,1555640,2017-12-26
1514332800,VRE,37.62,37.54,37.9,38.22,1103520,2017-12-27
1514419200,VRE,37.19,37.19,37.82,37.82,940350,2017-12-28
1514505600,VRE,37.38,36.63,37.11,37.86,2825760,2017-12-29
1514851200,VRE,37.54,37.34,37.34,37.82,596280,2018-01-02
1514937600,VRE,37.58,37.58,37.66,38.41,1663590,2018-01-03
1515024000,VRE,37.42,37.19,37.94,38.06,935370,2018-01-04
1515110400,VRE,37.27,37.23,37.42,37.66,1664520,2018-01-05
1515369600,VRE,36.79,36.63,37.27,37.38,1708070,2018-01-08
1515456000,VRE,37.27,36.79,36.87,37.5,1945080,2018-01-09
1515542400,VRE,39.48,37.27,37.27,39.8,3018830,2018-01-10
1515628800,VRE,41.15,38.85,39.41,41.39,2676140,2018-01-11
1515715200,VRE,43.61,41.31,41.39,44,4587910,2018-01-12
1515974400,VRE,43.29,42.58,43.61,44.08,2874160,2018-01-15
1516060800,VRE,42.74,42.66,43.53,43.53,2440360,2018-01-16
1516147200,VRE,43.61,42.81,43.05,45.43,3459330,2018-01-17
1516233600,VRE,45.59,43.21,43.29,46.62,2999350,2018-01-18
1516320000,VRE,48.37,46.38,46.54,48.76,3426360,2018-01-19
1516579200,VRE,47.18,46.38,47.65,48.37,3749050,2018-01-22
1516838400,VRE,44.4,44.4,46.78,48.68,7105690,2018-01-25
1516924800,VRE,43.61,43.61,45.19,46.38,4619400,2018-01-26
1517184000,VRE,43.61,43.53,45.11,45.91,4390910,2018-01-29
1517270400,VRE,43.77,43.21,43.61,44.64,2951010,2018-01-30
1517356800,VRE,43.92,43.92,44.32,46.54,6251570,2018-01-31
1517443200,VRE,43.61,42.02,44,44,3912850,2018-02-01
1517529600,VRE,43.69,43.13,43.53,43.69,1375890,2018-02-02
1517788800,VRE,40.67,40.67,42.81,43.21,3142830,2018-02-05
1517875200,VRE,37.86,37.86,37.86,40.44,9071240,2018-02-06
1517961600,VRE,40.44,38.93,39.96,40.44,3212830,2018-02-07
1518048000,VRE,38.85,38.85,39.64,40.83,1062120,2018-02-08
1518134400,VRE,37.86,36.16,36.31,37.86,3215790,2018-02-09
1518393600,VRE,37.86,36.08,37.98,38.41,3845820,2018-02-12
1518480000,VRE,38.1,37.82,37.98,38.22,3305870,2018-02-13
1519171200,VRE,39.25,38.61,39.64,39.64,2928020,2018-02-21
1519257600,VRE,39.56,38.85,38.85,39.56,3575630,2018-02-22
1519344000,VRE,40.91,39.48,39.64,40.91,3430070,2018-02-23
1519603200,VRE,43.61,41.78,42.81,43.77,5377610,2018-02-26
1519689600,VRE,43.53,42.66,43.77,45.03,3097420,2018-02-27
1519776000,VRE,42.66,42.66,42.81,44.32,5531320,2018-02-28
