volume,date,symbol,high,timestamp,open,low,close
5000,2018-10-22,VSE,11.79,1540166400,11.79,11.79,11.79
5000,2018-10-23,VSE,12.57,1540252800,12.57,12.57,12.57
2000,2018-10-24,VSE,13.75,1540339200,13.75,13.75,13.75
300,2018-10-25,VSE,15.71,1540425600,15.71,13.75,13.75
400,2018-11-01,VSE,16.5,1541030400,15.32,12.26,12.26
1000,2018-11-05,VSE,17.05,1541376000,15.71,12.65,12.65
600,2018-11-09,VSE,18.46,1541721600,13.75,13.75,13.75
1000,2018-12-06,VSE,14.06,1544054400,14.06,14.06,14.06
3400,2018-12-27,VSE,12.02,1545868800,12.02,12.02,12.02
20000,2019-01-10,VSE,10.29,1547078400,10.29,10.29,10.29
400,2019-02-12,VSE,9.43,1549929600,9.43,8.8,8.8
4000,2019-02-13,VSE,9.11,1550016000,9.11,7.7,8.96
100,2019-02-15,VSE,7.31,1550188800,7.31,7.31,7.31
5000,2019-02-22,VSE,7.31,1550793600,7.31,7.31,7.31
100,2019-02-28,VSE,6.29,1551312000,6.29,6.29,6.29
100,2019-03-04,VSE,6.29,1551657600,6.29,6.29,6.29
100,2019-03-08,VSE,5.34,1552003200,5.34,5.34,5.34
500,2019-04-11,VSE,4.71,1554940800,4.71,4.71,4.71
100,2019-04-16,VSE,5.42,1555372800,5.42,5.42,5.42
100,2019-05-13,VSE,5.42,1557705600,5.42,5.42,5.42
500,2019-06-10,VSE,6.18,1560124800,6.18,6.18,6.18
500,2019-06-17,VSE,6.95,1560729600,6.95,6.95,6.95
100,2019-06-25,VSE,6.95,1561420800,6.95,6.95,6.95
300,2019-07-01,VSE,6.95,1561939200,6.95,6.95,6.95
2000,2019-07-02,VSE,7.12,1562025600,6.95,6.95,7.12
1000,2019-07-08,VSE,7.2,1562544000,7.2,7.2,7.2
1000,2019-07-09,VSE,7.2,1562630400,7.2,7.2,7.2
1000,2019-07-11,VSE,7.2,1562803200,7.2,7.2,7.2
1000,2019-07-12,VSE,6.18,1562889600,6.18,6.18,6.18
1000,2019-07-15,VSE,6.44,1563148800,6.44,6.44,6.44
100,2019-07-16,VSE,5.51,1563235200,5.51,5.51,5.51
600,2019-07-19,VSE,5.51,1563494400,5.51,5.51,5.51
300,2019-07-23,VSE,6.27,1563840000,6.27,5.59,5.59
5600,2019-07-24,VSE,5.93,1563926400,5.93,5,5.51
900,2019-07-25,VSE,5.76,1564012800,5.76,4.91,5.08
100,2019-07-26,VSE,5.84,1564099200,5.84,5.84,5.84
100,2019-08-08,VSE,5.84,1565222400,5.84,5.84,5.84
5100,2019-08-14,VSE,5.93,1565740800,5.93,5.93,5.93
4000,2019-08-16,VSE,5.93,1565913600,5.93,5.93,5.93
2200,2019-08-29,VSE,6.78,1567036800,6.01,6.01,6.78
700,2019-09-11,VSE,5.93,1568160000,5.93,5.93,5.93
100,2019-09-19,VSE,6.35,1568851200,6.35,6.35,6.35
5000,2019-09-23,VSE,6.44,1569196800,6.44,6.44,6.44
100,2019-09-24,VSE,6.52,1569283200,6.52,6.52,6.52
3100,2019-10-16,VSE,6.52,1571184000,6.52,6.52,6.52
100,2019-10-24,VSE,6.52,1571875200,6.52,6.52,6.52
600,2019-10-30,VSE,6.35,1572393600,6.35,5.93,5.93
500,2019-11-11,VSE,5.93,1573430400,5.93,5.93,5.93
500,2019-11-14,VSE,5.93,1573689600,5.93,5.93,5.93
300,2019-12-16,VSE,5.51,1576454400,5.51,5.51,5.51
1100,2019-12-18,VSE,5.76,1576627200,5.76,5.76,5.76
2000,2019-12-19,VSE,5.76,1576713600,5.76,5.76,5.76
7000,2019-12-27,VSE,5.93,1577404800,5.93,5.93,5.93
300,2019-12-30,VSE,5.08,1577664000,5.08,5.08,5.08
4000,2020-02-05,VSE,5.84,1580860800,5.08,5.08,5.84
2000,2020-02-19,VSE,5.51,1582070400,5.51,5.51,5.51
5000,2020-02-20,VSE,5.51,1582156800,5.51,5.51,5.51
100,2020-03-06,VSE,5.51,1583452800,5.51,5.51,5.51
1000,2020-04-22,VSE,5.51,1587513600,5.51,5.51,5.51
8400,2020-04-28,VSE,5.51,1588032000,5.51,5.42,5.51
2000,2020-05-14,VSE,5.51,1589414400,5.51,5.51,5.51
100,2020-05-15,VSE,5.51,1589500800,5.51,5.51,5.51
100,2020-05-19,VSE,5.08,1589846400,5.08,5.08,5.08
1500,2020-05-20,VSE,5.51,1589932800,5.51,5.51,5.51
1900,2020-05-22,VSE,5.51,1590105600,5.51,5.51,5.51
1200,2020-05-27,VSE,5.51,1590537600,5.51,5.51,5.51
2500,2020-06-09,VSE,5.25,1591660800,5.25,5.25,5.25
1000,2020-06-12,VSE,4.91,1591920000,4.91,4.91,4.91
1600,2020-06-15,VSE,4.66,1592179200,4.66,4.41,4.41
900,2020-06-25,VSE,5,1593043200,5,5,5
1000,2020-07-06,VSE,5,1593993600,5,5,5
14600,2020-09-08,VSE,5.59,1599523200,5.59,5.51,5.59
400,2020-09-09,VSE,4.83,1599609600,4.83,4.83,4.83
500,2020-09-14,VSE,5.51,1600041600,5.51,5.51,5.51
1500,2020-09-16,VSE,5.93,1600214400,5.93,5.93,5.93
200,2020-10-12,VSE,6.39,1602460800,6.39,6.39,6.39
1000,2020-10-14,VSE,6.39,1602633600,6.39,6.39,6.39
1600,2020-11-12,VSE,5.93,1605139200,5.93,5.93,5.93
100,2020-11-16,VSE,5.47,1605484800,5.47,5.47,5.47
3000,2020-12-08,VSE,5.47,1607385600,5.47,5.47,5.47
