volume,date,symbol,high,timestamp,open,low,close
193900,2016-10-21,VSN,91.12,1477008000,91.12,68.1,81.6
74900,2016-10-24,VSN,86.94,1477267200,85.48,79.66,80.63
24700,2016-10-25,VSN,81.99,1477353600,81.99,75.28,75.58
59400,2016-10-26,VSN,72.95,1477440000,72.86,68.1,68.97
31340,2016-10-27,VSN,68,1477526400,68,66.25,66.44
22460,2016-10-28,VSN,72.08,1477612800,66.35,65.28,72.08
13700,2016-10-31,VSN,72.86,1477872000,72.86,69.94,72.76
12000,2016-11-01,VSN,71.4,1477958400,71.4,68,69.16
15500,2016-11-02,VSN,68.97,1478044800,68,67.03,67.03
12900,2016-11-03,VSN,66.25,1478131200,66.25,63.14,65.57
5400,2016-11-04,VSN,64.7,1478217600,64.7,64.6,64.6
4500,2016-11-07,VSN,65.08,1478476800,64.6,64.11,64.6
4000,2016-11-08,VSN,66.54,1478563200,65.08,65.08,65.47
8800,2016-11-09,VSN,65.18,1478649600,65.18,63.14,64.11
9200,2016-11-10,VSN,64.6,1478736000,63.63,63.63,64.6
23700,2016-11-11,VSN,63.14,1478822400,63.14,62.17,62.17
9500,2016-11-14,VSN,62.66,1479081600,62.17,62.17,62.66
10000,2016-11-15,VSN,63.92,1479168000,63.14,62.75,63.63
5900,2016-11-16,VSN,63.82,1479254400,63.53,62.75,62.75
6100,2016-11-17,VSN,62.95,1479340800,62.95,62.27,62.27
12400,2016-11-18,VSN,63.73,1479427200,62.27,62.17,62.66
12900,2016-11-21,VSN,62.66,1479686400,62.66,61.1,61.1
9700,2016-11-22,VSN,62.07,1479772800,62.07,60.71,60.71
11600,2016-11-23,VSN,63.04,1479859200,60.71,60.52,60.52
6000,2016-11-24,VSN,62.07,1479945600,62.07,59.74,59.74
9300,2016-11-25,VSN,59.26,1480032000,59.26,58.09,58.09
3000,2016-11-28,VSN,57.12,1480291200,57.12,55.56,55.56
6200,2016-11-29,VSN,53.43,1480377600,51,50.51,53.43
2700,2016-11-30,VSN,52.46,1480464000,51.29,50.03,52.46
3400,2016-12-01,VSN,52.46,1480550400,51.97,50.61,50.61
300,2016-12-02,VSN,51,1480636800,51,50.61,50.61
4000,2016-12-05,VSN,50.71,1480896000,50.71,48.57,49.06
6700,2016-12-06,VSN,48.57,1480982400,48.08,47.41,47.41
900,2016-12-07,VSN,54.4,1481068800,54.4,50.51,51.48
500,2016-12-08,VSN,51.48,1481155200,51.48,51.48,51.48
15900,2016-12-09,VSN,52.46,1481241600,49.54,49.54,51
