volume,date,symbol,high,timestamp,open,low,close
100,2016-11-10,XHC,6.13,1478736000,6.13,6.13,6.13
200,2016-11-11,XHC,5.84,1478822400,5.84,5.84,5.84
500,2016-11-15,XHC,5.96,1479168000,5.84,5.84,5.96
200,2016-11-16,XHC,5.9,1479254400,5.9,5.9,5.9
200,2016-11-18,XHC,5.96,1479427200,5.96,5.96,5.96
700,2016-11-24,XHC,6.01,1479945600,6.01,5.55,5.55
200,2016-11-25,XHC,5.26,1480032000,5.26,5.26,5.26
300,2016-11-28,XHC,5.26,1480291200,5.26,5.26,5.26
200,2016-12-01,XHC,5.26,1480550400,5.26,5.26,5.26
200,2016-12-13,XHC,5.26,1481587200,5.26,5.26,5.26
200,2016-12-16,XHC,4.96,1481846400,4.96,4.96,4.96
100,2016-12-19,XHC,5.26,1482105600,5.26,5.26,5.26
8056100,2016-12-20,XHC,6.01,1482192000,6.01,5.84,5.84
21700,2016-12-23,XHC,6.83,1482451200,6.83,6.83,6.83
16500,2016-12-26,XHC,7.83,1482710400,7.83,7.59,7.83
21600,2016-12-27,XHC,8.88,1482796800,8.88,8.88,8.88
6300,2016-12-28,XHC,9.69,1482883200,8.88,7.83,7.83
10100,2016-12-29,XHC,7.71,1482969600,7.71,7.53,7.53
8000,2016-12-30,XHC,8.12,1483056000,7.47,6.89,6.95
3400,2017-01-03,XHC,6.95,1483401600,6.95,6.72,6.72
1000,2017-01-04,XHC,7.3,1483488000,7.3,7.3,7.3
200,2017-01-05,XHC,8.29,1483574400,8.29,8.29,8.29
100,2017-01-06,XHC,8.06,1483660800,8.06,8.06,8.06
7200,2017-01-09,XHC,7.59,1483920000,7.59,7.3,7.3
10200,2017-01-10,XHC,7.01,1484006400,7.01,6.37,6.37
700,2017-01-13,XHC,6.54,1484265600,6.54,6.54,6.54
1000,2017-01-16,XHC,7.47,1484524800,7.47,7.47,7.47
3900,2017-01-17,XHC,7.01,1484611200,7.01,6.42,6.42
400,2017-01-20,XHC,7.47,1484870400,7.47,7.47,7.47
700,2017-01-23,XHC,7.83,1485129600,7.83,7.83,7.83
5000,2017-01-24,XHC,6.66,1485216000,6.66,6.66,6.66
22900,2017-01-25,XHC,6.42,1485302400,6.42,6.42,6.42
100,2017-02-02,XHC,7.36,1485993600,7.36,7.36,7.36
100,2017-02-07,XHC,7.01,1486425600,7.01,7.01,7.01
33200,2017-02-09,XHC,7.83,1486598400,7.59,5.96,5.96
100,2017-02-10,XHC,7.42,1486684800,7.42,7.42,7.42
100,2017-02-13,XHC,6.77,1486944000,6.77,6.77,6.77
5600,2017-02-14,XHC,7.01,1487030400,7.01,7.01,7.01
200,2017-02-15,XHC,7.01,1487116800,7.01,7.01,7.01
3000,2017-02-20,XHC,8.06,1487548800,7.3,7.3,8.06
400,2017-02-21,XHC,8.88,1487635200,8.64,8.64,8.88
1100,2017-02-22,XHC,8.76,1487721600,8.76,8.76,8.76
1300,2017-02-23,XHC,9.11,1487808000,8.76,8.76,9.11
5900,2017-02-24,XHC,9.34,1487894400,9.34,7.65,7.88
100,2017-02-28,XHC,7.3,1488240000,7.3,7.3,7.3
900,2017-03-01,XHC,7.3,1488326400,7.3,7.3,7.3
1900,2017-03-03,XHC,8.35,1488499200,8.35,7.94,8.35
1100,2017-03-06,XHC,9.46,1488758400,7.18,7.18,8.41
5300,2017-03-07,XHC,8.53,1488844800,7.36,7.36,7.47
100,2017-03-08,XHC,7.47,1488931200,7.47,7.47,7.47
700,2017-03-09,XHC,8.58,1489017600,8.47,8.47,8.58
5200,2017-03-10,XHC,9.05,1489104000,9.05,7.94,9.05
300,2017-03-13,XHC,9.58,1489363200,8.06,8.06,8.06
6900,2017-03-14,XHC,9.87,1489449600,7.65,7.65,9.87
500,2017-03-15,XHC,10.63,1489536000,10.63,8.53,10.63
100,2017-03-16,XHC,10.8,1489622400,10.8,10.8,10.8
100,2017-03-17,XHC,10.8,1489708800,10.8,10.8,10.8
100,2017-03-22,XHC,10.39,1490140800,10.39,10.39,10.39
700,2017-03-23,XHC,10.28,1490227200,10.28,8.94,10.04
2400,2017-03-24,XHC,9.99,1490313600,8.76,8.76,9.99
200,2017-03-28,XHC,8.76,1490659200,8.18,8.18,8.76
1600,2017-04-03,XHC,9.69,1491177600,9.58,9.34,9.69
3700,2017-04-04,XHC,11.04,1491264000,10.92,10.92,11.04
100,2017-04-05,XHC,9.4,1491350400,9.4,9.4,9.4
100,2017-04-07,XHC,8.06,1491523200,8.06,8.06,8.06
300,2017-04-10,XHC,9.23,1491782400,9.23,6.95,6.95
100,2017-04-13,XHC,8.82,1492041600,8.82,8.82,8.82
500,2017-04-14,XHC,10.1,1492128000,8.23,8.23,10.1
100,2017-04-17,XHC,8.53,1492387200,8.53,8.53,8.53
100,2017-04-19,XHC,9.75,1492560000,9.75,9.75,9.75
500,2017-04-20,XHC,11.18,1492646400,8.98,8.98,9.52
100,2017-04-24,XHC,11.48,1492992000,11.48,11.48,11.48
100,2017-04-25,XHC,9.87,1493078400,9.87,9.87,9.87
200,2017-04-26,XHC,11.3,1493164800,11.3,11.3,11.3
300,2017-05-03,XHC,10.41,1493769600,10.41,10.23,10.23
100,2017-05-05,XHC,11.78,1493942400,11.78,11.78,11.78
100,2017-05-10,XHC,11.78,1494374400,11.78,11.78,11.78
100,2017-05-15,XHC,10.11,1494806400,10.11,10.11,10.11
3000,2017-05-16,XHC,8.74,1494892800,8.74,8.68,8.68
100,2017-05-17,XHC,9.93,1494979200,9.93,9.93,9.93
100,2017-05-18,XHC,8.5,1495065600,8.5,8.5,8.5
100,2017-05-22,XHC,9.75,1495411200,9.75,9.75,9.75
1000,2017-05-25,XHC,10.11,1495670400,10.11,10.11,10.11
100,2017-05-29,XHC,8.68,1496016000,8.68,8.68,8.68
300,2017-05-30,XHC,9.93,1496102400,7.49,7.49,9.93
100,2017-05-31,XHC,8.09,1496188800,8.09,8.09,8.09
200,2017-06-02,XHC,9.28,1496361600,9.28,9.28,9.28
1200,2017-06-08,XHC,10.11,1496880000,10.11,9.99,9.99
2300,2017-06-12,XHC,10.11,1497225600,9.93,9.93,10.11
1000,2017-06-14,XHC,10.11,1497398400,10.11,10.11,10.11
100,2017-06-16,XHC,10.41,1497571200,10.41,10.41,10.41
400,2017-07-05,XHC,9.81,1499212800,9.81,9.81,9.81
200,2017-07-10,XHC,9.52,1499644800,9.52,9.52,9.52
400,2017-07-12,XHC,9.81,1499817600,9.81,9.81,9.81
2000,2017-07-28,XHC,9.81,1501200000,9.81,9.81,9.81
200,2017-07-31,XHC,10.11,1501459200,10.11,10.11,10.11
1000,2017-08-01,XHC,10.41,1501545600,10.41,10.41,10.41
2700,2017-08-04,XHC,8.98,1501804800,8.92,8.92,8.98
1300,2017-08-09,XHC,10.05,1502236800,10.05,10.05,10.05
2000,2017-08-10,XHC,10.7,1502323200,10.7,10.7,10.7
100,2017-08-11,XHC,9.16,1502409600,9.16,9.16,9.16
500,2017-08-14,XHC,10.41,1502668800,10.41,10.41,10.41
100,2017-08-22,XHC,8.98,1503360000,8.98,8.98,8.98
3100,2017-08-23,XHC,10.29,1503446400,10.29,10.29,10.29
