number,japanese,english
33,は,a
422,できる,able
158,約,about
307,上記,above
77,行為,act
68,加える,add
917,恐れて,afraid
111,後に,after
91,再び,again
483,に対する,against
675,年齢,age
381,前,ago
796,同意する,agree
55,空気,air
151,すべて,all
841,許可する,allow
57,また,also
287,常に,always
541,am,am
400,の間で,among
48,の,an
32,そして,and
998,怒り,anger
92,動物,animal
208,答え,answer
101,任意の,any
491,見える,appear
927,リンゴ,apple
9,アール,are
335,エリア,area
547,アーム,arm
968,アレンジ,arrange
850,届く,arrive
518,アート,art
1,ように,as
79,頼む,ask
13,アット,at
786,アトム,atom
701,赤ちゃん,baby
112,バック,back
624,悪い,bad
536,ボール,ball
934,バンド,band
646,銀行,bank
872,バー,bar
264,ベース,base
944,基本,basic
808,バット,bat
12,ある,be
592,クマ,bear
746,ビート,beat
425,美しさ,beauty
504,ベッド,bed
198,き,been
143,前に,before
258,始まった,began
280,始まる,begin
445,背後に,behind
509,信じる,believe
815,鐘,bell
452,ベスト,best
454,良い,better
219,間に,between
73,大きい,big
314,鳥,bird
731,ビット,bit
326,黒,black
951,ブロック,block
627,血,blood
625,打撃,blow
359,ブルー,blue
569,ボード,board
371,ボート,boat
316,ボディ,body
792,骨,bone
251,ブック,book
972,ボルン,born
290,両方,both
689,ボトム,bottom
928,買った,bought
417,ボックス,box
146,男の子,boy
912,ブランチ,branch
869,パン,bread
620,ブレーク,break
587,明るい,bright
393,持って来る,bring
993,幅広い,broad
654,壊した,broke
505,兄,brother
389,た,brought
636,ブラウン,brown
97,ビルド,build
723,燃やす,burn
368,忙しい,busy
21,しかし,but
706,買う,buy
18,バイ,by
192,コール,call
118,来た,came
969,キャンプ,camp
36,缶,can
751,首都,capital
800,キャプテン,captain
297,カー,car
933,カード,card
299,介護,care
252,運ぶ,carry
655,ケース,case
726,猫,cat
565,キャッチ,catch
781,キャッチ,caught
140,原因,cause
508,セル,cell
630,セント,cent
486,センター,center
727,世紀,century
405,特定の,certain
753,椅子,chair
979,チャンス,chance
81,変更,change
779,キャラクター,character
870,充電,charge
952,チャート,chart
383,チェック,check
881,ひよこ,chick
829,チーフ,chief
665,子ども,child
279,子どもたち,children
641,選ぶ,choose
862,和音,chord
529,サークル,circle
227,街,city
999,請求,claim
329,クラス,class
619,クリーン,clean
446,明確な,clear
683,登る,climb
831,クロック,clock
245,クローズ,close
597,衣服を着せる,clothe
678,クラウド,cloud
732,海岸,coast
931,コート,coat
498,寒い,cold
647,集める,collect
830,コロニー,colony
270,カラー,color
986,コラム,column
180,来る,come
372,一般的な,common
956,会社,company
812,比較する,compare
333,完全な,complete
940,条件,condition
859,接続する,connect
728,考える,consider
667,子音,consonant
428,含む,contain
1000,大陸,continent
950,続ける,continue
649,コントロール,control
719,料理人,cook
684,涼しい,cool
733,コピー,copy
811,トウモロコシ,corn
773,コーナー,corner
421,正しい,correct
634,コスト,cost
971,綿,cotton
178,可能性,could
513,カウント,count
206,国,country
354,もちろん,course
215,カバー,cover
579,乳牛,cow
698,しわ,crease
805,作る,create
768,作物,crop
229,クロス,cross
810,群衆,crowd
409,泣く,cry
847,現在の,current
267,カット,cut
868,お父さん,dad
544,ダンス,dance
754,危険,danger
410,暗い,dark
177,日,day
843,死んだ,dead
960,契約,deal
882,かわいい,dear
903,死,death
361,決定する,decide
650,進,decimal
363,深い,deep
879,度,degree
816,決まる,depend
718,説明する,describe
845,砂漠,desert
685,デザイン,design
973,決定する,determine
437,開発する,develop
669,辞書,dictionary
181,やった,did
609,死ぬ,die
138,異なる,differ
763,難しい,difficult
319,ダイレクト,direct
921,話し合う,discuss
395,遠い,distant
532,分割,divide
855,分裂,division
41,やる,do
764,医師,doctor
51,し,does
317,犬,dog
921,ドル,dollar
424,終わった,done
242,ない,don’t
324,ドア,door
948,ダブル,double
196,ダウン,down
238,描く,draw
938,夢,dream
677,ドレス,dress
885,ドリンク,drink
426,ドライブ,drive
539,ドロップ,drop
377,ドライ,dry
876,アヒル,duck
456,間に,during
49,それぞれ,each
651,耳,ear
461,早い,early
99,地球,earth
284,和らげる,ease
397,東,east
255,食べる,eat
581,エッジ,edge
789,効果,effect
506,卵,egg
702,人,eight
721,どちら,either
790,エレクトリック,electric
770,要素,element
652,ほかに,else
60,終わり,end
883,敵,enemy
501,エネルギー,energy
545,エンジン,engine
301,十分な,enough
834,入力する,enter
639,等しい,equal
386,一致する,equate
915,特に,especially
69,さらに,even
939,夕べ,evening
958,イベント,event
308,今までに,ever
120,すべての,every
607,正確な,exact
283,例,example
613,ただし,except
747,エキサイト,excite
563,エクササイズ,exercise
791,期待する,expect
925,経験,experience
688,実験,experiment
222,目,eye
271,顔,face
449,事実,fact
645,フェア,fair
407,落ちる,fall
318,家族,family
820,有名な,famous
236,遠く,far
230,農場,farm
467,速い,fast
863,脂肪,fat
100,父,father
858,好む,favor
823,恐怖,fear
941,フィード,feed
312,感じる,feel
298,フィート,feet
642,落ちた,fell
534,フェルト,felt
249,少数,few
419,フィールド,field
916,イチジク,fig
744,戦い,fight
415,図,figure
396,埋める,fill
432,ファイナル,final
200,見つける,find
404,罰金,fine
741,指,finger
593,仕上げ,finish
339,火災,fire
193,最初の,first
260,魚,fish
643,フィット,fit
458,五,five
694,フラット,flat
720,床,floor
644,流れ,flow
596,花,flower
406,飛ぶ,fly
76,続く,follow
216,食品,food
366,足,foot
7,ために,for
358,力,force
552,森,forest
130,フォーム,form
922,フォワード,forward
207,発見,found
218,つの,four
551,分数,fraction
440,無料で,free
836,新鮮な,fresh
257,友人,friend
17,から,from
429,フロント,front
755,フルーツ,fruit
357,フル,full
586,楽しい,fun
384,ゲーム,game
638,庭,garden
588,ガス,gas
980,集まる,gather
433,与えた,gave
526,一般,general
798,優しい,gentle
106,ゲット,get
303,女の子,girl
123,与える,give
864,うれしい,glad
577,ガラス,glass
179,行く,go
373,ゴールド,gold
599,いなくなった,gone
121,良い,good
281,だ,got
496,支配する,govern
535,壮大な,grand
578,草,grass
990,グレー,gray
132,素晴らしい,great
434,緑,green
629,成長した,grew
464,地面,ground
286,グループ,group
210,成長する,grow
801,推測,guess
924,ガイド,guide
840,銃,gun
28,持っていた,had
717,髪,hair
336,半分,half
64,手,hand
332,起こる,happen
594,幸せな,happy
231,ハード,hard
174,があります,has
953,帽子,hat
15,持っている,have
5,彼,he
201,ヘッド,head
265,聞く,hear
451,聞いた,heard
540,心,heart
390,熱,heat
543,重い,heavy
716,ハンドヘルド,held
135,助け,help
167,彼女の,her
71,ここに,here
74,高い,high
724,丘,hill
172,彼に,him
3,彼の,his
788,歴史,history
771,ヒット,hit
462,ホールド,hold
699,穴,hole
62,ホーム,home
595,希望,hope
266,馬,horse
19,ホット,hot
387,ホット,hot
453,時間,hour
87,家,house
46,方法,how
918,巨大な,huge
787,人間,human
457,百,hundred
502,狩り,hunt
828,急ぐ,hurry
2,私は,i
527,アイス,ice
259,アイデア,idea
44,もし,if
794,想像する,imagine
34,で,in
351,インチ,inch
531,含める,include
783,示す,indicate
742,業界,industry
780,昆虫,insect
877,インスタント,instant
575,楽器,instrument
465,関心,interest
970,発明する,invent
691,鉄,iron
24,です,is
365,島,island
25,それ,it
580,仕事,job
617,参加する,join
570,喜び,joy
700,ジャンプ,jump
129,ただ,just
221,キープ,keep
576,保管,kept
690,キー,key
657,殺す,kill
84,種類,kind
349,王,king
344,知っていた,knew
189,知っている,know
621,女性,lady
659,湖,lake
70,土地,land
399,言語,language
66,大きい,large
224,最後の,last
240,遅く,late
379,笑い,laugh
730,法則,law
482,産む,lay
408,鉛,lead
213,学ぶ,learn
610,最低,least
321,去る,leave
929,主導,led
239,左,left
562,レッグ,leg
516,長さ,length
474,レス,less
225,てみましょう,let
293,手紙,letter
978,レベル,level
745,うそ,lie
248,生活,life
848,リフト,lift
83,光,light
164,ような,like
137,ライン,line
894,液体,liquid
310,リスト,list
470,聞く,listen
113,少し,little
109,暮らす,live
777,検索する,locate
895,ログ,log
561,ローン,lone
168,長い,long
175,見える,look
635,失われた,lost
687,たくさん,lot
662,騒々しい,loud
487,愛,love
136,低い,low
411,マシン,machine
108,製,made
909,マグネット,magnet
273,メイン,main
835,主要な,major
169,作る,make
116,男,man
159,多くの,many
493,マップ,map
291,マーク,mark
878,市場,market
932,マス,mass
851,マスター,master
913,マッチ,match
550,材料,material
528,問題,matter
195,よい,may
122,私に,me
142,意味する,mean
896,意味,meant
323,測定,measure
817,肉,meat
704,大会,meet
601,メロディー,melody
